according to,"根据, 按照；取决于；据…所说"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
erase,"vt. 抹去, 擦掉
"
exclude,"vt. 除外, 排除, 排斥
"
exclusive,"a. 排外的, 独占的, 唯一的
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
expanse,"n. 宽阔区域, 宽阔, 天空"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
exposure,"n. 暴露, 揭发, 揭露
"
extensive,"a. 广的, 广泛的, 多方面的
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
facilitate,"vt. 使容易, 促进, 帮助
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
fluency,"n. 流畅, 雄辩, 善辩"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
frighten,"vt. 使惊吓
vi. 惊恐"
fulfil,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
gigantic,"a. 巨人般的, 巨大的"
gratitude,n. 感激之情
hinder,"a. 后面的
v. 阻碍, 打扰"
historic,"a. 历史上著名的, 有历史性的"
horizon,"n. 地平线, 眼界, (天)视地平"
hospitality,"n. 款待, 亲切, 殷勤"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
