amongst,"prep. 在...当中, 在...之间, 在...之中"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
conformity,"n. 遵照, 适合, 一致, 相似
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
criticism,"n. 批评, 评论, 非难
"
dwell,"vi. 居住, 居住(于), 存在(于)"
elevate,"vt. 举起, 提拔, 鼓舞"
evident,"a. 显然的, 明显的"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
genius,"n. 天才, 天赋, 精神, 神魔
"
genuine,"a. 真正的, 真实的, 诚恳的
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
intelligence,"n. 智力, 情报, 信息
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
judgment,"n. 裁判, 宣告, 判决书
"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
positive,"a. 肯定的, 积极的, 有把握的
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
prevail,"vi. 获胜, 流行, 盛行
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
realistically,"adv. 写实地, 逼真地, 现实地"
utilize,vt. 利用
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
viewpoint,n. 观点
come to,"谈到, 被...继承, 苏醒, 停止"
concentrate on,"集中, 全神贯注于"
depend on,"依靠, 依赖"
dwell on,"细想, 详述"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
trust in,"托付, 信任, 相信"
worry about,"焦虑..., 为...而操心/担心"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
aspect,"n. 外观, 方面, 面貌, 方向
"
economical,"a. 节俭的, 经济的, 合算的
"
employment,"n. 雇用, 职业, 工作
"
expense,"n. 费用, 代价, 开支, 损失
"
explore,"v. 探险, 探测, 探究"
fax,"n. 传真
vt. 发传真
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
inquiry,"n. 质询, 探索, 调查, 询盘
"
insurance,"n. 保险, 保险业, 保险费
"
intend,"vt. 计划, 打算, 意思是
"
internationalize,"vt. 使国际化, 置于国际共管下"
investigate,"v. 调查, 审查"
opportunity,"n. 机会, 时机"
orientation,"n. 定方位, 适应, 向东方
n. 方向
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
paycheck,"n. 付薪水的支票, 薪水"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
truly,"adv. 真实地, 不假"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
visa,"n. 签证
vt. 签发"
workforce,"n. 劳动力；工人总数, 职工总数"
as a result,结果
get around,"病后能够走动, (非正式)旅行, 传开来"
participate in,"参加, 参与, 分享"
run low,"减少
"
so far,迄今为止
anticipation,"n. 预期, 预料
"
anticipatory,"a. 期待着的, 先行的, 提早发生的
"
coauthor,"n. 合著者, 共同执笔者"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
concept,"n. 观念, 概念
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
continuity,"n. 连续性
"
costly,"a. 昂贵的, 奢华的, 费用大的"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
enhance,"vt. 提高, 加强, 增加"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
extroverted,a. 外向性的；性格外向的；喜社交的
fulfilled,"a. 满足的, 个人志向得以实现的
v. 满足( fulfil的过去式和过去分词 ); 执行; 尽到; 应验"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
introverted,"a. 内向型性格的, 内倾的"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
outlook,"n. 观点, 景色, 前途, 了望
"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
pleasurable,"a. 快乐的, 愉快的, 舒适的, 心情舒畅的"
ponder,"v. 沉思, 考虑"
psychology,"n. 心理学, 心理状态
"
socialize,"vt. 使社会化, 使社会主义化, 使适合社会需要
vi. (美)(非正式)参加社交活动, 发生社交往来"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
verbal,"a. 用言辞的, 言语的, 口头的, 逐字的, 动词的
"
yearning,"n. 渴望, 热望, 怀念
a. 热望的, 渴望的, 怀念的, 向往的"
carry on,"继续开展, 行为愚蠢(或越轨)
"
engage in,"使从事于, 参加"
engage in something,[网络] 搞点东西
hold together,"na. (使)团结在一起
"
look back,"回顾, 三心二意
"
look back on something,无
reach out to somebody,[网络] 固定搭配
tend to do something,无
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
crushing,"a. 碾碎的, 压倒的
"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
downer,"n. 镇定剂, 令人沮丧的人"
embarrassed,a. 尴尬的；窘迫的
eventually,"adv. 最后, 终于"
expectation,"n. 期待, 指望, 展望
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
horrendous,"a. 可怕的, 骇人的, 不得了的"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
loneliness,"n. 寂寞, 孤独, 清静"
marketing,"n. 行销, 买卖
"
moan,"n. 呻吟, 悲叹
vi. 呻吟, 抱怨, 悲叹
vt. 呻吟着说"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
passable,"a. 可通行的, 可渡过的, 尚可的, 可流通的"
permanently,"adv. 永久, 不变, 持久
"
poll,"n. 投票, 民意测验, 选举投票, 投票数, 一组人中的一个, 头颈和后脑部, 鹦鹉
vt. 对...进行民意测验, 获得...票, 剪树枝, 轮询
vi. 投票
a. 剪过毛的, 修过枝的
"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
rarely,"adv. 很少地, 罕有地"
revel,"n. 作乐, 狂欢
vi. 狂欢作乐, 陶醉, 着迷
vt. 耗费"
societal,a. 社会的
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
stigma,"n. 耻辱, 污名, 烙印
"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
unspoken,unspeak的过去分词
a bunch of,"一束,一串,一群"
at best,"na. 充其量也不过
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
contribute to,捐献
feel like," 摸起来像是…, 有…的感觉; 想要…"
figure out,"合计为, 计算出, 明白"
revel in,"醉心于, 着迷"
stressing out,无
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
beanie,n. (大学一年级男生或儿童等戴的)无檐小便帽
blessed,"a. 神圣的, 受祝福的
bless的过去式和过去分词"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
choir,"n. 唱诗班, 唱诗班的席位
v. 合唱"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
dedicated,"a. 专注的, 献身的"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
hand-knit,v. 用手编织
longevity,"n. 长命, 长寿, 寿命
"
maternity,"n. 母性, 怀孕, 妇产科医院
a. 产妇的"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
newborn,"n. 婴儿
a. 新生的"
occasional,"a. 偶然的, 临时的
"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
rekindle,"vt. 再点火, 重新激起
vi. 重新燃烧"
remaining,[电] 剩余的
sedan,"n. 轿车, 轿子"
selfless,"a. 不顾自己的, 无私的"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
stuffed,已经喂饱了的；塞满了的
toiletries,"n. 化妆用品, 梳妆用具, 化妆用具"
valet,"n. 贴身男仆
vt. 伺候"
a glimmer of,det. 一线
attribute sth. to sb.,"na. 认为(成功)是(努力)的结果
"
attribute sth. to sth.,"na. 认为(成功)是(努力)的结果
"
devote sth. to sth.,"v. 把…贡献给
"
devote sth. to sb.,"v. 把…贡献给
"
fall in love, 陷入爱河（歌名）; [电影]追爱总动员
have no intention of ...,"无意,不想,不打算…"
heart and soul,全心全意地
in addition,另外
in addition to,"另外, 加之, 除…之外还"
keep going,"na. 继续(运转,谈话)；维持
"
like clockwork,"顺当地, 有规律地, 毫无故障地, 自动地"
role model,n. 榜样; 模范
ablaze,"a. 着火的, 闪亮的, 激昂的
adv. 着火, 闪耀"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
campervan,"n. 房车
"
colleague,"n. 同事, 同僚"
console,"vt. 安慰, 藉慰
n. 控制台
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
established,"a. (被)建立的, 固定的, 既定的, 确定的, 确认的, 确立的, (被)制定的
"
extensive,"a. 广的, 广泛的, 多方面的
"
facility,"n. 容易, 灵巧, 设备
"
gargantuan,"a. 巨大的, 庞大的"
inbox,[计] 入站
install,"vt. 安装, 安置, 使就职
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
pager,[计] 页调度程序
professional,"n. 专业人才
a. 专业的, 职业的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
proverb,"n. 谚语, 格言, 箴言
vt. 使众所周知, 用谚语表达"
psychological,"a. 心理学的, 精神上的, 心灵的
"
