primarily,"adv. 主要地, 首先地"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
refund,"n. 偿还
vt. 付还, 偿还借款
vi. 归还, 偿还"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
evaluate,"vt. 评估, 评价, 赋值"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
symbol,"n. 符号, 象征, 代号, 信条
"
symptom,"n. 症状, 征候, 征兆
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
enhance,"vt. 提高, 加强, 增加"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
conspicuous,"a. 显著的, 显眼的, 出众的"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
alter,v. 改变
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
deny,"v. 否认, 拒绝"
controversy,"n. 论争, 辩论, 论战, 争论
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
demonstrate,"vt. 示范, 证明
vi. 示威"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
recruit,"n. 新兵, 新手, 新会员, 补给品
vt. 恢复, 补充, 充实, 征募
vi. 征募新兵, 复原, 得到补充"
redundant,"a. 多余的, 过多的, 冗长的
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
dignity,"n. 尊严, 高贵
"
indignant,"a. 愤怒的, 愤慨的"
despise,vt. 轻视
principle,"n. 原则, 原理, 主义
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
accelerate,"v. 加速, 促进"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
contradiction,"n. 反驳, 矛盾
"
consist,"vi. 组成, 存在于, 一致"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
obscure,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的
vt. 使变暗, 隐藏, 使变模糊, 使难解"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
facility,"n. 容易, 灵巧, 设备
"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
convention,"n. 大会, 协定, 惯例, 约定
"
ascribe,"vt. 归因于, 归咎于
"
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
imitate,"vt. 模仿, 效法, 冒充, 仿造"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
setback,"n. 挫折, 退步, 逆流"
fabricate,"vt. 制造, 建造, 装配, 伪造"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
candidate,"n. 候选人, 投考者
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
rarely,"adv. 很少地, 罕有地"
arrogant,"a. 自大的, 傲慢的"
harmony,"n. 协调, 和睦, 调和
"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
paradise,"n. 天堂, 乐园, 伊甸园"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
define,"vt. 定义, 规定, 使明确
"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
casualty,"n. 意外事故, 伤亡, 受害者
"
ignition,"n. 点火, 点燃
"
premier,"n. 总理, 首相
a. 首位的, 最初的"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
ponder,"v. 沉思, 考虑"
recipe,"n. 食谱, 处方, 秘诀
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
instruct,"vt. 教, 教育, 命令, 通知
"
authorize,"vt. 授权, 批准, 委托
"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
propel,"vt. 推进, 驱使
"
background,"n. 背景, 背景资料
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
calorie,n. 卡路里（热量单位）
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
artery,"n. 动脉, 干道, 要道
"
internal,"a. 内在的, 国内的
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
hospitality,"n. 款待, 亲切, 殷勤"
spouse,n. 配偶
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
feeble,"a. 微弱的, 衰弱的, 无效的
"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
sponge,"n. 海绵, 海绵状的东西
vt. 用海绵擦拭, 吸收掉, 抹掉
vi. 采集海绵, 海绵般吸收"
poverty,"n. 贫穷, 贫困, 缺乏
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
ensue,"vi. 跟着发生, 继起
vt. 追求"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
repression,"n. 抑制, 压抑, 制止
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
shipment,"n. 装船, 出货
"
mourn,"v. 哀悼, 忧伤, 服丧"
squad,"n. 班, 小队, 小集团
vt. 编成班"
interaction,"n. 交互作用, 交感
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
limp,"n. 跛行
a. 柔软的, 无力的, 软弱的
vi. 跛行"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
biography,n. 传记
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
literacy,"n. 读写能力, 识字, 精通文学"
destiny,"n. 命运, 定数"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
proficiency,"n. 精通, 熟练, 精练"
cellar,"n. 地窖, 地下室, 藏酒"
cancer,"n. 癌, 恶性肿瘤
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
classical,"a. 古典的, 正统派的, 经典的
"
hasty,"a. 匆匆的, 轻率的, 性怠的"
gigantic,"a. 巨人般的, 巨大的"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
priority,"n. 优先权, 优先
"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
enthusiasm,"n. 巨大的热情, 热心"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
nutrition,"n. 营养, 营养学
"
discrimination,"n. 差别, 岐视, 辨别力
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
rivalry,"n. 竞争, 对抗
"
pamphlet,"n. 小册子, 活页文选"
armor,"n. 盔甲, 潜水服, 装甲
vt. 为...装甲"
accumulate,"v. 积聚, 堆积"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
idiom,"n. 习语, 成语, 惯用语法, 方言"
nourish,"vt. 滋养, 使健壮, 怀有"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
complain,"v. 抱怨, 抗议, 控诉"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
booth,"n. 亭, 摊棚
"
innumerable,"a. 无数的, 数不清的"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
propaganda,"n. 宣传, 宣传活动
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
psychiatrist,"n. 精神病医生, 精神病学家
"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
reaction,"n. 反应, 反作用, 反动
"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
hurricane,"n. 飓风, 暴风, 暴风雨"
costume,"n. 装束, 服装"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
circus,"n. 马戏团, 马戏, 竞技场"
embody,"vt. 具体表达, 使具体化
"
foremost,"a. 最初的, 最重要的
adv. 在最前"
staircase,"n. 楼梯, 梯子, 楼梯部分
"
crime,"n. 犯罪, 罪行, 罪恶
"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
ego,"n. 自我
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
conscience,"n. 良心
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
detach,"vt. 使分离, 分遣
"
pastry,"n. 油酥点心, 面粉糕饼"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
endow,"vt. 捐赠, 捐助, 赋予
"
pumpkin,n. 南瓜
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
idiot,"n. 白痴, 极蠢之人
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
muddy,"a. 泥泞的, 浑浊的, 模糊的
vt. 使污浊, 使沾上泥污"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
standpoint,"n. 立场, 观点"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
inclusive,"a. 包含的, 包括的"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
statesman,n. 政治家
statement,"n. 陈述, 指令, 声明
"
predict,"v. 预知, 预言, 预报"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
status,"n. 状态, 情形, 地位, 要人身份
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
proof,"n. 证据, 证明, 试验, 检验, 考验
a. 不能透入的, 证明用的, 防...的, 耐...的
vt. 检验, 试验, 校对, 使不被穿透
"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
contribution,"n. 捐助, 捐助之物, 贡献
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
distribute,"vt. 分配, 散布, 分发
"
census,"n. 户口普查
vt. 实施统计调查"
depend,"vi. 靠, 视...而定, 信赖"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
option,"n. 选择权, 挑选, 选项
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
expense,"n. 费用, 代价, 开支, 损失
"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
agreeable,"a. 令人愉快的, 同意的
"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
community,"n. 社区, 公众, 共有, 共同体
"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
bamboo,"n. 竹子
"
patron,"n. 赞助人, 顾客, 保护人
"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
desirable,"a. 令人想望的, 可取的"
rash,"a. 轻率的, 匆忙的, 鲁莽的
n. 皮疹"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
defect,"n. 缺点
"
dispatch,"vt. 派遣
n. 派遣, 急件
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
aspiration,"n. 热望, 志向, 渴望
"
drawback,"n. 缺点, 退税
"
fiction,"n. 小说, 虚构故事
"
cute,"a. 可爱的, 聪明的, 伶俐的
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
relate,"vt. 讲, 叙述, 使互相关联
vi. 有关, 符合, 相处得好"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
efficient,"a. 有效率的, 能干的"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
excursion,"n. 远足, 游览圆, 短程旅行
"
confidence,"n. 信心
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
entrepreneur,"n. 企业家, 主办人
"
religion,"n. 宗教, 信仰
"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
extraordinary,"a. 非常的, 特别的, 非凡的
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
concise,"a. 简洁的, 简明的"
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
strategy,"n. 战略, 策略
"
streak,"n. 条理, 斑纹, 倾向
vt. 加条纹
vi. 变成条纹, 飞跑"
denounce,"vt. 告发, 抨击, 谴责
"
physics,"n. 物理学, 物理过程, 物理现象
"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
facet,"n. (多面体的)面, 方面, 琢面
"
distinguish,"v. 区别, 辨别"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
apparatus,"n. 装置, 器具, 器官
"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
introduce,"vt. 介绍, 引入, 采用, 输入
"
critic,"n. 批评家, 鉴定家"
avoid,"vt. 避免, 防止, 撤消
"
bull,"n. 公牛
"
complicated,"a. 复杂的
"
rival,"n. 对手, 竞争者
a. 竞争的"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
deadline,"n. 最后期限, 截止期限
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
grope,"v. 摸索
n. 摸索"
locality,"n. 地方, 所在, 位置
"
discreet,"a. 小心的, 慎重的"
applaud,"v. 拍手喝彩, 称赞, 赞同"
clan,"n. 氏族, 宗族, 集团
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
immigrant,"n. 移民
a. 移入的, 移民的"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
ascertain,"vt. 确定, 查明
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
audience,"n. 听众, 观众, 读者
"
input,"n. 输入, 输入电路
vt. 输入
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
axis,"n. 轴
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
discern,"v. 辨别, 看清楚, 了解"
lane,"n. 小路, 巷, 弄, 单行道"
practicable,"a. 可实行的, 可做的, 可用的"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
analyze,"vt. 分析, 细察, 分解
"
feasible,"a. 能实行的, 可行的, 适宜的
"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
