lawyer,"n. 律师
"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
backwards,adv. 向后
ivy,"n. 常春藤
a. 学院的, 抽象的"
vine,"n. 藤本植物, 葡萄, 藤, 蔓
vi. 形成藤蔓"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
fetch,"n. 取得, 拿, 诡计, 魂
vt. 接来, 取来, 售得, 带来, 推出, 引出, 杀死, 吸引, 到达
vi. 取物, 前进
"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
disbelief,"n. 不信, 怀疑"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
crime,"n. 犯罪, 罪行, 罪恶
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
janitor,"n. 守卫, 门警, 管理人
"
clothing,n. 衣服
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
frozen,"a. 冻结的, 冰冷的, 严寒的, 冻伤的, 冷酷的
freeze的过去分词"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
downy,"a. 绒毛的, 柔和的, 有草丘陵地的"
flake,"n. 小薄片, 扁薄的一层, 火星, 晒鱼架子
vt. 使成薄片
vi. 剥落"
daffodil,"n. 水仙花
a. 水仙花色的"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
vale,"n. 谷, 溪谷, 告别
interj. 再见"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
continuous,"a. 连续的, 继续的, 连续不断的
"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
stretch,"n. 伸展, 张开, 连绵, 一段路, 一段时间
a. 可伸缩的, 弹性的
vt. 伸展, 张开, 曲解, 使过度伸展
vi. 伸展, 延伸
"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
sprightly,"a. 活泼的, 愉快的
adv. 活泼地, 愉快地"
wave,"n. 波, 波浪, 波动, 起伏, 高潮, 潮涌, 挥手致意, (气压)突变
vi. 波动, 飘动, 挥手示意, 起伏
vt. 使波动, 使飘扬, 挥舞, 使成波浪形"
sparkling,"a. 闪闪发光的, 闪烁的, 闪烁着才华的"
glee,"n. 欢乐, 高兴"
poet,n. 诗人
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
jocund,"a. 欢乐的, 高兴的"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
oft,"adv. 常常, 再三"
couch,"n. 长沙发, 睡椅, 卧榻
vt. 横躺, 表达
vi. 躺下, 蹲伏"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
pensive,"a. 沉思的, 哀思的, 忧郁的"
inward,"a. 内心的, 向内的, 本来的
"
bliss,"n. 福佑, 天赐的福
"
solitude,"n. 孤独, 单独, 孤寂"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
recollection,"n. 记忆, 回想, 回忆"
desperation,n. 绝望
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
preservation,"n. 保存, 保藏, 保护
"
drown,"vi. 淹死
vt. 把...淹死, 淹没"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
chest,"n. 胸, 胸部, 衣柜, 箱子
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
weapon,"n. 武器, 兵器
vt. 武装"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
evidently,"adv. 明显地, 根据现有证据来看"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
polished,"a. 擦亮的, 优雅的, 精良的"
construction,"n. 建筑, 构造, 建筑物
"
daybreak,n. 黎明
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
continuation,"n. 继续, 续集, 补编
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
seaman,"n. 船员, 海员, 水兵
"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
take ... for granted, 信以为然
emotional,"a. 情绪的, 情感的
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
forgive,"vt. 原谅, 宽恕, 免除
"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
handkerchief,"n. 手帕, 头巾, 围巾"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
biology,"n. 生物学
"
capability,"n. 能力, 性能, 约束力
"
marathon,"n. 马拉松, 耐力的考验"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
infer,"vt. 推论出, 推断
vi. 作推论"
calculate,"v. 计算, 预测, 计划, 打算"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
athletics,n. 体育运动
innovate,"vi. 改革, 创新"
betterment,"n. 改进, 改善, (不动产)增值
"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
resilience,"n. 弹回, 有弹力, 恢复力
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
doping,
clone,"n. 无性系
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
gene,"n. 基因
"
artificially,"adv. 人工地, 人为地, 不自然地"
barrier,"n. 障碍, 栅栏
"
identical,"a. 同一的, 恒等的, 完全相同的
"
twin,"n. 双胞胎中一人, 一对非常相像的人(或物)中的一个
a. 双胞胎的, 成对的, 孪生的
vi. 生双胞胎, 成对
vt. 怀(双胞胎), 使成对"
mammal,"n. 哺乳动物
"
camel,"n. 骆驼, 打捞浮筒"
cattle,"n. 牛, 家畜
"
goat,"n. 山羊, 替罪羊, 色鬼"
forever,adv. 永远
primate,"n. 大主教, 灵长目动物
"
ape,"n. 无尾猿
"
comparison,"n. 比较, 对照, 比喻
"
reproductive,"a. 生殖的, 再生的, 复制的
"
wholly,"adv. 完全地, 整个, 统统, 全部
"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
accurate,"a. 正确的, 精确的
"
treatment,"n. 治疗, 待遇, 处理
"
provoke,"vt. 激怒, 惹起, 诱导
"
emotion,"n. 情绪, 激动, 强烈的情感
"
crucial,"a. 决定性的, 重要的, 严厉的
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
mere,"n. 小湖, 池塘
a. 仅仅的, 只不过的"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
blessing,n. 祝福
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
atom,"n. 原子, 核能, 微粒, 微量
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
locate,"vt. 找出, 设于, 位于
vi. 定居"
crossword,"n. 纵横填字游戏, 纵横填字字谜
"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
junk food,"n. 垃圾食品, 无营养食品"
intake,"n. 入口, 吸入, 吸入量
"
omega,"n. 希腊字母的最后一个字, 终了, 最后
"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
virus,"n. 病毒, 滤过性病毒, 毒害
"
variation,"n. 变更, 变化, 变种, 变奏
"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
bacteria,"pl. 细菌
"
officially,"adv. 作为公务员, 职务上, 官方地"
classify,"vt. 分类, 归类, 分等
"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
baseline,"n. 基线, 基准
"
opposed,"a. 反对的, 敌对的, 对抗的, 相对的
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
classification,"n. 分类, 分级
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
depressing,"a. 抑压的, 沉闷的, 阴沉的"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
CE,na. 构成抽象名词
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
symptom,"n. 症状, 征候, 征兆
"
bury,"vt. 埋葬, 埋藏"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
lung,"n. 肺, 肺脏, 空地
"
steadily,"adv. 稳定地, 无变化地, 有规则地"
outbreak,"n. 爆发, 暴动
"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
actual,"a. 真实的, 实际的, 现行的
"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
thorough,"a. 十分的, 彻底的"
systematic,"a. 有系统的, 分类上的, 体系的
"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
corresponding,"a. 相当的, 一致的, 通信的
"
differ,"vi. 不一致, 不同
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
symbolically,adv. 象征性地
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
database,"n. 数据库
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
victim,"n. 受害人, 牺牲者, 牺牲品
"
astronomer,n. 天文学家
