irrational,"n. 无理数
a. 无理性的, 不合理的"
domain,"n. 领域, 领土, 产业, 范围
"
fickle,"a. 变幻无常的, 浮燥的, 薄情的"
prototype,"n. 原型
"
paragon,"n. 杰出典范, 完人, 完美之物"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
perilous,"a. 危险的, 濒临毁灭的"
dangerous,"a. 危险的
"
precarious,"a. 不稳定的, 不安的, 危险的"
anathema,"n. 令人厌恶的人, 强烈的遣责, 诅咒, 咒逐, 革出教门"
petty,"a. 琐碎的, 小规模的, 小气的, 委琐的
"
cede,"vt. 割让
"
furtive,"a. 秘密的, 隐密的, 偷偷摸摸的"
secretive,"a. 秘密的, 偷偷摸摸的, 分泌的, 促进分泌的"
surreptitious,"a. 秘密的, 暗中的, 偷偷摸摸的
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
energetic,"a. 精力充沛的, 积极的"
disproportionate,a. 不成比例的
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
moribund,"a. 垂死的
n. 垂死的人"
demanding,"a. 要求高的, 费力的"
nothing if not,极其
churn sth. out,"na. “churn”的变体
"
gambit,"n. 以取得优势的开局棋法, 开场白, 话题"
stave sth. off,"避开, 挡开, 延迟"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
cinch,"n. 肚带, 紧握, 必然(发生)的事情
vt. 给...系肚带, 紧握住, 抓牢"
contented,"a. 满足的, 心安的"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
rehash,"vt. 重讲, 改头换面地重复
n. 改头换面的作品"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
trait,"n. 特征, 特性, 一笔, 少许"
autonomy,"n. 自治, 自治权
"
autonomous,"a. 自治的
"
undue,"a. 不适当的, 过度的, 未到期的
"
excessive,"a. 过度的, 过多的, 极端的
"
jubilant,"a. 欢呼的, 喜洋洋的"
personage,"n. 重要人士, 显要, 名士, 人物, 角色"
motley,"a. 杂色的, 穿杂色衣的, 杂乱的, 混杂的
n. 杂色, 杂色衣服, 混杂, 小丑"
headway,"n. 前进, 航行速度, 进展
"
effusive,"a. 感情横溢的, 奔放的, 流出的"
emotional,"a. 情绪的, 情感的
"
pellucid,"a. 透明的, 澄清的, 明了的
"
limpid,"a. 清澈的, 透明的, 平静的"
rapacious,"a. 强夺的, 贪欲的, 贪婪的"
avaricious,a. 贪婪的
rapacity,"n. 抢夺, 贪欲, 贪婪
"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
intrinsic,"a. 本质的, 原有的, 真正的
"
paragon,"n. 杰出典范, 完人, 完美之物"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
prototype,"n. 原型
"
delineate,"vt. 描绘...的轮廓, 描绘, 描写"
embargo,"n. 封港令, 禁运
vt. 禁止出入港口, 禁运"
ploy,"n. 手段, 活动, 玩乐"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
machination,"n. 阴谋, 图谋, 策划
"
efficacious,"a. 有效的, 灵验的"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
presentation,"n. 赠与, 描述, 介绍
"
promulgate,"vt. 发布, 公布, 发表, 传播
"
spike,"n. 长钉, 鞋钉, 钉状物, 尖峰状物, 穗
vt. 以大钉钉牢, 用尖物刺穿, 阻止, 弃置不用
"
upsurge,"vi. 高涨, 涌起
n. 增长, 高潮"
gall,"n. 胆汁, 五倍子, 苦味, 肿痛, 恼怒, 磨损处
vt. 烦恼, 屈辱, 磨伤
vi. 被磨伤"
rankle,"vi. 化脓, 怨恨
vt. 使怨恨"
galling,"a. 擦伤人的, 擦痛人的, 使烦恼的, 使焦躁的, 难堪的
"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
seclusion,"n. 隔离, 隐退"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
conspicuous,"a. 显著的, 显眼的, 出众的"
obtrusive,"a. 强迫人的, 冒失的, 莽撞的, 伸出的"
marked,"a. 有记号的, 显著的, 醒目的
"
salient,"a. 显著的, 突出的, 跳跃的
n. 凸角, 突出部分"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
pass,"n. 经过, 要隘, 途径, 通行, 护照, 及格
vt. 经过, 越过, 通过, 批准, 度过, 传递, 忽略
vi. 经过, 变化, 流通, 及格, 宣判, 终止, 消逝, 被忽略, 不叫牌, 传递
"
chaos,"n. 大混乱, 混沌
"
chaotic,"a. 混乱的, 无秩序的
"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
counteract,"vt. 抵消, 阻碍, 中和
"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
glut,"n. 大量, 供过于求
vt. 使充满, 使吃饱, 过多供应
vi. 吃得过多, 狼吞虎咽"
surfeit,"n. 过食, 过度, 恶心
vt. 使厌腻, 使沉溺于
vi. 饮食过度"
plethora,"n. 过多, 过剩, 多血症
"
deadpan,n. 无表情的脸
ethereal,"a. 轻的, 飘渺的, 天上的
"
fury,"n. 愤怒, 狂暴, 狂怒的人
"
lethargy,"n. 昏睡, 瞌睡, 无力气
"
lethargic,"a. 昏睡的, 无生气的, 泠漠的, 冷淡的
"
indolent,"a. 懒惰的, 无痛的
"
somnolent,"a. 想睡的, 催眠的
"
infelicity,"n. 不幸, 不适当"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
immutable,"a. 不可变的, 不变的, 不能变的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
mutable,"a. 易变的, 性情不定的"
cajole,"vt. 以甜言蜜语哄骗, 勾引"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
demur,"vi. 提出异议, 反对, 抗辩
n. 异议, 反对"
nettlesome,"a. 令人激恼的, 烦人的, 易怒的"
haunted,"a. 常出现鬼的, 闹鬼的"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
triviality,"n. 琐事, 平凡, 浅薄"
trivia,n. 琐事
prune,"n. 洋李, 李子干, 深紫红色, 傻瓜
vt. 修剪, 砍掉, 删除
vi. 删除, 删节"
now that,"既然..., 由于..."
die hard,"(旧习惯等)难改掉, 顽固"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
aesthetic,"a. 美学的, 审美的, 有美感的"
aesthetics,n. 美学
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
to one's credit,"入某人帐户的贷方, 为某人带来荣誉"
credible,"a. 可信的, 可靠的
"
credibility,"n. 可信用, 确实性, 可靠
"
incredible,a. 难以置信的
implausible,"a. 难以置信的, 不象真实的"
credulous,"a. 轻信的, 易受骗的"
trusting,"a. 轻信的, 信任他人的, 深信不疑的"
credulity,"n. 易信, 轻信"
incredulous,"a. 怀疑的, 不轻信的"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
credential,"n. 国书, 凭据, 证明书
"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
preoccupy,"vt. 抢先占领, 使全神贯注"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
eclecticism,"n. 折衷派, 折衷主义, 折衷说
"
artless,"a. 无虚饰的, 单纯的, 自然的"
embody,"vt. 具体表达, 使具体化
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
progression,"n. 前进, 连续, 级数
"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
evoke,"vt. 唤起, 引起, 召(魂)
"
evocative,"a. 唤出...的, 唤起...的"
standstill,"n. 停止, 停顿
"
ministration,"n. 牧师执职, 服侍, 援助"
hoax,"vt. 欺骗, 哄骗, 愚弄
n. 愚弄人, 恶作剧"
augment,"v. 增加, 增长
"
enhance,"vt. 提高, 加强, 增加"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
interchangeable,"a. 可互换的
"
congruent,"a. 适合的, 一致的, 合谐的, 全等的"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
incongruous,"a. 不协调的, 不一致的, 不合适的"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
apathy,"n. 无感情, 无兴趣, 冷漠
"
apathetic,"a. 缺乏感情的, 无动于衷的, 缺乏兴趣的
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
languish,"vi. 憔悴, 凋萎, 苦思"
subsequently,"adv. 后来, 随后"
shore up,"v. 用支柱撑住
"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
fictitious,"a. 假想的, 编造的, 虚伪的
"
fictionalize,"vt. 把...编成小说, 使小说化"
potency,"n. 力量, 权力, 效力
"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
testimony,"n. 证言, 证据, 声明
"
squelch,"n. 嘎吱声, 压碎的一堆, 使对手哑口无言的话
vt. 压碎, 镇压, 使咯吱咯吱响
vi. 咯吱咯吱响, 涉水而过
"
buoy,"n. 浮标, 航标, 救生圈
vt. 使浮起, 鼓励"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
catchy,"a. 易记住的, 欺骗性的, 不规则发生的"
authentic,"a. 可靠的, 可信的, 真正的
"
authenticate,"vt. 证明可信, 证实为真, 使具法律效力
"
panoply,"n. 全套披甲, 全幅盔甲, 华服美饰"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
malady,"n. 病, 疾病, 弊病
"
acerbic,"a. 酸的, 尖刻的"
cutting,"n. 切断, 切下, 路堑
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
accentuate,"vt. 以重音念, 强调, 重读"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflective,"a. 反射的, 反映的, 沉思的"
introspective,"a. 内省的
"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
reflectivity,"n. 反射率
"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
tenacity,"n. 固执, 不屈不挠, 顽固, 黏性, 韧性
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
arousal,"n. 奋发, 激励"
untenable,"a. 不能防守的, 不能维持的, 支持不住的, (主张等)站不住脚的"
baseless,a. 无根据的
unsustainable,"a. 无法支撑的, 不能忍受的, 不可证实的
"
unjustified,"[计] 未经调整的, 未对齐的"
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
"
cherish,"vt. 珍爱, 怀有, 爱护"
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
episodic,a. 插曲似的
stump,"n. 残株, 树桩, 烟蒂, 讲演台
vt. 砍断, 挑战, 难住
vi. 蹒跚而走"
virtuosity,"n. 精湛技巧, 对古董等的爱好"
unfeeling,"a. 无感觉的, 无情的, 冷酷的"
equable,"a. 平静的, 变动小的"
individualism,"n. 个人主义, 个人特征
"
unalloyed,"a. 未搀杂的, 纯粹的, 非合金的"
unqualified,"a. 不合格的, 无资格的, 不胜任的
"
zealot,"n. 热心者, 狂热者, 犹太教狂热信徒
"
extremist,[经] 偏激份子
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
replace,"vt. 代替, 替换, 放回, 归还
"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
cronyism,n. 任人唯亲
nepotism,"n. 偏袒亲属, 起用亲戚"
shun,"vt. 避开, 规避, 避免"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
divisive,"a. 区分的, 制造分裂的, 造成不和的"
blunt,"a. 钝的, 坦率的, 麻痹的"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
incontrovertible,"a. 无争论余地的, 无疑的, 明白的
"
trope,"n. 转义, 比喻"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
realization,"n. 实现, 领悟, 实得
"
dearth,"n. 缺乏, 粮食不足, 饥馑"
paucity,"n. 少数, 少量, 缺乏"
modicum,n. 少量
bear out,"na. 证明
"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
permeable,"a. 有渗透性的, 能透过的
"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
unbounded,"a. 无边的, 无限的, 无节制的"
foretell,"vt. 预言, 预告, 预示"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
foresee,"vt. 预见, 预知"
predict,"v. 预知, 预言, 预报"
prefigure,"vt. 预示, 预见, 预想"
prescient,"a. 预知的, 有先见之明的"
prophetic,"a. 预言的, 先知的, 预示的"
compel,"vt. 强迫, 迫使"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
crucial,"a. 决定性的, 重要的, 严厉的
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
impede,"vt. 妨碍, 阻碍, 阻止"
ponder,"v. 沉思, 考虑"
unexampled,"a. 无前例的, 无可比拟的"
unsullied,"a. 无污点的, 清白的"
cogent,"a. 使人首肯的, 使人信服的, 中肯切题的
"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
stratify,"vt. (使)成层
"
stratification,"n. 层化, 阶层的形成, 成层
"
excoriate,"vt. 剥皮, 擦破皮肤, 严厉的责难"
vitality,"n. 活力, 生命力
"
dynamism,"n. 物力论, 力本说
"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
antagonistic,"a. 对抗的, 敌对的
"
adversarial,"a. 敌手的,对手的,对抗(性)的"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
antagonist,"n. 敌手, 对手
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
prefigure,"vt. 预示, 预见, 预想"
commend,"vt. 嘉奖, 委托给, 推荐"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
laud,"n. 赞美, 称赞
vt. 赞美, 称赞"
commendation,"n. 赞赏, 嘉奖, 推荐"
ramshackle,"a. 象要倒的, 摇晃的, 放荡的"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
controversial,"a. 争论的, 论争的, 被议论的"
stimulating,"a. 刺激的, 有刺激性的"
provocation,"n. 激怒, 刺激, 挑拨
"
artificial,"a. 人造的, 假的, 非原地产的
"
spurious,"a. 假造的, 伪造的, 欺骗的
"
artifact,"n. 人工制品
"
patriotic,"a. 爱国的, 有爱国心的
"
patriotism,"n. 爱国心, 爱国精神, 爱国主义"
indebted,"a. 负债的, 受惠的
"
resilient,"a. 弹回的, 有弹力的
"
pronounced,"a. 发出音的, 读出来的, 显著的, 断然的, 明显的
"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
embellish,"vt. 修饰, 装饰, 润色"
blemish,"n. 污点, 缺点
vt. 弄脏, 玷污, 损害"
unblemished,"a. 无瑕疵的, 无缺点的, 无污点的, 清白的"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
thought-provoking, 发人深省的
gadfly,"n. 形似苍蝇, 牛虻, 讨厌的人
"
liberalization,"n. 自由主义化, 宽大
"
apropos,"a. 适当的, 恰好的
adv. 适当地, 恰好地"
personable,"a. 风度好的, 讨人喜欢的, 具有行为能力的"
dissemble,"v. 掩饰, 假装不知道"
dissemblance,n. 伪装；虚饰
anthropogenic,"[医] 人类发生的, 人类起源的"
narcissistic,"a. 自我陶醉的, 自恋的
"
by and large,"大体上, 基本上"
jarring,"a. 辗轧的, 刺耳的, 不和谐的
n. 辗轧声, 震动, 冲突"
antithesis,"n. 对偶, 对照, 对立面"
antithetical,"a. 对立的, 正相反的"
oppositional,"a. 反对的, 对抗的"
stupefaction,"n. 麻醉, 昏睡, 昏迷"
derogation,"n. 毁损, 减损, 堕落
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
nimble,"a. 敏捷的, 伶俐的, 聪明的"
eschew,"vt. 避开, 远避"
grimy,"a. 污秽的, 肮脏的"
murky,"a. 黝暗的, 阴沉的, 朦胧的"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fanciful,"a. 奇怪的, 稀奇的, 想像的"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
pecuniary,"a. 金钱的, 金钱方面的, 课罚款的
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
economic,"a. 经济上的, 实用的, 节省的
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
predominant,"a. 占主导地位的, 卓越的
"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
admittedly,"adv. 公认地, 诚然"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
impressive,"a. 给人深刻印象的, 威严的"
spotty,"a. 有斑点的, 有污点的, 质量不一的, 发疹的"
transcend,"vt. 超越, 胜过"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
seethe,"vi. 冒泡, 沸腾
vt. 使煮沸, 使浸透
n. 翻腾"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
accentuate,"vt. 以重音念, 强调, 重读"
propitious,"a. 顺利的, 适合的, 吉祥的, 慈悲的"
knotty,"a. 有结的, 多节的, 多瘤的, 棘手的"
complicated,"a. 复杂的
"
