harpoon,"n. 鱼叉
vt. 用鱼叉叉, 用鱼叉捕获"
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
ponder,"v. 沉思, 考虑"
collaboration,"n. 合作, 勾结
"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
"
intercommunion,"n. 相互交往, 互相来往, 交流, 各教派共同举行的圣餐
"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
meditation,"n. 沉思, 冥想"
isolated,"a. 孤立的, 孤零零的
"
daunting,a. 使人畏缩的
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
real-estate,"不动产
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
millennial,"a. 一千年的, 千福年的"
affordability,n. 支付能力；负担能力；可购性
embarrassing,"a. 令人为难的, 麻烦的"
cutoff,"n. 近路, 切断, 捷径, 切掉, 中止
"
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
"
accumulate,"v. 积聚, 堆积"
strategist,n. 战略家
fiscally,"adv. 在国库方面, 财政上, 在国库岁入方面"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
stigma,"n. 耻辱, 污名, 烙印
"
necessitate,"vt. 迫使, 使成为必需, 需要"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
windfarm,"n. 风力发电场
"
dual fuel,双燃料
subsidy,"n. 补助金, 津贴
"
carbon target,无
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
predict,"v. 预知, 预言, 预报"
calculate,"v. 计算, 预测, 计划, 打算"
gadget,"n. 小配件, 小玩意, 诡计"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
appliance,"n. 器械, 用具, 应用
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
online fraud, 网络诈骗
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
gullible,"a. 易受骗的
"
deceive,"v. 欺骗, 行骗"
antivirus,"n. 抗病毒素
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
fall prey to,[网络] 成为……的牺牲品；深受…之害；受害
hacker,"[计] 计算机窃贼, 计算机新技术挑战者, 黑客"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
knowledgeable,"a. 聪明的, 有知识的"
heed,"n. 注意, 留心
v. 注意, 留心"
database,"n. 数据库
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
indict,"vt. 起诉, 控告, 指控
"
negligent,"a. 疏忽的, 粗心的, 不在意的"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
siblings,"n. 兄弟, 姐妹( sibling的复数形式 )"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
conservative,"a. 保守的, 守旧的, 有保存力的
"
leap to,[网络] 跃居
psychiatry,"n. 精神病学, 精神病治疗
"
overwhelming,"a. 压倒性的, 无法抵抗的"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
spanking,"a. 清爽的, 疾行的, 强烈的
adv. 显著地
n. 拍击, 打屁股"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
turnover,"n. 翻倒, 翻转, 半圆酥饼, 营业额, 流通, 周转
a. 可翻转的"
ouster,"n. 驱逐, 撵走, 剥夺
"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
unscrupulous,"a. 无道德原则的, 不审慎的, 肆无忌惮的"
unscathed,"a. 没有受伤的, 未受损伤的"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
misconduct,"vt. 办错, 使行为不端
n. 办错, 渎职, 通奸"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
snapshot,"n. 快照, 抽点打印
"
dial,"n. 刻度盘, 钟面, 转盘
v. 拨"
headset,"n. (一副)耳机
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
tensor,"n. 张肌, 张量
"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
selective,"a. 选择的, 选择性的
"
deceive,"v. 欺骗, 行骗"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
recharge,"vt. 再充电, 再装填, 再控告, 再袭击
vi. 再袭击
n. 再袭击, 再装填"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
reallocate,[经] 重新分派
utilize,vt. 利用
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
obsession,"n. 困扰, 困扰人的情绪
"
artificial,"a. 人造的, 假的, 非原地产的
"
existential,a. 有关存在的
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
cite,"vt. 引用, 引证, 表彰
"
antisocial,"不爱社交的, 反社会的, 有害于公众利益的
"
manufacturer,"n. 制造业者, 厂商
"
augmented reality,"n. 增强现实
"
virtual reality,n. [计]虚拟现实
marathon,"n. 马拉松, 耐力的考验"
contempt,"n. 轻视, 轻蔑
"
critics,n. 评论家；批评者；吹毛求疵的人（critic的复数）
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
enlightenment,"n. 启迪, 教化"
foundation,"n. 基础, 根据, 建立
"
humility,"n. 谦逊, 谦虚, 谦卑"
resentment,"n. 怨恨, 愤恨"
egoistic,"a. 自我中心的, 自私自利的"
loathe,"vt. 厌恶, 憎恶"
opposition,"n. 反对, 敌对, 相反, 在野党
"
parliament,"n. 国会, 议会
"
essentially,"adv. 本质上, 本来"
domestic,"a. 家庭的, 国内的, 驯养的
"
legislation,"n. 立法, 法律
"
investigation,"n. 调查, 审查
"
terrorist,"n. 恐怖分子
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
notoriously,"adv. 臭名昭著的, 声名狼藉的"
remind,"vt. 提醒, 使想起"
demonstrate,"vt. 示范, 证明
vi. 示威"
mathematician,n. 数学家
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
awesome,"a. 引起敬畏的, 可怕的"
coax,"vt. 哄, 诱骗, 耐心地摆弄
vi. 哄骗
"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
mitigate,"vt. 温和, 缓和, 减轻
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
judgment,"n. 裁判, 宣告, 判决书
"
preference,"n. 偏爱, 优先, 喜爱物
"
overwhelming,"a. 压倒性的, 无法抵抗的"
rating,"n. 等级, 额定功率, 责骂
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
breakthrough,"n. 突破
"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
flexibility,"n. 弹性, 适应性
"
adaptability,"n. 适应性
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
feasible,"a. 能实行的, 可行的, 适宜的
"
monotony,"n. 单调, 缺乏变化"
attractive,"a. 吸引人的, 有魅力的
"
commodity,"n. 农产品, 商品, 有用的物品
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
historically,adv. 历史上地；从历史观点上说
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
collaboration,"n. 合作, 勾结
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
monastic,"a. 修道院的, 僧尼的, 寺院的, 庙宇的, 禁欲生活的
n. 修道士"
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
caretaker,"n. 照顾者, 看管者, 看守人
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
suggestion,"n. 提议, 意见
"
circulation,"n. 流通, 循环, 发行量
"
indoor,"a. 户内的, 室内的"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
cash,"n. 现金
vt. 兑现"
customer,"n. 消费者
"
institution,"n. 机构, 惯例, 制度
"
cyclist,n. 骑脚踏车的人
motor vehicle,[化] 机动车辆
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
consumption,"n. 消费, 消费量, 痨病
"
mankind,"n. 人类, 男性"
deteriorate,v. (使)恶化
frequently,"adv. 频繁, 经常地"
reasonable,"a. 合理的, 明理的, 适当的
"
ceaselessly,"adv. 不停地, 不断地"
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
hands-on,实习的；亲自动手的
crucial,"a. 决定性的, 重要的, 严厉的
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
attentive,"a. 注意的, 留心的"
cupcake,n. 杯形蛋糕
rational,"a. 理性的, 合理的
n. 有理数"
upbringing,n. 教养
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
suicidal,"a. 自杀的, 自杀性的, 自我毁灭的
"
traumatized,v. 使受精神创伤( traumatize的过去式和过去分词 ); 使受外伤
neuroscience,n. 神经系统科学( 指神经病学、 神经化学等)
trauma,"n. 外伤, 损伤
"
toxic,"a. 有毒的, 中毒的
"
provocation,"n. 激怒, 刺激, 挑拨
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
suspension,"n. 悬挂, 暂停, 中止
"
early shift, 早班
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
emblem,"n. 象征, 徽章, 符号
vt. 用象征表示"
competitiveness,[经] 竞争
restructuring,[计] 重构的
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
recognise,"vt. 认识, 辩认, 认出, 承认, 认可, 清楚地认识到, 自认, 公认, 赏识, 准许某人发言"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
badge,"n. 徽章, 标记
"
medieval,"a. 中古的, 中世纪的"
craftsman,"n. 工匠, 技工, 手艺人"
distinguish,"v. 区别, 辨别"
authenticity,"n. 可靠性, 真实性
"
consultant,"n. 顾问, 征询意见者
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
well-grounded, 炳炳凿凿
underlying,"a. 在下面的
"
as opposed to,"完全不同, 截然相反, 反对, 对照"
wary,"a. 谨慎的, 小心的, 机警的, 周到的, 唯恐的"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
quadriplegic,"n. 四肢瘫痪者
a. 四肢瘫痪的"
detect,"vt. 发现, 察觉, 探测
"
appropriately,"adv. 适当的, 恰如其分的, 恰当的, 合适的"
remotely,"adv. 极小地, 极细微地"
tricky,"a. 狡猾的, 机敏的"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
mood,"n. 心情, 气氛, 生气, 基调
"
dividend,"n. 被除数, 股利
"
investigate,"v. 调查, 审查"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
pile up,"堆积, 积累, 搁浅, 撞毁"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
interaction,"n. 交互作用, 交感
"
accomplishment,"n. 成就, 完成"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
sign up,"签约参加工作, 签约雇用"
divest,"vt. 使摆脱, 使脱去, 夺去
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
throw one's weight behind,支持
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
complain,"v. 抱怨, 抗议, 控诉"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
demonstrate,"vt. 示范, 证明
vi. 示威"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
public transport,"n. 公共交通, 公共交通工具, 公交车辆"
tuition fee,n. 学费，（某一学科的）教学
sufficient,"a. 充分的, 足够的
"
consider,"v. 考虑, 思考, 认为"
pay with phone,无
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
cashier,"n. 出纳员
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
traceable,"a. 可追踪的, 可描绘的
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
temporarily,"adv. 暂时, 一时, 临时"
illustration,"n. 例证, 插图
"
lose sight of,"不再看见, 忽略, 忘记"
frequently,"adv. 频繁, 经常地"
troublemaker,n. 惹麻烦的人
dole out,"na. 少量地分给；发放
"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
sociologist,"n. 社会学家
"
inmate,"n. 同住者, 被收容者
"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
psychiatric,"a. 精神病学的, 医精神病的
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
ex-con,[网络] 有前科者；以前的罪犯；前科犯
trajectory,"n. 轨道, 弹道, 轨线
"
qualification,"n. 资格, 条件, 限制
"
knack,"n. 熟练技术, 巧妙手法, 诀窍
"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
victimization,"n. 牺牲, 欺骗"
pejorative,"a. 贬损的, 轻蔑的
n. 轻蔑语, 贬义词"
derision,n. 嘲笑
arbitrarily,"adv. 任意地, 武断地, 专横地, 反复无常地"
redound,"vi. 被累加, 有助于, 报偿
"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
integration,"n. 综合, 与环境协调的行为, 集成
"
low-skilled, 低技能
compete,"vi. 竞争, 对抗"
plentiful,"a. 许多的, 丰富的, 丰饶的"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
capacity,"n. 容量, 能力, 才能, 资格
"
compassion,"n. 同情, 怜悯"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
ethical,"a. 伦理的, 民族的, 民族特有的
"
appraisal,"n. 评价, 估价
"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
gaze,"n. 注视, 凝视
vi. 注视, 凝视"
be tricked into believing,无
corridor,"n. 走廊, 回廊, 人口密集地带"
complicated,"a. 复杂的
"
prediction,"n. 预言, 预报
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
celebratory,"a. 快乐的, 兴高采烈的"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
equally,"adv. 相等地, 同样地, 平等地"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
protein,"n. 蛋白质
a. 蛋白质的"
thaw,"n. 融解, 融化, 解冻时期
vt. 使融解, 使缓和
vi. 融化, 解冻"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
status,"n. 状态, 情形, 地位, 要人身份
"
respondent,"a. 回答的, 应答的, 反射的
n. 应答者, 被告"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
capacity,"n. 容量, 能力, 才能, 资格
"
cultivate,"vt. 培养, 耕作"
aptitude,"n. 资质, 才能, 自然倾向
"
implicitly,"adv. 含蓄, 不言明, 暗示, 暗指, 内含, 固有, 无疑, 绝对, 无保留
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
internship,"n. 实习医师的职务
"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
favorable,"a. 有利的, 赞许的, 良好的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
promising,"a. 有希望的, 前途有望的
"
without any reservation,无
shortcut,"n. 捷径, 最短路线
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
inner world,精神世界
resort to,"诉诸于, 采取
"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
experimentation,"n. 实验, 试验, 实验法
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
critique,"n. 评论文章, 评论"
anonymity,"n. 匿名, 姓氏不明
"
publicly,"adv. 公然地, 以公众名义"
flagship,n. 旗舰
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
oath,"n. 誓约, 誓言, 咒骂
"
editor-in-chief,n. 主编，总编辑
guidance,"n. 指导, 领导
"
obesity,"n. 肥胖
"
gastrointestinal,"a. 胃肠的, 肠胃的
"
autism,"n. 孤独症
"
herbicide,"n. 除草剂
"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
spectrum,"n. 光谱, 范围, 系列
"
accountability,"n. 负有责任, 可说明性
"
marginalize,"vt.使处于社会边缘,使脱离社会发展进程, 忽视,排斥"
organism,"n. 生物, 有机体, 社会组织
"
beverage,"n. 饮料
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
discontent,n. 不满
funding,[经] 债务转期
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
resumption,"n. 取回, 恢复, 再开始
"
negotiation,"n. 谈判, 磋商, 交涉
"
unsustainable,"a. 无法支撑的, 不能忍受的, 不可证实的
"
workload,"n. 工作量
"
collateral,"a. 并行的, 附随的, 旁系的
n. 旁系亲属, 担保品"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
crisis,"n. 危机, 危险期, 紧要关头
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
backbone,"n. 脊椎, 志气, 骨干, 支柱
"
nostalgic,"a. 乡愁的, 怀旧的
"
despondent,"a. 丧气的, 失望的, 没有精神的"
labor-force,"[经] 劳动力, 劳动大军"
participation,"n. 参与, 分享
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
spouse,n. 配偶
considerable,"a. 相当的, 可观的, 重要的"
along with,"与…一道,与…一起,连同…"
symbolic,"a. 象征的, 符号的
"
pick up,"v. 拾起；探出；重新开始
"
barrier,"n. 障碍, 栅栏
"
suburban,"a. 郊外的, 郊区的, (贬)偏狭的, 土气的, 见识不广的
n. 郊区居民"
satellite,"n. 人造卫星
"
separation,"n. 分离, 分居, 缺口, 退职
"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
plant-based,[网络] 健康食品
omnivorous,"a. 无所不吃的, 杂食的, 什么都喜欢的"
dietary,"a. 饮食的
n. 规定食物"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
"
spectrum,"n. 光谱, 范围, 系列
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
