wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
allocate,"vt. 分派, 分配
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
question and answer session,[网络] 问答环节；问答阶段；会议问答阶段
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
dissatisfaction,"n. 不满, 不平"
similarly,"adv. 相像地, 类似于"
vacation,"n. 假期, 休假
"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
extremely,"adv. 极端地, 非常地"
five-star,"adj. 五个星的；五星级的；第一流的
"
overprice,"vt. 对...定价过高, 对...估价过高
"
on a daily basis, 每天（指一起共事）
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
therefore,"adv. 因此, 所以"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
eat out,"上馆子吃饭, 锈坏, 过度消耗(牧草等), 责骂"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
complaint,"n. 诉苦, 抱怨, 控诉
"
favorable,"a. 有利的, 赞许的, 良好的"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
in the future,"未来, 将来, 往后"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
greatly,"adv. 很, 非常"
at your earliest convenience, 得便务请…从速
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
professor,n. 教授
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
feedback,"n. 反馈, 反应
"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
memorable,"a. 值得纪念的, 难忘的"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
in general,大多数
take down,"na. 扯下；卷起；记下；卸下
"
informative,"a. 提供消息的, 见闻广博的"
discussion,n. 讨论
inspiring,a. 鼓舞人心的
method,"n. 方法, 办法, 条理, 秩序
"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
suitable,"a. 适当的, 相配的
"
demonstrate,"vt. 示范, 证明
vi. 示威"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
deepen,"vi. 深化
vt. 使加深, 使强烈"
understanding,"n. 理解, 谅解
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
commend,"vt. 嘉奖, 委托给, 推荐"
increasingly,"adv. 逐渐地, 渐增地"
additional,"a. 附加的, 另外的, 额外的
"
in addition,另外
computer room,
lecture note,无
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
lab,"n. 实验室, 研究室
"
install,"vt. 安装, 安置, 使就职
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
prestigious,a. 享有声望的
life story,n. 生命轨迹; 传记
celebrity,"n. 名声, 名人"
disciple,"n. 弟子, 门徒"
Confucius,n. 孔子
the Analects,n. 论语
thinker,"n. 思想者, 思想家"
enduring,"a. 持久的, 忍耐的"
educator,n. 教育家
long-standing,维持；存在已久的
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
inner world,精神世界
Confucianism,"n. 孔子思想, 儒家思想"
Confucian thought,无
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
the Spring and Autumn Period,[网络] 春秋时期；春秋时代；我国古代名
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
human value,人的价值
congratulation,"n. 祝贺, 恭喜"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
doctorate,n. 博士头衔
success,"n. 成功, 成就, 胜利"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
Yale University,耶鲁大学
no doubt,无疑地
hard work, 繁重的工作; 劳苦; 苦工; 苦功
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
on your part,无
certainly,adv. 确定地
achievement,"n. 完成, 成就, 功业"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
be proud of,"自豪, 高兴"
think over,"v. 仔细考虑
"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
kindly,"a. 和蔼的, 温和的, 爽快的
adv. 温和地, 亲切地"
package tour,由旅行社代办全部事宜的观光旅行
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
include,"vt. 包括, 把...算入, 包住
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
length,"n. 长度, 长, 期间, 一段
"
in fact,"事实上
"
customer,"n. 消费者
"
be interested in,对…很感兴趣
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
destination,"n. 目的地, 目标, 目的
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
monument,"n. 纪念碑, 纪念物, 石碑"
travel insurance,旅行保险
archaeology,n. 考古学
arrange,"v. 安排, 排列, 达成协议
"
specialised,"a. 专门的, 特别的, 专科的, 特化的, 专化的"
separately,adv. 
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
at the same time,"同时, 但是"
arrange,"v. 安排, 排列, 达成协议
"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
unfortunately,"adv. 恐怕, 不幸的是"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
diagnose,v. 诊断
be able to,"能, 会"
infection,"n. 传染, 影响, 传染病
"
inform sb. of sth.,"v. 通知关于
"
require,"vt. 需要, 命令, 要求
"
situation,"n. 情形, 境遇, 位置
"
apologize,"vi. 道歉, 辩解"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
sense of responsibility, 责任感
serve as,"被用作..., 充当..., 起...的作用"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
interpersonal relation,人际关系
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
ability,"n. 能力, 才干
"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
proficiency,"n. 精通, 熟练, 精练"
a range of, 一系列; 一些; 一套
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
be involved in, 涉及，专心; 卷入
empower,"vt. 授予权力, 允许, 使能够
"
a variety of,"各种各样的..., 种种..."
decided,"a. 确定的, 坚决的"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
competitive,"a. 竞争的
"
musical drama,音乐剧
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
group discussion, 集体讨论
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
ample,"a. 大量的, 充足的, 丰富的"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
written application,[法] 申请书
participation,"n. 参与, 分享
"
staff office,[网络] 医护办公室；职员办公室；技术员办公室
be helpful to,"v. 有助于；对…有
"
deadline,"n. 最后期限, 截止期限
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
sign up,"签约参加工作, 签约雇用"
symbolically,adv. 象征性地
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
physical fitness,[医] 身体健全
white gown, [医]白大褂，白工作衣
mental health, 心理健康
stethoscope,"n. 听诊器
vt. 用听诊器诊断"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
medical record,病历卡
pull through,"(使)渡过难关, (使)恢复健康"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
pain and sorrow,无
apparently,"adv. 表面上, 清楚地, 显然地"
twists and turns,迂回曲折
do physical exercises,无
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
stay up,不睡觉
energetic,"a. 精力充沛的, 积极的"
be harmful to, 妨害
form good habits,无
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
to sum up,"总之, 总而言之"
balanced diet,[医] 均衡饮食
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
sufficient sleep,无
plagiarize,"v. 剽窃, 抄袭"
unfair,"a. 不公平的, 不正直的, 不正当的
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
detrimental,a. 有害的
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
reputation,"n. 名誉, 名声, 声望
"
in an attempt to,"试图…,企图…"
worth,"n. 价值, 财产
a. 值...的, 值得的"
propel,"vt. 推进, 驱使
"
diploma,"n. 文凭, 毕业证书
"
laziness,"n. 怠惰, 无精打采"
dishonest,"a. 不诚实的
"
lack of, 缺乏
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
self-confidence,自信
prevalent,"a. 普遍的, 流行的"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
institution,"n. 机构, 惯例, 制度
"
combination,"n. 组合, 合并, 联合
"
higher education,na. 高等教育
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
eventually,"adv. 最后, 终于"
plagiarism,"n. 剽窃, 抄袭, 剽窃物
"
news media,"新闻媒介,新闻传播工具"
adversely,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向"
community,"n. 社区, 公众, 共有, 共同体
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
at large,"未被捕, 详尽, 普遍
"
perpetrator,"n. 作恶者, 犯罪者, 行凶者
"
in short,"简而言之
"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
end up,"竖着, 结束, 死"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
deceitful,a. 欺诈的
for instance,"例如
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
extremely,"adv. 极端地, 非常地"
habitual,"a. 习惯的, 惯常的, 平常的
"
unjust,"a. 不公平的
"
dishonesty,"n. 不诚实
"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
facet,"n. (多面体的)面, 方面, 琢面
"
hard-working,辛勤工作的
vividly,"adv. 鲜艳, 强烈, 明亮, 鲜明, 活泼, 有生气, 生动, 清晰, 逼真"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
sunflower,n. 向日葵
furthermore,"adv. 此外, 而且"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
a wide range of,"范围广泛的,一连串的,变化幅度大的,参差不平"
lovely,"a. 可爱的, 有趣的"
tourist,"n. 观光客, 旅行者
a. 旅游的"
butterfly,"n. 蝴蝶
"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
incredible,a. 难以置信的
tendency,"n. 趋向, 倾向
"
Niagara Falls,n. 尼亚加拉大瀑布; [地名] [加拿大·美国] 尼亚加拉瀑布; [地名] [加拿大、美国] 尼亚加拉瀑布城; [电影]尼亚拉加瀑布
disturbing,"a. 引起烦恼的, 令人不安的"
mingle,v. (使)混合
necessary,a. 必要的；必然的；必需的
throng,"n. 群, 人群, 群集, 众多
a. 拥挤的
vi. 群集, 蜂拥
vt. 在...群集, 使拥塞"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
boulevard,n. 林荫大道
derive,"vt. 得自
vi. 起源"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
companionship,"n. 交往, 友谊, 一群同伴"
bitterness,"n. 苦味, 悲痛, 怨恨"
instruction,"n. 指令, 教导, 命令
"
last but not least,最后但并不是最不重要的(一点)
first and foremost,首要地
intellectual ability, 智能
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
contentment,"n. 满足, 使人满意的事物, 满意"
advent,"n. 来到, 来临"
cheerful,"a. 快活的, 高兴的, 兴高采烈的"
replace,"vt. 代替, 替换, 放回, 归还
"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
laboratory test,[机] 实验试验
depict,"vt. 描述, 描写"
live trial,无
ax,"n. 斧头
vt. 用斧削或砍, 削减"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
vaccine,"n. 牛痘苗, 疫苗
a. 疫苗的, 牛痘的"
hew,"vt. 砍, 砍倒, 砍成
vi. 砍, 劈, 坚持"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
despair,"n. 绝望, 失望
vi. 绝望"
in addition,另外
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
be attributed to, 归于
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
personally,"adv. 亲自地, 个别地, 当面, 就本人而言, 针对个人地"
indicate,"vt. 显示, 象征, 指示, 指出
"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
innovation,"n. 改革, 创新
"
business model,企业模型
make progress,取得进步/展
entrepreneur,"n. 企业家, 主办人
"
stick to old ways,无
chairman,"n. 主席, 会长
"
regression,"n. 退步, 回归
"
Internet,[网络] 互联网；因特网；网际网路
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
to sum up,"总之, 总而言之"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
field,"n. 领域, 田地, 场地, 战场, 场, 域
vt. 使...晒在场上, 使上场
a. 田间的, 野生的, 野外的, 田赛的
"
creativity,"n. 创造力, 创造性"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
begin with,"以…开始,首先"
engineering,"n. 工程学, 工程, 操纵
"
watchword,"n. 暗号, 口令, 标语, 口号"
necessary,a. 必要的；必然的；必需的
motto,"n. 箴言, 座右铭, 警句"
put great emphasis on,无
scientific experiment,[计] 科学实验
achieve success, 获得成功
carry out,"na. 实行；开展；完成
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
prevalent,"a. 普遍的, 流行的"
efficiency,"n. 效率, 效能, 功效
"
subtly,"adv. 敏锐地, 巧妙地, 精细地"
generate,"vt. 产生, 发生, 导致
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
potentially,"adv. 可能地, 潜在地"
connect with,"连接, 联络"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
consequence,"n. 结果, 重要性
"
entertainment center, 娱乐中心
for instance,"例如
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
hermit-like,像隐士般的
train schedule,列车明细表(列车运行时刻表内规定的列车等级、方向、车次和运行办法)
especially,"adv. 尤其, 特别, 格外"
discount-price goods,无
become addicted to,无
enable,"vt. 使能够
"
be exposed to,"[计] 曝光, 曝露"
worldwide,a. 全世界的
social interaction,社会的相互影响[作用]
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
unquestionably,"adv. 毫无疑问, 不成问题, 无可非议, 确实"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
civilization,"n. 文明, 教化
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
pleasantly,"adv. 和蔼地, 亲切地；友好地；愉快地"
preservation,"n. 保存, 保藏, 保护
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
commercialization,[计] 商业化
traditional,"a. 传统的, 惯例的
"
on the part of,"就...而言, 在...一边, 由...表现出来的, 由...所经历的, 由...所作出的
"
vase,"n. 花瓶, 瓶"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
age-old,"adj. 年代久远的
"
destine,"vt. 注定, 预定"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
shadow,"n. 阴影, 荫, 影子, 影像, 阴暗, 幽灵, 少许, 隐蔽处, 庇护
vt. 遮蔽, 使朦胧, 预示, 尾随
vi. 渐变, 变阴暗
"
immeasurable,"a. 不可测量的, 无限的, 广大无边的"
modernization,n. 现代化
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
tai chi,n. (Chi.)太极
fortunately,"adv. 幸运地, 幸亏"
kung fu,n. 中国功夫
as a result of,作为结果
Peking Opera, 京剧
unwavering,"a. 不动摇的, 坚定的"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
population,"n. 人口, 人口数
"
migration,"n. 移民, 移往, 移动
"
natural environment,[法] 自然环境
urbanization,"n. 都市化
"
damage,"n. 损害, 伤害
v. 损害"
symbol,"n. 符号, 象征, 代号, 信条
"
ecosystem,"n. 生态系统
"
civilization,"n. 文明, 教化
"
a huge amount of,无
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
convenience,"n. 方便, 便利的事物, 方便的时候"
rubbish,"n. 废物, 垃圾, 胡说"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
environmental pollution,
outskirt,"n. 边缘, 郊外, 外围"
a case in point,恰当的例子
to begin with,首先
explosion,"n. 爆发, 激增, 爆炸(声)
"
hundreds of,"几百..., 许许多多..."
waste water,
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
day and night,日以继夜
emergence,"n. 出现, 浮现, 发生"
bank,"n. 银行, 堤, 岸
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
worse still, 更糟糕的是; 更坏
accordingly,"adv. 相应地, 因此, 于是"
untreated,[化] 未经处理的
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
sewage,"n. 脏水, 污水
"
take measures,採用措施
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
drastic,"a. 激烈的
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
appeal to,[法] 诉诸...
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
drinkable,"a. 可以喝的, 饮用的
n. 饮料"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
extremely,"adv. 极端地, 非常地"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
depend on,"依靠, 依赖"
contribute to,捐献
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
define,"vt. 定义, 规定, 使明确
"
there is no denying that,无
multitude,"n. 多数, 群众"
average people,[网络] 普通老百姓；一般人
long for,渴望
deem,"v. 认为, 相信"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
equally,"adv. 相等地, 同样地, 平等地"
definition,"n. 定义, 精确度, 清晰度
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
diverse,"a. 不同的, 变化多的"
lie in,"在于..., 分娩, 睡懒觉"
ever-changing, 千变万化的
key university, 重点大学
requirement,"n. 需求, 必要条件, 要求
"
in view of,"考虑到, 由于
"
it goes without saying that,"na. 当然不用说…
"
reasoning,"n. 推论, 推理, 论证
"
advisable,"a. 适当的, 明智的"
admission,"n. 准许进入, 入场费, 录用, 承认
"
derive from,"得自, 由来, 衍生"
vividly,"adv. 鲜艳, 强烈, 明亮, 鲜明, 活泼, 有生气, 生动, 清晰, 逼真"
element,"n. 元件, 元素, 要素
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
stem from,"起源于,出自,出身于…"
fencing,"n. 围墙, 剑术
"
mindset,n. 心态；倾向；习惯；精神状态
tenacity,"n. 固执, 不屈不挠, 顽固, 黏性, 韧性
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
