barren,"a. 不育的, 贫瘠的
n. 荒地"
plump,"a. 圆胖的, 丰满的, 直接下落的, 直率的
vt. 突然放下, 支持, 使丰满, 使鼓起
vi. 扑通落下, 投票赞成, 变丰满, 鼓起
adv. 沉重地, 突然地, 直截了当地"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
shun,"vt. 避开, 规避, 避免"
sneer,"n. 冷笑, 嘲笑
vi. 嘲笑, 冷笑
vt. 嘲笑着说, 嘲笑得使"
adjoin,"v. 邻接, 毗连"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
chaste,"a. 贞洁的, 纯洁的, 朴素的"
confide,"vt. 吐露, 委托
vi. 信赖"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
enable,"vt. 使能够
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
narrate,"v. 说故事, 说明, 叙述"
visual,"a. 视觉的
"
appliance,"n. 器械, 用具, 应用
"
brood,"n. 一窝, 一伙
vt. 孵, 沉思"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
gravel,"n. 砂砾, 碎石
"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
stride,"n. 大步, 步幅, 步态, 进步
v. 迈大步走, 跨过, 跨"
swarm,"n. 群, 大群, 蜂群, 分蜂群
vi. 分群, 群集, 聚集一块, 云集, 攀
vt. 挤满, 爬, 攀"
twig,"n. 小枝, 细枝
v. 懂得, 了解"
wade,"vi. 跋涉
vt. 涉水
n. 跋涉, 浅滩"
wrinkle,"n. 皱纹, 妙计, 方法, 技巧
vi. 起皱
vt. 使起皱纹"
alter,v. 改变
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
fragile,"a. 易碎的, 脆的
"
fruitful,"a. 结果实的, 多实的, 产量多的"
garrison,"n. 守备队, 驻军, 要塞
vt. 守备, 派兵驻守"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
jail,"n. 监牢, 监狱, 拘留所
vt. 监禁, 下狱"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
script,"n. 手迹, 手稿, 正本, 手写体
vt. 改编为演出本
"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
artificial,"a. 人造的, 假的, 非原地产的
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
nun,"n. 修女, 尼姑"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
thrift,"n. 节约, 茂盛, 海石竹"
treacherous,"a. 不可信任的, 危险的, 背叛的, 不可靠的
"
troublesome,"a. 麻烦的, 令人讨厌的"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
congratulate,"vt. 祝贺, 庆贺"
contradiction,"n. 反驳, 矛盾
"
detect,"vt. 发现, 察觉, 探测
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
intervene,"vi. 插入, 调停, 干涉
"
monster,"n. 怪物, 恶人, 巨物
"
paralyze,"vt. 使瘫痪, 使麻痹
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
stagger,"n. 蹒跚, 踌躇
vi. 蹒跚, 犹豫
vt. 使摇摆, 使踌躇, 交错, 错开
a. 交错的, 错开的"
subsequent,"a. 后来的, 接下去的
"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
countenance,"n. 面容, 面部表情, 支持, 镇定"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
erase,"vt. 抹去, 擦掉
"
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
lick,"n. 舔, 少许, 打
vt. 舔, 卷过, 鞭打
vi. 轻轻拍打"
postage,"n. 邮资
"
poultry,n. 家禽
prick,"vt. 刺, 戳, 刺痛, 使竖起
vi. 刺, 竖起
n. 扎, 一刺, 刺痛
a. 竖起的"
skim,"vt. 撇取浮沫, 略读, 掠过
vi. 擦过, 浏览
n. 脱脂乳, 擦过, 表层物
a. 撇去浮沫的"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
undergo,"vt. 遭受, 经历, 忍受
"
wharf,"n. 码头
vt. 卸在码头上, 靠码头
vi. 靠码头, 入坞"
bellow,v. 怒吼
beverage,"n. 饮料
"
calculate,"v. 计算, 预测, 计划, 打算"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
outfit,"n. 用具, 配备, 机构
vt. 配备, 供应
vi. 得到装备"
rascal,"n. 流氓, 无赖, 坏蛋, 淘气鬼
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
strap,"n. 带, 皮带
vt. (用皮带)捆扎"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
baggy,"a. 袋状的, 松垂的"
beneficial,"a. 有益的, 受益的
"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
drought,"n. 干旱, 缺乏"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
eliminate,"vt. 除去, 排除, 剔除, 消除"
gorgeous,"a. 华丽的, 灿烂的"
illegal,"a. 违法的, 不合规定的
"
lad,"n. 青年, 家伙, 少年, 情人"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
veto,"n. 否决权
vt. 否决, 禁止"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
available,"a. 可利用的, 可获得的, 有效的
"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
chat,"n. 闲谈
vi. 闲谈, 聊天"
contempt,"n. 轻视, 轻蔑
"
fraction,"n. 小部分, 破片, 分数
"
idol,"n. 偶像, 崇拜物, 宠儿, 幻象, 谬论"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
corridor,"n. 走廊, 回廊, 人口密集地带"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
imply,"vt. 暗示, 意味
"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
preside,"vi. 统辖, 当主人, 主持
"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
ruffle,"n. 皱褶, 波纹, 生气, 混乱
vt. 弄皱, 触怒, 洗(牌), 连续轻擂(鼓)
vi. 起皱, 发脾气, 连续轻擂"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
aspire,"vi. 渴望, 立志于"
attorney,"n. 代理人, 律师
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
falter,"vt. 支吾地说
vi. 支吾, 蹒跚地走
n. 颤抖, 支吾, 踌躇"
ghastly,"a. 可怕的, 惨白的, 极坏的
adv. 可怖地, 惨白地"
gratitude,n. 感激之情
plume,"n. 羽毛, 羽毛装饰, 羽状的
vt. 用羽毛装饰, 整理羽毛, 使成羽毛状"
promote,"vt. 促进, 晋升, 创办, 推销
"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
terrific,"a. 非常好的, 极端的, 可怕的"
villain,"n. 坏人, 恶棍
"
absent-minded,"adj. 茫然的
"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
immigrate,"vt. 使移居入境
vi. 移入"
intensify,"vt. 加强
vi. 强化"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
latitude,"n. 纬度, 范围
"
secondhand,"a. 间接获得的, 旧的, 二手的, 做旧货买卖的
adv. 间接地, 间接听来, 以旧货"
specify,"vt. 详列, 指定, 说明
"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
vulgar,"a. 粗俗的, 庸俗的, 普通的, 通俗的, 方言的
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
bewilder,"vt. 使迷惑, 使不知所措"
circulate,"v. (使)流通, (使)循环, (使)传播"
deceive,"v. 欺骗, 行骗"
define,"vt. 定义, 规定, 使明确
"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
heredity,"n. 遗传, 形质遗传
"
myth,"n. 神话, 虚构的事, 虚构的人"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
patriot,"n. 爱国者, 爱国主义者"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
restrict,"vt. 限制, 限定, 约束
"
temperament,"n. 气质, 性格, 性情
"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
earthquake,n. 地震
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
famine,"n. 饥荒, 缺乏, 饥饿"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
rustle,"n. 沙沙声, 瑟瑟声, 飒飒声, 急忙
vi. 发出沙沙声
vt. 使飒飒作响"
scowl,"n. 愁容, 阴沉脸色
vi. 皱眉, 绷着脸
vt. 怒视"
wretch,"n. 可怜的人, 卑鄙的人, 家伙"
avenue,"n. 大街, 途径, 林荫路"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
brim,"n. 边, 边缘, (河)边
vt. 注满, 使满溢
vi. 满溢"
drastic,"a. 激烈的
"
insight,"n. 察看, 洞察力, 见识
"
plea,"n. 恳求, 辩解, 抗辩, 诉讼, 请愿, 托词
"
prestige,"n. 声望, 威望, 威信
"
ripple,"n. 涟波, 涟漪, 波纹, 粗钢梳
vt. 使起涟漪
vi. 起微波, 起潺潺声"
shrill,"n. 尖声
a. 尖锐的, 刺耳的
vt. 尖声说出
vi. 发出刺耳声"
stray,"n. 走失的家畜, 浪子
a. 迷途的, 偶然的
vi. 迷路, 彷徨, 流浪"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
wreath,"n. 花圈, 花环, 圈状物
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
accumulate,"v. 积聚, 堆积"
ample,"a. 大量的, 充足的, 丰富的"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
incredible,a. 难以置信的
lament,"n. 悲叹, 悔恨, 恸哭, 挽歌, 悼词
vt. 哀悼
vi. 悔恨, 悲叹"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
systematic,"a. 有系统的, 分类上的, 体系的
"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
comical,"a. 好笑的, 滑稽的"
drowsy,"a. 昏昏欲睡的
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
react,"vi. 起反应, 起作用, 反攻
"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
tenant,"n. 承租人, 房客, 居住者
vt. 租借
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
aristocrat,n. 贵族
biography,n. 传记
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
cherish,"vt. 珍爱, 怀有, 爱护"
daze,"vt. 使茫然, 使发昏, 使眼花缭乱
n. 迷乱, 眼花缭乱"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
mound,"n. 土墩, 堤, 小山
vt. 筑堤, 用土堆防卫
vi. 积成堆"
ranch,"n. 大牧场
v. 经营牧场"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
rumble,"n. 隆隆声, 辘辘声
vi. 发隆隆声, 辘辘响
vt. 使隆隆响, 低沉地说"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
garbage,"n. 垃圾, 废物
"
obstacle,"n. 障碍, 妨害物, 阻碍"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
shovel,"n. 铲, 铁铲
v. 铲"
stately,"a. 庄严的, 宏伟的"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
vex,"vt. 使烦恼, 使苦恼
vi. 烦恼"
communism,n. 共产主义
dignify,"vt. 增威严, 使高贵, 故作显贵"
disaster,"n. 灾祸, 不幸, 彻底失败"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
hospitable,"a. 好客的, 招待周到的"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
simplify,"vt. 单一化, 简单化"
tranquil,a. 安静的
unworthy,"a. 不值得的, 不相称的"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
athlete,"n. 运动员, 运动选手
"
certify,"v. 证明, 保证"
coincide,"vi. 一致, 符合
"
convey,"vt. 传达, 运输, 转让
"
discreet,"a. 小心的, 慎重的"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
radiate,"vt. 放射, 散发, 辐射, 传播, 广播
vi. 发光, 辐射, 流露
a. 有射线的, 辐射状的"
supervise,"v. 监督, 管理, 指导"
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
anniversary,n. 周年纪念
barracks,"n. 兵营, 营房；简陋的房子；警察所（barrack的复数）"
creed,"n. 宗教信条, 教义, 纲领"
drip,"n. 水滴
v. (使)滴下"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
patron,"n. 赞助人, 顾客, 保护人
"
razor,"n. 剃刀
vt. 剃"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
beware,"v. 小心, 谨防"
dwell,"vi. 居住, 居住(于), 存在(于)"
endow,"vt. 捐赠, 捐助, 赋予
"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
torment,"n. 使人痛苦的东西, 折磨者, 苦痛
vt. 使苦恼, 纠缠, 歪曲, 拷问"
abolish,"vt. 废止, 革除, 消灭
"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
awkward,"a. 笨拙的, 棘手的"
bliss,"n. 福佑, 天赐的福
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
prolong,"vt. 延长, 拖延, 拖长
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
undistinguished,"a. 未经区分的, 未被注意到的, 普通的, 平凡的"
concession,"n. 特许, 让步, 认可
"
deceit,"n. 欺骗, 谎言
"
dedicate,"vt. 献出, 贡献"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
economical,"a. 节俭的, 经济的, 合算的
"
infect,"vt. 传染, 感染
"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
respective,"a. 分别的, 各自的"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
technique,"n. 技巧, 技术, 方法
"
tedious,"a. 沉闷的, 冗长乏味的"
bristle,"n. 刚毛, 猪鬃
vi. 直立, 发怒, 充满
vt. 使直立"
commodity,"n. 农产品, 商品, 有用的物品
"
dispatch,"vt. 派遣
n. 派遣, 急件
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
frantic,"a. 狂乱的, 疯狂的"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
install,"vt. 安装, 安置, 使就职
"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
species,"n. 种, 类, 外形
"
assail,"vt. 攻击, 质问
"
barrier,"n. 障碍, 栅栏
"
burglar,"n. 窃贼
"
devour,"vt. 吞食, 挥霍, 吞没"
dreary,a. 沉闷的
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
homage,"n. 尊崇, 尊敬, 效忠"
inescapable,"a. 逃不掉的, 不可避免的"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
