bewail,"v. 悲悼, 哀泣, 哀叹"
expend,"vt. 花费, 消耗, 用光"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
novice,"n. 新手, 初学者"
spry,"a. 精神好的, 活泼的, 敏捷的"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
truism,"n. 自明之理, 众所周知, 老生常谈
"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
cite,"vt. 引用, 引证, 表彰
"
clemency,"n. 仁慈, 宽厚, 仁厚"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
farce,"n. 闹剧, 滑稽剧, 胡闹"
foray,"vi. 侵略, 劫掠, 袭击
n. 侵掠, 侵略, 攻击"
glean,"v. 拾落穗, 收集"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
ostracize,"vt. 流放, 放逐, 排斥"
posthumous,"a. 遗腹的, 死后的
"
quash,"vt. 撤销, 平息, 镇压
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
ribald,"a. 说话猥亵的, 下流的, 粗俗的
n. 说下流话的人"
suffrage,"n. 投票, 选举权, 参政权, 代祷
"
verve,"n. 热情, 气魄, 神韵, 活力"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
aplomb,"n. 沉着, 泰然自若, 垂直"
brandish,"vt. 挥, 挥舞
n. 挥舞"
broach,"n. 烧肉叉, 凿子, 钻头
vt. 用凿子修琢(石块), 钻孔
vi. 露出水面"
devotee,"n. 爱好者, 献身者, 虔诚的宗教信徒"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
extravaganza,"n. 狂文, 铺张华丽的表演, 狂行, 狂言, 狂剧, 狂曲, 狂诗"
integrity,"n. 正直, 廉正, 完整
"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
plaudit,"n. 拍手喝彩, 称赞, 赞美"
regalia,"n. 王权, 王位标识, 标记, 徽章
"
resplendent,"a. 辉煌的, 灿烂的"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
surmount,"vt. 战胜, 超越, 克服"
tenable,"a. 可守的, 站得住(脚)的, 合理的, 成立的"
apex,"n. 顶, 尖端, 最高潮
"
collusion,"n. 共谋, 勾结
"
incinerate,"vi. 烧成灰, 灰化
vt. 焚化"
indict,"vt. 起诉, 控告, 指控
"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
martyr,"n. 烈士, 受苦者, 受难者
vt. 使成为烈士, 使受苦"
multitude,"n. 多数, 群众"
rescind,"vt. 废止, 使无效, 取消, 撤消, 解除
"
revere,"vt. 崇敬, 敬畏, 尊敬"
scion,"n. 接穗, 子孙
"
sordid,"a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的, 暗淡的
"
suave,"a. 柔和的, 温和的, 文雅的"
travesty,"n. 拙劣的模仿作品, 嘲弄, 滑稽模仿
vt. 滑稽地模仿, 歪曲"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
vitriolic,"a. 硫酸的, 像硫酸的, 语言刻薄的"
bogus,"a. 假的, 伪造的
"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
enshrine,"vt. 入庙祀奉, 铭记"
evince,"vt. 表明(感情等), 表示出(特性等)"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
memorabilia,"n. 值得纪念的事物, 大事记"
mundane,"a. 现世的, 世俗的, 宇宙的"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
quirk,"n. 古怪举动, 俏皮话, 急转"
refute,"vt. 反驳, 驳斥；驳倒"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
tome,"n. 册, 卷, 大本书"
