crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
teach,"vt. 教, 讲授, 教导, 教育
vi. 教书, 教学, 可以教"
then,"adv. 然后, 当时
conj. 然后, 当时
n. 那时"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
get on well with sb., 与…相处融洽
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
ready to do sth.,[网络] 愿意做某事；准备好要做没某事；准备去做某事
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
ball,"n. 球, 舞会, 球状物
v. 捏成球形"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
best,"a. 最好的
adv. 最好地
n. 最好的人"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
tidy,"n. 椅子的背罩, 装杂物的容器
a. 整齐的, 有条理的
vt. 弄整齐, 收拾, 整理
vi. 整理, 收拾"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
everybody,"pron. 每个人, 人人"
just like,"prep. 正象
"
beautiful,a. 美丽的
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
go over,"转变, 仔细检查, 润色, 复习"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
housework,"n. 家事, 家务"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
at,"prep. 在, 向, 对
"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
silly,"a. 愚蠢的, 糊涂的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
make friends, 交朋友
shirt,"n. 衬衫, 内衣, 汗衫"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
player,"n. 竞赛者, 上场队员, 游戏者, 演员
"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
enjoy oneself,过得快乐
myself,"pron. 我自己, 我亲自, 我独自"
during,prep. 在...的时候
May,"n. 五月
aux. 愿能, 可以, 愿意"
May Day,"国际劳动节
"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
walk,"n. 走, 散步, 步行, 行走的路程, 竞走, 散步场所
vi. 走路, 步行, 处世
vt. 走过, 遛, 使走, 护送...走"
take a walk,散步
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
fun,"n. 乐趣, 玩笑, 娱乐
vi. 开玩笑
a. 供娱乐用的"
summer holiday,"n. 暑假
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
Australian,"n. 澳大利亚人
a. 澳大利亚的, 澳洲的, 澳洲人的"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
go sightseeing, 游览；游玩；观光
beach,n. 海滩
early,"a. 早的, 早熟的
adv. 很早, 初"
chalk,"n. 粉笔, 白垩
vt. 用粉笔写, 记录"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
everything,"pron. 每件事物, 所有事物"
future,"n. 未来, 将来
a. 将来的, 未来的"
in the future,"未来, 将来, 往后"
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
need,"n. 需要, 必须, 缺乏
vt. 需要, 必需
vi. 贫困, 有必要
aux. 需要"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
maybe,"adv. 也许, 大概
n. 可能性"
ask,"vi. 问, 要求
vt. 问, 要求, 邀请, 需要"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
by,"prep. 被, 经, 由, 在...之旁
adv. 经过, 在近处"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
able,"a. 能干的, 能够的"
be able to,"能, 会"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
not ... any more,"不再, 不比...多"
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
sea,"n. 海, 海洋, 海浪, 大量
"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
traffic jam,"塞车, 交通阻塞"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
true,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的
n. 真实, 准确
adv. 真实地, 准确地"
come true,"实现, 成为事实"
here is ...,[网络] 这是；是简单的倒装句；在这里
here are ...,[网络] 这些是；这里是；有一些
bike,"n. 自行车, 脚踏车"
bicycle,n. 自行车
car,"n. 汽车, 客车
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
everywhere,"adv. 各处, 到处"
not only ... but also ...,[网络] 不仅……而且；不但而且；两个不仅……而且
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
working,"n. 工作, 运转, 劳动
a. 工作的, 劳动的, 经营的, 抽搐的, 运转的"
hour,"n. 小时, 钟头, 时间, ...点钟, 课时"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
as well,也
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
supermarket,"n. 超级市场
"
biscuit,"n. 饼干
"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
strawberry,n. 草莓
Mother's Day,"na. (美国和加拿大的)母亲节
"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
may,"n. 五月
aux. 愿能, 可以, 愿意"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
certainly,adv. 确定地
wait a minute,"等会儿,等一等,请稍等片刻"
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
look,"n. 一看, 神色, 样子, 面容
vi. 看, 注意, 朝着, 显得
vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
anyone,pron. 任何人
anything,pron. 任何事
anywhere,adv. 无论何处
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
product,"n. 产品, 结果, 乘积
"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
safe,"n. 保险箱, 冷藏室
a. 安全的, 可靠的, 平安的, 稳健的, 有把握的"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
online,[计] 联机
shopping,"n. 买东西, 购物
"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
one of, 其中之一
almost,"adv. 几乎, 差不多"
something,"pron. 某事, 某物"
later,"adv. 以后, 随后"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
out,"a. 外面的, 熄灭的, 结束的
adv. 在外, 熄灭, 出现
prep. 出自, 离去, 向"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
one day,有一天
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
bank,"n. 银行, 堤, 岸
"
museum,n. 博物馆
along,"adv. 平行地, 向前
prep. 沿着"
across,"prep. 越过, 穿过, 与...相交叉, 在...的对面
adv. 交叉, 到另一边, 在对面, 成十字"
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
tourist,"n. 观光客, 旅行者
a. 旅游的"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
excuse me,对不起
street,"n. 街道, 马路, 街区
a. 街道的"
turn,"n. 转弯, 转动, 旋转, 翻转, 一圈, 顺次, 改动, 变化, 性格, 特色, 形状, 转折
vt. 使旋转, 转弯, 转动, 使转向, 驱赶, 阻挡, 兑换, 改写, 使作对, 绕过, 使流通
vi. 转动, 转弯, 转向, 翻转, 回转, 改变, 转身, 变成, 变质, 晕眩, 易脱手"
third,"num. 第三, 三分之一
"
guidebook,"n. 指南, 手册, 要览"
bookshop,n. 书店
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
Why not ... ?, 何妨；何不
could,"aux. 可以, 能"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
famous,"a. 出名的, 极好的"
painting,"n. 画, 绘画, 油漆
"
from,"prep. 从, 来自, 根据"
metre,"n. 公尺, 格律, 韵律
"
above,"prep. 在上方, 超出
adv. 在上面
a. 上述的, 上面的"
river,"n. 河, 江
"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
railway,"n. 铁路, 轨道
"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
post office,"邮局
"
up,"a. 向上的, 起床的, 涨的
adv. 向上, 上涨
prep. 在...上面, 向...的较高处"
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
born,"a. 天生的
bear的过去分词"
strict,"a. 严厉的, 绝对的, 详尽的, 严格的, 精确的
"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primary school,"n. 小学, 初等学校; 参见：elementary school"
town,"n. 城镇, 市, 镇
"
US,[网络] -我们
hey,interj. 嗨
village,"n. 村庄
a. 乡村的, 村庄的"
nice,"a. 美好的, 和蔼的, 正派的, 做得好的, 精密的, 细微的, 挑剔的, 谨慎的"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
difficult,a. 困难的
bathroom,"n. 浴室, 厕所"
bedroom,n. 卧室
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
living room,"客厅, 起居室"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
coast,"n. 海岸, 滑坡
v. 沿海岸而行"
ago,adv. 以前
store,"n. 商店, 贮藏, 仓库, 备用品, 存储器
vt. 储存, 贮藏, 供给
vi. 贮藏
a. 贮藏的, 现成的
"
movie theater,电影院
bored,a. 无聊的；烦人的；无趣的
president,"n. 总统, 总裁, 董事长, (学院)院长, (大学)校长, 主管人, 主持人
"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
yesterday,"n. 昨天
adv. 昨天"
hair,"n. 头发, 毛发, 些微
"
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
forest,"n. 森林, 林区
vt. 植树于"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
upon,"prep. 在...之上, 迫近, 紧接着"
once upon a time,从前
decide,"v. 决定, 判决"
go for a walk,散步
basket,"n. 篮, 篮子
vt. 装入篮"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
all alone,独立地
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
pick up,"v. 拾起；探出；重新开始
"
soon,"adv. 不久, 早, 快, 宁可"
lost,"a. 失去的, 遗失的, 迷惑的
lose的过去式和过去分词"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
towards,"prep. 向, 对于, 为了"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
door,n. 门
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
either,"a. (两者之中)任一的, (两者之中)各一的
pron. (两者之中)任一
conj. 或, 要么"
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
in pieces,"破碎的, 损坏的"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
return,"n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书
a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的
vi. 返回, 归还, 回来
vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
at first,起先
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
point at, （把…）对准，指向; 针对; 指画
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
March,abbr. Master of Architecture 建筑学硕士
April,n. 四月
June,n. 六月
Women's Day, 女人节
National Day, 国庆日，国庆节；国定纪念日
Children's Day,"n. 儿童节(基督教会浸礼的节日,通常在六月的第二个星期日)"
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
September,n. 九月
October,n. 十月
November,n. 十一月
December,n. 十二月
writer,"n. 作家, 撰稿者, 抄写员
"
find out,"na. 查出；发现；看清…的面目；识破
"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
at the age of,在…年龄的时候
newspaper,n. 报纸
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
become,"vi. 变成, 变得
vt. 适合"
in the 1860s,无
play,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本
v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
"
poem,"n. 诗, 诗般美的事物"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
build,"v. 建立, 建筑
n. 构造, 体格"
on,"prep. 在...之上
adv. ...上去
a. 正起作用的
"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
