actual,"a. 真实的, 实际的, 现行的
"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
background,"n. 背景, 背景资料
"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
drawback,"n. 缺点, 退税
"
feedback,"n. 反馈, 反应
"
paperback,"n. 平装本, 纸面本"
setback,"n. 挫折, 退步, 逆流"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
balcony,"n. 阳台, 戏院楼厅"
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的
vi. 变秃"
ballet,n. 芭蕾舞
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
ballot,"n. 投票, 投票用纸, 抽签
vi. 投票, 抽签
vt. 投票选出, 拉选票"
football,"n. 足球, 橄榄球"
volleyball,n. 排球
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
symbol,"n. 符号, 象征, 代号, 信条
"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
abolish,"vt. 废止, 革除, 消灭
"
bell,"n. 铃, 钟
"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
belt,"n. 带子, 地带
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
rebellion,"n. 谋反, 叛乱, 反抗
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
bandage,"n. 绷带
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
banner,"n. 旗帜
a. 显著的, 特别好的"
bank,"n. 银行, 堤, 岸
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
banquet,n. 宴会
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
badge,"n. 徽章, 标记
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
barber,n. 理发师
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
barely,adv. 几乎不
barren,"a. 不育的, 贫瘠的
n. 荒地"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
barn,"n. 谷仓
"
barrel,"n. 桶
vt. 装入桶内"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
barrier,"n. 障碍, 栅栏
"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
blackboard,n. 黑板
cupboard,"n. 食橱, 碗柜, 餐具柜"
keyboard,"n. 键盘
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basement,"n. 地下室, 墙脚
"
baseball,"n. 棒球
"
database,"n. 数据库
"
basin,"n. 盆, 盆地
"
basis,"n. 基础, 主要成分
"
basket,"n. 篮, 篮子
vt. 装入篮"
basketball,n. 篮球
bass,"n. 低沉的声音, 男低音, 椴树
a. 低音的"
ambassador,"n. 大使
"
embassy,"n. 大使馆, 大使馆全体人员
"
bachelor,"n. 单身汉, 学士
"
acrobat,"n. 表演特技者, 杂技演员"
bacterium,"n. 细菌
"
bath,"n. 沐浴, 浴室
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
bathroom,"n. 浴室, 厕所"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
battery,"n. 电池, 殴打
"
battle,"n. 战役
v. 战斗"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
notebook,"n. 笔记本, 手册, 期票簿"
textbook,n. 教科书
handbook,"n. 手册
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
bowling,n. 保龄球戏
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
rainbow,"n. 彩虹
a. 五彩缤纷的"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
"
born,"a. 天生的
bear的过去分词"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
borrow,"vt. 借, 借入, 借用
vi. 借
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
neighborhood,"n. 附近, 邻近"
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间
vt. 怀抱"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
embody,"vt. 具体表达, 使具体化
"
everybody,"pron. 每个人, 人人"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
bonus,"n. 奖金, 红利
"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
so-called,adj. 所谓的
calcium,"n. 钙
"
calculate,"v. 计算, 预测, 计划, 打算"
calendar,"n. 日历, 日程表
vt. 列入表中
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
calm,"n. 平稳, 风平浪静
a. 平静的, 冷静的
vi. 平静下来, 镇静
vt. 使平静"
accelerate,"v. 加速, 促进"
celebrate,"v. 庆祝, 祝贺, 举行"
celebrity,"n. 名声, 名人"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
cancer,"n. 癌, 恶性肿瘤
"
candle,"n. 蜡烛
vt. 对着光检查"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
candidate,"n. 候选人, 投考者
"
cannon,"n. 大炮, 加农炮
v. 炮轰"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
canvas,"n. 帆布, 画布, 油画
"
volcano,n. 火山
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
chancellor,"n. 大臣, 总理, 首相, 大使馆/领事馆的一等秘书, 司法官, 大学校长"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
camel,"n. 骆驼, 打捞浮筒"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
campus,"n. 校园, 大学生活"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
capable,"a. 有能力的, 能的, 能干的"
capacity,"n. 容量, 能力, 才能, 资格
"
cape,"n. 岬, 海角, 披肩, 斗蓬"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
capitalism,"n. 资本主义
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cabbage,"n. 卷心菜
"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
cargo,"n. 货物
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
carriage,"n. 马车, 客车, 举止, 运输
"
carrier,"n. 运送者, 邮递员, 带菌者
"
carrot,"n. 胡萝卜
"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
carpet,"n. 地毯, 地毯状物
vt. 铺以地毯, 铺盖"
carpenter,n. 木匠
carve,"v. 雕刻, 切开"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
careful,"a. 小心的, 谨慎的"
careless,"a. 粗心的, 不关心的, 无忧无虑的"
career,"n. 事业, 生涯, 成功
"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
carbon,"n. 碳, 副本, 复写纸
"
carbohydrate,"n. 碳水化合物, 糖类
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
postcard,n. 明信片
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcely,"adv. 简直不, 一定不, 仅仅"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
cigar,n. 雪茄
cigaret,"n. 纸烟, 卷烟, 香烟"
garlic,"n. 大蒜
"
garbage,"n. 垃圾, 废物
"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
cater,"v. 提供饮食及服务, 投合, 迎合"
cattle,"n. 牛, 家畜
"
catastrophe,"n. 大灾难, 大祸
"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
category,"n. 种类, 类项
"
cathedral,n. 大教堂
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
incidentally,"adv. 伴随地, 偶然, 顺便"
coincide,"vi. 一致, 符合
"
coincidence,"n. 巧合, 同时发生
"
decide,"v. 决定, 判决"
decision,"n. 决定, 决心, 决断
"
decisive,"a. 决定性的, 坚定的, 果断的"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
concise,"a. 简洁的, 简明的"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
concept,"n. 观念, 概念
"
conceive,"vt. 构思, 认为
vi. 怀孕"
deceit,"n. 欺骗, 谎言
"
deceive,"v. 欺骗, 行骗"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
reception,"n. 接待, 接受, 招待会
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
municipal,"a. 市政的, 自治区的, 内政的
"
principle,"n. 原则, 原理, 主义
"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
recipe,"n. 食谱, 处方, 秘诀
"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
reciprocal,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
cupboard,"n. 食橱, 碗柜, 餐具柜"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
certain,"a. 确定的, 某一个的, 必然的
"
ascertain,"vt. 确定, 查明
"
certainly,adv. 确定地
certainty,"n. 确定, 确实的事情
"
certify,"v. 证明, 保证"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
concession,"n. 特许, 让步, 认可
"
concede,"vt. 承认, 退让
vi. 让步"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exceedingly,"adv. 极端地, 极度地, 非常"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
preceding,"a. 在前的, 前面的
"
predecessor,"n. 前任, 先辈, 前身
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
proceeding,"n. 进行, 程序, 行动, 诉讼程序, 事项
"
procedure,"n. 程序, 过程, 手续
"
success,"n. 成功, 成就, 胜利"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
successive,"a. 继承的, 连续的
"
successor,"n. 继承者, 接任者
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
circuit,"n. 电路, 环(行)道, 巡回
"
circus,"n. 马戏团, 马戏, 竞技场"
circular,"a. 圆形的, 循环的, 间接的
"
circulate,"v. (使)流通, (使)循环, (使)传播"
circumference,"n. 圆周, 周缘, 胸围
"
circumstance,"n. 环境, 状况, 事件"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
monocycle,n. 独轮脚踏车
bicycle,n. 自行车
tricycle,n. 三轮车
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
encyclopedia,n. 百科全书
disclose,"vt. 揭露, 透露
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
enclosure,"n. 附件, 围墙, 围绕
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
cloth,"n. 布料, 织品, 布
"
clothe,"vt. 给...穿衣, 盖上, 赋予"
clothes,n. 衣服
clothing,n. 衣服
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusion,"n. 结论, 结尾, 推论
"
exclude,"vt. 除外, 排除, 排斥
"
exclusive,"a. 排外的, 独占的, 唯一的
"
include,"vt. 包括, 把...算入, 包住
"
inclusive,"a. 包含的, 包括的"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
clutch,"n. 抓紧, 掌握, 离合器, 一窝小鸡
vt. 抓住, 踩汽车离合器踏板
vi. 抓
"
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
clock,"n. 时钟, 计时器, (袜子上的)绣花边花
vt. 绣花样, 记时, 记录
vi. 记录时间
"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
accordingly,"adv. 相应地, 因此, 于是"
according to,"根据, 按照；取决于；据…所说"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
recorder,"n. 记录员, 录音机
n. 记录器
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
decorate,v. 装饰
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
scorn,"n. 轻蔑, 藐视, 嘲笑, 被嘲弄的人
vt. 轻蔑, 不屑做"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
encode,"vt. 把(电文、情报等)译成密码
"
decode,"vt. 解码, 译解
"
courage,"n. 勇气, 胆量"
discourage,"vt. 使气馁, 阻碍"
encourage,"vt. 鼓励, 支持, 激励
"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtesy,"n. 礼貌, 谦恭, 好意
"
courtyard,"n. 庭院, 天井"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountant,"n. 会计人员, 会计师
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
counteract,"vt. 抵消, 阻碍, 中和
"
counterattack,"n. 反攻, 反击
v. 反攻, 反击"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
county,"n. 县, 郡"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
countryside,"n. 乡下地方, 乡下居民"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
over,"adv. 结束, 越过, 从头到尾
prep. 在...之上, 遍于...之上, 越过
a. 上面的
vt. 越过"
moreover,"adv. 而且, 此外"
govern,"v. 统治, 支配, 管理"
government,"n. 政府, 内阁
"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
sovereign,"n. 元首, 独立国
a. 具有主权的, 至高无上的, 国王的, 完全的"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
creative,"a. 有创造力的, 创作的, 产生的"
creativity,"n. 创造力, 创造性"
creature,"n. 人, 动物, 创造物, 生物"
