similar,"a. 相似的, 类似的
n. 相似的东西"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
respect,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
expect,"vt. 预期, 盼望, 期待"
fond,"a. 喜欢的, 宠爱的, 温柔的"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
support,"n. 支持, 支撑, 援助, 供养, 支撑物
vt. 支援, 支撑, 帮助, 支持, 忍受, 供养, 证实
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
research,"n. 研究, 调查, 考察
vi. 研究, 调查"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
apology,"n. 道歉, 辩护
"
apologise,vi. 道歉（等于apologize）
apologize,"vi. 道歉, 辩解"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
laughter,"n. 笑, 笑声
"
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
lively,"a. 活泼的, 鲜明的, 生动的"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
friendship,"n. 友谊, 友爱, 友善"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
reputation,"n. 名誉, 名声, 声望
"
preference,"n. 偏爱, 优先, 喜爱物
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
decade,"n. 十年, 十"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
vehicle,"n. 交通工具, 车辆, 传播媒介
"
wheel,"n. 轮子, 车轮, 轮, 方向盘, 旋转, 机构, 重要人物
vt. 使旋转, 转动, 使转向
vi. 旋转, 转弯, 盘旋"
civil,"a. 市民的, 公民的, 有礼貌的
"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
civilisation,"n. 文明, 文明世界, 文化, 开化, 教化"
civilization,"n. 文明, 教化
"
disaster,"n. 灾祸, 不幸, 彻底失败"
preparation,"n. 准备, 预备, 预习
"
arise,"vi. 站立, 出现, 起来"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
encourage,"vt. 鼓励, 支持, 激励
"
discourage,"vt. 使气馁, 阻碍"
courage,"n. 勇气, 胆量"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
decrease,"n. 减少, 减少量
v. 减少"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
promote,"vt. 促进, 晋升, 创办, 推销
"
accelerate,"v. 加速, 促进"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
development,"n. 发展
"
growth,"n. 生长, 栽培, 增长
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
excellent,"a. 优良的, 杰出的, 出色的"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
language,"n. 语言, 文字, 措辞
"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
spelling,"n. 拼, 拼字, 拼法
"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
opinion,"n. 意见, 评价, 主张
"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
author,"n. 作家, 作家的著作, 创始人
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
guest,"n. 客人, 来宾, 旅客
"
gifted,a. 有天才的
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
presentation,"n. 赠与, 描述, 介绍
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
thankful,"a. 感谢的, 感激的, 欣慰的"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
treatment,"n. 治疗, 待遇, 处理
"
hardship,"n. 艰难, 辛苦, 苦难
"
sweat,"n. 汗, 汗水, 水珠, 焦急
vi. 出汗, 渗出, 冒出水气, 结水珠, 烦恼, 懊恼
vt. 使出汗, 流出, 榨出, 使汗流浃背"
sadness,"n. 悲哀, 悲伤"
merry,"a. 快乐的, 愉快的, 嬉戏作乐的"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
height,"n. 高度, 海拔, 高地, 顶点
"
significance,"n. 重要性, 意义, 意味
"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
convenient,"a. 方便的, 合宜的
"
convenience,"n. 方便, 便利的事物, 方便的时候"
plenty,"n. 充分, 很多, 丰富
a. 很多的, 足够的, 丰富的"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
prevent,"v. 预防, 防止, 阻止, 妨碍"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
depth,"n. 深度, 深处, 深奥
"
freedom,"n. 自由, 坦率, 特权
"
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
beauty,"n. 美, 美人"
tiny,"a. 很少的, 微小的"
danger,"n. 危险, 威胁
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
pay,"n. 薪资, 付款, 补偿
vt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物
vi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
expense,"n. 费用, 代价, 开支, 损失
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
percent,"n. 百分比, 百分数, 部分
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
cash,"n. 现金
vt. 兑现"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
afford,"vt. 买得起, 足以, 给予"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
worth,"n. 价值, 财产
a. 值...的, 值得的"
worthy,"n. 杰出人物
a. 有价值的, 可敬的, 值得的"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
deserve,"vt. 该得到, 值得
vi. 应得报答"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
valuable,"a. 有价值的, 贵重的, 宝贵的, 可估价的
"
useless,"a. 无用的, 无效的, 无益的
"
educate,"vt. 教育, 培养, 训练"
education,"n. 教育, 训练, 教育学
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
confident,"a. 有信心的, 有把握的"
create,"vt. 创造, 建造, 引起, 任命"
creative,"a. 有创造力的, 创作的, 产生的"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attractive,"a. 吸引人的, 有魅力的
"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
superb,"a. 极度的, 华丽的, 极好的"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
pleasant,"a. 愉快的, 可爱的, 活泼的, 亲切的"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attain,"vt. 达到, 获得
vi. 达到"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
population,"n. 人口, 人口数
"
intend,"vt. 计划, 打算, 意思是
"
intention,"n. 意图, 目的, 含义
"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
recent,"a. 最近的, 近代的, 最新的
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
pleased,"a. 高兴的, 喜欢的, 满足的"
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
basis,"n. 基础, 主要成分
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
fill,"vt. 装满, 填充, 弥漫, 供给, 满足, 供应
vi. 充满, 变得沉重
n. 满足, 装满, 充分, 填方
vt. 填充
vi. 填充
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
bleed,"vi. 流血, 悲痛, 渗出
vt. 使出血, 榨取"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
compete,"vi. 竞争, 对抗"
competition,"n. 竞争, 竞赛
"
invent,"vt. 发明, 创作, 虚构
"
invention,"n. 发明, 创作能力, 虚构的故事
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
require,"vt. 需要, 命令, 要求
"
requirement,"n. 需求, 必要条件, 要求
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
scenery,"n. 风景, 景色, 舞台布景"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
suggestion,"n. 提议, 意见
"
saying,"n. 叙述, 话, 说, 言论"
remind,"vt. 提醒, 使想起"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
response,"n. 反应, 回答, 响应
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
vacation,"n. 假期, 休假
"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
regardless,"a. 不管, 不注意, 不顾"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
outcome,"n. 结果, 出口"
consequence,"n. 结果, 重要性
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusion,"n. 结论, 结尾, 推论
"
globe,"n. 球, 球状物, 地球仪, 天体
v. (使)成球状"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
professional,"n. 专业人才
a. 专业的, 职业的"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
guidance,"n. 指导, 领导
"
avoid,"vt. 避免, 防止, 撤消
"
depend,"vi. 靠, 视...而定, 信赖"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
rely,"vi. 信赖, 依赖, 信任"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
clever,"a. 聪明的, 精明的"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
fool,"n. 愚人, 受骗者, 奶油拌水果
vt. 愚弄, 欺骗, 浪费
vi. 干傻事, 开玩笑, 游荡
a. 傻的"
