abandon oneself to,沉溺于
clear away,"na. 扫除；砍去；(雾等)消散
"
clear up,"na. 整顿；说明；(天气)转晴
"
click on, 点击鼠标
close down,"关闭, 歇业, 停止播音"
collect oneself,"心平气和,平心静气,镇定一下"
come about,"发生, 改变方向"
come across,偶遇
come along,v. 出现；一起来；陪伴；进步
come into being,"形成, 产生"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come to terms with,"与…达成协议,慢慢习惯"
come true,"实现, 成为事实"
come up with,"赶上, 提出"
compare ... to ..., 把…比作， 喻为; 与…相比
compensate for,赔偿
complain about,抱怨
complain of,"抱怨, 抗议"
concentrate on,"集中, 全神贯注于"
concentrate upon,集中在;专心于
congratulate ... on ...,"un. 祝贺
"
congratulate ... upon ...,无
connect with,"连接, 联络"
consider ... as ..., 看成
consist in,存在于
contrary to,与…相反
contribute to,捐献
convince ... of ...,"na. 使(人)承认
"
cool down,"变凉, 平静下来
"
cool off,"变凉, 平静下来"
correspond to,"相当于..., 与...相对应"
count on,"依靠, 指望"
count upon,仰赖
cross out,"na. 取消
"
crowd in," （使）拥[挤]入; 在时间表中挤进, 强安排进"
cry out,大声呼喊
cut across,抄近路通过
dance to,跟着…摇摆
dare to, 敢于
date from, 始于
day after day,日复一日
deal with,"安排, 处理, 涉及, 做生意"
debate on, 关于…进行辩论
debate about,辩论，讨论(问题)；考虑，细想，盘算
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
declare against,v. 表态反对
dedicate ... to ...,献身
defend ... against ...,"防御,防卫"
defend ... from ...,保卫
depend on,"依靠, 依赖"
depend upon," 依赖, 依靠"
deposit ... in ...,在…处储存
descend from,从…下来;是…的后裔
describe ... as ...,描述为
develop into,"演变成…,发展成为…"
devote ... to ...,"v. 把…贡献给
"
die away,"熄灭, 平息, 消失"
differ from,不同
dig into,"钻研, 掘进去"
distinguish between ... and ...,无
dive into,"把手伸入, 投入, 钻研"
divide ... into ...,"把…划分成,分成"
do away with,"废除, 弄死"
do harm to, 损害。。。，伤害。。。; 残害
do without,没有...也可以
donate ... to ...,赠送，赠款，捐款，捐赠
dozens of,"几十个,数十个;许多…"
draw a conclusion,得出结论
draw in,"收缩, 引诱, 接近黄昏, 紧缩开支"
dream about,"想见,梦见,考虑"
dream of,"梦见,梦想,向往,渴望"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drop away,"离开, 散去"
drop out,"掉出, 退出, 离队
"
drop out of,"退出,辍学,脱离"
dry out," （使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干"
due to,"由于, 应归于"
each other,彼此
earn a living,"谋生,挣钱,自食其力"
earn one's living,"谋生, 维持生活"
ease off,"放松, 缓和, 减轻"
eat one's words,认错道歉
eat up,"吃光, 耗尽, 吞灭"
either ... or ...,adv. 不是…就是…，…或…，要么…要么…
end up with,〈非正〉以…结束
enjoy oneself,过得快乐
enter for,"na. 参加(赛跑)
"
even as,"正巧在...的时候, 正如"
even if,即使
even though,"虽然, 尽管"
ever since,从那时到现在
every now and then,"常常, 不时地"
every now and again,"有时, 时时, 偶尔"
every other,"每隔一, 所有其他的"
except for,"除...以外
"
exist in, 存在于…中
expose ... to ...,"un. 暴露于
"
face to face,面对面
fade away,逐渐消失
fall in love with,爱上
fall over, 被…绊倒; 意外地从…上跌落; 落在…之外; 迫不及待做某事
fall behind,"落在后面, 拖欠"
far from,"远离, 远非"
far too,"非常,极其,太"
feed on,"以...为食, 以...为能源"
feel like," 摸起来像是…, 有…的感觉; 想要…"
feel one's way,"摸索着走, 谨慎行事"
figure out,"合计为, 计算出, 明白"
fill in,"na. 填充；填写；同“fill”
"
find out,"na. 查出；发现；看清…的面目；识破
"
first of all,首先
fix on,"确定, 决定"
fix upon,决定
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
focus upon,[网络] 专注于；集中于
for free,免费地
for sale,"待售
"
for sure,确实
for the time being,暂时
free from,"na. 无…的
"
from time to time,有时
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get along,"生活, 融洽相处"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get along with,"进展, 走开"
get on with, 继续（干某事）; 和…友好相处
get away from,"离开,摆脱,脱离"
get away with,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
get down to,开始认真考虑
get in touch, 取得联系
get in touch with,与...联系
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get involved in, 涉及
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get rid of,"摆脱, 除去"
get stuck,v. 受骗; 卡; 揢
get through,"做完, 通过, 度过"
get tired of,"讨厌,厌倦"
give away,"na. 赠送；分发；放弃；露马脚
"
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give sb. a lift,[网络] 让…搭车；搭便车
glare at,怒视
go against,"反对, 违反, 不利于"
go ahead,前进
go in for,"参加, 追求, 从事, 赞成"
go on a diet,"用规定食谱, 节食"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
had better,最好
hand back,"v. 归还
"
hang about,闲荡
hardly ... when ...,一…就…
have a class,[网络] 上课；学生上课
have classes, 上课
have a cold,患感冒
have a gift for,对...有天赋
have a go," 企图, 尝试; 抱怨"
have a good time,过得快乐
have a great time,n. 玩得愉快
have a hand in,"插手..., 参加, 分担"
have a population of,无
have a say in,在…上有发言权
have a taste of, 领略
have a temperature,发烧
have a word with,和…说几句话
have an appetite for,爱好
have an effect on,(对…)有影响〔产生效果〕
have an eye for,很能鉴赏
have an impact on,对…有影响
have a desire to do,无
have difficulty in,对…有困难
have faith in,"na. 相信
"
have fun in,"玩得开心
有乐趣"
have fun with, 玩得开心
have to," 不得不, 只好; 只得; 必须; 不得已"
have got to,"必须, 不得不"
have ... in common,"un. 没有共同之处；有某些共同之处
"
have influence on,[网络] 对某物施加影响；对……产生影响；有影响
have an influence on,对...有影响
have something to do with,与...有点关系
have sth. on one's mind,惦记；挂在心上；为…担心，忧虑(某事)
have sth. in stock,无
have sth. to do,[网络] 不得不做某事；必须做某事；应该做什么事
have trouble doing sth.,[网络] 做某事有困难；做……有困难；做某事有麻烦
have trouble in doing sth.,无
have words with,和某人吵架
hear about,"听说,听到过"
hear of,"na. 听说；获悉；收到…的消息；知道
"
heart and soul,全心全意地
help oneself,自用
help oneself to,自用
help ... out,"v. 帮助…摆脱困境；救出；协助
"
help sb. with,"v. 帮助
"
here you are,"你已经到了,你要的东西在这儿!"
hit on,"忽然想到,碰巧遇见,到达"
hit upon, 偶然发现
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
how about," …怎么样, …怎么办"
how far,"(离...)多远, 到什么程度, 到什么范围"
how long, 多久; 多长
hundreds of,"几百..., 许许多多..."
hunt for,搜寻
hurry into,(使)匆忙进入…; (使)赶快〔匆忙〕开始从事〔做〕…
hurry up,"赶快, 匆匆完成"
if only,只要
if possible,如果可能的话
impress on,"v. 给…深刻印象；盖印于
"
impress with,"v. 深深打动
"
improve on,改进
improve upon,vt. 改进
in a dilemma,"陷入困境,处境尴尬,进退两难"
in a flash,"一刹那间, 瞬间, 即刻"
in a hurry,匆忙
in a rush,"急急忙忙地,匆匆地"
in a moment,立刻
in a nutshell,"简括地说, 一句话"
in a row,"成一长行, 连续, 一连串"
in a way,"在某种程度上, 稍稍"
in a whisper,"轻声地,窃窃私语地,嘀咕着"
in whispers,无
in a word,总之
in accordance with,"与...一致, 依照"
in addition,另外
in advance,"预先
"
in agreement with,"同意,与…一致"
in aid of,"为援助,以援救…"
in all,"总共
"
in amazement,"吃惊地,惊讶地"
in answer to,"回答, 响应"
in any case,无论如何
in appreciation of,"感激
欣赏"
in battle, 在战斗中，在战争中
in brief,"简言之, 以简洁的形式"
in case,万一
in case of,"假设, 万一"
in cash,[经] 用现金
in celebration of,为庆祝...
in charge,"主管, 看管, 在...看管下"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in common,共有
in company, 一同，一起
in comparison with,与...比较
in comparison to,"与…比较,与…相比"
in conclusion,最后
in ... condition,"健康状况好, 保存得好"
in confidence,"na. 秘密地
"
in contrast to,"与...形成对照, 而..."
in control,"控制, 管理, 负责"
in control of,控制住
in danger,在危险中
in debt,"un. 背上了债；负债；欠款
"
in demand,"[经] 销路好, 有需要"
in detail,详细地
in disguise,乔装着
in effect,"有效
"
in English, 用英语
in error,错误地
in exchange, [财]在兑换中
in existence,"存在, 现有"
in the face of,面对
in fact,"事实上
"
in favor of,"赞同, 有利于"
in force,"大规模地, 有效的
"
in front,在前面
in front of,在...前面
in future,[法] 将来
in general,大多数
in hand,"na. 现有；(工作)正在进行；控制住
"
in harmony, 谐; 合拍; 和和睦睦
in harmony with,"与...协调, 与...一致"
in honor of,"为向…表示敬意,为庆祝…为纪念…"
in hospital,[网络] 住院；在医院；生病住院
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in memory of,纪念...
in nature,"na. 现在存在；事实上；究竟
"
in need,"在急需时,在贫困时,在危难中"
in need of,"需要...时, 如果需要..."
in no case,决不
in no hurry,不慌不忙
in no time,立刻
in one's opinion,"na. 据某人意见
"
in one's view, 依某人看来
in one's sight,[网络] 照某人的眼光看来；在视线内
in one's turn,轮到某人
in order,"整齐, 状况良好, 适宜"
in order that,"为了,以便"
in order to do sth., 俾
in other words,换句话说
in pairs,"成双地, 成对地"
in part,部分地
in particular,特别
in peace,"平静地,安静地,和睦地"
in person,"亲自, 外貌上
"
in place,"na. 得其所；适当的
"
in place of,"代替
"
in possession of,"获得,弄到,佔有,佔领…"
in practice,"在实践中, 实际上, 熟练"
in praise of,为赞扬
in preference to,优先于...
in private,"私下, 秘密地"
in public,当众
in rags,"穿着破衣服,衣衫褴褛"
in reality,"实际上, 事实上"
in recognition of,[法] 为酬谢
in relief, 浮雕一般，鲜明地，显著地; 阳
in response to,"回答..., 响应..., 对...有反应
"
in return,作为报答
in ruins,成为一片废墟
in search of,寻找
in season,"当令, 及时, 及早"
in shape,"在外形上, 处于良好状态"
in short,"简而言之
"
in sight,被看到
in silence,沉默着
in some case,[网络] 在某种情况下；在某些方面
in spite of,不管
in store,"贮藏着, 保存着, 准备着, 将要发生
"
in sum,总言之
in support of,"支持, 支援"
in surprise,惊异地
in terms of,"用...的话, 根据, 按照, 在...方面
"
in that case, 如果是那样的话
in the abstract,"抽象地, 理论上"
in the area of,在…方面
in the balance, 悬而未决，犹豫; 在危急状态中
in the beginning," 起初, 首先"
in the charge of,"由…保管,在…的率领下"
in the company of,在...陪同下
in the course of,"在...期间
"
in the distance,在远处
in the end,"最后, 终于"
in the flesh,"以肉体形式, 亲自"
in the form of,以…形式
in the front of,在最前面; 在最重要的位置
in the future,"未来, 将来, 往后"
in the history of,无
in the hope of,怀着希望
in the least,丝毫
in the long run,"长远, 最后"
in the meantime,"同时;当其时,在其间"
in the middle of,"在...当中, 在...的中途, 在...中央"
in the mood for,"有…的兴致,想做…"
in the open air,在户外
in the way,挡道
in one's way,"挡道的, 妨碍人的, 使人不便的, (英)近在咫尺, 在场"
in the world,在世界上
in theory, 理论上
in this way,这样
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in total,"总共, 总计
"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
"
in use,"在使用着, 在应用"
in vain,"徒然
"
in view of,"考虑到, 由于
"
in want of,"需要,缺少"
increase to,增长到…
infer from,从…中推导出
inferior to, 次于，劣于; 不如; 不及
insist on,"坚持, 坚决要求"
insist upon,"坚持(做)..., 坚决要求(做)..."
instead of,代替
join hands,"会战,合作,联合行动"
join in,"参加, 加入"
join the army, 参军; 当兵
join up,"参军, 联合起来"
jot down,"v. 草草记下
"
judge ... from ...,根据〔由〕…作出判断
judge ... by ...,根据〔由〕…作出判断
judging by,根据…来判断
judging from,根据…来判断
jump the queue,"插队, 获得优惠待遇"
just a minute,请等一会儿
just a moment, 等一会儿
just about,"几乎, 正是"
just now,刚刚
just so,正是如此
just then," 就在这时候, 那时候; 方才"
keep a record of,"记录,记载,把…记下来"
keep an eye on,"照看, 密切注视"
keep an eye out,"注视,注意,警惕"
keep an eye out for,留心〔注意〕某人〔某事物〕
keep at,"na. 纠缠；坚持地做
"
keep away,防范
keep away from,(使)远离，(使)不接近；(使)不在
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep fit,"保持健康,健身"
keep from ...,"na. 避开；禁止；抑制；隐瞒
"
keep ... from ...,"na. 避开；禁止；抑制；隐瞒
"
keep ... in mind,"na. 记在心里；记住；注意
"
keep in touch,保持联络
keep in touch with,与...保持联络
keep it up, 继续下去，不松劲
keep off,"让开, 不接近"
keep on doing,继续做某事；继续做
keep one's balance,保持平衡
keep one's eyes on,"注视,监视"
keep one's head,保持冷静
keep one's promise,遵守诺言
keep a promise,"遵守诺言, 履行诺言
"
keep one's word,守信
keep out of,"v. 置身事外；把…挡在…外
"
keep pace with,"并驾齐驱, 齐头并进"
keep to,"v. 坚持；固守
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"跟上
"
kick off,"踢脱, 中线开球"
kill off,"na. 消灭
"
kill time,消磨时间
kind of," <口>稍微, 有点儿, 有几分"
knock about,n. 武打戏的表演
knock around,"漫游; 四处走动; 殴打; 在肉体〔精神〕上虐待; 接连打击, 毁坏; 活着; 放着无人理睬"
know about,"知道,了解,听说过…"
know of,"知道,了解,听说过…"
know ... by heart,[网络] 记在心中；能背上来
know ... from ...,"v. 辨识；区别
"
lack of, 缺乏
land on one's feet,"交好运, 脱离困境"
last but not least,最后但并不是最不重要的(一点)
later on,稍后
laugh at,"嘲笑, 漠视, 因...发笑"
laugh one's head off,狂笑
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay up,"贮存, 搁置, 卧床
"
lead a ... life,"过活,过日子"
lead the way,"带路, 示范"
lead to,"导致, 通向"
lead up to,"带到, 导致, 作为...的准备"
learn about,"学习,听说,得悉,了解"
learn of,"听说..., 获悉..."
learn ... by heart,"na. 记住；熟记
"
learn from,向...学习
least of all,最不
leave a message,给某人留个信
leave ... alone, 置于不顾
leave aside,"v. 不考虑
"
leave behind,"na. 遗留；留下；追过；留在后头
"
leave for,"un. 到…地方去；去某地:
"
leave off,"停止, 不再穿"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
leave school,"退学, 离校, 放学回家"
lend sth. to sb.,"un. 贡献:
"
less than," 小于, 决不; 以内; 没有; 不足"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let down,"na. 使失望；放下；丢面子
"
let go,"v. 放手；解雇；松手；忽视
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,[网络] 阿尔都塞思想的全部整体
let up,"减小, 停止"
lie down,躺下
lie in,"在于..., 分娩, 睡懒觉"
lie with,是...的权利/义务
lift up,举起
link ... to ..., 与…连接， 联系
link up," （使）连接, （使）结合, （使）合并; 贯通; 连贯; 沟通"
link up with,(使)与…衔接
listen to,听
little by little,渐渐
live by,靠…为生
live in,住进
live on,"继续生活, 以...为主食, 靠...生活"
live through,"度过, 经受过"
live up to,"实践, 做到"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
log in,[计] 注册
log on,"[计] 注册, 登录, 登录入网"
long after,很久以后
long before,在...以前很久
long for,渴望
look about,"四处寻找, 考虑, 察看"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
look about for,寻找(某人或某物)
look around for,到处寻找
look after,"目送, 照顾, 关心"
look ahead,"向前看, 着眼未来"
look as if,看起来好像…
look at,"看, 考虑, 着眼于"
look away, 不再看（某人或某物）
look away from,"v. 视线避开
"
look back on,"回头看,回顾,追忆"
look back upon, 回溯；回忆
look down on,"轻视, 看不起"
look down upon, 蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过
look for,"寻找, 期待"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look in at,"v. 看
"
look into,"窥视, 浏览, 观察
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look on,"观看, 旁观, 看待"
look upon," 看作, 显得不错; 看待"
look on ... as ...,[网络] 把……看作；把看做；把当作看待
look upon ... as ..., 当做；看成；看做
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
look out for,"当心…,留神…,提防…"
look over,"na. 浏览；检查；察看
"
look the same, 看起来很象
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
look to,"照看, 注意, 指望"
look up,"v. 查找；查阅；探望；看望
"
look up and down,"v. 上下打量着
"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
lose control of,失控
lose face,"丢脸, 失去自尊与别人的信任, 失去尊严/影响力/名望"
lose heart,丧失勇气
lose interest in,对…失去兴趣
lose one's balance,"失去平衡, 心慌意乱"
lose one's head,"被砍头, 不知所措"
lose one's heart to,"心被...俘去, 爱上..."
lose one's life,"na. 死；丢了性命
"
lose one's sight,失明
lose one's temper,发脾气
lose one's voice,说不出话来，嗓子哑了
lose one's way,迷路
lose out,"(比赛)输掉, 失败"
lose sight of,"不再看见, 忽略, 忘记"
lose touch with,和…失去联系
lose weight,体重减轻
lots of,"许多的..., 大量的..."
major in,"主修, 专攻"
make a choice,"挑选,选择"
make a decision,作决定
make a difference,"有区别,有很大关系"
make a face,做鬼脸
make a living,"谋生, 挣钱度日, 维持生活"
make one's living,"谋生, 挣钱度日, 维持生活"
make a promise,允许
make a speech,"发言,发表演说"
make contact with,与...联系
make ends meet,"量入为出,使收支相抵"
make an effort,作出努力
make for,"走向, 有利于, 倾向于"
make friends, 交朋友
make friends with,"(和某人)交友, 建立友谊"
make fun of,取笑
make it,"及时抵达, 做成"
make a fortune,"发财,致富"
make one's fortune,发财；发迹，在社会上获得地位
make one's way to,到...去
make one's way toward,无
make one's way through,无
make out,"na. 理解；发现；起草；证明
"
make progress,取得进步/展
make sense,有意义
make sure,确定
make the best of,充分利用
make the most of,尽量利用
make up,"na. 弥补；起草；定；签订
"
make use of,使用
manage to do sth., 设法做成某事
masses of,"大量的,众多的"
mean to do sth., 打算做；有意做
mistake ... for ...,错认
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
more and more,越来越多
more or less,或多或少
more than,"比...多, 超出预料, 很, 绰绰"
much too,"太,过分,非常"
name after, 以…的名字起名
narrow escape, 九死一生，幸免于难; 真玄啊
needless to say,"不用说, 当然, 不出所料"
neither ... nor ...,[网络] 既不……也不；两者都不；均不
never mind,"没关系, 不用担心"
next to,几乎
no longer,不再
no problem, 不麻烦;  没什么;  没事儿; 非常容易
object to,"反对,不赞成"
occur to,…发生在; 被想起〔到〕
of all time," 一直, 始终；有史以来"
of course,当然
of one's own,属于某人自己的
of the moment,此刻
off duty,下班的
on account of,由于
on all fours,"匍匐, 完全一致
"
on and on,继续不停地
on average, 平均起来
on behalf of,"代表...
"
on board,"在船/车/飞机上, 在公共交通车辆上
"
on business,因公
on condition that,"若是…, 以…为条件"
on contact,"联系
接触"
on contact with,无
on duty,"值班, 上班
"
on earth,"在世上, 究竟"
on end,"竖着, 连续地"
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
"
on good terms with,与某人关系好
on guard,"na. 看守；值班
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on holiday,"na. 在休假中
"
on occasion,有时
on offer,"削价出售的, 供出售的
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
on one's part,至于某人，对某人来说；在某人方面
on one's way,"un. 无法；在路上；快要出头了
"
on the way," 在途中, 接近; <口>（孩子）已成胎而尚未出生; 沿途; 沿路"
on one's way to,无
on the way to,在去...的路上
on principle,根据原则
on purpose,"故意
"
on sale,"廉售的, 拍卖的"
on second thought,"进一步考虑后,重新思考后,转念一想"
on second thoughts,经再次考虑，重新考虑后；经再次考虑，重新考虑后；经过重新考虑之后，再仔细考虑以后
on show,"陈列着, 展览着"
on sight,"一见, 一见就"
on the alert,"警惕着, 防备着
"
on the basis of,以...为基础
on the brink of,"在…边缘,濒于,接近,几乎,差点"
on the contrary,"正相反
"
on the decline,没落
on the increase,正在增长
on the one hand ... on the other ...,无
on the one hand ... on the other hand ..., 一方面…，另一方面…
on the phone, <口>在打电话，在接电话
on the point of doing sth.,无
on the radio,"从收音机中,用无线电,通过广播"
over the radio,"从收音机中,用无线电,通过广播"
