and,"conj. 和, 与
"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
do,"v. 做, 进行, 完成"
eight,"num. 八, 八个"
five,"num. 五, 五个"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
four,"num. 四, 四个
"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
guitar,n. 吉他
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
how many, 几何；几；多少；几多
ice cream,"冰淇淋
"
juice,"n. 汁, 活力, 体液
vt. 挤出汁来, 加汁"
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
kite,"n. 风筝, 筝帆, 空头支票, 骗子
vi. 象风筝一样飞, 轻快地移动, 使用空头支票
vt. 使上升, 骗钱"
nine,"num. 九, 九个"
no,"n. 不, 拒绝, 否决票
a. 没有, 不是, 绝非
adv. 不"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
one,"n. 一(个)
pron. 一, 任何人
num. 一, 一个
a. 一致的, 完整的"
phone,"n. 电话, 受话器, 耳机
vt. 打电话给
vi. 打电话"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
seven,"num. 七, 七个"
six,"num. 六, 六个"
snail,"n. 蜗牛, 行动迟缓的人, 脑筋迟钝的人, 蜗形凸轮
vt. (蜗牛般)缓慢地打发(时间)
vi. 缓慢移动"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
ten,"num. 十, 十个"
thank,"n. 谢意, 感谢
vt. 谢谢, 感谢"
three,"num. 三, 三个"
two,"num. 二, 二个"
yes,"adv. 是
n. 是, 同意
v. 同意"
yippee,"interj. (表示开心、快乐)咦吡, 好啊"
yuk,n. 引起大笑的趣事；[俚]（因有趣而发出的）咯咯大笑
zero,"n. 零, 零点, 零度, 无, 乌有, 最低点
a. 零的, 没有的
vt. 调零, 对(炮火等)作协调校正
"
at,"prep. 在, 向, 对
"
black,"n. 黑色, 黑颜料
a. 黑色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
butterfly,"n. 蝴蝶
"
door,n. 门
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
heeheehee,无
Help!,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
here you are,"你已经到了,你要的东西在这儿!"
house,"n. 房子, 住宅, 机构, 议院, 家族, 家庭
vt. 给...房子住, 收藏
vi. 住, 躲藏"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
nose,"n. 鼻子, 突出部分, 嗅觉
vt. 嗅到, 探出, 用鼻子触
vi. 闻, 嗅, 探听, 告密"
now,"adv. 现在, 刚才, 目前
n. 现在
a. 现在的
conj. 由于"
oh,interj. (表示惊讶、恐怖、赞叹)哦
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
phew,"interj. 咳, 哦, 唷"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
please,"adv. 请
vt. 使高兴, 合...的心意, 取悦
vi. 使人满意, 讨好, 愿意, 敬请"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
rainbow,"n. 彩虹
a. 五彩缤纷的"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
too,"adv. 也, 非常, 太"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
wizard,"n. 男巫, 术士, 奇才
a. 男巫的, 巫术的
"
wow,"interj. (非正式)哇
n. 巨大的成功, 轰动一时的成功, 十分有趣的事物
"
yellow,"n. 黄色
a. 黄色的"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
eraser,n. 擦子
hooray,"interj. 万岁
n. 万岁
v. 呼万岁"
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
pencil case,铅笔盒
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
rabbit,"n. 兔子
vi. 猎兔
vt. 让...见鬼去"
rubber,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘
vt. 用橡胶制造, 涂橡胶于"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
schoolbag,n. 书包
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
skipping rope, 跳绳用绳子
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
table,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
TV,"n. 电视；电视机
abbr. (=television)
"
abracadabra,"n. 咒语, 胡言乱语"
banana,n. 香蕉
birthday,n. 生日
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
catch,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手
vt. 捕捉, 赶上, 感染, 听清楚
vi. 抓住, 燃着"
chocolate,"n. 巧克力
a. 巧克力制的"
Christmas,[网络] 圣诞；基督的弥撒
day,"n. 天, 日子, 白天, 工作日
"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
Happy birthday!,n. 生日快乐
Happy New Year!, 新年快乐；新春快乐
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
"hip, hip, hooray!",[网络] 小学英文；朗文英语；少儿英语培训教材
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
lovely,"a. 可爱的, 有趣的"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
New Year's Day,元旦
old,"n. 以前, 往昔
a. 老的, 旧的, 古老的, 年长的, 老练的"
ouch,"interj. 哎唷(表剧痛)
n. 扣环, 胸针, 珠宝饰物"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
pizza,n. 比萨饼
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
tea,"n. 茶, 茶叶
"
there,adv. 在那里
thirsty,"a. 口渴的, 渴望的, 干燥的"
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
tree,"n. 树, 木料, 树状物
vt. 把...赶上树
"
UFO,[网络] 不明飞行物；哈罗；好交通工具了
vegetable,"n. 蔬菜, 植物, 无精打采之人
a. 蔬菜的, 植物的"
warning,"n. 警告, 预告, 预兆, 通知
"
water,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
welcome,"n. 欢迎, 欢迎词
a. 受欢迎的, 可随意的, 可喜的
vt. 欢迎, 接待
interj. 欢迎"
wham,"n. 重打声
v. 重打"
X-ray,"X射线, X光, X光照片"
year,"n. 年, 年度, 年龄
"
yoyo,n. 摇摇乐；溜溜球
yummy,"a. 美味的, 可口的, 赏心悦目的, 愉快的"
zebra,n. 斑马
all right,"好, 顺利, 良好的, 正确的"
blackboard,n. 黑板
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
classroom,n. 教室
cut out,"na. 割掉；除去；剪下；开辟
"
desk,"n. 书桌, 办公桌, 工作台"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
next time,"下次, 下次"
whiteboard,n. 白色书写板
window,"n. 窗户, 窗子, 窗口
vt. 给...开窗
"
with,"prep. 和...在一起, 以, 由于"
won't,[网络] 惯于
along,"adv. 平行地, 向前
prep. 沿着"
Argentina,n. 阿根廷
Brazil,n. 巴西
cardboard,"n. 薄纸板
"
croak,"n. 呱呱叫声, 哇哇声
vi. 呱呱地叫, 发牢骚
vt. 用嘶哑的声音说"
dotted line,[计] 虚线
Father Christmas,圣诞老人；耶诞老人（等于Santa Claus）
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
from,"prep. 从, 来自, 根据"
glue,"n. 胶, 粘性物
vt. 粘合, 胶合"
Great Britain,大不列颠
Italy,n. 意大利
lots of,"许多的..., 大量的..."
Merry Christmas,圣诞快乐
photo,"n. 相片, 照片, 逼真的描绘
v. 照相
a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
right,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
"
scissors,"pl. 剪刀
"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
stocking,"n. 长袜
"
that,"a. 那, 那个
conj. 以致, 因为
pron. 那
adv. 那么, 那样"
that's,"(=that is)说得更精确些, 简而言之"
that is,(作插入语)那就是
wrap,"n. 外套, 围巾, 包裹物, 限制, 约束, 秘密, 换行
vt. 包装, 卷, 缠绕, 包, 裹, 覆盖, 遮蔽, 隐藏, 掩护
vi. 缠绕, 穿外衣, 包起来
"
wrapping paper,
