heritage,"n. 遗产, 祖先遗留物, 继承物
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
battery,"n. 电池, 殴打
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
Wi-Fi,abbr. 基于IEEE 802.11b标准的无线局域网（Wireless Fidelity）；无线网络模块
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
button,"n. 钮扣, 按钮
vi. 扣住
vt. 钉钮扣于, 扣紧
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
in shape,"在外形上, 处于良好状态"
keep track of,了解
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
privacy,"n. 隐私, 隐居, 秘密
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
troll,"vi. 滚动, 参加轮唱, 曳绳钓鱼
vt. 使转动, 轮唱, 高唱, 用曳绳钓(鱼)
n. 转动, 轮唱, 钓绳"
cyberbully,[网络] 网络暴力；网络欺凌；网路霸凌
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
embarrassing,"a. 令人为难的, 麻烦的"
make fun of,取笑
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
guideline,"n. 指导路线, 方针, 指标
"
author,"n. 作家, 作家的著作, 创始人
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
keep in mind,"na. 记在心里；记住；注意
"
keep ... in mind,"na. 记在心里；记住；注意
"
define,"vt. 定义, 规定, 使明确
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
the World Wide Web,"n. 万维网
"
WWW,[缩] World Weather Watch 世界天气监视网
Jan Tchamani,无
Birmingham,n. 伯明翰
Confucius,n. 孔子
mansion,"n. 大厦, 宅邸"
cemetery,"n. 墓地, 公墓
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
Achilles' heel,致命要害；薄弱环节
kingdom,"n. 王国, 领域
"
chief,"n. 领袖, 酋长, 长官, 主要部分
a. 主要的, 首位的"
puzzle,"n. 难题, 迷惑
vt. 使困惑, 使为难
vi. 迷惑, 苦思"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
join ... to ...,加在…之上; (使)加入
break away,"突然离开, 脱离, 放弃"
break away from sb.,"摆脱,脱离"
break away from sth.,"摆脱,脱离"
belong,"vi. 属于, 合适"
belong to,属于
as well as,"也, 又"
currency,"n. 货币, 通货, 流通, 通用
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
defence,"n. 防卫, 防卫设备
"
legal,"a. 法律的, 法定的, 合法的
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
evidence,"n. 根据, 证据, 迹象
"
achievement,"n. 完成, 成就, 功业"
location,"n. 位置, 场所, 特定区域
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
battle,"n. 战役
v. 战斗"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
keep your eyes open,"睁开眼睛
睁大眼睛
留意"
keep your eyes open for,无
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
amount,"n. 总数, 总额
vi. 总计, 等同"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
ensure,"vt. 确定, 保证, 担保, 保护
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
butter,"n. 奶油, 黄油
vt. 涂黄油于"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
ancestor,"n. 祖先, 祖宗"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
courtyard,"n. 庭院, 天井"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
eager,"a. 热心的, 渴望的, 热望的"
poet,n. 诗人
county,"n. 县, 郡"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
cattle,"n. 牛, 家畜
"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
pub,"n. 酒馆, 客栈"
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
beer,"n. 啤酒
"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
Wales,n. 威尔士
Scotland,n. 苏格兰
Northern Ireland,北爱尔兰自治区（在爱尔兰东北部）
Anglo-Saxon,"n. 五世纪左右移居英国的日耳曼族人民；盎格鲁撒克逊族；盎格鲁撒克逊语
adj. 盎格鲁撒克逊族"
Viking,n. 海盗
Norman,"adj. 诺曼第人的；诺曼第语的
n. 法国诺曼第人"
the Normans,无
Battle of Hastings,"na. 海斯汀斯战役
"
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
Van Gogh,n. 梵高（荷兰画家）
the Emerald Isle,绿宝石岛(爱尔兰别名)
Irish,"n. 爱尔兰人, 爱尔兰语
a. 爱尔兰的"
classical,"a. 古典的, 正统派的, 经典的
"
hip-hop,n. 希普霍普
techno,[计] 技术
energy,"n. 精力, 精神, 活力, 能量
"
soul,"n. 灵魂, 心灵, 精神, 精髓, 人, 化身, 典型, 鬼魂
a. 黑人的"
bagpipes,n. 风笛
stringed,a. 有弦的
stringed instrument,n. 弦乐器
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
virtual choir,[网络] 虚拟合唱团；虚拟世界里的大合唱
composition,"n. 作文, 创作, 组成
"
opportunity,"n. 机会, 时机"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
performer,"n. 表演者, 执行者, 完成者
"
onto,prep. 在...之上
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
enable,"vt. 使能够
"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
composer,"n. 作曲家, 作家, 调停者"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
fall in love with,爱上
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
altogether,"adv. 完全地, 总而言之"
thus,"adv. 如此, 因此, 到如此程度
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
rap,"n. 轻敲, 拍击, 责骂, 无价值的东西
vt. 轻敲, 厉声说出, 叱责, 抢走, 使着迷
vi. 敲击, 发敲击声, 交谈, 同情
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
capable,"a. 有能力的, 能的, 能干的"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
absorbed in sth.,[网络] 专心于；吸引；过去分词短语作原因状语
absorbed in sb.,[网络] 专心于；吸引；过去分词短语作原因状语
previous,"a. 早先的, 前面的, 过急的
"
unemployed,"a. 失业的, 未被利用的
"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
album,"n. 粘贴簿, 唱片套
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
aim,"n. 目标, 瞄准, 击中目标的能力
vi. 对准目标, 致力, 打算
vt. 瞄准
"
set sth. up,"na. 建立；创立；发起；开办
"
equipment,"n. 装备, 设备, 才能
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
talent,"n. 天才, 才能, 有才干的人, 天资"
piano,n. 钢琴
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
addition,"n. 加法, 增加的人(或物)
"
in addition,另外
in addition to sb.,"另外, 加之, 除…之外还"
in addition to sth.,"另外, 加之, 除…之外还"
disease,"n. 疾病, 弊病
"
ache,"n. 疼痛
vi. 痛, 哀怜, 渴望"
treatment,"n. 治疗, 待遇, 处理
"
from on,无
from then on,从那时起
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
leant,lean的过去式和过去分词
leaned,lean的过去式和过去分词
get through,"做完, 通过, 度过"
moreover,"adv. 而且, 此外"
satisfaction,"n. 满足, 满意, 快事, 赔偿, 赎罪, 报仇的机会
"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
somehow,adv. 不知何故
rhetorical,"a. 修辞学的, 符合修辞学的, 修辞的"
metaphor,n. 隐喻
personification,"n. 拟人, 人格化, 拟人法, 化身, 象征"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
simile,"n. 明喻, 明喻说法"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
reaction,"n. 反应, 反作用, 反动
"
Eric Whitacre,无
Nevada,n. 内华达
Mozart,n. 莫扎特
Lux Aurumque,无
UNICEF,abbr. 联合国儿童基金会（等于United Nations International Children'sEmergency Fund）
United Nations Children's Fund,[网络] 联合国儿童基金会
Las Vegas,拉斯维加斯（美国内华达州的城市）
John A. Logan,无
