swimmer,n. 游泳者
rest,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分
vi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖
vt. 使休息, 使支撑, 把...寄托于"
unsure,"a. 不肯定的, 不确定的, 没有自信的"
conversation,"n. 会话, 说话, 交谈
"
stranger,"n. 陌生人, 门外汉
"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
next to,几乎
shyly,adv. 害羞地；羞怯地；胆怯地；小心地
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
embarrassed,a. 尴尬的；窘迫的
secret,"n. 秘密, 机密, 秘诀, 秘方
a. 秘密的, 极机密的, 隐蔽的, 暗中的, 神秘的, 偏僻的"
nervously,adv. 焦急地；神经质地；提心吊胆地
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
community,"n. 社区, 公众, 共有, 共同体
"
wait in line,排队等候
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
cultural,"a. 文化的, 教养的, 修养的
"
similarity,"n. 类似, 类似处
"
small talk,闲聊
everyday,"a. 每天的, 日常的, 平常的"
introduction,"n. 介绍, 传入, 采用, 初步"
dialog,"n. 会话, 对话
"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
break the ice,打破沉默
nicely,"adv. 漂亮地, 谨慎地, 恰好地"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
business,"n. 生意, 事情, 业务, 商业, 商行, 职责
"
worker,"n. 工人, 劳动者
"
helpful,"a. 有帮助的, 有益的, 有用的"
customer,"n. 消费者
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
avoid,"vt. 避免, 防止, 撤消
"
greeting,"n. 祝贺, 问候"
therefore,"adv. 因此, 所以"
chance,"n. 机会, 意外, 可能性
vi. 偶然发生
vt. 冒险"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
exhibition,"n. 表现, 展览会, 展览品
"
Sandy Beach,[地名] 桑迪比奇 ( 美 )
tiring,"a. 引起疲劳的, 累人的
"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
thrilling,"a. 毛骨悚然的, 令人兴奋的, 令人发抖的"
take it easy,"从容, 不紧张"
trek,"vi. 牛拉货车, 艰苦跋涉
n. 牛车旅行, 艰苦跋涉"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
touristy,"a. 游览者的, 游览者喜欢的"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
France,n. 法国
lively,"a. 活泼的, 鲜明的, 生动的"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
including,"prep. 包含, 包括
"
cathedral,n. 大教堂
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
convenient,"a. 方便的, 合宜的
"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
in general,大多数
wine,"n. 葡萄酒, 果酒, 暗红色
v. (请)喝酒"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
entertainment,"n. 娱乐, 款待, 娱乐表演"
gallery,"n. 走廊, 最高楼座, 画廊, 收集, 图库
"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
finding,"n. 发现, 发现物, 决定, 裁决
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
as soon as possible,尽快
choice,"n. 选择, 精选品, 选择权
a. 精选的, 挑三拣四的, 上等的
"
programming,"n. 节目的计划, 编制程序
"
dream of,"梦见,梦想,向往,渴望"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
willing,"a. 乐意的, 自愿的, 甘愿的"
be willing to,愿意(做)...
sportspeople,[网络] 运动员；爱好运动的人；爱运动的人
conclusion,"n. 结论, 结尾, 推论
"
hold on to,坚持
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
attitude,"n. 态度, 看法, 姿势
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
Florida,n. 佛罗里达州
Amazon,"n. 亚马孙河
"
Niagara,"n. 尼亚加拉, 尼亚加拉河, 急流, 泛滥的洪水"
Hawaii,[网络] 夏威夷；夏威夷州；夏威夷旅游局
Mexico,n. 墨西哥
Eiffel,n. 艾菲尔铁塔（法国著名建筑）；埃菲尔（姓氏）
Notre Dame Cathedral,n. 巴黎圣母院
Sydney,n. 悉尼（澳大利亚港市）
textbook,n. 教科书
aloud,"adv. 出声地, 大声地"
pronunciation,"n. 发音, 读法"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
expression,"n. 表达, 表现, 词语, 措辞
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
look up,"v. 查找；查阅；探望；看望
"
grammar,"n. 语法学, 入门书
"
repeat,"n. 重复, 反复
vt. 重做, 重复, 复述, 使再现, 复制
vi. 重复
"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
pal,"n. 朋友, 伙伴, 同志, 同谋
vi. 交友, 结伴"
physics,"n. 物理学, 物理过程, 物理现象
"
memorize,"vt. 记住, 熟记, 背熟"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
pronounce,"v. 发音, 宣告, 断言"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
born,"a. 天生的
bear的过去分词"
be born with,"生来就有…,有…天赋"
ability,"n. 能力, 才干
"
create,"vt. 创造, 建造, 引起, 任命"
brain,"n. 脑
vt. 打碎脑部"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
attention,"n. 注意, 注意力
"
pay attention to,注意
connect,"v. 连接, 联合, 联系"
connect ... with,"连接, 联络"
overnight,"n. 前一天晚上, 一夜的逗留
a. 通宵的, 晚上的, 前夜的
adv. 在前一夜, 整夜, 昨晚一晚上"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
knowledge,"n. 知识, 学问, 认识, 知道"
lifelong,"a. 终身的, 毕生的"
wisely,"adv. 聪明地, 精明地"
Annie,n. 安妮（女子名）
Alexander Graham Bell,n. 亚历山大·格雷厄姆·贝尔（电话发明者）
mooncake,n. 月饼
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
put on,"na. 假话
"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
goddess,"n. 女神, 美女, 受崇拜的女性"
whoever,"pron. 任何人, 无论谁"
steal,vt. 剽窃；偷偷地做；偷窃；vi. 窃取；偷偷地行动；[棒球]偷垒；n. [口]偷窃；便宜货；偷垒；[篮球]断球
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
lay out,"n. 布局；设计；规划；安排
"
dessert,n. 餐后甜点
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
tradition,"n. 传说, 传统, 交付
"
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
haunted,"a. 常出现鬼的, 闹鬼的"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
spider,"n. 蜘蛛, 设圈套者
"
Christmas,[网络] 圣诞；基督的弥撒
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
eve,"n. 前夕, 前夜"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
end up,"竖着, 结束, 死"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
Macao,n. 澳门
Chiang Mai,清迈（泰国城市）
Water Festival,无
Mid-Autumn Festival,中秋节
Mother's Day,"na. (美国和加拿大的)母亲节
"
Father's Day,n. 父亲节（每年六月份的第三个星期日）
Halloween,n. 万圣节前夕（10月31日夜）
A Christmas Carol,[网络] 圣诞颂歌；小气财神；圣诞欢歌
Easter,n. 复活节
Clara,n. 克拉拉（女子名）
Santa Claus,圣诞老人
Charles Dickens,查尔斯狄更斯（英国作家）
Scrooge,vt. 推；挤
Jacob,n. [圣经]雅各（以色列人的祖先）；雅各布（男子名）
restroom,n. 洗手间；休息室；更衣室；厕所
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
bookstore,n. 书店
beside,prep. 在旁边
postcard,n. 明信片
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
washroom,n. 盥洗室
bathroom,"n. 浴室, 厕所"
normally,"adv. 正规地, 合规则, 正常地"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
grape,"n. 葡萄, 葡萄树
"
central,"a. 中央的, 重要的
"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
pardon me,"对不起,请原谅,请再说一边"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
inexpensive,"a. 便宜的, 不贵重的"
uncrowded,"a. 不拥挤的,宽敞的"
mall,n. 林荫路
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
politely,"adv. 有礼貌地, 文雅地, 客气地"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
direction,"n. 方向, 指导, 趋势
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
polite,"a. 有礼貌的, 文雅的, 客气的, 有教养的"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
whom,pron. 谁
impolite,"a. 无礼的, 粗鲁的"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
parking lot,停车场
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
Italian,"n. 意大利人, 意大利语
a. 意大利的, 意大利语的"
Tim,n. 蒂姆（男子名）
silent,"a. 沉默的, 安静的, 无声的, 静止的
"
from time to time,有时
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
background,"n. 背景, 背景资料
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
Asian,"n. 亚洲人
a. 亚洲的, 亚洲人的"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dealt,deal的过去式和过去分词
dealt,deal的过去式和过去分词
deal with,"安排, 处理, 涉及, 做生意"
shyness,"n. 羞怯, 胆怯"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
ton,"n. 吨
"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
require,"vt. 需要, 命令, 要求
"
European,"n. 欧洲人
a. 欧洲的, 欧洲人的"
African,"n. 非洲人
a. 非洲的, 非洲人的"
British,"a. 英国的
n. 英国人, 英国英语"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
in public,当众
ant,n. 蚂蚁
insect,"n. 昆虫, 卑鄙的人
"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
examination,"n. 考试, 测验, 审查
"
boarding school,寄宿学校
in person,"亲自, 外貌上
"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
take pride in,以...为傲
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
be proud of,"自豪, 高兴"
Paula,n. 保拉（女子名）
Alfred,n. 阿尔佛雷德（男子名）
Billy,"n. 警棍, 伙伴"
Candy,[网络] 服务又分青少年
Jerry,"adj. 偷工减料的；草率的
n. （英）德国兵；德国人"
Emily,n. 埃米莉（女子名）
chopstick,n. 筷子
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
blouse,n. 宽松的上衣
silver,"n. 银, 银币, 银器
a. 银的, 银制的, 银器的
vt. 镀银
vi. 变银白色"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
steel,"n. 钢, 钢制品, 钢铁, 坚硬, 坚固
a. 钢的, 钢制的, 钢铁业的, 坚强的
vt. 使坚强, 钢化, 使冷酷"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
environmental,"a. 周围的, 环境的
"
grass,"n. 草, 草原, 牧场
"
leaf,"n. 叶, 树叶, 花瓣, 页
vi. 生叶, 翻书页
vt. 在...上长叶, 翻...的页"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
widely,adv. 广泛地
be known for,因...而众所周知
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
product,"n. 产品, 结果, 乘积
"
no matter,"无论, 没关系"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
handbag,n. 手提包
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
boss,"n. 老板, 上司, 岩瘤, 浮雕, 母牛
vt. 指挥, 控制, 浮雕"
Germany,n. 德国
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
postman,"n. 邮递员
"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
glove,"n. 手套
vt. 给...戴手套"
international,"a. 国际的
n. 国别设定
"
competitor,"n. 竞争者
"
its,pron. 它的
clay,"n. 泥土, 肉体, 黏土
"
celebration,"n. 庆祝, 庆典"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
paper cutting, 剪纸
scissors,"pl. 剪刀
"
fairy,"n. 仙女, 精灵
a. 仙女的"
historical,"a. 历史的, 史实的, 历史上的
"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
Korea,"n. 朝鲜, 韩国"
Switzerland,n. 瑞士
San Francisco,旧金山
Marcus,n. 马库斯（男子名）
Pam,
