define,"vt. 定义, 规定, 使明确
"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
observation,"n. 观察, 注意, 观测, 观察力
"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
suggestion,"n. 提议, 意见
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
proposal,"n. 提议, 计划, 求婚
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
lobby,"n. 大厅, 休息室, 游说议员者
vi. 游说议员, 游说
vt. 游说"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
convince,"vt. 说服, 使相信
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
advisory,"a. 顾问的, 咨询的, 劝告的
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
announcement,"n. 公告, 发表, 告知
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
publication,"n. 出版物, 出版, 公布
"
publicity,"n. 名声, 宣传, 公开场合
"
publicize,vt. 宣传
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
advertisement,"n. 广告, 启事, 广告宣传
"
advertising,"n. 广告业, 广告
a. 广告的
"
advertiser,"n. 做广告者, 广告客户
"
declaration,"n. 宣告, 说明, 宣布
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
solution,"n. 解决, 解答, 溶液
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
administration,"n. 行政, 管理, 政府机关
"
regulation,"n. 规则, 管理, 调整
"
regulator,"n. 调整者, 校准者, 校准器, 调整器, 标准钟
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
regulatory,"a. 受控制的, 统制的, 调整的
"
arrange,"v. 安排, 排列, 达成协议
"
supervise,"v. 监督, 管理, 指导"
supervision,"n. 监督, 管理
"
surveillance,"n. 监视, 监督
"
cope,"vi. 竞争, 应付
n. 长袍"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
consider,"v. 考虑, 思考, 认为"
consideration,"n. 考虑, 原因
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
conceive,"vt. 构思, 认为
vi. 怀孕"
deduce,"vt. 推论, 演绎出
"
ponder,"v. 沉思, 考虑"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
recognize,"vt. 认出, 认可, 承认, 公认, 识别, 赏识
vi. 承认, 具结"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
productivity,"n. 生产力
"
generate,"vt. 产生, 发生, 导致
"
generative,"a. 生殖的, 生产的, 有生殖力的
"
output,"n. 输出, 产品, 产量
"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
manufacturer,"n. 制造业者, 厂商
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consciousness,"n. 意识, 知觉, 自觉
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
detect,"vt. 发现, 察觉, 探测
"
detector,"n. 发现者, 检验器, 检波器
"
cognitive,"a. 认知的, 认识的"
comprehension,"n. 理解, 包含"
predict,"v. 预知, 预言, 预报"
prediction,"n. 预言, 预报
"
unpredictability," 不可预测性, 不可预知性"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
foreseeable,"a. 可预知的, 能预测的
"
create,"vt. 创造, 建造, 引起, 任命"
innovation,"n. 改革, 创新
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
formulation,"n. 系统陈述, 公式化, 配制
"
invent,"vt. 发明, 创作, 虚构
"
novelty,"n. 新奇, 新鲜, 新奇的事物"
promote,"vt. 促进, 晋升, 创办, 推销
"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contributory,"n. 贡献者, 捐助者
a. 贡献的, 捐助的"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
propel,"vt. 推进, 驱使
"
criticize,"v. 批评, 吹毛求疵, 非难"
criticism,"n. 批评, 评论, 非难
"
critic,"n. 批评家, 鉴定家"
critique,"n. 评论文章, 评论"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
condemn,"vt. 判刑, 责备, 谴责
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
established,"a. (被)建立的, 固定的, 既定的, 确定的, 确认的, 确立的, (被)制定的
"
establishment,"n. 确立, 制定, 设施
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
construction,"n. 建筑, 构造, 建筑物
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
cater,"v. 提供饮食及服务, 投合, 迎合"
equip,"vt. 装备, 配备
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
acquire,"vt. 获得, 学到
"
acquisition,"n. 获得, 获得物
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
attain,"vt. 达到, 获得
vi. 达到"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
option,"n. 选择权, 挑选, 选项
"
optional,"a. 可选择的, 随意的
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
evaluate,"vt. 评估, 评价, 赋值"
evaluation,"n. 评估, 估价, 求值
"
assess,"vt. 估定, 对...征税, 评定
"
assessment,"n. 评估, 估定, 评定的款额
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
underestimate,"n. 低估
vt. 低估, 看轻"
criterion,"n. 标准, 准则, 规范
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
supposed,"a. 想象上的, 假定的, 被信以为真的
"
infer,"vt. 推论出, 推断
vi. 作推论"
inference,"n. 推论
"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
assumption,"n. 假定, 自负, 担任, 假装
"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
speculate,"vi. 深思, 推测, 投机
"
hypothesis,"n. 假设
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
presumably,"adv. 推测上, 大概"
bet,"n. 打赌, 赌注
v. 打赌"
protect,"vt. 防卫, 保护, 警戒
"
prevent,"v. 预防, 防止, 阻止, 妨碍"
prevention,"n. 阻止, 妨碍, 预防
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
insecurity,"n. 不安全, 不安全感
"
insurance,"n. 保险, 保险业, 保险费
"
insure,"vt. 保险, 确保
vi. 投保"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
conservation,"n. 保护, 保存
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
calculate,"v. 计算, 预测, 计划, 打算"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
measurable,"a. 可测量的, 不久的, 重要的"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
statistic,"n. 统计量
a. 统计的, 统计学的"
statistical,"a. 统计的, 统计上的, 统计学的
"
statistician,"n. 统计员, 统计学家
"
populate,"vt. 使人口聚居在...中, 殖民于, 移民于, 居住于, 定居于"
census,"n. 户口普查
vt. 实施统计调查"
quantity,"n. 量, 数量, 总量
"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exposure,"n. 暴露, 揭发, 揭露
"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
leakage,"n. 漏, 漏出物, 泄漏
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
confide,"vt. 吐露, 委托
vi. 信赖"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
enforcement,"n. 执行, 强制
"
enforce,"vt. 强迫, 执行, 坚持
"
compel,"vt. 强迫, 迫使"
compulsive,"a. 强制的, 强迫的
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
direction,"n. 方向, 指导, 趋势
"
director,"n. 主管, 导演, 董事
"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
instruction,"n. 指令, 教导, 命令
"
orient,"n. 东方, 东方诸国
a. 东方的
vi. 向东
vt. 使朝东, 使适应, 确定方向"
guidance,"n. 指导, 领导
"
guideline,"n. 指导路线, 方针, 指标
"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
communication,"n. 交流, 交通, 通讯
"
response,"n. 反应, 回答, 响应
"
expression,"n. 表达, 表现, 词语, 措辞
"
expressive,"a. 表达的, 富于表情的"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
interaction,"n. 交互作用, 交感
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
feedback,"n. 反馈, 反应
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
confer,"vt. 授予, 带来
vi. 协商"
replace,"vt. 代替, 替换, 放回, 归还
"
behalf,"n. 利益, 方面"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
competition,"n. 竞争, 竞赛
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contention,"n. 争论, 争辩, 所持的论点
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
container,"n. 容器, 集装箱
"
constitute,"vt. 构成, 组成, 任命
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
consist,"vi. 组成, 存在于, 一致"
limited,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
restriction,"n. 限制, 限定, 约束
"
restrict,"vt. 限制, 限定, 约束
"
restrictive,"a. 限制的, 约束的, 限定的
n. 限制词"
constraint,"n. 强制, 约束
"
constrain,"vt. 强迫, 限制, 关押"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
promising,"a. 有希望的, 前途有望的
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
edition,"n. 版本, 版, 翻版"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
reviewer,"n. 评论者, 书评作者, 评论家, 剧评家, 报刊评论家"
cite,"vt. 引用, 引证, 表彰
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
modification,"n. 修正, 修饰, 修改
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
newsroom,"n. 新闻编辑部, 报刊阅览室, 售报处"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
amendment,"n. 修订, 改善, 改良, 改正
"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
complementary,"a. 补充的, 补足的
"
merger,"n. 合并, 归并
"
blend,"vt. 混合
n. 混合"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
separation,"n. 分离, 分居, 缺口, 退职
"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
divorce,"n. 离婚
vt. 与...离婚"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
strategy,"n. 战略, 策略
"
strategic,"a. 战略的, 战略上的
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
agenda,"pl. 议程, 日常工作事项
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
immigrant,"n. 移民
a. 移入的, 移民的"
immigration,"n. 移民, 移居
"
migration,"n. 移民, 移往, 移动
"
migrate,"vi. 移动, 移往, 随季节而移居
"
convey,"vt. 传达, 运输, 转让
"
transition,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transportation,"n. 运输, 输送, 交通车辆
"
transport,"n. 运输, 运输工具, 激动, 狂喜, 流放犯
vt. 传送, 运输, 流放
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
carrier,"n. 运送者, 邮递员, 带菌者
"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
mobility,"n. 可动性, 流动性, 机动性
"
distribution,"n. 分配
"
distribute,"vt. 分配, 散布, 分发
"
assign,"vt. 分配, 指派, 赋值
"
allocation,"n. 配置, 分配, 拨给
"
appointment,"n. 约会, 委任的职位, 委派
"
appoint,"vt. 任命, 指定, 下令
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
vanish,"vi. 消失, 不见, 成为零"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
fulfill,"vt. 实践, 履行, 实行, 完成, 结束, 满足
"
fulfillment,"n. 履行, 结束, 完成, 实现, 满意, 称心"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engagement,"n. 诺言, 约会, 婚约, 交战
"
engaged,"a. 忙碌的, 使用中的"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
implementation,"n. 安装启用, 实行, 履行
"
exert,"vt. 发挥, 运用, 施以影响
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
operational,"a. 操作的, 运作的
"
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
