off and on,断断续续地
might just as well,最好还是…; 还是…为好
may as well,"还是...好, 还不如, 不妨"
may just as well,倒不如；(满)可以；不妨…；还是…的好；最好…，还是…的好；倒不如；同样；其实可以…，原该(带有责备意味)
not much of a,"不善于..., 不很好, 不是怎么了不起的..."
keep up,"na. 支持；保持；继续；停歇
"
correspondence,"n. 相符, 通信, 信件
"
practically,"adv. 几乎, 差不多, 事实上"
all the way,"从远道, 自始至终, 一路上"
neighborhood,"n. 附近, 邻近"
kind of," <口>稍微, 有点儿, 有几分"
sort of,有几分地
lose touch,[网络] 失去联系；摸都不摸
lose touch with sb.,和…失去联系
guy,"n. 家伙, 支索
vt. 用支索撑住, 取笑, 嘲弄
vi. 逃跑"
a couple of,"一对..., 三两个..."
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
on one's mind,"使人担心,惦念"
keep in touch,保持联络
keep in touch with,与...保持联络
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
shrug,"n. 耸肩
v. 耸肩"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
Halloween,n. 万圣节前夕（10月31日夜）
absolutely,"adv. 完全地, 绝对地, 确确实实地"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
reunion,"n. 团圆, 重聚
"
go by,"走过, 依照, 顺便走访"
hang out,挂出
every now and then,"常常, 不时地"
mostly,"adv. 大概, 大部分, 主要
"
awful,"a. 可怕的, 庄严的, 虔敬的"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
choke up,"塞住, 噎住, 阻塞"
destination,"n. 目的地, 目标, 目的
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
sorrowful,a. 悲伤的
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
in the distance,在远处
unpack,"vt. 从包裹中取出, 卸下, 打开
vi. 打开包裹
"
right away,立刻
let down,"na. 使失望；放下；丢面子
"
burn off,"n. (焊接)熔焊穿
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
get rid of,"摆脱, 除去"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
tow,"n. 拖, 拖绳, 拖轮
vt. 拖, 拉, 牵引"
soak,"n. 浸, 湿透, 大雨
vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉
vi. 浸泡, 渗透"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
burst into,"闯入, 开出, 突然出现"
flame,"n. 火焰, 火舌, 热情, 光辉
vt. 焚烧, 用火焰给...灭菌, 用火焰传送(信号), 点燃, 激动
vi. 燃烧, 爆发, 闪耀
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
explosion,"n. 爆发, 激增, 爆炸(声)
"
extent,"n. 范围, 程度, 区域
"
injury,"n. 伤害, 侮辱
"
worse still, 更糟糕的是; 更坏
in bad shape,状态(或状况)不佳
in good shape, 完整无损，处于良好状态，健康情况良好
despair,"n. 绝望, 失望
vi. 绝望"
hang on,"v. 坚守；守住；坚持；支撑着
"
permanently,"adv. 永久, 不变, 持久
"
principle,"n. 原则, 原理, 主义
"
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
exclaim,"v. 大叫, 呼喊, 大声叫"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
grin,"n. 露齿笑
v. 露齿而笑"
medal,"n. 奖牌, 勋章
vt. 授勋予"
courageous,"a. 勇敢的, 大胆的, 有胆量的"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
privileged,"a. 有特权的, 有特别恩典的
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
do without,没有...也可以
highly,"adv. 非常, 非常赞许地
"
risky,a. 危险的
nasty,"a. 污秽的, 下流的, 险恶的"
brutish,"a. 畜生般的, 愚钝的, 粗野的, 残忍的, 野蛮的"
anyway,"adv. 无论如何, 至少"
put the clock back,"把钟拨慢, 向后倒退, 开倒车, 守旧规, 倒行逆施"
turn the clock back,[网络] 时光倒转；开倒车；将时钟倒转
cut off,"na. 削除；截止；截断(退路等)；割下来
"
competition,"n. 竞争, 竞赛
"
bring about,"na. 造成；带来；【航】(使船)回转
"
moreover,"adv. 而且, 此外"
inquiring,"a. 询问的, 打听的, 爱追根究底的"
inquire,"v. 询问, 问明, 查究"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
inventiveness,"n. 发明创造能力, 创造性"
slow down,(使)慢下来
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
ensure,"vt. 确定, 保证, 担保, 保护
"
democratic,"a. 民主的
"
informed,a. 见多识广的
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
at the moment,此刻
in two minds,"三心二意,举棋不定,犹豫不决"
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
evident,"a. 显然的, 明显的"
cartoon,"n. 卡通画, 漫画
v. 画漫画"
element,"n. 元件, 元素, 要素
"
astronomy,n. 天文学
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
fiction,"n. 小说, 虚构故事
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
background,"n. 背景, 背景资料
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
greenhouse,n. 温室
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
weapon,"n. 武器, 兵器
vt. 武装"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
engineering,"n. 工程学, 工程, 操纵
"
basis,"n. 基础, 主要成分
"
lie in,"在于..., 分娩, 睡懒觉"
rote,"n. 机械性的背诵, 死记硬背"
relevance,n. 中肯；关联；相关性
in terms of,"用...的话, 根据, 按照, 在...方面
"
equation,"n. 相等, 等式, 平衡
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
mathematical,"a. 数学的, 精确的
"
halve,"vt. 二等分, 对半分享, 把...减半"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
in the form of,以…形式
precise,"a. 精确的, 严谨的, 明确的
"
qualitative,"a. 性质的, 质的, 定性的"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
concept,"n. 观念, 概念
"
sufficient,"a. 充分的, 足够的
"
convey,"vt. 传达, 运输, 转让
"
diagram,n. 图表；图解
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
molecular,"a. 分子的, 由分子组成的
"
transistor,"n. 晶体管
"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
truly,"adv. 真实地, 不假"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
fit into,适合
producer,"n. 生产者, 制作者, 制作人
"
responsibility,"n. 责任, 职责, 负担, 可靠性
"
educate,"vt. 教育, 培养, 训练"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
hence,"adv. 因此, 从此"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
civilization,"n. 文明, 教化
"
deadline,"n. 最后期限, 截止期限
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
immediately,"adv. 直接地, 立刻, 立即"
victim,"n. 受害人, 牺牲者, 牺牲品
"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
step by step,逐步地
outcome,"n. 结果, 出口"
result in,"导致
"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
conclusion,"n. 结论, 结尾, 推论
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
random,"n. 随意, 随机
a. 任意的, 随便的, 胡乱的, 随机的
adv. 胡乱地"
compare with,"比较…,跟…相比,比得上…"
evaluate,"vt. 评估, 评价, 赋值"
quiet work,无
characterize,"vt. 描绘...的特性, 刻划...的性格"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
professional,"n. 专业人才
a. 专业的, 职业的"
press release,新闻稿
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
amount,"n. 总数, 总额
vi. 总计, 等同"
wear down,"na. 使衰弱；挫败；慢慢破坏；消蚀
"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
somehow,adv. 不知何故
driveway,n. 车道
mow,"n. 草堆, 皱眉, 怪脸
vt. 割草
vi. 割草, 做怪脸"
lawn,"n. 草地, 草坪, 上等细麻布
"
comprehend,"vt. 理解, 包括"
turn away,"v. 转变方向
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
work out,"v. 作出；拟定；制定；计划一下
"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
do with,"与...相处, 忍受, 对付"
determination,"n. 决心, 果断
"
personnel,"n. 人员, 人事部门, 人事科(处)
"
apprentice,"n. 学徒, 生手
vt. 使做学徒"
capacity,"n. 容量, 能力, 才能, 资格
"
blueprint,"n. 蓝图, 设计图, (周详的)计划
vt. 制成蓝图, 计划"
micrometer,"n. 测微计
"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
skilled,"a. 熟练的
"
grinder,"n. 推磨的人, 研磨者
"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
instrument,"n. 工具, 手段, 仪器
"
for sale,"待售
"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
call on,"号召, 呼吁, 约请, 访问"
banker,"n. 银行家, 庄家
"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
reluctantly,"adv. 不情愿地, 勉强地"
reluctant,"a. 不情愿的, 勉强的
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
down payment,na. 预付定金; 分期付款的首次交款
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
odds and ends,零星东西
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
hardware,"n. 硬件, 五金器具, 零件
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
confidence,"n. 信心
"
amaze,vt. 使吃惊
amazement,"n. 惊愕, 惊异"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
send for,na. 派人去叫
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
property,"n. 财产, 所有权, 性质, 属性
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
sometime,"a. 以前的, 某一时间的
adv. 改天, 来日"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
amuse,"vt. 消遣, 娱乐, 使发笑"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
millionaire,"n. 百万富翁, 大富豪
"
pass away,"去世, 停止, 离去, 消逝"
check on,"检查,核对"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
livable,"a. 生活过得有价值的, (生活)过得去的, 值得过的, 适于居住的"
homey,"a. 家庭似的, 自在的, 舒适的"
stature,"n. 身材, 身高, 高度
"
industrialist,"n. 企业家, 实业家
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
principle,"n. 原则, 原理, 主义
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
optimism,"n. 乐观主义, 乐观, 乐天
"
above all,"尤其是, 首先"
integrity,"n. 正直, 廉正, 完整
"
rung,"n. (梯子)踏步, 横档, 轮辐, 粗棍
ring的过去分词"
basement,"n. 地下室, 墙脚
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
balance sheet,"资产负债表
"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
illegal,"a. 违法的, 不合规定的
"
immigrant,"n. 移民
a. 移入的, 移民的"
taco stand,无
keep up with school,无
connection,"n. 连接, 关系, 前后关系
"
put up with,"忍受, 容忍
"
in search of,寻找
head for,"出发, 动身, 前往"
supervise,"v. 监督, 管理, 指导"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
response,"n. 反应, 回答, 响应
"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
acquire,"vt. 获得, 学到
"
make ends meet,"量入为出,使收支相抵"
make both ends meet,"量入为出
"
associate's degree,"n. 准学士学位, 专科毕业证书"
environment,"n. 环境, 外界, 围绕
"
honors thesis,无
on the side,"作为兼职, 另外"
stand a chance of,有…的希望
commencement address,授奖典礼上的发言词
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
look right through him,无
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
show up,"na. 显眼；揭发；嘲笑；露面
"
Tex-Mex cookout,无
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
humanistic,"a. 人本主义的, 人道主义的
"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
die of,"死于…,因…而死"
coronary,"a. 冠的, 花冠的, 冠状的
"
thrombosis,"n. 血栓形成
"
acquaintance,"n. 认识, 相识者"
instantly,"adv. 立即地, 即刻地"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
type A,A型
workaholic,"n. 工作迷, 醉心于工作的人
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
day off, 休假
conceivably,"adv. 想得到地, 想象上, 以为"
conceivable,"a. 想得到的, 可想象的, 可理解的"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
