a collection of,"一批,一组"
to adapt to the ever-changing and growing needs,无
to adapt oneself to the ever-changing and growing needs,无
in terms of,"用...的话, 根据, 按照, 在...方面
"
in this regard,在这点上
to go through some changes,无
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
in the meanwhile,[网络] 但是；丹麦是我们的耻辱
merely,adv. 只
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
solely,"adv. 仅仅, 单独地"
nothing but,只
establish ... as ...,确立，被确认为:
experimental field,试验地
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
undergo,"vt. 遭受, 经历, 忍受
"
with a population of,无
be equivalent to,"[计] 等价的, 等效的, 等值的"
unique status,无
prevalent,"a. 普遍的, 流行的"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
destination,"n. 目的地, 目标, 目的
"
swarm into,涌入
approximately,"adv. 大约, 大致, 近于
"
almost,"adv. 几乎, 差不多"
about,"prep. 在...周围, 大约, 有关, 关于
adv. 大约, 四处, 在附近, 周围"
nearly,"adv. 几乎, 密切地"
close to,"接近于, 靠近于"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
be confined to ...,"限制, 禁闭"
to occupy a dominant position,无
engage in,"使从事于, 参加"
to rank the first,无
account for ...,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
serve diverse purposes,无
serve multiple purposes,无
serve various purposes,无
diligent,"a. 勤勉的, 用功的"
industrious,"a. 勤勉的, 刻苦的"
hard-working,辛勤工作的
to adopt various approaches,无
era,"n. 时代, 纪元, 时期"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
period,"n. 时期, 节段, 节, 句点, 学时, 周期
a. 当时特有的, 过去某段时期的
interj. 就是这话, 就是这么回事"
epoch,"n. 新纪元, 时代, 时期"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
sophisticated,"a. 复杂的, 久经世故的
"
busy entertainment venue,无
competitive examination,答辩考试
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
gather to do ...,无
a large amount of,大量的
a great deal of,很多的
quantities of,"大量的,许多…"
plenty of,许多的
consecutively,adv. 连续地
successively,adv. 接连着地；相继地
contribute significantly to,无
be vitally important to ...,无
be of great importance to ...,无
be of great significance to ...,无
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accidentally,"adv. 偶然地, 意外地"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
accurately,"adv. 正确地, 精确地"
accustom,vt. 使习惯于
acquire,"vt. 获得, 学到
"
additional,"a. 附加的, 另外的, 额外的
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
allocate,"vt. 分派, 分配
"
alternatively,adv. 非此即彼
apparently,"adv. 表面上, 清楚地, 显然地"
aptly,"adv. 适当地, 适宜地"
arena,"n. 角斗场, 舞台, 场地
"
arise,"vi. 站立, 出现, 起来"
arrogance,"n. 傲慢态度, 自大"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
assess,"vt. 估定, 对...征税, 评定
"
asset,"n. 资产, 有益的东西"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
assumption,"n. 假定, 自负, 担任, 假装
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
automatically,"adv. 自动地, 机械地"
avoid,"vt. 避免, 防止, 撤消
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
breath,"n. 呼吸, 气息, 瞬间
"
brilliance,"n. 卓越, 光辉
"
capacity,"n. 容量, 能力, 才能, 资格
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
carefully,"adv. 小心地, 谨慎地"
cater,"v. 提供饮食及服务, 投合, 迎合"
cautiously,adv. 慎重地
celebrity,"n. 名声, 名人"
chronically,"adv. 慢性地, 长期地, 习惯性地"
circulation,"n. 流通, 循环, 发行量
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
classified,"a. 分类的, 被归入某类的, 被指定为机密的
"
climatic,a. 气候的
closely,adv. 接近地
combination,"n. 组合, 合并, 联合
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
community,"n. 社区, 公众, 共有, 共同体
"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
completely,"adv. 完全地, 十分地, 圆满地"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
consciously,adv. 自觉地；有意识地
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
constrain,"vt. 强迫, 限制, 关押"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contextual,"a. 上下文的, 前后关系的"
continuous,"a. 连续的, 继续的, 连续不断的
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
convenience,"n. 方便, 便利的事物, 方便的时候"
convince,"vt. 说服, 使相信
"
correlation,"n. 相互关系, 相关, 关联
"
credibility,"n. 可信用, 确实性, 可靠
"
currently,"adv. 现在, 当前, 一般, 普通
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
dedicate,"vt. 献出, 贡献"
deduction,"n. 减除, 扣除, 减除额, 推论
"
definite,"a. 明确的, 一定的
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
deprivation,"n. 剥夺, 剥夺官职, 免职
"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
destined,"a. 预定的, 注定的, 命定的"
deterioration,"n. 恶化, 衰退, 退化
"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
devote,"vt. 投入于, 献身"
digit,"n. 数字, 位数, 指头
"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
diminish,"v. (使)减少, (使)变小"
disagree,"vi. 不一致, 不适宜
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
displace,"vt. 移置, 替换, 转移"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
drastically,"adv. 激烈地, 彻底地"
duplication,"n. 副本, 复制
"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elsewhere,adv. 在别处
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
emphasize,"vt. 强调, 加强语气, 着重"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
endurance,"n. 忍耐, 忍耐力, 耐性
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
enthusiasm,"n. 巨大的热情, 热心"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
environmentalist,n. 环保人士
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
eventually,"adv. 最后, 终于"
everything,"pron. 每件事物, 所有事物"
exception,"n. 例外, 除外, 异议
"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
exclude,"vt. 除外, 排除, 排斥
"
exclusive,"a. 排外的, 独占的, 唯一的
"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
exertion,"n. 努力, 发挥, 运用
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
existence,"n. 存在, 生存
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expedition,"n. 远征, 探险队, 迅速"
explore,"v. 探险, 探测, 探究"
exploration,"n. 探险, 踏勘, 探测
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
facility,"n. 容易, 灵巧, 设备
"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
forever,adv. 永远
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
formula,"n. 客套语, 公式, 准则
"
forthcoming,"a. 即将来临的
n. 来临"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
fruitful,"a. 结果实的, 多实的, 产量多的"
futile,"a. 无用的, 琐细的, 不重要的"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
handful,"n. 少数, 一把, 棘手事"
hasten,"vt. 催促, 加紧
vi. 赶快, 急忙"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
hypothesis,"n. 假设
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
identical,"a. 同一的, 恒等的, 完全相同的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
ignite,"vt. 点燃, 使灼热, 使兴奋"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
impair,"vt. 损害, 减少, 削弱
"
impart,"vt. 给予, 传授, 告知"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
improvement,"n. 进步, 改善, 利用
"
incentive,"n. 动机
a. 激励的"
incidentally,"adv. 伴随地, 偶然, 顺便"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
increasingly,"adv. 逐渐地, 渐增地"
incur,"vt. 招致, 蒙受, 遭遇
"
indefinite,"a. 模糊的, 不确定的, 无限的
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
indication,"n. 指示, 象征, 暗示
"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
industrialize,"vt. 使工业化
vi. 实现工业化"
inertia,"n. 惯性, 惰性, 迟钝
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
inherent,"a. 固有的, 与生俱来的
"
inquire,"v. 询问, 问明, 查究"
install,"vt. 安装, 安置, 使就职
"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
instruct,"vt. 教, 教育, 命令, 通知
"
insure,"vt. 保险, 确保
vi. 投保"
intention,"n. 意图, 目的, 含义
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interpretation,"n. 解释, 演出, 翻译
"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
intrinsic,"a. 本质的, 原有的, 真正的
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
investigate,"v. 调查, 审查"
jobless,"a. 失职的, 无职业的
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
legacy,"n. 祖先传下来之物, 遗赠物
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
monopolize,"vt. 独占, 垄断
"
multitude,"n. 多数, 群众"
mysteriously,adv. 神秘地; 不可思议地; 诡秘地; 故弄玄虚地
naturally,"adv. 自然地, 以自然力, 天生地"
necessarily,"adv. 必然地, 必须地, 必要地"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
notably,"adv. 显著地, 著名地, 尤其, 特别"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
obscurely,"adv. 费解地, 晦涩地；隐匿地"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
occasionally,"adv. 有时候, 偶而"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
offspring,"n. 子孙, 后代, 产物
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
originally,"adv. 本来, 原来, 最初, 就起源而论, 独创地"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
outcome,"n. 结果, 出口"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perfectly,"adv. 完全地, 无瑕疵地, 完整地"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
persist,"vi. 坚持, 固执, 持续, 坚称
"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
pierce,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
positive,"a. 肯定的, 积极的, 有把握的
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
predator,"n. 食肉动物, 掠夺者
"
predominance,"n. 主导地位, 优势"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
presumption,"n. 专横, 放肆, 假定, 推测
"
prevail,"vi. 获胜, 流行, 盛行
"
prevalent,"a. 普遍的, 流行的"
previous,"a. 早先的, 前面的, 过急的
"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
primarily,"adv. 主要地, 首先地"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
professional,"n. 专业人才
a. 专业的, 职业的"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
prompt,"n. 激励, 提示, 提醒物, 提词, 付款期限
a. 迅速的, 敏捷的, 立刻的, 提词员的
vt. 激励, 鼓动, 提示
adv. 准时地
"
prosperity,"n. 繁荣, 茂盛, 成功
"
provoke,"vt. 激怒, 惹起, 诱导
"
proximately,adv. 近似地
radically,"adv. 根本地, 完全地"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
reality,"n. 实在, 事实, 实体, 逼真
"
reap,"vt. 收割, 收获, 获得
vi. 收割, 得到报应"
recession,"n. 后退, 凹处, 衰退, 归还
"
recognition,"n. 赞誉, 认得, 识别, 承认, 认可, 认识
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
reduction,"n. 减少, 缩影, 变化
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
replant,"vt. 改种, 在...再植, 使移居"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
reputation,"n. 名誉, 名声, 声望
"
respective,"a. 分别的, 各自的"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
responsive,"a. 回答的, 应答的, 易感应的"
restoration,"n. 恢复, 归还, 复位
"
restrict,"vt. 限制, 限定, 约束
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
seal,"n. 印章, 封条, 海豹, 海豹皮, 火漆, 封蜡, 玺, 保证, 批准, 象征, 标志
vt. 封闭, 盖印, 盖章
vi. 猎海豹"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
sensitivity,"n. 敏感, 灵敏度
"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
separately,adv. 
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
signify,"vt. 象征, 预示
vi. 要紧, 重要"
similarly,"adv. 相像地, 类似于"
simplify,"vt. 单一化, 简单化"
simulate,"vt. 模拟, 假装, 模仿
"
simultaneously,"adv. 同时发生, 一齐, 同时, 同时存在"
skeptical,"a. 怀疑论的, 怀疑的, 不可知论的
"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
slightly,"adv. 些微地, 苗条地"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
solitary,"n. 独居者
a. 孤独的, 独居的"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
species,"n. 种, 类, 外形
"
specifically,"adv. 特定地, 明确地, 按特性"
specification,"n. 规格, 详述, 详细说明书
"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
spectator,"n. 观众, 目击者, 旁观者"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
standardize,"vt. 使标准化, 使合于标准, 用标准检验
"
statistical,"a. 统计的, 统计上的, 统计学的
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
stock,"n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目
a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的
vt. 装把手于, 进货, 备有, 放牧
vi. 出新芽, 备货, 囤积"
strap,"n. 带, 皮带
vt. (用皮带)捆扎"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
subsequently,"adv. 后来, 随后"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
successively,adv. 接连着地；相继地
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
surpass,"vt. 超越, 凌驾, 胜过"
surroundings,"n. 环境, 周围的事物
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
systematically,"adv. 有系统地, 有组织地, 有条理地"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
terror,"n. 恐怖, 可怕的人
"
throne,"n. 王座, 君主"
tighten,"vt. 勒紧, 使变紧
vi. 变紧, 绷紧"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
typical,"a. 典型的, 象征性的
"
unchecked,"a. 未加抑制的, 未经检查的
"
underestimate,"n. 低估
vt. 低估, 看轻"
undergo,"vt. 遭受, 经历, 忍受
"
underlying,"a. 在下面的
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
unfortunately,"adv. 恐怕, 不幸的是"
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
unnaturally,adv. 违反习俗地; 不自然地; 勉强地; 不近人情地
untouched,"a. 未触摸过的, 未改变的, 未受影响的"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
vanish,"vi. 消失, 不见, 成为零"
variety,"n. 多样, 种类, 变种, 杂耍
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
visualize,"vt. 使看得见, 使具体化, 想象, 设想
vi. 想象, 显形"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
worldwide,a. 全世界的
