month,"n. 月
"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
rhino,"n. 钱, 现金, 犀牛"
learn,vt. 学习；认识到；得知
send,"vt. 发送, 使进入, 寄, 派遣, 发射, 使陷于
vi. 寄信, 派人, 播送
n. (船的)上升运动
"
in danger,在危险中
in the past,在过去
take care of,"照顾
"
go for a walk,散步
drive away," 驱车离开; 把…驱开, 赶走; 祛"
e-friend, = e-pal
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
hobby,"n. 嗜好, 癖好, 爱好"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
yourself,pron. 你自己
would like, 想要
shall,aux. 将
princess,"n. 公主, 王妃, 女巨头"
police,"n. 警察, 警察当局, 治安
vt. 维持治安, 管辖"
exciting,"a. 令人兴奋的, 刺激的
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
policeman,"n. 警察
"
boring,"a. 烦人的, 无聊的, 无趣的
"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
fairest,a. 最美的（fair最高级）
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
next time,"下次, 下次"
once upon a time,从前
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
bee,"n. 蜜蜂, 聚会"
insect,"n. 昆虫, 卑鄙的人
"
ant,n. 蚂蚁
anything,pron. 任何事
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
dancer,"n. 舞蹈演员, 跳舞者"
insect museum,无
car museum,无
model car,模型车
science museum, 科学博物馆
many kinds of, 许多种
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
east,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
west,"n. 西方, 西部
a. 西方的, 向西的
adv. 向西, 自西方, 在西方"
south,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
palace,"n. 宫, 宫殿, 华丽大厦"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
tourist,"n. 观光客, 旅行者
a. 旅游的"
building,"n. 建筑物, 建筑
"
sushi,n. 寿司（生鱼片冷饭团）
in the north of,在…的北部
in the east of,在...东部
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
everywhere,"adv. 各处, 到处"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
factory,"n. 工厂, 产生地, 代理店
"
smoke,"n. 烟, 雾气, 烟熏剂, 抽烟, 烟色
vi. 吸烟, 冒烟, 弥漫
vt. 以烟熏, 抽烟而导致..."
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
plant,"n. 植物, 作物, 工厂, 树枝, 生长, 设施, 成套设备
vt. 种植, 栽培, 播种, 培养, 安置, 殖民于, 使位于
vi. 种植"
keep ... alive,使活[燃]着;使继续着
plant trees,栽树
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
have to," 不得不, 只好; 只得; 必须; 不得已"
cut ... down,"na. 砍倒；削减；减价；夺去…活动力
"
look for,"寻找, 期待"
Earth,[网络] 莉莎的天空
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
forest,"n. 森林, 林区
vt. 植树于"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
rubbish,"n. 废物, 垃圾, 胡说"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
so many,"那么多的, 同数目的"
pick up,"v. 拾起；探出；重新开始
"
shopping bag,n. （带挽手的）购物袋; 提包
plastic bag,[化] 塑料袋
