Abacavir,"n. 【药】阿巴卡韦
"
aerosil,"一种高度分散的硅胶, 氧相二氧化硅"
aerosol,"n. 烟, 雾
"
aesculetin,"亭, 七叶内脂, 秦皮乙素, 6,7 二羟香豆素"
afebrile,"a. 无热的
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
affected,"a. 假装的, 做作的, 受影响的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affective,"a. 情感的, 表达感情的
"
afferent,"a. 传入的
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affiliation,"n. 联系, 从属关系
"
affinity,"n. 吸引, 姻亲关系, 类同
"
afflict,"vt. 使苦恼, 折磨"
affliction,"n. 苦恼, 折磨, 苦恼的事由"
afford,"vt. 买得起, 足以, 给予"
affordability,n. 支付能力；负担能力；可购性
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
afibrinogenemia,[医] 无纤维蛋白原血症
aflatoxicosis,[医]黄曲霉毒素中毒
aflatoxin,[化] 黄曲霉毒素
afterbirth,"n. 胞衣
"
afterbrain,"n. 后脑
"
afterload,后负荷
afterward,"adv. 然后, 后来"
agalactia,"[医] 乳汔缺乏, 无乳"
agammaglobulinemia,"[医] 血γ-球蛋白缺乏, 缺γ-球蛋白血"
agar,"n. 琼脂, 石花菜
"
agastache,藿香
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
aged,"a. 老的, 陈的, 有...岁的
"
agency,"n. 代理机构, 经销商, 中介
"
agenesis,"n. 无生殖力, 发育不全
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
agglomerate,"n. 大团, 大块
a. 成块的, 聚结的
vt. 使成团, 使成块, 使聚结
vi. 成团, 成块, 聚结"
agglutinate,"a. 粘着的, 胶合的
vt. 使...粘着
vi. 粘合, 成胶状"
agglutination,"n. 粘着, 胶合, 粘结团
"
agglutinin,"n. 凝集素
"
agglutinogen,n. [生](产生凝集素的)凝集原
aggravate,"vt. 使恶化, 使更严重, 加重"
aggravation,"n. 恶化, 加重, 恼怒
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
aggregation,"n. 集合, 聚合, 集合体
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
aggressiveness,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
aging,"n. 老化, 变陈
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
agitation,"n. 激动, 焦虑, 煽动, 搅动, 摇动
"
agnosia,n. [医]认识不能
agonist,"n. 主动肌, 促效药, 显效药, 主缩肌
"
agonize,"vt. 使极度痛苦, 折磨
vi. 感到痛苦"
agonizing,"a. 折磨人的, 痛苦难忍的"
agony,"n. 极大的痛苦, 挣扎
"
agranulocyte,n. [解]无颗粒白细胞
agranulocytosis,n. 粒性白血球缺乏症
agraphesthesia,无
agreement,"n. 同意, 合约, 协议
"
agricultural,"a. 农业的
"
agrimophol,仙鹤草酚; 鹤草酚
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
AIDS,"n. 爱滋病(获得性免疫缺陷综合征)
"
ailment,"n. 病痛, 疾病
"
ainhum,[医] 阿洪病(自发性断趾病)
air,"n. 空气, 旋律, 态度
vt. 晾, 使通风, 夸耀"
airborne,"a. 升空的, 空运的, 空中传播的, 空降的"
airspace,"n. 空域, 空间
"
airway,"n. 空中航线, 风道
"
akathisia,n. [医]静坐不能
akebiaquinata,木通
akin,"a. 同类的, 同族的, 同源的"
akinesia,"n. [医]运动不能,失运动能"
ala,"n. 翼, 翅
"
alarmingly,adv. 让人担忧地
albinism,"n. 白化病
"
albumin,"n. 清蛋白, 白蛋白
"
albuminoid,"a. 蛋白质的
n. 蛋白质"
albuminous,"a. [化](=albuminose) 含白朊的, 多胚乳的"
albuminuria,"n. 蛋白尿
"
Alcaligenes,[医] 产硷杆菌属
alcohol,"n. 酒精, 酒
"
alcoholase,醇酶
alcoholic,"n. 酒鬼, 酒精中毒者
a. 酒精的"
alcoholism,"n. 酗酒, 酒精中毒
"
aldactone,
aldehyde,"n. 醛, 乙醛
"
aldolase,n. [生化]醛缩酶
aldosterone,"n. 醛固酮
"
aldosteronism,"[医]醛甾酮增多症, 醛甾酮症"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alertness,"n. 警戒, 机敏"
alga,"n. 藻类, 海藻
"
algal,[医] 藻的
alginate,藻酸盐
algorithm,"n. 算法
"
alienate,"vt. 使疏远, 离间, 转让
"
align,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
alimentary,"a. 饮食的, 供养的
"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
alkali,"n. 碱
a. 碱性的"
alkaline,"a. 碱的, 碱性的
"
alkalinity,"n. 碱度
"
alkaloid,"n. 生物碱
"
alkaloidal,[医] 生物硷的
alkalosis,"n. 碱中毒, 碱毒(血)症
"
alkalotic,碱中毒的
alkylate,n. [化]烷基化物
alkylation,"n. 烷化作用, 烷化
"
allege,"vt. 宣称, 主张, 提出, 断言
"
allele,"[医] 等位基因, 对偶基因"
allelotaxis,[医] 异源发生(一个器官由数个不同的胚质发生)
allergen,"n. 变(态反)应原
"
allergic,"a. 对...过敏的, 极反感的
"
allergy,"n. 变应性, 反感, 厌恶
"
allesthesia,[医] 异处感觉
alleviate,"vt. 减轻, 使缓和"
alliance,"n. 联盟, 联合
"
allied,"a. 联盟的, 联姻的, 联系起来的"
alloantigen,n. [生]同种抗原
allocate,"vt. 分派, 分配
"
allocation,"n. 配置, 分配, 拨给
"
allogeneic,"a. 同种异体的, 同种组织移植的
"
allograft,n. 同种移植物
alloimmunization,"异源免疫, 同种异体免疫"
allolalia,"反常言语, 言语障碍"
allopurinol,n. [药]别嘌呤醇(治痛风药)
alloreactivity,[网络] 同种异体反应性；同种反应性
allorecognition,[网络] 同种识别；同种异型识别；同种识别e
allosteric,a. [生化]变构(象)的
allotransplantation,[医] 异体移植术
allotropy,n. 同素异形(现象)
allotype,n. (同种)异型
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
almond,"n. 杏仁
"
aloesin,[网络] 芦荟苦素；芦荟叶含芦荟苦素；芦荟辛
alopecia,"n. 脱发
"
alpha,"n. 希腊字母表的第一个字母, 最初, 开端
"
alpha-fetoprotein, [医](AFP)甲胎蛋白，α胎儿蛋白
alphainterferon,无
alpha-methyldopa,[网络] a-甲基多巴
alpinetin,山姜素
alter,v. 改变
alterable,"a. 可变的, 可改的"
alteration,"n. 变更, 改动
"
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternating,"a. 交互的
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
altretamine,[化] 六甲蜜胺; 六甲基蜜胺
altruism,"n. 利他主义, 利他"
alum,"n. 明矾, 矾, 校友
"
aluminum,"n. 铝
"
alveolar,"a. 牙槽的, 肺泡的
n. 齿槽音"
alveolitis,n. 齿槽炎
alveolus,"n. 小窝, 牙槽, 肺泡
"
Alzheimer's disease,早老性痴呆；阿耳滋海默氏病
amaranth,"n. 不凋花, 苋属植物, 紫红色
"
amazing,a. 令人惊异的
amber,"n. 琥珀, 琥珀色
a. 琥珀色的, 琥珀似的"
amblyopia,"n. 弱视
"
ambulance,"n. 救护车
"
ambulant,"a. 走动的, 流动的
"
ambulation,"n. 移动, 步行"
ambulatory,"a. 步行的, 走动的, 流动的, 非固定的
n. 回廊"
ameba,"n. 阿米巴, 变形虫
"
amebiasis,"n. [医]阿米巴病,变形虫病(尤指原虫寄生肠内引起的阿米巴痢疾)"
amebic,"a. 阿米巴, 变形虫
"
ameboid,"a. 阿米巴样的
"
ameliorate,"v. 改善, 改良, 改进"
amelioration,"n. 改善, 改良, 改进
"
amenable,"a. 服从的, 会接纳的, 有义务的
"
amendment,"n. 修订, 改善, 改良, 改正
"
amenorrhea,"n. 经闭, 无月经
"
amensalism,[医] 无害寄生
amentia,"n. 智力缺陷
"
amidase,n. [生化]酰胺酶
amikacin,氨基羟丁基卡那霉素A(即：抗菌素BBK8)
amination,[化] 氨基化; 胺化; 胺化作用(直接加入氨基)
amine,"n. 胺, 卤氮化合物
"
amino acid,n. [生化] 氨基酸
aminoacid, 氨
aminoacidopathy,氨基酸病
aminoglutethimide,[化] 氨鲁米特
aminoglycoside,n. 氨基糖苷类
aminophylline,n. [药]氨茶碱
aminopterin,n. [药]氨喋呤
aminopyrine,"n. 一种无色透明化合物,氨基比林"
aminotransferase,"n. 氨基转移酶, 转氨酶"
ammonia,"n. 氨水, 阿摩尼亚
"
ammonification,"n. [化]加氨(作用), 氨化(作用)"
ammonium,"n. 铵
"
amnesia,"n. 健忘症, 记忆缺失
"
amnestic,"a. 记忆缺失, 健忘(症)
"
amniocentesis,n. 羊膜穿刺术
amnion,"n. 羊膜
"
amnioscopy,n. [医]羊水镜检法
amniotic,"a. 羊膜的
"
amniotomy,[医] 羊膜穿破术
amodiaquine,
amorphous,"a. 无定形的, 无组织的
"
amoxicillin,[化] 阿莫西林; 羟氨苄青霉素
amphetamine,"n. 苯丙胺, 安非他明
"
amphipathic,a. [生化]两性分子的 (=amphiphilic)
amphiphilic,a. [生化]两性分子的
amphitheater,"n. 圆形剧场, 竞技场, 梯形看台"
amphotericin,[医] 两性霉素
ampicillin,"n. 氨苄青霉素
"
ample,"a. 大量的, 充足的, 丰富的"
amplicon,扩增子
amplification,"n. 扩大, 放大
"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
amplitude,"n. 广阔, 充足, 幅度
"
ampoule,"n. 安瓿
"
ampullary,"[医] 壶腹的, 壶腹状的"
amputate,"vt. 切断, 删除"
amputation,"n. 切断, 截肢术
"
amycolatopsis,拟无枝菌酸菌
amygdala,"n. 巴旦杏, 扁桃, 扁桃体
"
amygdalase,"苦杏仁苷酶, 扁桃苷分解酶, 苦杏仁酶"
amygdale,n. [矿] 杏仁孔
amylase,"n. 淀粉酶
"
amyloid,"a. 淀粉的, 含淀粉的
n. 淀粉质食物, 淀粉状蛋白"
amyloidosis,[医] 淀粉样变性
amylopectinosis,支链淀粉病
amyotrophy,[医] 肌萎缩
anabolic,"a. 合成代谢的
"
anabolism,"n. 合成代谢
"
anaerobe,"n. 厌氧菌
"
anaerobic,"a. 厌氧的, 在缺氧情况下生活的
"
anal,"a. 肛门的, 肛门附近的
"
analgesia,"n. 止痛, 痛觉缺失
"
analgesic,"a. 止痛的, 痛觉缺失的
n. 止痛剂"
analgin,[化] 安乃近
analog,[计] 模拟
analogous,"a. 类似的, 相似的
"
analogy,"n. 相似, 类似
"
analyse,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
anamnestic,"a. 记忆的, 回想的
"
anaphase,n. [生](细胞分裂的)后期
anaphylactic,"a. 过敏性, 过敏反应
"
anaphylactogen,[医] 过敏原
anaphylatoxin,过敏毒素
anaphylaxis,"n. 过敏性
"
anaplasia,n. [医]退行发育
anaplasmosis,[医] 微粒孢子虫病
anaplastic,"a. [医]还原成形术的,整形术的,退行发育术的"
anapnotherapy,吸入疗法
anastomose,"vt.vi. (使)吻合
"
anastomosis,"n. 接合, 相接
"
anastomotic,[医] 吻合的
anatomic,"a. 解剖的, 结构上的, 解剖学上的
"
anatomist,"n. 解剖学家
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
anatoxin,"n. [微]去毒毒素,类毒素,变性毒素"
ancestor,"n. 祖先, 祖宗"
ancestral,"a. 祖先的, 祖传的
"
ancylostomiasis,n. 钩虫病
androgen,"n. 雄激素
"
andrographolide,[化] 穿心莲内酯
andrology,n. 男科学
androstenedione,
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
anemarrhena,[医] 知母属
anemia,"n. 贫血, 贫血症, 无活力
"
anemic,"a. 贫血的, 患贫血症的, 无活力的
"
anemonin,
anencephalus,[医] 无脑畸胎
anergia,"[医] 无变应性, 无力"
anergic,"[医] 无活动力的, 无力的, 无变应性的"
anergy,"n. [医]无反应力,无力"
anesthesia,"n. 麻醉, 麻木
"
anesthesiologist,"n. 麻醉学者
"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
anesthetist,"n. 麻醉师
"
anesthetization,"n. 麻醉, 麻木
"
anesthetize,"vt. 使麻木, 使麻醉
"
aneuploid,a. 非整倍的
aneurysm,"n. 动脉瘤
"
aneurysmectomy,[医] 动脉瘤切除术
angelica,"n. 当归属植物
"
angiitis,[医] 脉管炎
angina,"n. 咽痛, 绞痛
"
angina pectoris,心绞痛
anginal,"[医] 咽峡炎的, 咽痛的, 绞痛的"
angiocardiogram,n. [医]心血管X线照片
angiocardiography,[医]心血管造影术
angioedema,血管性水肿
angiofibroma,[医] 血管纤维瘤
angiogenesis,"[医] 血管生成, 血管发生"
angiogram,n. [医]血管造影(照)片
angiography,"n. 血管造影术
"
angioma,"n. [医]血管瘤, 血管肿"
angiomyolipoma,"n. 血管肌脂瘤
"
angioneurotic,[医] 血管神经病的
angioplasty,[医] 血管成形术
angiostatin,"血管稳定因子
血管抑素"
angiotensin,"n. 血管紧张素
"
anhidrosis,"n. [医]汗缺乏, 缺汗症"
anhydrase,"n. 脱水酶, 去水酶
"
anicteric,[医] 无黄疸的
animal,"n. 动物
"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
animation,"n. 活泼, 生气, 激励, 卡通制作
"
anion,"n. 阴离子
"
anisocytosis,[医] 红细胞[大小]不均
ankle,"n. 踝
"
ankylosing,v. 胶住( ankylose的现在分词 ); 胶着; 使僵硬; 使骨愈合僵硬
annals,"n. 编年史, 活动年报, 历史"
