counteract,"vt. 抵消, 阻碍, 中和
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
procession,"n. 队伍, 连续, 列队行进, 涌出"
recession,"n. 后退, 凹处, 衰退, 归还
"
intercede,"vi. 说情, 调解
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
unprecedented,"a. 空前的
"
secede,"vi. 正式脱离(或退出), 分离
"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
ancestry,"n. 祖先, 世系, 名门出身"
ancestral,"a. 祖先的, 祖传的
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
discriminate,"v. 区别, 差别待遇"
certification,"n. 证明
"
unconcerned,"a. 漠不关心的
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentric,"a. 同中心的, 同轴的
"
centric,"a. 中心的, 中央的
"
centripetal,"a. 向心的
"
precise,"a. 精确的, 严谨的, 明确的
"
concise,"a. 简洁的, 简明的"
decision,"n. 决定, 决心, 决断
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
insecticide,"n. 杀虫剂
"
pesticide,"n. 杀虫剂
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
circuit,"n. 电路, 环(行)道, 巡回
"
circus,"n. 马戏团, 马戏, 竞技场"
encyclopedia,n. 百科全书
circumstance,"n. 环境, 状况, 事件"
circumscribe,"vt. 在...周围画线, 限制"
circumspect,"a. 细心的, 慎重的"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
declaim,"v. 慷慨陈词, 演讲, 朗读"
declaration,"n. 宣告, 说明, 宣布
"
clarity,"n. 清楚, 明晰
"
declare,"v. 宣布, 声明, 申报, 断言"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
disclose,"vt. 揭露, 透露
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
exclude,"vt. 除外, 排除, 排斥
"
exclusive,"a. 排外的, 独占的, 唯一的
"
include,"vt. 包括, 把...算入, 包住
"
inclusive,"a. 包含的, 包括的"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
closure,"n. 关闭
vt. 使终止"
seclude,"vt. 使隔离, 使孤立, 隔开"
corporate,"a. 社团的, 合伙的, 公司的
"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
corps,"n. 军, 队, 部队, 兵种
"
corporation,"n. 公司, 合作, 法人团体
"
corporeal,"a. 肉体的, 有形的, 物质的
"
corpus,"n. (事物的)主体, 文集, 本金, 语料库
"
democratic,"a. 民主的
"
bureaucracy,"n. 官僚, 官吏
"
democracy,"n. 民主政治, 民主主义
"
theocracy,"n. 神权政治, 神权国"
decrease,"n. 减少, 减少量
v. 减少"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
create,"vt. 创造, 建造, 引起, 任命"
crescent,"n. 新月, 新月形(物)
a. 新月形的, 逐渐增加的"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
mediocre,"a. 不好不坏的, 通常, 平凡的"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
accredit,"vt. 信托, 确认, 归结于, 委派
"
credential,"n. 国书, 凭据, 证明书
"
credibility,"n. 可信用, 确实性, 可靠
"
occur,"vi. 发生, 被想到, 存在"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
currency,"n. 货币, 通货, 流通, 通用
"
excursion,"n. 远足, 游览圆, 短程旅行
"
incursion,"n. 侵入, 侵略, 奇袭"
recourse,"n. 求援, 求助, 追索权
"
curative,"a. 治病的, 有疗效的
n. 药物, 治疗法"
curriculum,"n. 课程
"
curious,"a. 好奇的, 求知的, 古怪的"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
dense,"a. 密集的, 浓厚的"
density,"n. 密度
"
condensation,"n. 压缩, 凝缩, 冷凝
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dictionary,"n. 字典, 词典
"
indicate,"vt. 显示, 象征, 指示, 指出
"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
orthodox,"a. 正统的, 传统的, 惯常的"
doctrine,"n. 教条, 学说
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
doctrinaire,"n. 空论家, 纯理论家, 教条主义者
a. 空谈理论的, 脱离实际的"
dominate,"v. 支配, 占优势"
domestic,"a. 家庭的, 国内的, 驯养的
"
domain,"n. 领域, 领土, 产业, 范围
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
domesticate,"vt. 养驯, 引进(外来词等), 教化"
dominance,"n. 优势, 显性, 统治, 控制, 支配
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
donate,v. 捐赠
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
condone,"vt. 赦, 宽恕
"
anecdote,"n. 轶事, 奇闻"
extradite,"vt. 引渡, 获取(逃犯等)的引渡
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
deduce,"vt. 推论, 演绎出
"
inductive,"a. 归纳的, 感应的
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
aqueduct,"n. 水管, 沟渠, 导管
"
conductive,"a. 传导性的, 有传导力的, 传导的
"
seduce,"vt. 唆使, 怂恿, 引诱, 诱奸
"
deductive,"a. 推论的, 演绎的
"
induction,"n. 归纳法, 感应, 就职, 入门
"
viaduct,n. 高架桥
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equation,"n. 相等, 等式, 平衡
"
equity,"n. 公平, 公正
"
equalitarian,"a. 平均主义的
n. 平均主义者"
equanimity,"n. 平静, 镇定, 沉着"
equator,"n. 赤道
"
equivalence,"n. 同等, 等价, 等值
"
facility,"n. 容易, 灵巧, 设备
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
artefact,"n. 人工制品, 制造物, 人为现象, 膺象, 矫作物, 古代文物
"
artifact,"n. 人工制品
"
benefaction,"n. 善行, 施惠助人, 捐赠"
defect,"n. 缺点
"
effectuate,"vt. 使发生, 实行, 完成"
efficacy,"n. 功效, 效力
"
facsimile,"n. 摹(真)本, 传真
vt. 传真, 临摹
a. 复制的
"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
infect,"vt. 传染, 感染
"
suffice,"vi. 足够, 有能力
vt. 满足"
deface,"vt. 损伤外观
"
efface,"vt. 抹去, 消除, 忘却"
facade,"n. 建筑物的正面, 外观, 表面"
interface,"n. 分界面, 接触面, 界面
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
conference,"n. 会议
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
infer,"vt. 推论出, 推断
vi. 作推论"
inferential,"a. 推理的, 可以推论的, 推理上的
"
fertilization,"n. 使肥沃, 土地肥沃法, 施肥
"
fertilize,"vt. 施肥, 使丰饶, 使受精"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
floriferous,"a. 有花的, 开花的, 多花的"
odoriferous,"a. 散发气味的, 臭的"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
ferry,"n. 渡船, 渡口
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
define,"vt. 定义, 规定, 使明确
"
definitive,"n. 限定词
a. 限定的, 决定性的"
finale,"n. 结局, 最后乐章, 终曲"
finitude,"n. 界限, 限制"
affinity,"n. 吸引, 姻亲关系, 类同
"
confirmation,"n. 证实, 证明, 批准, 确认
"
affirm,"v. 断言, 确认"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
fluency,"n. 流畅, 雄辩, 善辩"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influenza,"n. 流行性感冒
"
mellifluous,"a. 加了蜜糖的, 甜蜜的, 甜美的, 流畅的"
effort,"n. 努力, 成就"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
enforce,"vt. 强迫, 执行, 坚持
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
reinforcement,"n. 加强, 增援, 补充, 援军, 加固物
"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
formula,"n. 客套语, 公式, 准则
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
formative,"a. 有助于形成的, 造型的, 形成的
n. 构词要素"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
cruciform,"a. 十字形的
"
informative,"a. 提供消息的, 见闻广博的"
aquiform,a. 水状的；液体的
fragile,"a. 易碎的, 脆的
"
fraction,"n. 小部分, 破片, 分数
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
effusive,"a. 感情横溢的, 奔放的, 流出的"
futile,"a. 无用的, 琐细的, 不重要的"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
suffuse,"vt. 遍布, 弥漫, 充满"
transfuse,"vt. 输血, 充满
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
generate,"vt. 产生, 发生, 导致
"
gene,"n. 基因
"
homogeneous,"a. 同种的, 同质的, 齐性的
"
generic,"a. 属类的, 一般的
"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
ingenuous,"a. 坦白的, 正直的, 天真的"
suggest,"vt. 提议, 建议, 促成, 暗示, 启发, 使人想起
"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
congestion,"n. 拥挤, 充血
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
registration,"n. 登记, 挂号, 注册
"
unregister,取消登记
degrade,"v. (使)降级, (使)退化"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
congress,"n. 国会, 会议, 讨论会
"
aggression,"n. 侵犯, 侵略
"
digress,"vi. 走向岔道, 离题, 扯到枝节上"
retrogress,"vi. 倒退, 退化, 退步"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
centigrade,"a. 百分度的, 摄氏的
"
demographic,"a. 人口统计的
"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
bibliography,"n. 参考书目
"
photography,"n. 摄影, 摄影术
"
autobiography,n. 自传
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
biography,n. 传记
calligraphy,"n. 笔迹, 书法"
cartography,"n. 地图制作, 制图学, 制图"
cinematography,"n. 电影制片术
"
geography,"n. 地理学, 地理
"
graph,"n. 曲线图, 图表, 图形
"
graphology,"n. 笔迹学, 笔迹相法, 图表法
"
lexicographer,n. 辞典编纂者
photographic,"a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
prohibitive,"a. 禁止的, 禁止性的
"
habitual,"a. 习惯的, 惯常的, 平常的
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
inhabitable,"a. 可居住的, 可栖居的"
inhabitant,"n. 居民, 居住者
"
cohabit,"vi. 同居
"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
mishandle,"vt. 虐待, 胡乱处理"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
handicraft,"n. 手工艺, 手艺
"
beforehand,adv. 预先
handy,"a. 便利的, 敏捷的, 容易取得的
"
shorthand,"n. 速记
"
inherited,a. 遗传的；继承权的；通过继承得到的
hereditary,"a. 世袭的, 遗传的
"
heir,"n. 继承人, 嗣子, 后嗣
"
heiress,"n. 嗣女, 女继承人
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hesitation,"n. 犹豫, 踌躇, 含糊, 口吃, 暂停
"
cohesion,"n. 结合, 黏聚, 内聚
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
inherent,"a. 固有的, 与生俱来的
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
hospitable,"a. 好客的, 招待周到的"
hospital,"n. 医院
"
hostel,"n. 青年招待所, 宿舍, 旅店"
hostess,"n. 女主人, 女房东, 女老板"
hostility,"n. 敌意, 敌对, 反对"
humble,"a. 低下的, 谦逊的, 粗陋的
vt. 使...卑下, 降低...地位, 贬抑"
exhume,"vt. 掘出, 发掘"
posthumous,"a. 遗腹的, 死后的
"
homicide,"n. 杀人, 杀人者
"
humane,"a. 有人情的, 人道的, 仁慈的"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
inhumane,"a. 无人情味的, 薄情的, 残忍的"
humid,"a. 潮湿的, 湿润的, 多湿气的"
identical,"a. 同一的, 恒等的, 完全相同的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identifiable,"a. 可辨认的
"
identification,"n. 识别, 身份证明, 认同
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
imaginative,"a. 想像的, 虚构的"
imagination,"n. 想像, 听觉, 想像力
"
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
eject,"vt. 逐放, 放逐, 喷射
"
inject,"vt. 注射, 注入, 使入轨
"
conjecture,"n. 推测, 猜想, 揣摩
v. 推测, 猜想, 揣摩
"
misjudge,v. 判断错
judgment,"n. 裁判, 宣告, 判决书
"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
unprejudiced,"a. 无偏见的, 没有成见的, 公正的
"
conjunction,"n. 连接词, 联合, 结合
"
joint,"n. 连接处, 接合, 关节
a. 共同的, 联合的, 连接的, 合办的
vt. 连接, 接合, 使有接头
vi. 贴合, 长节"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
junction,"n. 连接, 会合处, 交叉点
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
lax,"a. 松的, 不严格的, 腹泻的, 松弛的
n. 腹泻, 松元音"
allege,"vt. 宣称, 主张, 提出, 断言
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
legend,"n. 传说, 传奇文学, 图例
"
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
dialect,"n. 方言, 同源语"
dialectical,"a. 辩证的, 辩证法的"
illegible,"a. 难辨认的, 字迹模糊的"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligence,"n. 智力, 情报, 信息
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
elite,"n. 精华, 精锐, 中坚分子"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
electorate,"n. 选民, 有选举权者, 选区
"
intellect,"n. 智力, 出众的才华, 知识分子
"
negligence,"n. 疏忽, 粗心大意, 忽视
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
selection,"n. 选择, 选文, 精选品
"
selective,"a. 选择的, 选择性的
"
delegate,"n. 代表
vt. 委派...为代表"
legal,"a. 法律的, 法定的, 合法的
"
illegal,"a. 违法的, 不合规定的
"
legislative,"n. 立法机构
a. 立法的, 有立法权的"
legitimacy,"n. 合法, 正统, 正当
"
legislation,"n. 立法, 法律
"
alleviate,"vt. 减轻, 使缓和"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
elevate,"vt. 举起, 提拔, 鼓舞"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
lever,"n. 杠杆, 似杠杆之工具
vt. 撬开
vi. 使用杠杆"
relevance,n. 中肯；关联；相关性
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
eliminate,"vt. 除去, 排除, 剔除, 消除"
