hearing,"n. 听, 听觉, 听讯
"
fist,"n. 拳头, 手
vt. 拳打, 握成拳, 紧握"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
pigeon,"n. 鸽子, 易上当受骗的人, 年轻女子"
soldier,"n. 军人, 士兵, 兵蚁
vi. 从军, 尽职, 偷懒, 磨洋工"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
be made up of,由...所组成
vocabulary,"n. 词汇(量), 词汇表
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
Celtic,"a. 凯尔特族的, 凯尔特语的
n. 凯尔特语"
Germanic,"a. 德国的, 日耳曼语的, 日耳曼人的
n. 日耳曼语"
mainland,"n. 大陆, 本土
"
Angle,[网络] -角度
Saxon,n. 撒克逊人
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
consist,"vi. 组成, 存在于, 一致"
mixture,"n. 混合, 混淆, 混合物
"
name after, 以…的名字起名
aside,"n. 小声说的话, 旁白
adv. 在一边, 离开, 另外"
Viking,n. 海盗
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
contribution,"n. 捐助, 捐助之物, 贡献
"
Norman,"adj. 诺曼第人的；诺曼第语的
n. 法国诺曼第人"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
take control of,"控制,掌管"
the Norman Conquest,[网络] 诺曼征服；诺曼底征服；诺曼征服时间
lead to,"导致, 通向"
replace,"vt. 代替, 替换, 放回, 归还
"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
therefore,"adv. 因此, 所以"
mutton,n. 羊肉
bacon,"n. 熏猪肉
"
plural,"n. 复数
a. 复数的, 两个以上的"
high-class,[经] 高级
mother tongue,"母语
"
the Renaissance,[网络] 文艺复兴；文艺复兴时期；文艺复兴运动
Latin,"n. 拉丁人, 拉丁语
a. 拉丁人的, 拉丁语的"
Greek,"n. 希腊人, 希腊语
a. 希腊的, 希腊人的
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
distinction,n. 区别
spelling,"n. 拼, 拼字, 拼法
"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
ban,"n. 禁令
vt. 禁止, 取缔"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
unique,"a. 独一无二的, 独特的, 稀罕的"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
racial,"a. 人种的, 种族的
"
gentle,"a. 温和的, 文雅的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
backwards,adv. 向后
conclusion,"n. 结论, 结尾, 推论
"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
mistaken,"a. 犯错的, 错误的
mistake的过去分词"
ought to,应该
differ,"vi. 不一致, 不同
"
alphabet,"n. 字母
"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
deed,"n. 行为, 实行, 契约
vt. 立契转让"
writing,"n. 书写, 著作, 笔迹, 作品
"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
drawing,"n. 图画, 制图, 拉
"
simplify,"vt. 单一化, 简单化"
as a whole,总体上
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
distinguish,"v. 区别, 辨别"
indicate,"vt. 显示, 象征, 指示, 指出
"
shortcoming,"n. 缺点, 短处"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
eyesight,"n. 视力, 目力"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
wire,"n. 电线, 电报, 电信, 铁丝网, 金属丝
vt. 用金属丝捆扎, 拍电报
vi. 打电报"
convenient,"a. 方便的, 合宜的
"
battle,"n. 战役
v. 战斗"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
"
practical,"a. 实际的, 现实的, 实用性的
"
thus,"adv. 如此, 因此, 到如此程度
"
typewriter,n. 打字机
version,"n. 一种描述, 版本, 译文
"
civilization,"n. 文明, 教化
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
BC,abbr. 公元前（Before Christ）
Roman,"n. 罗马人
a. 罗马人的, 罗马的"
take over,"na. 接管；继承
"
volcano,n. 火山
AD,"n. 【网】打成平局后得分 = advantage. ad in (打成平局后)发球人得分
abbr. 〈外(=Anno Domini)公元
prep. 达；根据
"
erupt,"vi. 爆发
vt. 喷出"
lava,"n. 熔岩, 火山岩
"
ash,"n. 灰, 灰烬
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
unfortunate,"a. 不幸的, 不合适的, 不吉利的"
mud,"n. 泥, 诽谤
vt. 弄脏"
decorate,v. 装饰
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
researcher,n. 研究人员
true-to-life,逼真的
disaster,"n. 灾祸, 不幸, 彻底失败"
destroy,"vt. 破坏, 毁坏, 消灭"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
wealthy,"a. 富有的, 丰裕的, 充分的"
gradually,adv. 逐渐地
sandstorm,n. (沙漠地带的)沙暴
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
cultural,"a. 文化的, 教养的, 修养的
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
remains,"n. 剩余物, 废墟, 残余
"
beneath,"prep. 在...下方
adv. 在...下方"
pot,"n. 盆, 罐, 壶, 坩埚, 奖杯
vt. 装入盆中, 在锅中煮, 随手射击
vi. 随手射击"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
workshop,"n. 工场, 车间, 研讨会
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
nearby,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
complain,"v. 抱怨, 抗议, 控诉"
bone,"n. 骨头, 骨, 骨制品
vt. 剔骨
vi. 专心致志"
wooden,"a. 木制的, 呆笨的, 木然的"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
historical,"a. 历史的, 史实的, 历史上的
"
solution,"n. 解决, 解答, 溶液
"
expression,"n. 表达, 表现, 词语, 措辞
"
audience,"n. 听众, 观众, 读者
"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
ceremony,"n. 典礼, 仪式, 礼节
"
republic,"n. 共和国, 共和政体, 团体, 界"
chairman,"n. 主席, 会长
"
pearl,"n. 珍珠, 珠灰色, 杰出者, 珍贵之物
vt. 用珍珠镶, 使成珠状
vi. 成珠子状, 采珍珠, 用珍珠做"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
powerful,"a. 有力的, 有权力的, 强大的
"
airfield,n. 飞机场
bomb,"n. 炸弹
vt. 轰炸, 投弹于
vi. 失败"
sailor,"n. 水手, 船员, 海员
"
fortunate,"a. 幸运的, 幸福的"
aircraft,"n. 航空器, 飞机
"
carrier,"n. 运送者, 邮递员, 带菌者
"
declare,"v. 宣布, 声明, 申报, 断言"
in memory of,纪念...
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
educate,"vt. 教育, 培养, 训练"
statue,"vt. 以雕像装饰
n. 雕像"
no doubt,无疑地
rise up against,无
troop,"n. 军队, 一群, 一队
vi. 群集, 结队, 成群而行"
stand in one's path,无
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
ahead,"a. 领先的, 预先的, 向前的
adv. 领先, 预先, 向前, 胜于, 在前面, 在将来"
come down with,"被传染上,因…而病倒"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
salary,"n. 薪水
vt. 给...加薪"
aware,"a. 知道的, 有觉悟的"
basis,"n. 基础, 主要成分
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
