rocker,"n. 摇的人, 摇杆
"
cuisine,"n. 烹调风格, 烹调法, 烹饪, 厨房"
vegetarianism,"n. 素食主义
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
uncover,"vt. 揭露, 揭开, 暴露, 脱帽致敬
vi. 脱帽致敬, 揭去盖子"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
dietetic,"a. 饮食的, 适于特殊饮食的
"
association,"n. 协会
"
degenerative,"a. 退步的, 退化的, 变质的
"
cancer,"n. 癌, 恶性肿瘤
"
flatly,"adv. 枯燥无味地, 完全地, 直截了当地, 毅然地, 断然地"
biological,"a. 生物学的
"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
nutritional,"a. 营养的, 滋养的
"
drawback,"n. 缺点, 退税
"
devoid,"a. 全无的, 缺乏的"
devoid of, [医]aaj.缺乏的。没有的
fiber,"n. 纤维, 构造, 纤维制品
"
saturated,"a. 饱和的, 渗透的
"
saturated fat, （来自肉类和乳类的）饱和脂肪
cholesterol,"n. 胆固醇
"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
hormone,"n. 荷尔蒙
"
steroid,"n. 类固醇
"
antibiotic,"n. 抗生素
a. 抗生的"
notoriety,"n. 恶名, 臭名, 声名狼藉"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
E.coli,abbr. 大肠杆菌（Escherichia coli）
campylobacter,n. 弯曲菌
bacteria,"pl. 细菌
"
inspection,"n. 检验, 检查, 视察
"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
agency,"n. 代理机构, 经销商, 中介
"
infect,"vt. 传染, 感染
"
salmonella,"n. 沙门氏菌
"
roulette,"n. 轮盘赌, 点线机, 骑缝线"
unfortunately,"adv. 恐怕, 不幸的是"
unfortunate,"a. 不幸的, 不合适的, 不吉利的"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
bow to,"屈服于,屈从于,服从"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
reduction,"n. 减少, 缩影, 变化
"
intake,"n. 入口, 吸入, 吸入量
"
protein,"n. 蛋白质
a. 蛋白质的"
compelling,"a. 强制的, 强迫性的, 激发兴趣的"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
slaughter,"n. 残杀, 屠杀, 杀戮
vt. 残杀, 屠杀, 亏本出售"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
ecosystem,"n. 生态系统
"
wetland,"n. 湿地, 沼泽地
"
grassland,"n. 牧草地, 草原"
decimate,"vt. 每十人杀一人, 大批杀害"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
topsoil,"n. 上层土, 表层土"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
pesticide,"n. 杀虫剂
"
irrigation,"n. 灌溉, 冲洗
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
inefficient,"a. 无效率的, 无能的
"
edible,"n. 食品, 食物
a. 可食用的"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
manure,"n. 肥料, 粪肥
vt. 施肥于"
excrete,"vt. 排泄, 分泌
"
ministry,"n. 部, 内阁, 服务
"
groundwater,n. 地下水
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
run-off,"na. 逃走；流出；(火车等)出轨；越轨
"
fecal,"a. 排泄物的, 渣滓的
"
coliform,"n. 大肠菌
a. 大肠菌状的"
nitrate,"n. 硝酸盐
"
lay charges against,无
bring charges against,控告
press charges against,无
feedlot,n. 饲育场
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
litre,"n. 升, 公升
"
methane,"n. 甲烷, 沼气
"
ozone,"n. 新鲜的空气, 臭氧, 使人愉快的影响
"
depletion,"n. 消耗, 耗尽, 放血
"
deplete,"vt. 耗尽, 使衰竭
"
exclude,"vt. 除外, 排除, 排斥
"
livestock,"n. 家畜
"
Pulitzer,n. 普利策（美国新闻业经营者）
nominate,"vt. 提名, 任命, 命名
"
potent,"a. 有力的, 有说服力的, 有效的
"
factory-farmed,[网络] 工厂化养殖的鸡
unnatural,"a. 不自然的, 反常的, 不近人情的
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
squeal,"n. 尖叫, 抱怨
vi. 发出尖叫声, 高声埋怨
vt. 用尖声说"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
calipers,"pl. 测径规, 卡钳
"
look on,"观看, 旁观, 看待"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
upside down,[网络] 机腹朝上；颠倒；上的姿势
hind,"n. 雌鹿
a. 后部的, 在后的"
foreman,"n. 领班, 工头, 陪审长
"
conveyor,"n. 搬运者, 传达者, 转让财产者, 输送机, 输送设备
"
come second to,无
sub-zero, [电影]绝岭冰封
piglet,"n. 小猪, 猪仔"
snort,"vi. 喷着气弄响鼻子, 轻蔑地哼, 嘶嘶响着排气
vt. 哼着鼻子说, 喷出, 吸入(毒品)
n. 喷鼻息, (潜艇的)水下通气管"
rooster,"n. 公鸡, 栖息的鸟
"
strut,"n. 高视阔步, 支柱, 压杆
vi. 趾高气扬地走, 肿胀
vt. 用支柱支撑, 炫耀"
barnyard,n. 谷仓前的场地
modernize,"vi. 现代化
vt. 使现代化"
veal,"n. 小牛肉
vt. 宰小牛"
calf,"n. 小牛, 小牛皮, 腓肠
"
veal calf,屠用犊牛
crate,"n. 板条箱, 装货箱
"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
appetite,"n. 食欲, 欲望, 爱好
"
barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
steak,"n. 牛排, 鱼排, 肉排"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
see sb. through,"na. 看穿；看透；识破；办好某事
"
longevity,"n. 长命, 长寿, 寿命
"
readily,"adv. 迅速地, 轻易地, 乐意地"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
vitamin,"n. 维生素
"
harmful,"a. 有害的, 伤害的"
serving,"n. 服务, 招待, 上菜, 一份食物"
make a mess of,搞糟
with the exception of,"除...以外
"
sect,"n. 宗派, 教派"
by choice,出于选择
carnivore,"n. 食肉动物
"
herbivore,n. 草食动物
die out,"熄灭, 平息, 消失"
predator,"n. 食肉动物, 掠夺者
"
gland,"n. 腺, 密封套
"
shift one's ground,改变立场
arable,"a. 适于耕种的, 可耕的"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
cultivation,"n. 教化, 培养, 耕作
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
use up,"na. 用完；耗尽
"
barley,"n. 大麦
"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
stringent,"a. 迫切的, 严厉的, 银根紧的
"
carbon,"n. 碳, 副本, 复写纸
"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
calorie,n. 卡路里（热量单位）
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
detailed,"a. 详细的, 复杂的
"
suffice,"vi. 足够, 有能力
vt. 满足"
suffice to say,"可以说
只用说"
suffice it to say,[网络] 我只能说；只要……就够了；姑且一
suffice it to say that,只要说…就够了，不用多说
strip away,"un. 一块；剥去
"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
ecology,"n. 生态学, 社会生态学
"
maturity,"n. 成熟, 完备, 到期
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
abundant,"a. 丰富的, 充分的, 大量的"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
acceptable,"a. 可接受的, 合意的, 可忍受的"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
arrogant,"a. 自大的, 傲慢的"
insist on,"坚持, 坚决要求"
incorruptible,"a. 不腐败的, 不能收买的, 清廉的"
embarrassment,"n. 困难, 阻碍, 困窘
"
compulsively,"adv. 强制地, 强迫地"
compulsive,"a. 强制的, 强迫的
"
assail,"vt. 攻击, 质问
"
honesty,"n. 诚实, 公正, 正直"
what about,adv. 怎么样，以为如何（提出建议或用以引出话题）
hairdo,"n. 束发, 发式, 作头发"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
homely,"a. 家常的, 平凡的, 朴实无华的"
invitation,"n. 邀请, 请柬, 引诱
"
so-and-so,某某;如此这般
evasion,"n. 逃避, 藉口
"
warmed-over,"adj. 再热的；老一套的
"
credibility,"n. 可信用, 确实性, 可靠
"
credible,"a. 可信的, 可靠的
"
unsolicited,"a. 未经请求的, 主动提供的
"
liar,n. 说谎者
mutter,"n. 喃喃低语
vi. 喃喃自语, 作低沉声
vt. 出怨言, 抱怨地说"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
indulge in,沉湎于
flattery,"n. 谄媚, 阿谀, 巴结"
flatter,"vt. 奉承, 阿谀, 使高兴
"
mellifluous,"a. 加了蜜糖的, 甜蜜的, 甜美的, 流畅的"
fib,"n. 小谎话
vi. 撒小谎
vt. 一击, 打"
go along,"前进, 进行"
rationalize,"vt. 使合理, 合理地处理, 使有理化
vi. 合理地思考"
disapprove,v. 不赞成
disapprove of,"不赞成,不同意"
disapprove of sb.,"不赞成,不同意"
disapprove of sth.,"不赞成,不同意"
holler,"vi. 叫喊, 发牢骚, 抱怨
vt. 大声叫喊
n. 叫喊"
a bit of,一点
a bit of a,有点…的味道
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
oversleep,v. (使)睡过头
be caught in,淋雨
get caught in,"遭受,遭遇"
be in the mood to do sth.,无
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
plan on,打算
assert,"vt. 主张, 坚称, 断言
"
in general,大多数
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
protective,"a. 给予保护的, 保护的
"
supersede,"vt. 代替, 取代, 接替
"
on the grounds that,conj. 由于（根据）
on grounds of,"以...为理由, 以...为借口, 根据..."
on ... grounds,无
marital,"a. 丈夫的, 婚姻的, 夫妇间的
"
psyche,"n. 灵魂, 精神, 普赛克(希腊神话中人类灵魂的化身)
"
aware,"a. 知道的, 有觉悟的"
presumptuous,"a. 放肆的, 冒昧的, 傲慢的"
manipulation,"n. 操作, 处理
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
triangulation,"n. 三角测量, 三角形划分
"
concede,"vt. 承认, 退让
vi. 让步"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
immoral,"a. 不道德的, 邪恶的, 放荡的
"
sticky,"a. 粘的, 有粘性的, 顽固的"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
for now,"现在,此时,眼下,暂时"
give away,"na. 赠送；分发；放弃；露马脚
"
be stuck with,"〈俚〉被…缠住无法摆脱,遇到困难无法进行下去"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
as a last resort,"作为最后的手段,在万不得已的时候"
spectrum,"n. 光谱, 范围, 系列
"
deception,"n. 欺骗, 诡计
"
momentous,"a. 重大的, 重要的"
adhere to,"执着于,坚持,粘附于,信奉…"
cumulative,"a. 累积的
"
in one's own right,凭本身的头衔
mislead,vt. 误导
marginal,"a. 边缘的, 最低限度的, 有旁注的
"
cordially,"adv. 诚恳地, 诚挚地, 诚实地"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
in the name of,"以...的名义
"
justification,"n. 辩护, 证明正当, 释罪
"
formulation,"n. 系统陈述, 公式化, 配制
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
inference,"n. 推论
"
hostility,"n. 敌意, 敌对, 反对"
concoct,"vt. 调合, 捏造, 编造
"
interpretation,"n. 解释, 演出, 翻译
"
gloom,"n. 忧郁, 暗处, 幽暗
vi. 变忧沉, 变黑暗
vt. 使忧郁, 使黑暗"
tolerate,"vt. 宽容, 容许, 有耐力"
valuation,"n. 评价, 估价, 价值判断
"
melancholy,"n. 忧郁, 悲哀, 愁思
a. 忧郁的, 使人悲伤的, 愁思的"
indisposition,"n. 小毛病, 厌恶
"
innocuous,"a. 无害的, 无伤大雅的
"
innumerable,"a. 无数的, 数不清的"
ailment,"n. 病痛, 疾病
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
redeeming,"a. 补偿的, 可弥补的"
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
on the spur of the moment, 凭一时冲动; 日不移晷
for want of,"因缺乏…,由于…不足"
on the contrary,"正相反
"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
embroider,"vt. 刺绣, 镶边, 装饰
vi. 绣花"
substitution,"n. 代替, 替换, 代替物
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
lengthy,"a. 冗长的, 漫长的"
cite,"vt. 引用, 引证, 表彰
"
beneficial,"a. 有益的, 受益的
"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
worthless,"a. 无价值的, 无益的, 无足轻重的
"
distortion,"n. 扭曲, 变形, 曲解
"
distort,"vt. 扭曲, 歪曲
"
make mountains out of molehills,vi. 小题大做(夸大)
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
disputable,"a. 有讨论余地的, 未确定的
"
isolated,"a. 孤立的, 孤零零的
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
indiscriminate,"a. 无差别的, 任意的, 杂乱的
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
disagreeable,"a. 令人不快的, 厌恶的, 不合意的"
adoption,"n. 采用, 采纳, 收养
"
propaganda,"n. 宣传, 宣传活动
"
abound,"vi. 大量存在, 富于, 充满"
differ,"vi. 不一致, 不同
"
markedly,"adv. 显著地, 醒目地, 明显地"
observation,"n. 观察, 注意, 观测, 观察力
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
latter,"a. 后者的, 较后的, 近来的"
ground sb. in sth.,"训练…, 打好…的基础"
insect,"n. 昆虫, 卑鄙的人
"
energetic,"a. 精力充沛的, 积极的"
specimen,"n. 样品, 标本, 试料
"
haemulon,[网络] 仿石鲈属
by and by,不久以后
explicit,"a. 详述的, 清楚的, 直言的"
as to,"根据,按照,依照;关于,至于,就…而言"
entrust,"vt. 信托, 交托, 委托
"
naturalist,n. 自然主义者
tray,"n. 托盘, 公文盘, 满盘, 发射箱
"
occasionally,"adv. 有时候, 偶而"
occasional,"a. 偶然的, 临时的
"
moisten,"vt. 弄湿
vi. 变潮湿"
stopper,"n. 阻止的人, 木塞, 制止器
vt. 用塞子塞住, 闭嘴"
ground-glass,"n. 毛玻璃, 磨砂玻璃"
leaky,"a. 有漏洞的, 易泄漏秘密的, 爱哭的
"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
besmear,"vt. 涂抹, 弄脏"
cork,"n. 软木塞, 软木树, 软木
"
begrime,vt. 弄脏
cellar,"n. 地窖, 地下室, 藏酒"
ichthyology,"n. 鱼类学
"
unhesitatingly,"adv. 不踌躇地, 坚定地, 迅速地; 爽爽快快"
infectious,"a. 有传染性的, 易传染的
"
precinct,"n. 区域, 管理区, 管辖区域
"
commend,"vt. 嘉奖, 委托给, 推荐"
commend itself to sb.,"为…所喜爱,受…欢迎,给…好印象,使…感兴趣"
commend oneself to sb.,投…的所好，受…的欢迎；给…好印象；使感兴趣
ardent,"a. 热心的, 激动的, 燃烧般的
"
entomologist,"n. 昆虫学者
"
eau-de-Cologne,"科隆香水, 花露水"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
resuscitate,"v. (使)复苏, (使)复兴"
sloppy,"a. 泥泞的, 潮湿的, 粗心的"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
loathsome,"a. 讨厌的, 可恶的, 令人憎恶的"
look sb. in the face,[网络] 直视
look sth. in the face,[网络] 直视
ghastly,"a. 可怕的, 惨白的, 极坏的
adv. 可怖地, 惨白地"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
forth,"adv. 往前, 以后, 向外"
desperation,n. 绝望
magnifying,[医] 放大的
interdict,"vt. 禁止, 封锁, 停止, 制止
n. 禁令, 禁止"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
gill-arch,[医] 鳃弓
movable,"n. 活动的东西, 动产
a. 可动的, 可移动的, 不定的"
operculum,"n. 叶盖, 鳃盖骨
"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
fleshy,"a. 肉的, 肉体的"
lidless,"a. 无盖的, 无眼睑的, 注视的"
lateral,"n. 侧部, 支线, 边音
a. 侧面的, 旁边的"
spinous,"a. 多刺的, 刺状的, 尖尖的
"
fin,"n. 鳍, 鱼翅, 鳍状物, 五元纸币
vi. 猛挥鳍
vt. 装上翅, 切除鳍"
forked,"a. 成叉的, 叉的, 叉状的
"
compressed,"a. 被压缩的, 扁平的"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
arched,"a. 弓形结构的, 拱形的"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
conspicuous,"a. 显著的, 显眼的, 出众的"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
pique,"n. 赌气, 愤怒, 不快, 凹凸织物
vt. 伤害...自尊心, 激怒, 刺激, 引起兴趣, 使兴奋"
mortify,"vt. 抑制, 苦修, 使受辱
vi. 禁欲, 苦修"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
criticism,"n. 批评, 评论, 非难
"
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
disconcerting,"a. 困惑的, 不安的, 尴尬的
v. 使不安( disconcert的现在分词); 使为难; 使慌张; 使窘迫"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
perplexity,"n. 困惑, 混乱状态, 使人困惑的事物"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
reassure,"vt. 使...安心, 向...再保证
"
reassuring,"a. 安心的, 可靠的, 鼓励的"
for oneself,"独自, 独力地"
symmetrical,"a. 对称的, 匀称的
"
symmetry,"n. 对称, 匀称
"
thoroughly,"adv. 彻底地, 绝对地, 透彻地, 详尽地, 周到地, 完全地, 完善地, 全面地"
thorough,"a. 十分的, 彻底的"
