a bit,一点儿；有一点儿
by sheer chance,纯属偶然地
by the book,按常规
by the end of,"到…结束的时候,到…末"
by the name of,名叫...
by the same token,出于同样原因
by the time,"到…的时候,截至"
by the way,"在途中, 顺便"
by turns,"轮流, 交替"
by virtue of,"依靠, 由于
"
by way of,"经由, 作为, 为了
"
by leaps and bounds,非常迅速地
in leaps and bounds,迅速地
call about sth.,"来打听…,打电话询问"
call sb. about sth.,"来打听…,打电话询问"
call at,"停靠(车站), 拜访(家/办公室)"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call forth,"引起, 使产生, 使起作用"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"号召, 呼吁, 约请, 访问"
call upon," 号召, 拜访; 省视"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
calm down,"平静下来, 镇定下来"
can't help doing,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
couldn't help doing,无
cancel out,"v. 相约；相消；抵消
"
care about,担心
care for,"喜欢, 照顾, 为...操心, 尊重"
carry forward,"na. 推进；发扬；结转；使进行
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
carry out,"na. 实行；开展；完成
"
carry through,"na. 完成(计划等)；坚持到底
"
carry ... into effect,"实行, 实现
"
bring ... into effect,"实现, 实施"
carve out,开辟
carve up,"na. 切成几份
"
cash down,"即其付款
"
cash in on,"靠...赚钱, 乘机利用
"
cast about for,四处寻找，设法找到；设法；筹划
cast out,驱逐
cast light on,"使显得非常清楚, 阐明, 使人了解"
cast light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
shed light on,"为...提供线索, 对...透露情况, 使...清楚地显出, 阐明..."
shed light upon,vt. 阐明
throw light on,"照亮,阐明,使理解,启迪"
throw light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
catch fire, 着火着火; 失火; 发火; 走水
catch on,"变得流行, 理解, 明白"
catch one's breath,"喘息, 屏息"
catch one's eye,"un. 胡说；引起…的注意
"
catch sight of,瞥见
catch the attention of,引起…的注意
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch a glimpse of,瞥见
get a glimpse of,瞥见...
cater for,"供应伙食, 迎合"
cater to,迎合
charge sb. with,"na. 托付；使负…的罪名；使受…的责备
"
chase after,"追赶, 追逐"
check in,"登记, 报到
"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up,"核对, 检查
"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
check with,与...相符合
cheer for,"为…喝彩叫好, 为…鼓劲加油"
cheer up,"v. 鼓舞；振作一点
"
chew on,"寻思,细想,仔细考虑"
chew over,"na. “chew upon”的变体
"
civil servant,n. 文职人员; 公务员; 公仆; 联合国等机构的行政人员
claim for, 要求支付…的费用; 声称[宣布]…属于
clamp down,"取缔, 强行压制"
clamp down on,压制; 取缔
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear out,"na. 清空；腾空；清理；〈非正式〉匆忙离开
"
clear up,"na. 整顿；说明；(天气)转晴
"
click on, 点击鼠标
cling to,"依附, 依靠, 坚持"
close down,"关闭, 歇业, 停止播音"
close in,"包围, 封锁, (白昼)渐短"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
cluster around,紧紧环绕
cluster together,(使)集中; (使)成群
coincide with,符合
collaborate with,"合作, 协作"
collide with,冲突
combine with,与...结合
come across,偶遇
come along,v. 出现；一起来；陪伴；进步
come apart,"分开, 分裂"
come around,"来, 前来, 过访, 顺便来访, 笼络, 诱骗"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at,"袭击, 达到, 得到"
come away,脱开
come away from,离开
come back,"回来, 在记忆中重现, 复辟, 恢复, 回签"
come between,"在...中间, 离间"
come by,"从旁边走过, 得到"
come close to,接近
come down to,"流传下来;压缩为,归结为,简化为"
come down with,"被传染上,因…而病倒"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come in contact with, 接触
come in for,"遭到, 受到"
come into existence,"开始存在, 成立"
come into use,开始被使用
come off,"发生, 举行, 表现, 结果"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
come out with,"发表, 出版, 说出, 提出, 把...投入市场销售"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come over,"过来
"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come to blows,开始互殴
come to grief,"遭到不幸, 遭难, 失败"
come to one's senses,"苏醒过来, 醒悟"
come to the fore,"出名, 成为显赫人物"
come to the point,"变尖锐, 到紧要关头, 说到要点, 扼要地说"
come to,"谈到, 被...继承, 苏醒, 停止"
come true,"实现, 成为事实"
come up against,突然碰到
come up to,"达到, 等于"
come up with,"赶上, 提出"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
come with," 伴随…发生, 与…一起供给"
come to a halt,"停住,停下来"
bring to a halt,使停止
come into effect,"开始生效
"
go into effect,"生效,开始实施"
come into operation,[法] 开始实施
go into operation,"生效, 开始工作"
comment about,无
comment on,评论
commit oneself to,致力于
commit suicide,[法] 自杀
communicate with,通话
compare with,"比较…,跟…相比,比得上…"
compare ... to, 把…比作， 喻为; 与…相比
compel sb. to do,无
compensate for,赔偿
compete against,与…竞争
compete with,与…竞争
compete in,v. 参加…比赛（竞赛）
compete with,与…竞争
complete with,"连同,包括,以及"
comply with,照做
compose oneself to do,无
conceal sth. from sb.,"na. 对(人)隐蔽
"
conceive of,想象
concern oneself about,无
concern oneself with, 研究的对象是…; 过问
conclude from,从…中得出; 推断
conclude with,与…商谈; 以…结束
confer ... on sb.,"un. 授给
"
confer ... upon sb., 封
confess to sth.,"承认, 坦白; 〈宗〉向…忏悔"
confess to doing sth.,无
confide in,信任
conform to,"符合, 遵照"
conform with,与…一致
confuse ... with,混淆
consent to,"同意, 答应"
consist of,由...组成
be consumed with,被...吞噬
contribute to,捐献
convert ... into, （使）转而变为…; 折合
convert ... to,[计] 转换至
convert to,[计] 转换至
convert sb. to,[计] 转换至
convince sb. of,"na. 使(人)承认
"
cook up,"v. 伪造
"
cool off,"变凉, 平静下来"
cooperate with sb.,与...合作
cooperate with sb. in doing,无
cope with,"与...竞争, 应付, 处理"
correlate with,与…相关
correspond to,"相当于..., 与...相对应"
count ... in,"na. 算入
"
count on,"依靠, 指望"
count up,"把...加起来, 共计"
couple ... with, 与…连接在一起
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
crack up,"na. 夸奖；吹捧某人；(人,身体等)疲惫不堪；〔美俚〕(飞机)坠毁
"
crash down,哗啦一声〔咔嚓〕倒下〔摔下〕
crash into,闯入
credit ... to,"na. 把(某数)记入(某人)账户的贷方；把(成功)归(某人)
"
cross out,"na. 取消
"
cry out for,哭嚷着要求得到；恳求；迫切需要；因…而哭
cut across,抄近路通过
cut away,"切掉, 砍掉"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut corners,抄近路
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut into,打断
cut out,"na. 割掉；除去；剪下；开辟
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut short,"na. 打断(讲话)；使停止；缩减；从简
"
damp down,"na. (用灰把火)封上
"
dash off,na. 飞出；急忙离开；一气写成
date back to,"始于,可以追溯到…"
deal with,"安排, 处理, 涉及, 做生意"
decide on,"决定,选定,确定…"
declare oneself,"发表意见, 显露身分"
decorate with,"v. 装饰以
"
dedicate oneself to,"把毕生献给,毕生致力于,献身于…"
deep down, 本质上; 实际上; 事实上; 在内心深处
defend ... from,保卫
depend on,"依靠, 依赖"
deprive ... of,"un. 剥夺
"
derive from,"得自, 由来, 衍生"
descend from,从…下来;是…的后裔
descend on,袭击
descend to,转而提到
despair of,对…感到绝望
detach from,使从…分离(或分开、脱离、拆开)
deviate from,"偏离…,背离…;放弃…"
devote oneself to,"献身于, 专心于"
die away,"熄灭, 平息, 消失"
die down,"枯萎, 凋谢"
die of,"死于…,因…而死"
die from,"[法] 由于...而死, 死于"
die off,"相继死去直至死光, 消亡, 逐个死亡"
die out,"熄灭, 平息, 消失"
differentiate between,区分(两者); 对人待遇不公
dig down,"挖下, 掘倒, 掏腰包"
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
"
dip into,"浏览, 稍加研究"
disapprove of,"不赞成,不同意"
discourage sb. from doing,无
discriminate against,歧视
discriminate between,找出…之间的微小区别; 对…进行分辨; 对…待遇不公
dish out,"na. 上(菜)；分配(饭菜等)；〈比喻〉托出；提供
"
dispense with,"免除, 省却, 无需"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
dispute with,与…争执
distinguish between,v. 区别
distinguish ... from,"v. 区别,识别"
distract ... from,"v. 分散,使分心"
do a bunk,"〈俚〉逃之夭夭,溜之大吉"
do away with,"废除, 弄死"
do justice to,"公平对待, 适当处理"
do the trick,获得成功
do up,"v. 修缮；收拾
"
do with,"与...相处, 忍受, 对付"
do without,没有...也可以
do one's utmost,竭力
try one's utmost, 竭力尽全力; 竭尽心力
double up,"把...对折, 弯曲, 同宿一室"
down with,"打倒, 把...拿下"
doze off,不知不觉地睡着了
dozens of,"几十个,数十个;许多…"
drain away,渐渐枯竭
drag down,"na. 挣工资；赚(钱)
"
drag on,"n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
n. (Dragon)人名；(匈)德劳贡；(英、法、芬、罗、匈)德拉贡"
drag out,"na. “drag on”的变体
"
draw one's attention to,无
draw in,"收缩, 引诱, 接近黄昏, 紧缩开支"
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
draw oneself up,"控制自己, 挺直身体"
draw out,"na. 抽出；拔出；掏出；提出
"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
dream up,"na. 凭空想出；凭空捏造出
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drive away," 驱车离开; 把…驱开, 赶走; 祛"
drive one's point home,"宣扬某人的观点
阐明某人的观点"
drive out," 开车出去; 驱逐, 驱散; 撵; 祛除"
drop by,随便访问
drop in,顺便走访
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"掉出, 退出, 离队
"
drown out,na. (洪水)把(人)赶跑；把(另一声音)压倒
drum up,"na. 招揽(顾客等)；招募(新兵等)；鼓励；激起
"
dry out," （使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干"
due to,"由于, 应归于"
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
early on, 在早期; 前一阵子
earn one's living,"谋生, 维持生活"
easy game,"容易捕获的猎物,容易受骗的人,轻信的人"
eat one's words,认错道歉
eat up,"吃光, 耗尽, 吞灭"
