apprentice,"n. 学徒, 生手
vt. 使做学徒"
chronometer,"n. 天文钟, 航海用的精密时计, 精密的时钟
"
diameter,"n. 直径
"
meter,"n. 米, 公尺, 仪表, 计量器
vt. 以仪表计量"
odometer,n. 里程表
photometer,"n. 光度计, 曝光计
"
speedometer,"n. 速度计, 里程计
"
symmetry,"n. 对称, 匀称
"
antagonist,"n. 敌手, 对手
"
antibiotic,"n. 抗生素
a. 抗生的"
antibody,"n. 抗体
"
antidote,"n. 解毒剂, 解毒药
"
antipathy,"n. 厌恶, 反感
"
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
antitoxin,"n. 抗毒素
"
antonym,n. 反义词
acronym,"n. 首字母缩拼词, 首字母组合词
"
homonym,"n. 同音异义字, 同名异物
"
onomatopoeia,"n. 拟声, 拟声语, 声喻法"
pseudonym,"n. 假名, 笔名
"
synonym,n. 同义词
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
dermatologist,"n. 皮肤学者, 皮肤科医生
"
dermis,"n. 真皮, 皮肤
"
epidermis,"n. 表皮, (昆虫的)真皮
"
taxidermist,n. 动物标本剥制者
hypodermic,"a. 皮下的, 真皮的
n. 皮下注射, 皮下注射器"
agronomy,"n. 农艺学, 农学"
gastronome,"n. 爱吃的人, 讲究吃的人"
nemesis,"n. 复仇女神, 给与惩罚的人, 天罚, 报应"
astronomical,"a. 天文学的, 庞大的"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
cellophane,"n. 玻璃纸
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
fantasy,"n. 幻想, 想象的产物
"
phantom,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法
a. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
phenomenal,"a. 现象的, 能知觉的, 异常的, 显著的, 惊人的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
diathermy,"n. 透热疗法
"
thermometer,"n. 温度计, 体温计
"
thermostat,"n. 自动调温器, 温度自动启闭装置
"
thermal,"a. 热的, 热量的, 温泉的
n. 上升温暖气流"
thermonuclear,"a. 热核的, 热核武器的"
protagonist,"n. 主人公, 主角, 领导者"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
protoplasm,"n. 原生质
"
prototype,"n. 原型
"
protozoan,"n. 原生动物
"
antithesis,"n. 对偶, 对照, 对立面"
epithet,"n. 浑名, 绰号, 称号"
hypothesis,"n. 假设
"
synthesis,"n. 综合, 组织, 综合体
"
thesis,"n. 论题, 论文"
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
aster,"n. 紫苑属植物
"
asterisk,"n. 星号
"
asteroid,"n. 小行星, 海盘车
a. 星状的"
astrologer,n. 占星家
astronaut,"n. 太空旅行者, 宇航员
"
astronomer,n. 天文学家
disaster,"n. 灾祸, 不幸, 彻底失败"
anagram,n. 回文构词法
cartographer,"n. 地图制作者, 制图师"
cryptogram,n. 密文
electrocardiogram,"n. 心电图
"
epigram,"n. 警句, 讽刺短诗"
graphite,"n. 石墨
"
monogram,"n. 字母组合
"
monograph,"n. 专题论文, 专著, 专刊
vt. 写专题论文"
stenographer,n. 速记员
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
typographical,"a. 印刷上的, 活版印刷的
"
abrasion,"n. 磨擦, 磨损, 磨损处
"
avocation,"n. 副业, 嗜好
"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
abduct,"vt. 诱拐, 绑架, 使外展
"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
abscond,"vi. 潜逃, 逃匿
"
absolve,"vt. 宣告...无罪, 赦免, 免除
"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
avert,"vt. 转开, 避免, 防止"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absorbing,"a. 吸引人的, 非常有趣的
"
averse,"a. 不愿意的, 反对的"
adherent,"n. 信徒, 追随者
a. 附着的, 发生联系的"
advent,"n. 来到, 来临"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
adapt,"vt. 使适应, 改编
vi. 适应"
adjoin,"v. 邻接, 毗连"
adjourn,"vi. 休会, 换地方
vt. 使中止, 推迟"
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的
"
adequate,"a. 适当的, 足够的
"
adjacent,"a. 毗连的, 邻近的, 连接的
"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
antecedents,n. 经历；祖先；先行词；前身（antecedent的复数形式）
anteroom,"n. 候见室, 前厅, 休息室
"
postmortem,"a. 死后的, 事后的
n. 尸体检查, 验尸"
postscript,"n. 附言
"
antedate,"vt. 先于, 前于
"
postdate,"vt. 填迟...的日期
n. 事后日期"
ante meridiem,午前
post meridiem,"下午, 午后"
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
bicentennial,"n. 二百年, 每二百年"
semicircle,n. 半圆形
bisect,"v. 分成两部份, 对分"
bicameral,"a. 两院制的, 有两个议院的
"
biennial,"n. 两年生植物, 两年一次的事
a. 两年生的, 两年一次的"
bimonthly,"a. 两月一次的, 每月两次的"
semiannual,"a. 半年一次的, 一年两次的
"
semimonthly,"a. 每半个月一次的
adv. 每半月一次, 每月二次
n. 半月刊"
bilateral,"a. 有两边的, 双边的, 双方的
"
bilingual,a. 双语的
bipartisan,a. 两党连立的
semiconscious,"a. 半意识的
"
semidetached,"a. 半离的, 只有一边相衔接的"
semiskilled,a. 半熟练的
insurgent,"a. 谋叛的, 起义的, 澎湃的
n. 起义者, 叛乱者"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
emigrate,"v. (使)移居, (使)移民"
immigrate,"vt. 使移居入境
vi. 移入"
evoke,"vt. 唤起, 引起, 召(魂)
"
invoke,"vt. 祈求, 恳求, 实行, 援引, 引起
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
incise,"vt. 切割, 雕刻
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
impel,"vt. 推动, 激励, 驱使, 迫使"
enervate,"vt. 使衰弱
a. 衰弱的, 无力的"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
impugn,"vt. 责难, 抨击, 攻击
"
incarcerate,"vt. 下狱, 监禁, 禁闭
"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
eminent,"a. 显赫的, 杰出的, 有名的"
imminent,"a. 即将来临的, 逼近的"
exclusive,"a. 排外的, 独占的, 唯一的
"
inclusive,"a. 包含的, 包括的"
extracurricular,"a. 课外的, 业余的"
extraneous,"a. 外来的, 非必要的, 无关的
"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
intramural,"a. 校内的, 内部的
"
intraparty,a. 政党内的
intrastate,a. 州内的
intravenous,"a. 静脉内的
"
con,"vt. 精读, 仔细研究, 默记
adv. 反面地, 从反面
a. 欺诈的
n. 反对者, 反对票, 肺结核
"
contraband,"n. 违禁品, 走私
a. 禁运的, 非法买卖的"
controversy,"n. 论争, 辩论, 论战, 争论
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
incontrovertible,"a. 无争论余地的, 无疑的, 明白的
"
interlude,"n. 幕间, 幕间时间, 插曲, 穿插, 过场
"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
intermission,"n. 中止, 中断, 停顿, 间歇
"
intercede,"vi. 说情, 调解
"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
intervene,"vi. 插入, 调停, 干涉
"
interlinear,"a. 写在行间的, 有不同文字, 隔行对照的"
interurban,"a. 都市间的
n. 市间铁路"
impunity,"n. 不受惩罚, 无事, 无患
"
ingratitude,n. 忘恩负义
illegible,"a. 难辨认的, 字迹模糊的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
illogical,"a. 不合逻辑的, 无缘由的
"
immaculate,"a. 无污点的, 纯洁的, 无缺点的, 无辜的
"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
incessant,"a. 不断的, 不绝的, 无尽的"
inflexible,"a. 不屈曲的, 不屈挠的, 顽固的"
inhospitable,"a. 冷淡的, 不适于居住的, 不相容的"
insoluble,"a. 不能溶解的, 不能解决的
"
irreconcilable,"a. 不能和解的, 不能协调的, 矛盾的"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
benediction,n. 祝福
malediction,"n. 咒, 坏话"
benefactor,"n. 恩人, 捐助者, 施主
"
malefactor,"n. 罪人, 犯人, 坏人
"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
malice,"n. 恶意, 蓄意害人, 怨恨
"
malnutrition,"n. 营养失调, 营养不良
"
maltreat,"vt. 虐待, 滥用
"
beneficial,"a. 有益的, 受益的
"
benevolent,"a. 善意的, 慈善的"
malevolent,"a. 有恶意的, 坏心肠的"
maladjusted,"a. 失调的, 不适应环境的"
demolish,"vt. 毁坏, 破坏, 粉碎"
demote,"vt. 使降级, 使降职"
depreciate,"vi. 贬值
vt. 降价, 贬低"
despise,vt. 轻视
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
devour,"vt. 吞食, 挥霍, 吞没"
decadent,"a. 衰微的, 颓废的
n. 颓废派"
deciduous,"a. 每年落叶的, 非永久性的
"
demented,"a. 发狂的, 精神错乱的
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
disrepair,"n. 失修, 破损
"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
disintegrate,"vt. (使)分解, (使)碎裂
"
dissent,"n. 异议
vi. 持异议, 不同意"
distract,"vt. 转移, 分心, 使发狂"
discontent,n. 不满
dispassionate,"a. 冷静的, 不带感情的"
dissident,"a. 意见不同的, 持不同政见的
n. 意见不同的人, 持不同政见者"
secession,"n. 脱离, 分离"
sedition,"n. 煽动骚乱, 暴动, 妨害治安, 骚动
"
secede,"vi. 正式脱离(或退出), 分离
"
seclude,"vt. 使隔离, 使孤立, 隔开"
segregate,"a. 分离的, 被隔离的
vi. 分离, 隔离, 分凝
vt. 使分离, 使隔离"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
circumference,"n. 圆周, 周缘, 胸围
"
circumlocution,n. 迂回的说法
circumnavigate,vt. 环绕航行
circumscribe,"vt. 在...周围画线, 限制"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
circumspect,"a. 细心的, 慎重的"
collusion,"n. 共谋, 勾结
"
concord,"n. 一致, 和睦, 协定"
coalesce,"vi. 合并, 联合, 合生
"
collaborate,"vi. 合作, 勾结
"
convene,"vt. 集合, 召集, 召唤
vi. 聚集, 集合"
correspond,"vi. 符合, 通信, 相当
"
coherent,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
congenital,"a. 天生的, 先天的
"
obstacle,"n. 障碍, 妨害物, 阻碍"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
obsess,"vt. 迷住, 使困扰"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
obtrude,"vt. 逼使, 强迫, 伸出
vi. 打扰, 强行闯入"
obviate,"vt. 除去, 排除, 使成为不必要, 避免"
perforate,"vt. 穿孔于, 刺穿, 打孔穿透
vi. 穿孔, 穿过
a. 有孔的, 穿孔的"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
persist,"vi. 坚持, 固执, 持续, 坚称
"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
perennial,"a. 常年的, 长期的, 反复的
"
pertinent,"a. 相关的, 中肯的, 切题的
"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
preconceive,vt. 事先认为
prefabricate,"vt. 预先制造, 预先准备
"
premeditate,"v. 预谋, 预先考虑"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
precocious,"a. 早熟的, 像大人的
"
proponent,"n. 建议者, 支持者
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
procrastinate,"v. 延迟, 耽搁"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
propel,"vt. 推进, 驱使
"
protract,"vt. 延长, 拖延, 伸出, 绘制
"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
provoke,"vt. 激怒, 惹起, 诱导
"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
profuse,"a. 很多的, 丰富的, 浪费的, 慷慨的"
