intellect,"n. 智力, 出众的才华, 知识分子
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
by-product, 副产品，副产物
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
disaster,"n. 灾祸, 不幸, 彻底失败"
excite,"vt. 刺激, 使兴奋, 激励"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
integer,"n. 完整的事物, 整体, 整数
"
myth,"n. 神话, 虚构的事, 虚构的人"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
anecdote,"n. 轶事, 奇闻"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
exclude,"vt. 除外, 排除, 排斥
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
phony,"n. 假货, 假冒者, 赝品
a. 伪造的, 假的, 不可信的, 华而不实的"
reshape,"vt. 改造, 使成新的形状, 打开新局面
vt. 整形
vi. 整形
"
skull,"n. 头盖骨, 头脑, 好学生
"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
anger,"n. 忿怒
vt. 激怒, 使发怒
vi. 发怒"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
fraction,"n. 小部分, 破片, 分数
"
intelligence,"n. 智力, 情报, 信息
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
trivial,"a. 琐碎的, 不重要的, 轻微的, 平常的"
angle,"n. 角, 角度, 角落
vi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度
vt. 使转动角度, 在...钓鱼, 获取"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
ample,"a. 大量的, 充足的, 丰富的"
bureau,"n. 局, 办公处
"
client,"n. 客户, 顾客, 委托人
"
diminish,"v. (使)减少, (使)变小"
formidable,"a. 巨大的, 优秀的, 可怕的, 艰难的"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
procedure,"n. 程序, 过程, 手续
"
republic,"n. 共和国, 共和政体, 团体, 界"
simulate,"vt. 模拟, 假装, 模仿
"
analogue,"n. 类似物, 相似情况
"
burse,n. 钱包；（大学 ）奖学金
cliff,"n. 悬崖, 绝壁"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
example,"n. 例子, 样本, 实例
"
formula,"n. 客套语, 公式, 准则
"
instead,"adv. 作为替代, 反而"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
reputation,"n. 名誉, 名声, 声望
"
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
analyse,"vt. 分析, 细察, 分解
"
analyze,"vt. 分析, 细察, 分解
"
climate,"n. 气候, 社会趋势, 气候区
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
procreation,"n. 生产, 生殖
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
sit,"vi. 坐, 就座, 坐落
vt. 使就座, 骑
n. 坐, 衣服合身"
tribe,"n. 宗族, 部落, 一群人
"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
disappear,"vi. 消失, 不见"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
instruct,"vt. 教, 教育, 命令, 通知
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
require,"vt. 需要, 命令, 要求
"
tribute,"n. 贡物, 礼物, 颂辞"
ancestor,"n. 祖先, 祖宗"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
disappoint,vt. 使失望
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
raw,"n. 擦伤处, 半成品
a. 生的, 未加工的, 生疏的, 不成熟的, 阴冷的, 刺痛的, 擦掉皮的
vt. 擦伤
"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
subfield,[计] 子字段
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
underground,"n. 地下, 地铁, 地道, 秘密活动
a. 地下的, 秘密的
adv. 在地下, 秘密地"
vice,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层
vt. 提供宿处, 栽种, 安装
vi. 睡, 形成坚实的一层"
correspond,"vi. 符合, 通信, 相当
"
debt,"n. 债务, 罪过
"
element,"n. 元件, 元素, 要素
"
haste,"n. 匆忙, 急忙"
immigrant,"n. 移民
a. 移入的, 移民的"
layout,"n. 布局, 陈列, 规划图, 页面布局, 版面编排
"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
neurology,"n. 神经病学
"
onward,"a. 向前的, 前进的
adv. 向前, 前进, 在先"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
ratio,"n. 比, 比率
"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
stuffy,"a. 闷热的, 窒息的, 乏味的, 固步自封的, 自以为是的"
temperament,"n. 气质, 性格, 性情
"
underfund,vt.对…提供资金不足
accomplish,"vt. 完成, 达到, 实现, 使完美"
career,"n. 事业, 生涯, 成功
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
cottage,"n. 小屋, 茅舍"
council,"n. 会议, 委员会
"
decade,"n. 十年, 十"
elevate,"vt. 举起, 提拔, 鼓舞"
far-off," 远, 在远处的"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
margin,"n. 页边的空白, 边缘, 界限, 余裕, 差数, 差额, 保证金
vt. 加边于, 加旁注于
"
neural,"a. 神经的, 神经系统的, 神经中枢的, 背的
"
online,[计] 联机
rational,"a. 理性的, 合理的
n. 有理数"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
undergraduate,"n. 大学本科生, 大学肄业生
a. 大学生的"
vibrate,"vi. 振动, 颤动, 激动, 摇摆, 踌躇
vt. 使颤动, 使振动, 使摆动"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
carrier,"n. 运送者, 邮递员, 带菌者
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
decent,"a. 有分寸的, 得体的, 大方的"
eliminate,"vt. 除去, 排除, 剔除, 消除"
far-reaching,adj. 影响深远的; 有广泛影响的
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
baseline,"n. 基线, 基准
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
copyright,"n. 版权, 著作权
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
genre,"n. 类型, 流派"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
immediate,"a. 立即的, 直接的, 接近的
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
laureate,"a. 戴桂冠的, 用月桂树枝编织成的, 荣誉的
n. 桂冠诗人
vt. 使戴桂冠"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
old-fashioned, 古典鸡尾酒
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
stripe,"n. 斑纹, 条纹
"
strive,"vi. 努力, 奋斗, 斗争"
uncool,"a. 没把握的, 无自信的, 粗野的, 土里土气的"
vessel,"n. 船, 容器, 脉管
"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
corporation,"n. 公司, 合作, 法人团体
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
elegant,"a. 优雅的, 端庄的, 高雅的"
fantasy,"n. 幻想, 想象的产物
"
geography,"n. 地理学, 地理
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
immense,"a. 极广大的, 无边的, 非常好的"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
omnivore,"n. 不偏食的人, 杂食动物"
paralyse,"vt. 使麻痹, 使瘫痪, 使无力, 使气馁, 终止
"
pure,"a. 纯的, 纯净的, 纯洁的, 清白的, 完美的, 无瑕的, 抽象的
"
purpose,"n. 目的, 意向, 决心, 用途, 效果, 论题
vt. 意欲, 企图, 计划"
struggle,"n. 斗争, 努力, 奋斗
vi. 努力, 奋斗, 挣扎"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
underestimate,"n. 低估
vt. 低估, 看轻"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
scold,"n. 好骂街的人, 责骂
v. 责骂"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
success,"n. 成功, 成就, 胜利"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
term,"n. 术语, 专有名词, 期限, 学期, 任期, 条件, 价钱, 关系, 地位, 项, 界石
vt. 称, 呼
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
well-connected, 有优越的社会关系的
accustom,vt. 使习惯于
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
craze,"n. 狂热, 大流行
v. (使)发狂, (使)开裂"
declaration,"n. 宣告, 说明, 宣布
"
e-commerce, [计]电子商务
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
headhunter,"n. (原始社会中)猎取人头者, 物色人才的人"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
scope,"n. 范围, 机会, 广度, 眼界, 观察仪器, 导弹射程
"
sufficient,"a. 充分的, 足够的
"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
terror,"n. 恐怖, 可怕的人
"
undesirable,"a. 不受欢迎的, 不合乎社会道德标准的
"
viewpoint,n. 观点
well-educated,"adj. 受过良好教育的
"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
believe,v. 相信
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
create,"vt. 创造, 建造, 引起, 任命"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
elite,"n. 精华, 精锐, 中坚分子"
farther,"a. 更远的, 进一步的
adv. 更远的, 此外, far的比较级"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
impartial,"a. 公平的, 不偏不倚的
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
opera,n. 歌剧
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subsequent,"a. 后来的, 接下去的
"
subsidiary,"n. 子公司, 附件, 辅助者
a. 辅助的, 次要的, 津贴的"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
victim,"n. 受害人, 牺牲者, 牺牲品
"
weird,"a. 怪异的, 超自然的, 不可思议的
n. 命运, 预言, 符咒"
accurate,"a. 正确的, 精确的
"
behalf,"n. 利益, 方面"
carve,"v. 雕刻, 切开"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
courage,"n. 勇气, 胆量"
decide,"v. 决定, 判决"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
haze,"n. 薄雾, 阴霾, 疑惑
vt. 使变朦胧, 使变糊涂
vi. 变朦胧, 变糊涂"
impel,"vt. 推动, 激励, 驱使, 迫使"
