antenna,"n. 天线, 触须, 触角
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
collective,"a. 集体的, 聚集的, 共同的
"
colonial,"a. 殖民的, 殖民地的
"
colony,"n. 殖民地, 移民队
"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
cooperate,"vi. 合作, 协力, 配合
"
cooperation,"n. 合作, 协力, 配合
"
corruption,"n. 腐败, 堕落, 贪污
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
combination,"n. 组合, 合并, 联合
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commerce,"n. 商业, 商务, 贸易
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commissioner,"n. 委员, 理事, 行政长官
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communication,"n. 交流, 交通, 通讯
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
comparative,"a. 比较的, 相对的
n. 对手"
comparatively,"adv. 比较地, 相对地"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
comparison,"n. 比较, 对照, 比喻
"
compensate,"v. 偿还, 补偿, 付报酬"
compensation,"n. 补偿, 赔偿金, 工资
"
competition,"n. 竞争, 竞赛
"
competitive,"a. 竞争的
"
competitor,"n. 竞争者
"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
complementary,"a. 补充的, 补足的
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complexity,"n. 复杂, 复杂性, 复杂的事物"
compliance,"n. 遵从, 顺从, 屈从
"
complicated,"a. 复杂的
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
composition,"n. 作文, 创作, 组成
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
comprehend,"vt. 理解, 包括"
comprehension,"n. 理解, 包含"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
conceive,"vt. 构思, 认为
vi. 怀孕"
concentration,"n. 集中, 专心
"
concept,"n. 观念, 概念
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
conditional,"a. 有条件的, 有前提的
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
confined,"a. 被限制的, 狭窄的, 在分娩中的, 坐月子的
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confusing,a. 令人困惑的；混淆的；混乱的
congress,"n. 国会, 会议, 讨论会
"
congressional,"a. 会议的, 议会的, 国会的
"
connect,"v. 连接, 联合, 联系"
connection,"n. 连接, 关系, 前后关系
"
connexion,"n. 连接, 团体, 生意合伙人, 亲戚"
conscience,"n. 良心
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consciously,adv. 自觉地；有意识地
consciousness,"n. 意识, 知觉, 自觉
"
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
consequence,"n. 结果, 重要性
"
consequently,adv. 所以
conservation,"n. 保护, 保存
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
consider,"v. 考虑, 思考, 认为"
considerable,"a. 相当的, 可观的, 重要的"
considerably,"adv. 非常地, 很, 颇"
consideration,"n. 考虑, 原因
"
consist,"vi. 组成, 存在于, 一致"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
constantly,"adv. 不变地, 不断地, 时常地"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
constrain,"vt. 强迫, 限制, 关押"
constraint,"n. 强制, 约束
"
construction,"n. 建筑, 构造, 建筑物
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumer,"n. 消费者
"
consumption,"n. 消费, 消费量, 痨病
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
container,"n. 容器, 集装箱
"
contempt,"n. 轻视, 轻蔑
"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
continent,"n. 大陆, 洲
a. 自制的"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contribution,"n. 捐助, 捐助之物, 贡献
"
controversial,"a. 争论的, 论争的, 被议论的"
controversy,"n. 论争, 辩论, 论战, 争论
"
convention,"n. 大会, 协定, 惯例, 约定
"
convey,"vt. 传达, 运输, 转让
"
convince,"vt. 说服, 使相信
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
counterbalance,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
hemisphere,"n. 半球, 地球的半面, 大脑半球
"
semiconductor,"n. 半导体
"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
dedicate,"vt. 献出, 贡献"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
defendant,"n. 被告
"
defense,"n. 防卫, 防卫物
"
defence,"n. 防卫, 防卫设备
"
define,"vt. 定义, 规定, 使明确
"
definitely,"adv. 明确无疑地, 清楚地"
definition,"n. 定义, 精确度, 清晰度
"
delay,"n. 耽搁, 迟滞
v. 耽搁, 延迟
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
deliberately,adv. 故意地
delicate,"a. 细致优雅的, 微妙的, 美味的
"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
delighted,"a. 高兴的, 快乐的"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
demonstrate,"vt. 示范, 证明
vi. 示威"
deny,"v. 否认, 拒绝"
departure,"n. 离开, 出发, 违背, 偏离
"
depend,"vi. 靠, 视...而定, 信赖"
dependency,"n. 属国, 保护地, 从属物
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
deprive,"vt. 剥夺, 使丧失
"
derive,"vt. 得自
vi. 起源"
describe,"vt. 描述, 描绘, 画"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
designer,"n. 设计者, 谋划者, 制图者
"
despair,"n. 绝望, 失望
vi. 绝望"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
destroy,"vt. 破坏, 毁坏, 消灭"
detached,"a. 超然的, 分离的, 冷淡的
"
detect,"vt. 发现, 察觉, 探测
"
determine,"v. 决定, 决心"
devote,"vt. 投入于, 献身"
disability,"n. 无力, 无能, 残疾
"
disadvantage,"n. 缺点, 不利, 坏处"
disappointed,a. 失望的
disapproval,n. 不赞成
disaster,"n. 灾祸, 不幸, 彻底失败"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
discontent,n. 不满
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
discrimination,"n. 差别, 岐视, 辨别力
"
disgrace,"n. 耻辱, 不名誉
vt. 使受耻辱, 使失体面"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
disorganize,"vt. 破坏组织, 使混乱, 瓦解"
disposition,"n. 性情, 处置, 处理, 布置
"
disproportionately,"adv. 不匀称, 不相称"
dispute,"n. 争论
v. 争论"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
disruptive,"a. 分裂的, 破坏(性)的
"
distaste,"n. 讨厌, 嫌恶"
distasteful,"a. 味道差的, 使人不愉快的, 讨厌的"
distinction,n. 区别
distinctive,"a. 有特色的, 出众的"
distinctly,"adv. 显然地, 明显地, 清楚地"
distinguish,"v. 区别, 辨别"
distribute,"vt. 分配, 散布, 分发
"
distribution,"n. 分配
"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
embarrassing,"a. 令人为难的, 麻烦的"
embodiment,"n. 具体化, 化身"
embody,"vt. 具体表达, 使具体化
"
emphasis,"n. 强调, 加强, 重点, 强语气"
emphasize,"vt. 强调, 加强语气, 着重"
employee,"n. 职员, 员工, 受雇人员
"
employer,"n. 雇主, 老板
"
employment,"n. 雇用, 职业, 工作
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
encourage,"vt. 鼓励, 支持, 激励
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
endurance,"n. 忍耐, 忍耐力, 耐性
"
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
enforce,"vt. 强迫, 执行, 坚持
"
enforcement,"n. 执行, 强制
"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
engagement,"n. 诺言, 约会, 婚约, 交战
"
enhance,"vt. 提高, 加强, 增加"
enlightening,"a. 有启发作用的, 使人领悟的"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
enrollment,"n. 登记, 注册, 入伍
"
enthusiasm,"n. 巨大的热情, 热心"
enthusiast,"n. 热心家, 狂热者, 爱好者"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enthusiastically,"adv. 热心地, 狂热地"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
entirely,"adv. 完全, 全然, 一概"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
entitlement,"n. 权利
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
entrench,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位
vi. 掘壕, 侵犯"
envision,"vt. 想象, 预想"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
extraordinarily,"adv. 非凡, 破例, 特别, 非常, 离奇, 使人惊奇, 惊人, 特命, 特派"
extraordinary,"a. 非常的, 特别的, 非凡的
"
exaggerate,"v. 夸大, 夸张"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
excessively,"adv. 过多, 极度, 过度, 过分"
exclude,"vt. 除外, 排除, 排斥
"
exclusion,"n. 排除, 除外, 逐出
"
exclusionary,"a. <正>排斥（性）的, 排除在外的"
exclusive,"a. 排外的, 独占的, 唯一的
"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
exemplify,"vt. 例证, 例示
"
exert,"vt. 发挥, 运用, 施以影响
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
experienced,"a. 富有经验的, 老练的, 熟练的"
explain,"v. 解释, 说明"
explanation,"n. 解释, 说明, 辩解, 表明
"
explicit,"a. 详述的, 清楚的, 直言的"
explicitly,adv. 明确地；明白地
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
exploration,"n. 探险, 踏勘, 探测
"
explore,"v. 探险, 探测, 探究"
explosion,"n. 爆发, 激增, 爆炸(声)
"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
expression,"n. 表达, 表现, 词语, 措辞
"
expressive,"a. 表达的, 富于表情的"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extensive,"a. 广的, 广泛的, 多方面的
"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
extent,"n. 范围, 程度, 区域
"
extinction,"n. 消失, 消灭, 废止
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
edition,"n. 版本, 版, 翻版"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
"
educate,"vt. 教育, 培养, 训练"
education,"n. 教育, 训练, 教育学
"
educational,"a. 教育的, 教育性的"
educator,n. 教育家
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
election,"n. 选举, 当选, 选择权
"
electronic,"a. 电子的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
elevate,"vt. 举起, 提拔, 鼓舞"
elevation,"n. 海拔, 提高, 仰角
"
eligible,"a. 有资格当选的, 合格的
n. 有资格者, 合格者, 适任者"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elite,"n. 精华, 精锐, 中坚分子"
emergence,"n. 出现, 浮现, 发生"
emotion,"n. 情绪, 激动, 强烈的情感
"
emotional,"a. 情绪的, 情感的
"
enormous,"a. 巨大的, 庞大的"
especially,"adv. 尤其, 特别, 格外"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
establishment,"n. 确立, 制定, 设施
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
evaluate,"vt. 评估, 评价, 赋值"
evaluation,"n. 评估, 估价, 求值
"
eventually,"adv. 最后, 终于"
evidence,"n. 根据, 证据, 迹象
"
evident,"a. 显然的, 明显的"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
foreseeable,"a. 可预知的, 能预测的
"
homogeneous,"a. 同种的, 同质的, 齐性的
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
supervise,"v. 监督, 管理, 指导"
supervision,"n. 监督, 管理
"
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
surprised,a. 感到惊讶的
surprising,a. 令人惊讶的
surroundings,"n. 环境, 周围的事物
"
surveillance,"n. 监视, 监督
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
ultraviolet,"a. 紫外线的
"
hypocrisy,"n. 伪善
"
hypothesis,"n. 假设
"
illegal,"a. 违法的, 不合规定的
"
illusion,"n. 幻影, 错觉, 幻想
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
immediate,"a. 立即的, 直接的, 接近的
"
immediately,"adv. 直接地, 立刻, 立即"
immigrant,"n. 移民
a. 移入的, 移民的"
immigration,"n. 移民, 移居
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
impartial,"a. 公平的, 不偏不倚的
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
implementation,"n. 安装启用, 实行, 履行
"
implication,"n. 牵连, 含义, 暗示
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
importance,"n. 重要, 重要性, 重要地位, 自大
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
importantly,adv. 重要地；大量地；有名望地；自命不凡地
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
impressive,"a. 给人深刻印象的, 威严的"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
"
imprisonment,"n. 监禁, 下狱, 坐牢
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
improvement,"n. 进步, 改善, 利用
"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
infrastructure,"n. 基础结构, 基础设施
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"n. 交互作用, 交感
"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
interested,"a. 感兴趣的
"
interesting,a. 有趣的
interference,"n. 冲突, 干涉
"
internal,"a. 内在的, 国内的
"
internet,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
interpretation,"n. 解释, 演出, 翻译
"
inadequacy,"n. 不适当, 不足之处, 不充分
"
inadequate,"a. 不充分的, 不适当的
"
inappropriate,"a. 不适当的, 不相称的"
incentive,"n. 动机
a. 激励的"
incidentally,"adv. 伴随地, 偶然, 顺便"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
incompetently,adv. 无能力地
incomplete,"a. 不完全的, 未完成的, 不完善的
"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
increasingly,"adv. 逐渐地, 渐增地"
incredible,a. 难以置信的
independence,"n. 独立, 自立, 自主
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
independently,"adv. 独立地, 自立地"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
ineffective,"a. 无效的
"
inefficient,"a. 无效率的, 无能的
"
inequality,"n. 不平等, 不同, 不平坦, 不平均
n. 不平等, 不等式
"
inevitable,"a. 不可避免的, 必然的
"
inevitably,adv. 不可避免地
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inflation,"n. 胀大, 夸张, 通货膨胀
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
inhabitant,"n. 居民, 居住者
"
inherent,"a. 固有的, 与生俱来的
"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initially,"adv. 最初, 开头"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
innate,"a. 先天的, 天生的
"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
innovation,"n. 改革, 创新
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
inspection,"n. 检验, 检查, 视察
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instinct,"n. 本能, 直觉
a. 充满着的"
instinctively,"adv. 本能地, 直觉地"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
institutional,"a. 制度的, 公共机构的, 学会的
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
insurance,"n. 保险, 保险业, 保险费
"
intend,"vt. 计划, 打算, 意思是
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
intention,"n. 意图, 目的, 含义
"
intentionally,"adv. 故意地, 有意地"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
intimately,"adv. 亲切地, 亲密地, 个人性地"
intuitive,a. 直觉的
invalidate,"vt. 使无效
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
investment,"n. 投资
"
investor,"n. 投资者
"
invisible,"a. 看不见的, 无形的
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
microphone,"n. 扩音器, 麦克风
"
microscope,"n. 显微镜
"
minimal,"a. 最小的, 极微的, 最小限度的
"
minimum,"a. 最小的, 最低的
n. 最小值
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
misinterpretation,[计] 错误判断
misleading,"a. 引入歧途的, 使人误解的, 骗人的
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
outcome,"n. 结果, 出口"
outdate,vt. 使过时
outlet,"n. 出口, 发泄方法, 市场
"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
output,"n. 输出, 产品, 产量
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
overlapping,
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overturn,"n. 倾覆, 破灭, 革命
vt. 推翻, 颠倒
vi. 翻倒"
overwhelmingly,"adv. 压倒性地, 不可抵抗地"
panorama,"n. 全景, 全貌, 概论, 范围"
