asperity,"n. 粗暴, 严酷, 粗糙"
ignominious,"a. 可耻的, 不名誉的, 下流的"
incur,"vt. 招致, 蒙受, 遭遇
"
liquidate,"vt. 偿付, 清算, 扫除, 整理, 变卖, 消灭
vi. 清算, 清理"
magnate,"n. 大官, 巨头
"
misnomer,"n. 取名不当
"
onerous,"a. 繁重的, 负有法律责任的
"
pandemonium,"n. 魔窟, 地狱, 阎王殿, 无法无天, 一片混乱, 大混乱, 大吵大闹, 乌烟瘴气"
quixotic,"a. 堂吉诃德式的, 愚侠的, 狂热而侠义的, 理想而不实际的, 充满幻想的"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
zephyr,"n. 西风, 和风, 徐风"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
axiom,"n. 自明之理, 公理, 原理, 格言
"
churlish,a. 粗野的
concoct,"vt. 调合, 捏造, 编造
"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
differentiate,"v. 区别, 区分"
disparage,"vt. 蔑视, 贬损
"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
esoteric,"a. 秘教的, 奥秘的, 秘传的
"
olfactory,"a. 嗅觉的, 味道的
n. 嗅觉器官, 嗅神经"
plethora,"n. 过多, 过剩, 多血症
"
refurbish,"vt. 再磨光, 刷新"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
vagary,"n. 狂想, 奇特行为, 奇想"
volatile,"a. 挥发性的, 可变的, 不稳定的, 飞行的, 轻快的, 爆炸性的
n. 有翅动物, 挥发物
"
agrarian,"a. 土地的, 耕地的
"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
cataclysm,"n. 大洪水, 地震, (社会政治的)大变动
"
culinary,"a. 厨房的, 烹调用的"
denigrate,"vt. 使变黑, 玷污, 诋毁"
gourmet,n. 美食家
grandiloquent,"a. 大言不惭的, 夸张的, 夸大的"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
manifold,"n. 复印本, 多种
a. 多种的, 有许多部分的, 多方面的
vt. 复写, 使多样化, 增多"
palatable,"a. 美味的, 好吃的, 可口的
"
panacea,"n. 万能药, 灵丹妙药
"
plebeian,"n. 平民, 庶民, 大众, 平庸的人
a. 平民的, 一般的, 普通的, 粗俗的"
scourge,"n. 鞭, 苦难根源, 灾祸
vt. 鞭打, 痛斥, 蹂躏"
stalemate,"n. 僵持状态, 僵局, 陷于困境, 胶着状况
vt. 将...逼和, 使僵持, 使陷入困境"
temperate,"a. 温和的, 适度的, 有节制的, 温带的"
aftermath,"n. 结果, 后果
"
aphorism,"n. 格言, 警语"
catharsis,"n. 陶冶, 净化, 导泻
"
cohort,n. 一群；步兵大队；支持者；共同特点的一群人
culpable,"a. 该责备的, 有罪的
"
diabolical,a. 恶魔的
enormity,"n. 暴行, 极恶, 巨大
"
gibe,"v. 嘲笑
n. 嘲笑"
innocuous,"a. 无害的, 无伤大雅的
"
necessitate,"vt. 迫使, 使成为必需, 需要"
odyssey,n. 奥德赛(古希腊史诗)
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
posterity,"n. 子孙, 后裔
"
premeditated,"a. 预先考虑的, 预谋的
"
scurrilous,"a. 说话粗鄙恶劣的, 下流的
"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
belie,"vt. 掩饰, 与...不符, 使失望"
carnage,"n. 大屠杀, 残杀"
dilemma,"n. 困境, (进退两难的)窘境"
diverse,"a. 不同的, 变化多的"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
foment,"vt. 热敷, 煽动"
insurrection,"n. 起义, 暴动, 反抗
"
mandatory,"a. 命令的, 托管的
"
mitigate,"vt. 温和, 缓和, 减轻
"
pretext,"n. 借口, 托词
v. 以...为借口"
singular,"n. 单数
a. 异常的, 单一的"
somnolent,"a. 想睡的, 催眠的
"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
aberration,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差
"
antiquated,"a. 陈旧的, 过时的, 年老的"
celestial,"a. 天的, 天国的, 天空的
"
certitude,"n. 确实性, 确信"
disburse,"vt. 支付, 支出, 分配
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
intractable,"a. 不听话的, 倔强的, 棘手的
"
juncture,"n. 接合, 连接, 接缝"
juxtapose,"vt. 并置, 并列
"
maelstrom,"n. 大漩涡, 极度混乱"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
pillory,"n. 颈手枷, 笑柄, 示众
vt. 上颈手枷, 使惹人嘲笑, 使受众辱, 将...示众"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
remiss,"a. 怠慢的, 不小心的, 没精打采的, 疏忽的"
titanic,"a. 四价钛的
"
abominate,"vt. 厌恶, 憎恶"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
animosity,"n. 仇恨, 憎恶, 敌意"
auspicious,"a. 吉兆的, 幸运的"
beleaguer,"vt. 围, 围攻"
confidant,"n. 心腹朋友, 知己"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
iniquitous,"a. 不公正的, 邪恶的"
inure,"vt. 使习惯于
vi. 生效"
inveigh,"vi. 痛骂, 漫骂, 臭骂"
predecessor,"n. 前任, 先辈, 前身
"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
sadistic,"a. 虐待狂的, 残酷成性的"
scathing,"a. 伤害的, 损伤的, 严厉的"
transpire,"vt. 使蒸发, 使排出
vi. 蒸发, 散发, 泄露"
aura,"n. 气氛, 气味
"
banal,"a. 平凡的, 陈腐的"
bemuse,vt. 使发呆
cognizant,"a. 察知的, 认识到的, 有认识能力的
"
conundrum,"n. 谜语, 难题"
evanescent,"a. 逐渐消失的, 容易消散的, 短暂的
"
factotum,"n. 家务总管, 杂役, 爱管闲事者
"
grandiose,"a. 宏伟的, 壮丽的, 夸张的
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
intransigent,"a. 非妥协性的
n. 不妥协的人"
laudatory,"a. 赞美的, 赞赏的"
panache,"n. 羽饰, 夸示, 假威风, 炫耀"
picayune,"n. 小钱币, 五分钱币, 微不足道的事物, 无足轻重的人
a. 微不足道的, 不值钱的, 琐细的, 眼光狭小的, 小气的, 可鄙的"
predilection,"n. 嗜好, 偏爱"
promontory,"n. 岬, 海角
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
allocate,"vt. 分派, 分配
"
augur,"n. 占卜官, 预言者
v. 预示, 预言"
bastion,"n. 棱堡, 阵地工事"
decorum,"n. 端正, 礼貌, 合宜, 礼仪"
defunct,"a. 死的, 不能使用的
n. 死者"
disarray,"vt. 弄乱, 使混乱, 使脱去衣服
n. 无秩序, 杂乱, 不整齐的衣着"
halcyon,"n. 神翠鸟, 翡翠鸟
a. 宁静的, 平稳的, 翡翠鸟的"
homily,"n. 说教, 训诫"
hyperbole,n. 夸张法
importune,"vt. 强求, 硬要
vi. 强求, 纠缠"
jurisdiction,"n. 司法权, 审判权, 管辖权
"
ruminate,"v. 反刍, 沉思"
temerity,"n. 鲁莽, 蛮勇"
winnow,"vt. 簸, 扬(谷), 吹掉, 把挑出来, 精选
vi. 扬谷, 分出好坏, 飞翔
n. 扬谷, 扬谷器"
acoustic,"a. 听觉的, 声学的, 音响的
"
assemblage,"n. 集合, 装配, 一群人
"
august,"n. 八月
a. 威严的, 令人敬畏的"
auspices,"n. 赞助, 主办, 保护"
cavil,"n. 无端的指责, 挑剔
v. 吹毛求疵"
curator,"n. 管理者, 经理, 主管人, 掌管者, 馆长, 大学学监, 监护人, 保护人
"
extant,"a. 现存的, 未毁的"
gamut,"n. 音阶, 整个范围, 全部, 音域"
ineffable,"a. 无法形容的, 不可言喻的, 避讳的"
mellifluous,"a. 加了蜜糖的, 甜蜜的, 甜美的, 流畅的"
mien,"n. 风采, 态度, 样子, 外表, 面条"
nonpareil,"a. 无比的, 无上的
n. 完美无比的人, 举世无双的人/物, 完美无比的物"
patina,"n. 绿锈, 光泽, 古色, 神态, 圣餐盘
"
rapt,"a. 全神贯注的, 入迷的, 出神的
rap的过去式和过去分词"
resuscitate,"v. (使)复苏, (使)复兴"
amenable,"a. 服从的, 会接纳的, 有义务的
"
ascribe,"vt. 归因于, 归咎于
"
charisma,"n. 非凡的领导力, 神秘的个人魅力, 神授的能力"
dearth,"n. 缺乏, 粮食不足, 饥馑"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
ebullient,"a. 沸腾的, 热情的, 热情洋溢的"
entrepreneur,"n. 企业家, 主办人
"
fatuous,"a. 发呆的, 愚笨的"
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
homogeneous,"a. 同种的, 同质的, 齐性的
"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
matriarchy,"n. 女家长制, 女族长制"
neophyte,"n. 新入教者, 新信徒"
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
sibling,"n. 兄弟, 同胞
"
accost,"vt. 招呼, 搭讪, 勾引
"
avarice,n. 贪婪
bilk,"vt. 欺骗, 赖帐, 使受挫折
n. 赖帐者, 骗子"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
conversant,"a. 熟悉的, 亲近的, 有交情的"
credulous,"a. 轻信的, 易受骗的"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
fortuitous,"a. 偶然的
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
incoherent,"a. 不连贯的, 语无伦次的
"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
pleasantry,"n. 幽默, 开玩笑"
procrastinate,"v. 延迟, 耽搁"
qualm,"n. 晕眩, 不安, 疑虑
"
stigma,"n. 耻辱, 污名, 烙印
"
