take inventory,[经] 实地清点盘存
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
grew,grow的过去式
grown,"a. 长大的, 成年的, 长满某物的
grow的过去分词"
know,"v. 知道, 了解, 认识, 确信"
knew,know的过去式
known,"a. 已知的, 有名的
know的过去分词"
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
rode,ride的过去式
ridden,"ride的过去分词
"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
ran,run的过去式
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
see,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意
vi. 看, 观看, 注意, 知道, 考虑
n. 主教的职位"
saw,"n. 锯子, 谚语
vt. 锯, 锯开, 来回移动
vi. 拉锯, 移动
see的过去式"
seen,see的过去分词
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
sang,sing的过去式
sung,sing的过去式和过去分词
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
spoke,"n. 轮辐
vt. 装轮辐, 用刹车刹住
speak的过去式"
spoken,"a. 口头讲的, 口语的
speak的过去分词"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
swam,swim的过去式
swum,swim的过去分词
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
took,take的过去式
taken,take的过去分词
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
wore,wear的过去式和过去分词
worn,"a. 用旧的, 穿旧的
wear的过去分词"
write,"vt. 书写, 著述, 写, 写满, 写信给
vi. 写, 写字, 写信, 写作, 作曲
"
wrote,write的过去式
written,"a. 书面的, 写成文字的
write的过去分词"
answer the phone,接电话
apologize,"vi. 道歉, 辩解"
daydream,"n. 白日梦
vi. 做白日梦"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
get lost,"迷路,迷失方向"
get stuck in traffic,无
hand over,交出；移交
oversleep,v. (使)睡过头
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
shake hands, 握手; 搹
skip dessert,无
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
answer the phone,接电话
daydream,"n. 白日梦
vi. 做白日梦"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
get lost,"迷路,迷失方向"
get stuck in traffic,无
hand over,交出；移交
refuse,"vt. 拒绝, 谢绝
vi. 拒绝
n. 废物
a. 扔掉的, 无用的"
shake hands, 握手; 搹
skip dessert,无
yell,"vi. 叫喊, 大叫, (齐声)呐喊欢呼
vt. 喊叫着说
n. 叫声, 喊声, 呐喊"
arrive late,无
dance well,无
do things differently,无
dress comfortably,无
drive carefully,无
get to ... early,无
practice more,无
run fast, 跑得快
speak confidently,无
speak loud,无
speak softly, 轻声细语
study hard, 努力学习; 攻读; 刻苦攻读
take ... out soon,无
write legibly,无
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
beginning,n. 开始
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
concerned,"a. 关心的, 有关的, 参与的, 担心的"
curious,"a. 好奇的, 求知的, 古怪的"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
exhausted,a. 耗尽的；疲惫的
financial,"a. 财政的, 金融的
"
irritable,"a. 易怒的, 急躁的
"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
understanding,"n. 理解, 谅解
"
unimportant,a. 不重要的
bicyclist,"n. 骑自行车者, 骑脚踏车者"
casserole,"n. 餐桌上用有盖的焙盘, 砂锅菜
"
courier,"n. 送快信的人, 伴游服务员
"
decorations,n. 装修；装饰品（decoration的复数）
dinosaur skeleton,无
flowerpot,"n. 花盆, 花钵"
identification card,[计] 标识卡
invention,"n. 发明, 创作能力, 虚构的故事
"
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
pickpocket,"n. 扒手
"
poodle,"n. 鬈毛狗, 追随者
vt. 把(狗)的毛修剪成拳曲状"
puddle,"n. 小池, 水坑, 胶土
vt. 搅浊, 搅炼
vi. 在泥污中打滚, (把黏土等)捣制成胶土"
sidewalk,n. 人行道
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
windowsill,n. 窗台
accident report,[机] 意外事故报告
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
bicyclist,"n. 骑自行车者, 骑脚踏车者"
casserole,"n. 餐桌上用有盖的焙盘, 砂锅菜
"
ceremonies,n. 典礼( ceremony的名词复数 ); 仪式; 礼节; 礼仪
construction,"n. 建筑, 构造, 建筑物
"
courier,"n. 送快信的人, 伴游服务员
"
decorations,n. 装修；装饰品（decoration的复数）
dinosaur skeleton,无
electric lights,n. 电灯；电光
example,"n. 例子, 样本, 实例
"
flowerpot,"n. 花盆, 花钵"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
headquarters,"n. 总部, 司令部, 总部人员
"
identification card,[计] 标识卡
information technology,[电] 信息技术
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
invention,"n. 发明, 创作能力, 虚构的故事
"
materials,n. 材料；材料费；材料科学；材质（material的复数）
mayor,"n. 市长
"
meeting room,会议室
mural,"a. 壁的, 壁上的, 壁似的
n. 壁画"
opening day,开幕日
overnight mail,无
pickpocket,"n. 扒手
"
plumbing,"n. 测深, 管子工行业, 管道设备"
political cartoon,[网络] 政治漫画；政治卡通
poodle,"n. 鬈毛狗, 追随者
vt. 把(狗)的毛修剪成拳曲状"
puddle,"n. 小池, 水坑, 胶土
vt. 搅浊, 搅炼
vi. 在泥污中打滚, (把黏土等)捣制成胶土"
short story,n. 短篇小说
sidewalk,n. 人行道
soldiers,n. 士兵；战士数量（soldier的复数）
sonata,n. 奏鸣曲
statistics,"n. 统计学, 统计资料
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
warehouse,"n. 仓库, 货栈, 大商店
vt. 储入仓库"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
windowsill,n. 窗台
battery,"n. 电池, 殴打
"
brakes,n. 刹车系统；制动；刹车（brake的复数）
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
headlight,"n. 前灯, 桅灯
"
hood,"n. 头巾, 兜帽, 覆盖, 强盗
vt. 罩上, 覆盖"
oil,"n. 油, 石油, 油画颜料
vt. 涂油于, 使融化成油状, 加油于
vi. 加燃油, 融化"
rear window, 后窗玻璃
tires,n. 轮胎（tire的复数）
amazing,a. 令人惊异的
colorful,"a. 华美的, 富有色彩的, 有趣的"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
finest,n. [总称]警察
impressive,"a. 给人深刻印象的, 威严的"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
overseas,"a. 海外的, 国外的
adv. 在海外, 在国外"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
destroy,"vt. 破坏, 毁坏, 消灭"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
install,"vt. 安装, 安置, 使就职
"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
promote,"vt. 促进, 晋升, 创办, 推销
"
rebuild,"vt. 改建, 重建, 改造
vi. 重建"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
reopen,"v. 重开, 再开始, 再开"
repaint,"v. 重漆, 重画
"
replace,"vt. 代替, 替换, 放回, 归还
"
rewrite,"vt. 重写, 改写, 改写新闻, 书面答复
vi. 修改旧作
n. 改写的作品
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
tune up,"调音, 定弦, 调整, 调节"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
flight attendant,n. 飞行服务员
librarian,"n. 图书馆员, 图书管理员
"
lifeguard,"n. 卫兵, 禁卫军, 救生员"
prime minister,"总理, 首相
"
real estate agent,"n. 房地产经纪人
"
receptionist,n. 接待员
security guard,[计] 安全保护
ticket agent,"代理售票人
"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
birthmark,"n. 胎记, 胎痣
"
plane ticket,n. 飞机票
restrooms,n. 公共洗手间（restroom的复数）
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
tonsils,n. 扁桃体( tonsil的复数形式 )
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
flight attendant,n. 飞行服务员
librarian,"n. 图书馆员, 图书管理员
"
lifeguard,"n. 卫兵, 禁卫军, 救生员"
prime minister,"总理, 首相
"
real estate agent,"n. 房地产经纪人
"
receptionist,n. 接待员
security guard,[计] 安全保护
ticket agent,"代理售票人
"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
birthmark,"n. 胎记, 胎痣
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
details,n. 详细资料；细节（detail的复数）
information sheet,单篇情报资料
missing person,[法] 失踪人
plane ticket,n. 飞机票
restrooms,n. 公共洗手间（restroom的复数）
scar,"n. 疤痕, 伤痕, 悬崖
vi. 结疤, 愈合, 痊愈
vt. 使有伤痕"
surprise quiz,无
tonsils,n. 扁桃体( tonsil的复数形式 )
assassinate,"vt. 暗杀, 行刺
"
check with,与...相符合
come by,"从旁边走过, 得到"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
rob,"v. 抢夺, 抢掠, 剥夺"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
vote,"n. 投票, 选举, 选票, 表决, 选举权, 得票数
vi. 投票, 选举
vt. 投票选举, 投票决定, 公认, 使投票"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
pollution,"n. 污染, 玷污
"
report card,n. 成绩单
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
wishing well, （投币）许愿井
drop in,顺便走访
encourage,"vt. 鼓励, 支持, 激励
"
hold hands,"na. 手搀手
"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
sneeze,"n. 喷嚏
vi. 打喷嚏"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
burnt,burn的过去式和过去分词
carsick,a. 晕车的
dressed up,adj. 穿上盛装的；装扮成…的
missing,"a. 不见的, 缺少的
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
drop in,顺便走访
encourage,"vt. 鼓励, 支持, 激励
"
get accepted,无
get paid, 领工资
get worse,v. 转坏
hold hands,"na. 手搀手
"
hope,"n. 希望, 信心, 期待
v. 希望, 期望, 信赖"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
make a wish,"欲望, 企图, 幻想"
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
sneeze,"n. 喷嚏
vi. 打喷嚏"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
bonus,"n. 奖金, 红利
"
coin,"n. 硬币, 金钱, 货币
vt. 铸币, 创造, 杜撰"
Congress,"n. 国会, 会议, 讨论会
"
drill,"n. 钻孔机, 钻子, 播种机, 粗斜纹布
v. 训练, 钻孔"
economy,"n. 经济, 理财, 节约
"
environment,"n. 环境, 外界, 围绕
"
physical condition,身体状况
pollution,"n. 污染, 玷污
"
profits,"n. 收益, 红利；盈利（profit的复数）"
reaction,"n. 反应, 反作用, 反动
"
report card,n. 成绩单
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
success,"n. 成功, 成就, 胜利"
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
wishing well, （投币）许愿井
aggressive,"a. 侵略的, 挑畔的, 进取的
"
burnt,burn的过去式和过去分词
carsick,a. 晕车的
dressed up,adj. 穿上盛装的；装扮成…的
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
missing,"a. 不见的, 缺少的
"
classified ad,n. 分类广告
day shift,"日班
"
night shift,"夜班
"
full-time job,[网络] 全职工作；找工作当全职工作；全时工作
part-time job,"un. 零星工作
"
baby food,幼(婴)儿食品
baby picture, 婴儿照
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
driver's ed,[网络] 驾驶；驾驶课；驾驶员知识题
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
foreign language,n. 外文，外语; 外国语
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
pronunciation,"n. 发音, 读法"
taxes,"n. 税务；税捐；税收, 税金"
voter,"n. 选民, 投票人
"
baby food,幼(婴)儿食品
baby picture, 婴儿照
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
classified ad,n. 分类广告
day shift,"日班
"
driver's ed,[网络] 驾驶；驾驶课；驾驶员知识题
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
foreign language,n. 外文，外语; 外国语
full-time job,[网络] 全职工作；找工作当全职工作；全时工作
high-rise building,[网络] 高层建筑；高层建筑物；高楼
Internet company,[网络] 网络公司；国际网络公司；互联网公司
night shift,"夜班
"
obituary,"a. 关于死亡的, 讣告的
n. 讣告"
part-time job,"un. 零星工作
"
pronunciation,"n. 发音, 读法"
repairs,n. 备件；修理；修理费；修理工作（repair的复数形式）
spare time,n. 消遣时间; 闲空; 余; 工余
suburbs,n. 郊外（suburb的复数）
taxes,"n. 税务；税捐；税收, 税金"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
voter,"n. 选民, 投票人
"
borrow,"vt. 借, 借入, 借用
vi. 借
"
commute,"vt. 交换, 折偿, 减轻
vi. 代偿, 经常乘车来往"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
convince,"vt. 说服, 使相信
"
drop out of,"退出,辍学,脱离"
evict,"vt. 逐出, 赶出, 驱逐
"
go out with,和…约会
miss,"n. 失误, 避免, 失败, 小姐
vt. 未得到, 未达到, 未听到, 未觉察, 逃脱, 遗漏, 错过, 思念
vi. 失败, 击不中"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
angry,"a. 生气的, 愤怒的"
annoyed,a. 恼怒的；烦闷的
disappointed,a. 失望的
embarrassed,a. 尴尬的；窘迫的
jealous,"a. 嫉妒的, 羡慕的, 留心的, 戒备的"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
self-conscious,"adj. 自觉的；怕难为情的；害羞的
"
unhappy,"a. 不快乐的, 不幸的, 不适当的"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
all thumbs, 笨手笨脚的
better ear,无
lose your shirt,[网络] 丧失全部财产；恤衫都输埋；失去你嘅裇衫
peace and quiet,[网络] 安定；不纷扰；安静
sick and tired,[网络] 十分厌烦；经受疾病与疲倦；烦透了
two left feet,[网络] 有两左脚；笨手笨脚；有两只左脚
audience,"n. 听众, 观众, 读者
"
cactus plant,无
chemistry set,一套化学用具
flu shot,注射流感疫苗
income tax form,[经] 所得税申报书
ingredients,材料；作料
metal detector,[电] 金属检查器
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
postcard,n. 明信片
printer,"n. 印刷工, 打印机
"
snowman,n. 雪人
traffic light,"红绿灯
"
wedding dress,n. 结婚礼服
alarm clock,闹钟
assembly line,"装配线
"
audience,"n. 听众, 观众, 读者
"
automobile factory, 汽车制造厂; 汽车厂
cactus plant,无
chemistry set,一套化学用具
condo,"n. 共同统治, 共管下的政府, 共管, 多层公寓大楼, 由个人占用的一套公寓房间"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
disease,"n. 疾病, 弊病
"
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
flu shot,注射流感疫苗
income tax form,[经] 所得税申报书
ingredients,材料；作料
metal detector,[电] 金属检查器
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
mood,"n. 心情, 气氛, 生气, 基调
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
nursery school,幼儿园
optimist,"n. 乐观者, 乐观主义者"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
postcard,n. 明信片
printer,"n. 印刷工, 打印机
"
relatives,n. 亲属；[语法学]关系词（relative的复数）
rumor,"n. 谣言, 传闻
vt. 谣传"
school play, 校园剧
snowman,n. 雪人
traffic light,"红绿灯
"
wedding dress,n. 结婚礼服
close down,"关闭, 歇业, 停止播音"
expect,"vt. 预期, 盼望, 期待"
get searched,无
get stopped,无
hand in,"na. 交进
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
run by,[网络] 运行者；解释给…听；问…意见
save,"n. 救球
vt. 解救, 挽救, 储蓄, 保存, 节省, 保留
vi. 挽救, 节省, 救球
prep. 除...之外
"
scold,"n. 好骂街的人, 责骂
v. 责骂"
set off,"na. 分；分割；划开；区划
"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
take lessons,"听课,学习"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
confused,"a. 困惑的, 混乱的"
convinced,"a. 确信的, 深信的"
irritable,"a. 易怒的, 急躁的
"
lonely,"a. 孤单的, 孤寂的, 荒凉的"
miserable,a. 悲惨的；痛苦的；卑鄙的
prepared,"a. 准备好的, 特制的"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
have a hard day,无
out of place,"不在合适位置, 不合适"
put up for sale,"na. 拿出拍卖
"
run out of,用完
set on fire, 激起
under the weather," 身体不舒服, 心情不好"
bride,n. 新娘
groom,"n. 马夫, 新郎, 男仆
vt. 喂马, 使...整洁, 推荐
vi. 打扮, 穿戴"
interviewer,"n. 会见者, 面谈者, 进行面试者"
movie star,n. 电影明星
school-bus driver,无
college entrance exam,无
dictionary,"n. 字典, 词典
"
engine,"n. 引擎, 发动机, 机车
vt. 安装发动机于"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
puppy,"n. 小狗, 小动物, 自负的年轻人"
radiator,"n. 暖气装置, 散热器, 辐射体
"
robbery,"n. 抢掠, 抢夺
"
advice,"n. 忠告, 劝告, 意见, 报道, 通知
"
