enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
recent,"a. 最近的, 近代的, 最新的
"
professor,n. 教授
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
opening hours," 图书馆开放时间, 书店营业时间"
run,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续
vi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延
vt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行
a. 熔化的, 融化的, 浇铸的
run的过去式和过去分词
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
schoolmate,"n. 同窗, 同学"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
preparation,"n. 准备, 预备, 预习
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
outing,"n. 郊游, 远足
a. 远足适用的"
graduation,"n. 毕业, 得学位, 分划, 刻度, 分等级
"
poet,n. 诗人
generation,"n. 一代, 一世, 产生
"
literary,"a. 文学的, 文艺的, 精通文学的
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
courtyard,"n. 庭院, 天井"
composition,"n. 作文, 创作, 组成
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
can't wait to do something,无
soccer,n. 英式足球
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
be supposed to,"应该, 被期望"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
starve,"v. (使)饿死, (使)挨饿"
cash,"n. 现金
vt. 兑现"
garbage,"n. 垃圾, 废物
"
pizza,n. 比萨饼
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
garbage can,垃圾桶
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
tolerate,"vt. 宽容, 容许, 有耐力"
behavior,"n. 行为, 举止
"
teenager,n. 十三岁到十九岁的少年
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
defend,"vt. 防护, 辩护, 防卫
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
anyhow,"adv. 无论如何, 至少"
deserve,"vt. 该得到, 值得
vi. 应得报答"
explanation,"n. 解释, 说明, 辩解, 表明
"
clinic,"n. 诊所, 临床教学
"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
now that,"既然..., 由于..."
rude,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
bicycle,n. 自行车
hardworking,"a. 苦干的, 不辞辛劳的"
stay up,不睡觉
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
error,"n. 错误, 过失, 失误, 误差
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
guidance,"n. 指导, 领导
"
as if,"na. 彷佛；活像
"
insist,"v. 坚持, 坚决主张, 强调"
DVD,abbr. 数字化视频光盘（Digital Video Disk）
cafe,"n. 咖啡馆, 酒店"
chat,"n. 闲谈
vi. 闲谈, 聊天"
at present,"现在, 目前"
argument,"n. 争论, 论证, 论据, 自变量
"
freedom,"n. 自由, 坦率, 特权
"
worried,"a. 担心的, 闷闷不乐的"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
foolish,"a. 愚蠢的, 傻的"
patience,"n. 耐性, 忍耐"
selfish,"a. 自私的, 利己主义的, 自我中心的"
distant,"a. 远的, 疏远的
"
annoyed,a. 恼怒的；烦闷的
forbid,"vt. 禁止, 不准, 妨碍
"
adolescence,"n. 青春期
"
along with,"与…一道,与…一起,连同…"
misunderstand,"vt. 误解, 误会"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
confused,"a. 困惑的, 混乱的"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
psychological,"a. 心理学的, 精神上的, 心灵的
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
wisdom,"n. 智慧, 明智行为, 学识, 名言, 贤人"
independence,"n. 独立, 自立, 自主
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
work out,"v. 作出；拟定；制定；计划一下
"
slim,"a. 瘦的, 苗条的, 微小的, 稀少的, 微薄的
vi. 变苗条
vt. 使苗条"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
ashamed,"a. 惭愧的, 羞耻的"
weight-loss,[化] 失重; 重量减轻
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
kilogram,"n. 千克, 公斤
"
work,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程
vi. 工作, 劳动, 做, 运转, 起作用, 被加工
vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
energetic,"a. 精力充沛的, 积极的"
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
liver,"n. 肝脏, 生活者, 居民
"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
treatment,"n. 治疗, 待遇, 处理
"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
damage,"n. 损害, 伤害
v. 损害"
attractive,"a. 吸引人的, 有魅力的
"
embarrassed,a. 尴尬的；窘迫的
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
diet,"n. 日常饮食, 议会
vt. 照规定饮食
vi. 忌食"
prefer,"vt. 宁可, 较喜欢, 提出
"
waist,"n. 腰部, 腰
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
athlete,"n. 运动员, 运动选手
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
fall out,"脱落, 离队, 争吵, 结果是
"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
achievement,"n. 完成, 成就, 功业"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
"
membership,"n. 会员的资格, 全体会员, 会员数目
"
including,"prep. 包含, 包括
"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
freeway,n. 高速公路
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
equipment,"n. 装备, 设备, 才能
"
get into shape,"健美,减肥,使健康状况良好"
make the most of,尽量利用
marathon,"n. 马拉松, 耐力的考验"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
sadness,"n. 悲哀, 悲伤"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
useless,"a. 无用的, 无效的, 无益的
"
in the long term,长远地
approximately,"adv. 大约, 大致, 近于
"
skip,"n. 跳跃, 跳读
vi. 跳越, 跳读, 跳绳, 遗漏, 跳级
vt. 跳过, 遗漏
"
properly,"adv. 适当地, 相当地"
mostly,"adv. 大概, 大部分, 主要
"
system,"n. 系统, 体系, 制度, 方式, 秩序, 分类原则
"
skin,"n. 皮肤, 皮
vt. 剥皮, 在...植皮
vi. 长皮, 愈合, 蜕皮"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
amount,"n. 总数, 总额
vi. 总计, 等同"
as a matter of fact,事实上
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
"
tale,"n. 故事, 谎言, 谣言, 陈述, 叙述
"
unexplained,"[法] 未经说明的, 未经解释的"
puzzled,"a. 困惑的, 迷惑的"
step up,"v. 加紧；走上前；登上；增加
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
disappear,"vi. 消失, 不见"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
spaceship,n. 宇宙飞船
creature,"n. 人, 动物, 创造物, 生物"
flash,"n. 闪光, 闪现, 一瞬间
vi. 闪光, 闪现, 反射
vt. 使闪光, 反射"
UFO,[网络] 不明飞行物；哈罗；好交通工具了
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
construction,"n. 建筑, 构造, 建筑物
"
occur,"vi. 发生, 被想到, 存在"
show up,"na. 显眼；揭发；嘲笑；露面
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
possibility,"n. 可能性, 可能的事
"
detective,"n. 侦探
a. 侦探的"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
make up,"na. 弥补；起草；定；签订
"
amazing,a. 令人惊异的
evidence,"n. 根据, 证据, 迹象
"
injury,"n. 伤害, 侮辱
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
look into,"窥视, 浏览, 观察
"
laughter,"n. 笑, 笑声
"
schoolboy,n. 男学生
astronomer,n. 天文学家
enthusiastic,"a. 狂热的, 热心的, 热烈的"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
exist,"vi. 存在, 生存, 发生"
mystery,"n. 秘密, 神秘, 奥秘"
comic strip,连环漫画
questionnaire,"n. 调查表, 问卷
"
tick,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠
vi. 滴答响, 活动
vt. 滴答地记录, 标记号于"
statement,"n. 陈述, 指令, 声明
"
disagree,"vi. 不一致, 不适宜
"
appropriate,"a. 适当的
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
humour,"n. 幽默, 诙谐, 情绪, 体液
vt. 使满足, 迁就"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
table tennis,乒乓球
badminton,n. 羽毛球运动
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
tournament,"n. 比赛, 竞赛, 锦标赛, 联赛"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
Yeti,n. 雪人
Bigfoot,[美国俚语]高级编辑；社论撰稿者；专栏作家
Wild Man of Shennongjia,无
hairy,"a. 多毛的, 毛状的, 长毛的"
human being,"人类
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
villager,n. 村民
fur,"n. 毛皮
vt. 以毛皮制作, 使生苔, 使生水垢
vi. 生苔, 积水垢"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
centimetre,"n. 厘米, 公分"
length,"n. 长度, 长, 期间, 一段
"
examine,"v. 检查, 调查, 考试"
north-west,"un. 西北
"
dozen,"n. 打, 十二个
a. 一打的"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
belong,"vi. 属于, 合适"
existence,"n. 存在, 生存
"
convince,"vt. 说服, 使相信
"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
ancestor,"n. 祖先, 祖宗"
make one's way to,到...去
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
adventure,"n. 冒险, 冒险经历
v. 冒险"
arrange,"v. 安排, 排列, 达成协议
"
extraordinary,"a. 非常的, 特别的, 非凡的
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
camel,"n. 骆驼, 打捞浮筒"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
dusty,"a. 灰尘多的, 无聊的, 含糊的, 粉末状的"
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
flashlight,"n. 手电筒, 闪光信号灯"
altogether,"adv. 完全地, 总而言之"
uncomfortable,"a. 不舒服的, 不自在的, 不安的"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
white-water rafting,[网络] 激流泛舟；白水漂流；激浪漂流
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
life jacket,救生衣
protection,"n. 保护, 防卫, 贸易保护制度
"
in case,万一
backpack,"n. 远足用的背包；双肩背包, 背包"
advance,"n. 前进, 进展, 行过的路程
vi. 前进, 进展, 提高, 上涨
vt. 使前进, 促进, 提出, 提高, 使提前, 预付
a. 前面的, 预先的"
supply,"n. 补给, 供给, 供应品
vt. 补给, 供给, 提供, 补充
vi. 替代"
wildlife,n. 野生动植物
photograph,"n. 相片, 照片, 逼真的描绘
v. 照相, 摄影"
defence,"n. 防卫, 防卫设备
"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
up close,adv. 靠近地
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
tiring,"a. 引起疲劳的, 累人的
"
atmosphere,"n. 大气, 空气, 气氛
"
African,"n. 非洲人
a. 非洲的, 非洲人的"
afterwards,"adv. 然后, 后来"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
cheek,"n. 颊, 厚颜, 脸蛋
"
tourism,"n. 观光业, 游览
"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
explore,"v. 探险, 探测, 探究"
sunrise,"n. 日出, 黎明, 拂晓"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
"
heaven,"n. 天堂, 上帝, 天空"
mountaintop,n. 山顶
temple,"n. 圣堂, 庙宇, 教堂, 礼拜堂, 太阳穴, 鬓角
"
bury,"vt. 埋葬, 埋藏"
destination,"n. 目的地, 目标, 目的
"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
beauty,"n. 美, 美人"
south-west,"n. 西南；西南方；西南地区
"
highway,"n. 公路, 大道, 捷径
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
kingdom,"n. 王国, 领域
"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
forever,adv. 永远
officially,"adv. 作为公务员, 职务上, 官方地"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
sunshine,"n. 阳光, 光明, 晴天"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
diamond,"n. 钻石, 菱形
"
cattle,"n. 牛, 家畜
"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
surrounding,"n. 环境
a. 周围的"
harmony,"n. 协调, 和睦, 调和
"
endless,"a. 不停的, 无穷尽的, 无尽的
"
mild,"a. 温和的, 温柔的, 淡味的, 适度的, 轻微的, (肥皂等)软性的
"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
mummy,"n. 木乃伊, 瘦而干瘪之人, 妈咪
"
explorer,"n. 探险家, 探测者, 勘探器
"
curious,"a. 好奇的, 求知的, 古怪的"
set sail,"张帆, 开航"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
Egyptian,"n. 埃及人
a. 埃及的, 埃及人的"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
jewel,"n. 珠宝, 贵重物, 镶珠宝的饰物
vt. 饰以珠宝, 镶以宝石"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
come across,偶遇
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
death,"n. 死亡
"
shortly,"adv. 不久, 简短, 唐突地"
within,"n. 内部, 里头
adv. 在内部, 在内心里
prep. 在...之内"
coincidence,"n. 巧合, 同时发生
"
connection,"n. 连接, 关系, 前后关系
"
punishment,"n. 处罚, 刑罚, 惩罚
"
scientific,"a. 科学的, 系统的, 符合科学规律的
"
virus,"n. 病毒, 滤过性病毒, 毒害
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
breathe,"vi. 呼吸, 生存, 低语
vt. 呼吸, 使喘息, 发散, 低声说"
result in,"导致
"
clothing,n. 衣服
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
labour,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
whichever,"pron. 无论那一个, 任何一个"
airplane,"n. 飞机
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
warning,"n. 警告, 预告, 预兆, 通知
"
iceberg,"n. 冰山, 冷冰冰的人"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
requirement,"n. 需求, 必要条件, 要求
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
nationality,"n. 国籍, 国家, 民族性
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
gorilla,"n. 大猩猩, 残暴的男人, 歹徒"
data,"pl. 资料, 数据
"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
discourage,"vt. 使气馁, 阻碍"
devotion,"n. 热爱, 投入"
PhD,哲学博士
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
organization,"n. 组织, 结构, 团体, 体制
"
voyage,"n. 航行, 航海, 航程, 旅行, 航空
vi. 航海, 航行
vt. 航行越过, 飞过"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
astronaut,"n. 太空旅行者, 宇航员
"
north-east,[地名] 东北镇 ( 美 )
desire,"n. 欲望, 要求
vt. 想要, 请求
vi. 渴望"
apply,"vt. 涂, 应用
vi. 申请, 适用"
candidate,"n. 候选人, 投考者
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
rocket,"n. 火箭, 烟火
vi. 急升, 猛涨, 飞驰
vt. 用火箭运载"
status,"n. 状态, 情形, 地位, 要人身份
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
be in control,[网络] 在掌控中；掌控之中；自我控制
be in control of something,无
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
indeed,"adv. 的确, 实在, 真正地, 甚至"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
hearing,"n. 听, 听觉, 听讯
"
raised,"a. 凸起的, 浮雕的, 发酵的
"
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
vase,"n. 花瓶, 瓶"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
foggy,"a. 雾深的, 模糊的"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
overcoat,n. 外套大衣
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
nowhere,"adv. 无处, 到处都无"
footstep,"n. 脚步, 脚步声, 足迹"
wherever,adv. 无论哪里
in sight,被看到
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
wish for,"盼望, 企求"
darkness,"n. 黑暗, 暗, 深色, 隐密, 模糊, 无知"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
reach out, （使）伸出
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
stare,"vi. 注视, 凝视, 瞪视, 显眼
vt. 盯
n. 凝视"
beard,"n. 胡须
vt. 抓住胡须, 公开反对"
watch out for,"戒备, 提防, 密切注意"
