now that,"既然..., 由于..."
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
fryer,"n. 做油煎食物的人, 可供油炸的食品, 油炸锅"
burger,n. 汉堡包（等于hamburger）
kiwi,"n. 鹬鸵, 地勤人员, 新西兰人"
fillet,"n. 头带, 带子
vt. 用带缚"
housekeeper,"n. 主妇, 女管家"
boutique,n. 专卖流行衣服的小商店
loom,"n. 织布机, 若隐若现的景象
vi. 朦胧地出现, 隐约可见, 可怕地出现"
au pair,"a. <法>平等的, 互惠的"
guesthouse,"n. 宾馆, 高级寄宿舍, 招待所"
remainder,"n. 剩余物, 其他人, 残余, 余数
v. 削价出售(图书)
a. 剩余的, 出售削价剩书的
"
peak season,[经] 旺季
café,无
vineyard,n. 葡萄园
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
serve as,"被用作..., 充当..., 起...的作用"
head out to,无
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
vine,"n. 藤本植物, 葡萄, 藤, 蔓
vi. 形成藤蔓"
tedious,"a. 沉闷的, 冗长乏味的"
hindsight,"n. 枪的表尺, 事后聪明"
meditative,"a. 默想的, 耽于默想的, 冥想的"
spider,"n. 蜘蛛, 设圈套者
"
in no time,立刻
hold onto,坚持
fleeting,"a. 疾驰的, 短暂的, 飞逝的"
ownership,"n. 所有权, 物主身份
"
backpacker,n. 背包旅行者
mainlander,"n. 本土人, 大陆人"
mainland,"n. 大陆, 本土
"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
in need of,"需要...时, 如果需要..."
scenery,"n. 风景, 景色, 舞台布景"
at the foot of,在…的脚下
Maori,"n. 毛利人, 毛利语
a. 毛利人的, 毛利语的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
inadequate,"a. 不充分的, 不适当的
"
deteriorate,v. (使)恶化
blend ... into ...,"调合成,融合成…"
in the first place,首先
dire,"a. 可怕的, 悲惨的, 阴沉的, 极端的"
friendless,"a. 没有朋友的, 无依无靠的"
have in mind,"na. 记住；铭记不忘；注意
"
minimum,"a. 最小的, 最低的
n. 最小值
"
hourly,"a. 每小时的, 以小时计的, 频繁的
adv. 每小时地, 频繁地, 不绝地"
cheer up,"v. 鼓舞；振作一点
"
confined,"a. 被限制的, 狭窄的, 在分娩中的, 坐月子的
"
hold on,"继续, 不挂断, 停止"
downbeat,"n. 强拍, 下降, 低沉, 衰退
a. 悲观的, 低沉的"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
learned,"a. 有学问的, 学术上的
learn的过去式和过去分词"
make money,"挣钱
"
quit,"vi. 离开, 辞职, 停止
vt. 离开, 放弃, 使解除, 停止
n. 离开
"
hop on, 在…跳
in company with,(和…)一起
set free,"释放
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
by God,"凭上帝作证,老天在上,确确实实"
fate,"n. 命运, 运气
vt. 注定"
in store,"贮藏着, 保存着, 准备着, 将要发生
"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
hang around,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起"
strive for,"奋斗, 争取"
be content with,以...为满足
keep up with,"跟上
"
derive from,"得自, 由来, 衍生"
cartoon strip, 连环漫画
poke fun at,取笑
vanish,"vi. 消失, 不见, 成为零"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
alas,interj. 唉
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
come into being,"形成, 产生"
rotary,"a. 旋转的, 轮流的
n. 旋转式机器"
printing press,"印刷机
"
open up,"na. (打)开；割开；开发(资源)；揭示
"
make a living,"谋生, 挣钱度日, 维持生活"
for that matter,"就此而言, 至于那个, 说到那一点"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
assessment,"n. 评估, 估定, 评定的款额
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
brand-new,"崭新的,全新的"
out of date,"过时的, 废弃的
"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
perpetuate,"vt. 使永存, 使不朽, 保持"
ad infinitum,"无限地
"
guilt,"n. 罪行, 内疚
"
most of all,"尤其,首先"
put it best ...,无
put it well ...,无
put it cleverly ...,无
cultural,"a. 文化的, 教养的, 修养的
"
meaningless,a. 无意义的
attribute sth. to sb.,"na. 认为(成功)是(努力)的结果
"
attribute sth. to sth.,"na. 认为(成功)是(努力)的结果
"
website,n. 网站（全球资讯网的主机站）
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
ultimately,"adv. 最后, 最终
"
buy into,出钱入(某组织或企业)
lead to,"导致, 通向"
disappointment,n. 失望
hold onto,坚持
miserable,a. 悲惨的；痛苦的；卑鄙的
debt,"n. 债务, 罪过
"
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
put a cap on,限制；控制；制止
buy on credit,"na. 赊买
"
contentment,"n. 满足, 使人满意的事物, 满意"
lasting,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
look back on,"回头看,回顾,追忆"
berate,vt. 严责
broke,"a. 一文不名的
break的过去式"
flaunt,"n. 炫耀, 飘扬
v. 炫耀, 飘扬"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
celebrity,"n. 名声, 名人"
conspicuous,"a. 显著的, 显眼的, 出众的"
mansion,"n. 大厦, 宅邸"
reasonable,"a. 合理的, 明理的, 适当的
"
trappings,"n. 马饰, 服饰, 礼服, 装饰品, 外部标志"
necessity,"n. 需要, 必需品, 必然
"
survey,"n. 纵览, 视察, 测量, 俯瞰, 调查
vt. 审视, 视察, 俯瞰, 通盘考虑
vi. 测量土地"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
fad,"n. 时尚
"
sport utility vehicle,"n. 运动型多功能车（四轮驱动、可在崎岖路段行驶）
"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
guise,"n. 相似, 外观, 伪装
v. 穿戴, 伪装"
behemoth,n. 庞然大物
contractor,"n. 立契约的人, 承包商
"
landscaper,n. 庭园设计家
saving,"n. 存款, 挽救, 节约
a. 搭救的, 节约的, 保留的, 补偿的
prep. 除...之外"
cosmetic,"n. 化妆品
a. 化妆用的"
surgery,"n. 外科, 手术, 手术室, 换球术"
appliance,"n. 器械, 用具, 应用
"
item,"n. 项目, 条款, 一则, 项
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
popularity,"n. 名声, 受大众欢迎, 流行"
category,"n. 种类, 类项
"
excessive,"a. 过度的, 过多的, 极端的
"
satellite,"n. 人造卫星
"
covet,"v. 妄想, 垂涎"
prolific,"a. 有生殖力的, 多产的, 丰富的
"
advertising,"n. 广告业, 广告
a. 广告的
"
favor,"n. 好意, 喜爱
vt. 赐予, 支持, 喜欢, 证实"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
gratification,"n. 令人满足的事(或物), 满足, 喜悦
"
SUV,[网络] 膀胱容量
in debt,"un. 背上了债；负债；欠款
"
barely,adv. 几乎不
statistics,"n. 统计学, 统计资料
"
bankruptcy,"n. 破产者
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
cite,"vt. 引用, 引证, 表彰
"
per capita,"每人, 按人口, 按人口计算
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
affluence,"n. 富裕, 丰富, 流注
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
maximize,"vt. 取...最大值, 使增加(或扩大)到最大限度
"
reevaluate,"v. 再评估, 再评价"
trim,"n. 整齐, 情形, 修剪
a. 整齐的
vt. 使整齐, 整理, 修剪
vi. 调整, 见风使舵
"
in reality,"实际上, 事实上"
roll around,周而复始
priority,"n. 优先权, 优先
"
nest egg,"n. 养老金, 储备金; 留窝鸡蛋"
stash away,"n. 隐藏处; 藏起, 隐藏（某物）"
by all means,"尽一切办法, 一定"
take a page from,无
take a page from sb.,无
take a page from sth.,无
so-called,adj. 所谓的
inherit,"vt. 继承, 遗传
vi. 接受遗产"
billionaire,n. 亿万富翁
have it easy,"〈俚〉过得舒服,处境很好"
memoir,"n. 传记, 实录, 追思录, 回忆录, 自传
"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
considerable,"a. 相当的, 可观的, 重要的"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
heir,"n. 继承人, 嗣子, 后嗣
"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
live off,"以...为食料, 靠...生活"
asset,"n. 资产, 有益的东西"
sponge off," （用海绵）拭去, 除去; 依赖…生活"
finance,"n. 财政, 财务
vt. 供给...经费, 负担经费
vi. 筹措资金"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
blog,n. 博客；部落格；网络日志
instill,"vt. 滴注, 慢慢地灌输"
stir,"n. 骚动, 轰动, 搅动, 监狱
vt. 移动, 摇动, 激起, 惹起, 搅拌
vi. 走动, 传播, 搅拌"
critic,"n. 批评家, 鉴定家"
offspring,"n. 子孙, 后代, 产物
"
circumstance,"n. 环境, 状况, 事件"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
frugally,"adv. 节约地, 俭朴地"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
from the outset,从一开始
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
MTV,abbr. 音乐电视（Music Television）
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
soundtrack,"n. 声迹, 声槽, 声带"
miniseries,n. 电视连续短剧
live it up,"狂欢一场, 纵欲欢乐"
step into one's shoes,"un. 拦住…；乘势儿上去；继承…的一切
"
retirement,"n. 退休, 隐居, 撤退
"
leadership,"n. 领导能力, 领导阶层"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
trainee,"n. 实习生, 新兵, 受培训者
"
at the behest of,[网络] 在……命令下；命令请求下；听命於
hand on,"把...传下去, 传递下去, 发放"
rein,"n. 缰绳, 统治, 支配
vt. 驾驭, 以缰绳控制, 控制
vi. 勒住马"
nonprofit,"a. 非赢利的, 无利可图的
"
empower,"vt. 授予权力, 允许, 使能够
"
come and go,来来往往
steady,"a. 稳定的, 不动摇的, 沉着的, 稳固的, 坚定的, 经常的
vt. 使稳定, 使坚定
vi. 变为沉着, 稳固"
currency,"n. 货币, 通货, 流通, 通用
"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
negotiation,"n. 谈判, 磋商, 交涉
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
gender,"n. 性
vt. 产生"
work out,"v. 作出；拟定；制定；计划一下
"
skew,"a. 斜的, 歪的
n. 歪斜, 偏态家庭关系
vi. 歪斜, 侧转
vt. 使歪斜, 曲解
"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
wobbly,"a. 摆动的, 不稳定的"
triangle,"n. 三角形, 三个一组, 三角关系
"
leave behind,"na. 遗留；留下；追过；留在后头
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
bonus,"n. 奖金, 红利
"
juggle,"vi. 玩戏法, 行骗, 篡改
vt. 耍弄, 歪曲, 篡改
n. 玩戏法, 魔术, 欺骗"
occasional,"a. 偶然的, 临时的
"
devotion,"n. 热爱, 投入"
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
generosity,"n. 慷慨, 宽大"
look over one's shoulder,指挥；控制；监督；管理；转过头来看；注意看背后是否有人在偷听，小心提防
repay,"v. 偿还, 报答, 报复"
kindness,"n. 仁慈, 亲切, 和蔼"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
paranoia,"n. 偏执狂, 多疑症
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
in one's eyes,"na. 在…的心目中
"
in the eyes of,在...心目中
fall short of,"没有达到标准, 不够, 不足"
expectation,"n. 期待, 指望, 展望
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
wash up,"洗手洗脸, 洗餐具"
take aside,偏袒;拥护(某方面)
aspect,"n. 外观, 方面, 面貌, 方向
"
equation,"n. 相等, 等式, 平衡
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
help out,"v. 帮助…摆脱困境；救出；协助
"
parenting,n. 父母对子女的养育
management,"n. 经营, 支配, 管理
"
relieve ... of,"v. 解除
"
in one's view, 依某人看来
responsibility,"n. 责任, 职责, 负担, 可靠性
"
get ... wrong,"get wrong
提供错误情况；对…了解有误：
I'm sorry I got your name wrong in my article.
对不起，我在我的文章里把你的名字写错了。
在(表演、计算等)中有错误：
I shall have to do this sum again, I think I've got the answer wrong.
我必须再计算一次这道题，我想我得出的答案是错误的。"
preference,"n. 偏爱, 优先, 喜爱物
"
involvement,"n. 卷入, 牵连, 包含, 困窘
"
parental,"a. 父母亲的, 做双亲的, 作为渊源的
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
saying,"n. 叙述, 话, 说, 言论"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
strike a balance,"结帐, 公平处理
"
put ... in perspective,无
put ... in to perspective,无
barely,adv. 几乎不
in response to,"回答..., 响应..., 对...有反应
"
scoop,"n. 铲子, 勺子, 穴, 口, 独家新闻
vt. 汲取, 舀取, 挖空, 抢先报道"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
dine,"vi. 用正餐, 进餐
vt. 宴请"
vent,"n. 排气口, 出口, 通风孔, 发泄
vt. 发泄, 排出, 给...开孔"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
get away with,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
vocalise,"vi.vt. 发声, 唱, 说
vi. 练声"
criticism,"n. 批评, 评论, 非难
"
proactive,a. 〈心理〉前摄的
be confined,分娩，坐月子
arise,"vi. 站立, 出现, 起来"
arisen,arise的过去分词
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
frustration,"n. 挫折, 顿挫
"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
"
on the flip side,"反过来说
另一方面"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
ground rule,程序
deal-breaker,n. 不合格的事情，煞风景，顽疾
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
hurtful,"a. 造成损害的, 伤感情的, 伤害的"
complacent,"a. 满足的, 自满的, 得意的"
arrogant,"a. 自大的, 傲慢的"
stone,"n. 石头, 宝石, 果核, 纪念碑, 结石
vt. 投扔石子, 铺石头
a. 石的, 石制的, 完全的"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
eternally,"adv. 永恒地, 常常"
eternal,"a. 永恒的, 永远的, 不灭的"
unspoken,unspeak的过去分词
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
take on board,"na. 载有
"
mandarin,"n. 中国官话, 国语, 满清官吏, 柑橘
a. (中国式)紧身马褂的"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
non-existent,"un. 不存在的
"
comprehension,"n. 理解, 包含"
fall through,"失败, 失约"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
appalling,"a. 骇人的, 令人震惊的"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
audio,"a. 音频的, 声音的
"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
metro,n. 地铁
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
accidentally,"adv. 偶然地, 意外地"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
woot,与“耶！”或“噢吼！”等感叹词类似
suck at,"吸, 抽"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
royal,"n. 王室, 皇族
a. 王室的, 皇家的, 盛大的, 庄严的"
royally,"adv. 帝王似地, 庄严地"
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
run the risk of,"冒...的危险, 冒...的风险"
mispronunciation,"n. 发音错误, 读错音的词"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
cutesy,"a. 矫揉造作的,忸怩作态的"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
memorable,"a. 值得纪念的, 难忘的"
ado,"n. 纷扰, 忙乱, 麻烦"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
cred,abbr. 信誉；可靠性（credibility）
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
ballad,n. 歌谣
KTV,abbr. 键盘磁带检孔机（Keyboard Tape Verifier）
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
positive,"a. 肯定的, 积极的, 有把握的
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
option,"n. 选择权, 挑选, 选项
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
enrollment,"n. 登记, 注册, 入伍
"
be equal to,"胜任, 相等, 合适"
emerging,"[法] 出现的, 发生的, 形成的"
typically,adv. 代表性地；作为特色地
typical,"a. 典型的, 象征性的
"
be typical of,是...的特点
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
figure out,"合计为, 计算出, 明白"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
head for,"出发, 动身, 前往"
move on to,转换(话题)
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
text,"n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱
"
carve,"v. 雕刻, 切开"
carve out,开辟
adolescence,"n. 青春期
"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
financial,"a. 财政的, 金融的
"
financially,adv. 金融上；财政上
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
internship,"n. 实习医师的职务
"
nonprofit,"a. 非赢利的, 无利可图的
"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
drift along,"随波逐流,混日子"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
move along,"继续向前或后移动, 往里走"
put aside,"na. “set aside”的变体
"
make one's way,"前进, 行进, 成功, 发迹"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
above all,"尤其是, 首先"
relieved,"a. 宽慰的, 解除的, 减轻的"
parenthood,n. 父母身分
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
ease,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
appetite,"n. 食欲, 欲望, 爱好
"
recession,"n. 后退, 凹处, 衰退, 归还
"
calling,"n. 职业, 行业, 呼唤, 召集
"
shovel,"n. 铲, 铁铲
v. 铲"
back and forth,来回地
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
for the record,[经] 备案
atypical,"a. 非典型的
"
intersperse,"vt. 散布, 点缀"
myth,"n. 神话, 虚构的事, 虚构的人"
predictable,a. 可预言的
optional,"a. 可选择的, 随意的
"
psychologist,"n. 心理学家
"
prolong,"vt. 延长, 拖延, 拖长
"
maturity,"n. 成熟, 完备, 到期
"
organism,"n. 生物, 有机体, 社会组织
"
sexual,"a. 性的, 性别的
"
sexually,adv. 性别地；两性之间地
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
