infection,"n. 传染, 影响, 传染病
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
let go,"v. 放手；解雇；松手；忽视
"
in disbelief,[网络] 不相信；怀疑；怀疑地
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
aware,"a. 知道的, 有觉悟的"
muddle through,"终于对付过去, 终于应付过去"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
find one's way,"na. 到达
"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
caring,a. 有同情心的；表示或感到关怀或关心的
set foot in,进入
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
stay put,"装牢, 留在原处不动"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
be concerned with,"涉及..., 与...有关"
scholarship,"n. 学问, 学术成就, 奖学金"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
undertaken,undertake的过去分词
make a difference,"有区别,有很大关系"
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
emotion,"n. 情绪, 激动, 强烈的情感
"
await,"vt. 等候
vi. 等待着"
independence,"n. 独立, 自立, 自主
"
liberal arts,文科
liberal arts college,[网络] 文理学院；美国文理学院；文科学院
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
launching pad,发射台
cannot help but,"adv. 不得不
"
in store,"贮藏着, 保存着, 准备着, 将要发生
"
be about to,即将
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
break down,"v. 分解；抛锚；分析；划分
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
urgent,"a. 紧急的, 急迫的, 催逼的
"
humankind,n. 人类
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
get by,"通过, 混过"
torch,"n. 火把, 启发之物
"
instructive,"a. 有益的, 增进知识的"
imagination,"n. 想像, 听觉, 想像力
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
inquiry,"n. 质询, 探索, 调查, 询盘
"
community,"n. 社区, 公众, 共有, 共同体
"
self-assured, [体]自信
self-aware,[网络] 自我意识；自我感知；自己知道
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
GPA,abbr. 通用放大器（General Purpose Amplifier）；客运总经纪人（General Procurement Agent）；平均分数（Grade-Point Average）
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
honesty,"n. 诚实, 公正, 正直"
matter,"n. 事件, 物质, 原因, 素材, 实体, 重要
vi. 有关系"
go it alone,"单干
"
with an eye to,"着眼于, 对...有企图"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
procedure,"n. 程序, 过程, 手续
"
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
arena,"n. 角斗场, 舞台, 场地
"
gym,"n. +体育馆, 体育训练, 体育课, 体操"
documentation,"n. (总称)文件
"
credential,"n. 国书, 凭据, 证明书
"
distribution,"n. 分配
"
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
explore,"v. 探险, 探测, 探究"
self-reliance,自力更生；依靠自已
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
cultivate,"vt. 培养, 耕作"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
embody,"vt. 具体表达, 使具体化
"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
positive,"a. 肯定的, 积极的, 有把握的
"
response,"n. 反应, 回答, 响应
"
engineering,"n. 工程学, 工程, 操纵
"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
all-around,周围
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
make it big,[网络] 炒热它；天降横财；成名
take control of,"控制,掌管"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
remarkable,"a. 不平常的, 值得注意的, 显著的"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
anti-Semitism,"n. 反犹太主义
"
find out,"na. 查出；发现；看清…的面目；识破
"
origin,"n. 起源, 起因, 出身, 开端
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
give birth to,产生
come out with,"发表, 出版, 说出, 提出, 把...投入市场销售"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
deliver,"vt. 递送, 陈述, 释放, 发表, 引渡, 投递, 交付
"
definitely,"adv. 明确无疑地, 清楚地"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
swastika,n. 纳粹党所用的十字记号
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
contest,"n. 竞赛, 争论
vt. 竞争, 争取, 争辩
vi. 竞争"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
exclaim,"v. 大叫, 呼喊, 大声叫"
competition,"n. 竞争, 竞赛
"
be prone to,"有...的倾向, 易于"
exaggeration,"n. 夸张, 夸大的事物, 夸大之词"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
numerous,"a. 很多的, 数目众多的, 多数的
"
publication,"n. 出版物, 出版, 公布
"
amaze,vt. 使吃惊
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
find refuge in,躲在…
take refuge in,"躲藏在…,在…避难"
corporal,"n. 下士
a. 肉体的, 身体的, 个人的"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
incredible,a. 难以置信的
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
wander,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒
vt. 在...漫游"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
mascot,"n. 福神, 吉祥的东西"
burst into,"闯入, 开出, 突然出现"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
bullet,"n. 子弹
"
crawl,"n. 爬行, 匍匐而行, 养鱼池
v. 爬行"
sneak,"vi. 鬼鬼祟祟做事
vt. 偷偷地做
n. 鬼鬼祟祟的人, 偷偷摸摸的行为, 帆布胶底运动鞋
a. 暗中进行的"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
pit,"n. 深坑, 矿井, 果核, 地窖, 深渊, 绝境, 陷阱
vt. 窖藏, 使凹下, 使有麻点, 去...之核, 使留疤痕, 使相斗, 使竞争
vi. 起凹点, 凹陷"
battalion,"n. 营, 军队, 集团"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
mystery,"n. 秘密, 神秘, 奥秘"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
unexpectedly,"adv. 想不到的, 突然的, 意外的, 出乎意料的"
take pity on,对...产生怜悯
orphan,"n. 孤儿
a. 无双亲的, 孤儿的
vt. 使成孤儿
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
SS,[=disulide linkage]二硫键
Schutzstaffel,<德>n.(纳粹)党卫军
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
propaganda,"n. 宣传, 宣传活动
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
pretense,"n. 借口, 虚假, 伪装"
compel,"vt. 强迫, 迫使"
haunt,"n. 常到的地方, 生息地
vt. 常到, 出没于, 萦绕于
vi. 出没, 作祟"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
in vain,"徒然
"
breakthrough,"n. 突破
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
horror,"n. 惊骇, 恐怖, 惨状
"
fairway,n. 航路
vibrant,"a. 振动的, 战栗的, 响亮的, 活跃的"
miracle,"n. 奇迹, 奇事"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
era,"n. 时代, 纪元, 时期"
idyllically,adv. idyllic的变形
stateless,"a. 没有国家的
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
ghetto,n. 犹太人区
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
recount,"vt. 详述, 叙述, 重新计算
n. 重新计算"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
extent,"n. 范围, 程度, 区域
"
devastation,n. 毁坏
at first,起先
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
attend to, 处理; 注意; 听取; 致力于
head,"n. 头, 头脑, 领袖, 脑袋, 最前的部分
vt. 为首, 朝向, 前进, 用头顶
vi. 朝特定方向行进, (作物)结穗
a. 头的, 在顶端的, 主要的
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
global,"a. 通用的, 全球的, 球形的, 综合的, 普遍的
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
as to,"根据,按照,依照;关于,至于,就…而言"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
ground rule,程序
off limits,"[经] 限度外, 范围外"
appropriate,"a. 适当的
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
cooperation,"n. 合作, 协力, 配合
"
at one point, 一度; 在某一刻
urgent,"a. 紧急的, 急迫的, 催逼的
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
demonstrate,"vt. 示范, 证明
vi. 示威"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
woe,"n. 悲哀, 悲痛, 苦痛"
yield,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
declare war on,"宣战, 发动进攻"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
benefit,"n. 利益
vt. 有益于
vi. 受益"
concentration,"n. 集中, 专心
"
ensure,"vt. 确定, 保证, 担保, 保护
"
thanks to,由于
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
career,"n. 事业, 生涯, 成功
"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
offset,"n. 抵消, 把...并列, 旁系, 支管, 用胶印法印
vt. 弥补, 抵消, 胶印
vi. 装支管
n. 偏移量
"
previous,"a. 早先的, 前面的, 过急的
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
attain,"vt. 达到, 获得
vi. 达到"
solution,"n. 解决, 解答, 溶液
"
sentence,"n. 句子, 命题, 宣判
vt. 宣判, 判决
"
segregation,"n. 隔离, 偏析, 被隔离的部分, 种族隔离
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
testament,"n. 遗嘱, <<圣约书>>
"
in person,"亲自, 外貌上
"
in the presence of,在面前
decade,"n. 十年, 十"
withstand,"vt. 抵住, 顶住, 经得起"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
set in,"na. 固定；停当；涨潮；进来
"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
in regard to,"关于
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
arrange,"v. 安排, 排列, 达成协议
"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
make up,"na. 弥补；起草；定；签订
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
ridden,"ride的过去分词
"
be ridden with,无
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
obsession,"n. 困扰, 困扰人的情绪
"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
asset,"n. 资产, 有益的东西"
in many respects,在许多方面
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
warden,"n. 典狱官, 渔猎法监督官, 看守人
"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
disciplined,a. 遵守纪律的；受过训练的
colleague,"n. 同事, 同僚"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
equip,"vt. 装备, 配备
"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
enrich,"vt. 使富足, 使肥沃"
informed,a. 见多识广的
arrogant,"a. 自大的, 傲慢的"
negotiation,"n. 谈判, 磋商, 交涉
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
antiapartheid,a. 反种族隔离的
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
be content with,以...为满足
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
Ally, 以-al结尾的形容词加ly构成副词)
build up,"树立, 增进, 增大, 堵塞
"
gallant,"a. 英勇的, 壮丽的, 华丽的"
in train,准备就绪
interval,"n. 间隔, 距离, 间歇, 间隙
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
passionate,"a. 热情的, 热烈的, 易怒的, 热恋的"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
distinction,n. 区别
parachute,"n. 降落伞
vi. 跳伞"
out of the way,"不挡道, 不恰当, 异常, 偏僻
"
for one's sake,"un. 行行好；看在…面上；为了…自己好；为…着想
"
for one's own sake,为了自己的利益
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
parliament,"n. 国会, 议会
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
subject to,"v. 处于…中；使服从
"
in one's midst,在one当中
stamp out,"na. 踏灭(火)；扑灭(暴动等)
"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
boast of,吹嘘;引以自豪地拥有
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
drive away," 驱车离开; 把…驱开, 赶走; 祛"
blockade,"n. 阻塞
vt. 封锁"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
Continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
tyrant,"n. 暴君
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
originality,"n. 创意, 新奇, 独创能力, 原始"
malice,"n. 恶意, 蓄意害人, 怨恨
"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
outlandish,"a. 外国气派的, 偏僻的, 古怪的"
ride out,"na. (船等)安然冲过风暴；平安渡过困难
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
at any rate,"无论如何, 至少"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
tract,"n. 大片土地, 地带, 小册子
"
fall into the grip of,无
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
starve,"v. (使)饿死, (使)挨饿"
might,"n. 力量, 权力
aux. 可能, 也许"
step forth,无
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
conservation,"n. 保护, 保存
"
to one's liking,[网络] 遂心；对眼；合心
growl,"n. 吠声, 咆哮声
v. 怒吠, 咆哮, 吼"
statement,"n. 陈述, 指令, 声明
"
ring in one's ears,言犹在耳
precociousness,"n. 早熟, 早成"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
on track,"un. 离题；正常
"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
