agnostic,n. 不可知论者
amity,"n. 友好, 亲善关系"
amenity,"n. 便利设施, 适意, 礼仪
"
amiable,"a. 亲切的, 和蔼可亲的
"
amicable,"a. 友善的, 友好的
"
ambiguous,"a. 不明确的, 模棱两可的
"
ambivalent,"a. 矛盾的, 模棱两可的
"
ambidextrous,"a. 两手俱利的, 搞两面派的
"
amphibian,"a. 两栖类的, 水陆两用的
n. 两栖动物, 水旱两生植物, 水陆两用飞机"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
unanimous,"a. 意见一致的, 无异议的"
pusillanimous,"a. 无勇气的, 胆怯的, 优柔寡断的"
animosity,"n. 仇恨, 憎恶, 敌意"
magnanimous,"a. 宽宏大量的, 有雅量的
"
antibody,"n. 抗体
"
antibiotic,"n. 抗生素
a. 抗生的"
antidote,"n. 解毒剂, 解毒药
"
anticlimax,"n. 突降法, 虎头蛇尾"
antipathy,"n. 厌恶, 反感
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
antiquated,"a. 陈旧的, 过时的, 年老的"
apophasis,n. [修]故抑其词；以求婉达
apostrophe,"n. 撇号, 呼语法"
apostasy,"n. 叛教, 变节, 脱党
"
apoplectic,"n. 中风病人
a. 中风的, 有中风迹象的"
anarchy,"n. 无政府状态, 政治混乱
"
anarchist,"n. 无政府主义者
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
monarch,"n. 帝王, 统治者, 元首
"
firearm,"n. 火器, 枪炮"
army,"n. 军队, 陆军"
disarm,"vt. 解除武装, 裁军, 缓和
vi. 放下武器"
armada,n. 舰队
armory,"n. 纹章, 纹章学, 军械库, 兵工厂
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
artifact,"n. 人工制品
"
artifice,"n. 诡计, 技巧, 巧妙"
artificial,"a. 人造的, 假的, 非原地产的
"
artist,"n. 艺术家, 画家"
artless,"a. 无虚饰的, 单纯的, 自然的"
autobiography,n. 自传
autocrat,n. 独裁者
automatically,"adv. 自动地, 机械地"
autonomy,"n. 自治, 自治权
"
automobile,"n. 汽车
"
balloon,"n. 气球
vt. 使成气球状
vi. 膨胀如气球, 激增"
ballet,n. 芭蕾舞
ballroom,"n. 舞厅, 跳舞场"
baseball,"n. 棒球
"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
debase,"vt. 贬低, 降低"
basement,"n. 地下室, 墙脚
"
beater,"n. 打的人, 拍打树丛惊起猎物的人, 搅拌器
"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
baton,"n. 指挥棒, 接力棒, 警棍"
battle,"n. 战役
v. 战斗"
combative,"a. 好斗的, 好事的"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
bellicose,"a. 好战的, 好斗的
"
rebellion,"n. 谋反, 叛乱, 反抗
"
belligerent,"a. 好战的, 交战的, 交战国的
"
beneficent,"a. 仁慈的, 慈善的, 善行的"
beneficial,"a. 有益的, 受益的
"
benevolent,"a. 善意的, 慈善的"
benediction,n. 祝福
benefactor,"n. 恩人, 捐助者, 施主
"
bifurcate,"v. (使)分叉
a. 分双叉的"
bilingual,a. 双语的
biped,"n. 两足动物
a. 有两足的"
duality,"n. 二元性
"
duet,n. 二重奏
full-bodied,完满的
antibody,"n. 抗体
"
bodyguard,"n. 保镖, 护卫"
busybody,"n. 爱管闲事的人, 好事的人"
disembodied,"a. 脱离肉体的
"
abbreviate,"vt. 缩写, 使...简略, 缩短
vi. 使用缩写词"
brevity,"n. 短暂, 简短"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
debrief,"vt. 听取报告, 盘问"
calcium,"n. 钙
"
calcification,"n. 钙化
"
recalcitrant,"a. 反抗的, 反对的, 顽抗的
n. 反抗者, 顽抗者"
candor,"n. 坦白, 直率"
candid,"a. 坦白的, 率直的, 公正的"
candle,"n. 蜡烛
vt. 对着光检查"
incandescent,"a. 白热的, 闪闪发光的, 辉耀的, 灿烂的
"
capable,"a. 有能力的, 能的, 能干的"
incapacitate,"vt. 使无能力, 使无行为能力
"
captious,"a. 吹毛求疵的, 挑剔的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
captivate,"vt. 迷住, 迷惑"
capitulate,"vi. (有条件)投降
"
recapitulation,"n. 重述要点, 概括, 摘要
"
cataclysmic,"a. 洪水的, 灾变的, 政治和社会大变动的"
catastrophe,"n. 大灾难, 大祸
"
catalyze,"vt. 催化, 促进, 刺激
"
catalyst,"n. 触媒, 接触剂, 催化剂, 刺激因素, 促进因素
"
cave,"n. 洞, 穴
vi. 凹陷, 塌落
vt. 挖洞, 使凹陷, 损坏...的基础"
cavern,"n. 巨穴, 洞窟, 深处
vt. 放于山洞中, 挖空"
concave,"a. 凹的
"
excavate,"v. 挖空, 挖出, 凿通"
accede,"vi. 同意, 正式加入, 就任, 继任"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
concede,"vt. 承认, 退让
vi. 让步"
excessive,"a. 过度的, 过多的, 极端的
"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
central,"a. 中央的, 重要的
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
centrifuge,"n. 离心机
vt. 使受离心作用, 用离心机分离"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
egocentric,"a. 自我中心的, 利己主义的
n. 利己主义者"
circular,"a. 圆形的, 循环的, 间接的
"
circulate,"v. (使)流通, (使)循环, (使)传播"
circuitous,"a. 迂回的, 间接的, 绕行的"
recycle,"vt. 使再循环, 重新利用, 再制
n. 再循环"
cyclical,"a. 周期的, 轮转的, 循环的, 轮列的, 轮卷的, 环状的, 环的, 组诗的, 始末的
"
cyclone,"n. 龙卷风, 暴风
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
encyclopedia,n. 百科全书
circumference,"n. 圆周, 周缘, 胸围
"
circumlocution,n. 迂回的说法
circumspect,"a. 细心的, 慎重的"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
scissors,"pl. 剪刀
"
concise,"a. 简洁的, 简明的"
precis,"n. 摘要, 梗概, 大意, 概要
vt. 摘...的要点, 写...的大意
"
precise,"a. 精确的, 严谨的, 明确的
"
incise,"vt. 切割, 雕刻
"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
excited,"a. 兴奋的, 已励磁的, 已激发的, 激昂的, 激动的"
incite,"vt. 刺激, 激励, 引诱
"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
recital,"n. 背诵, 吟诵, 详述
"
resuscitate,"v. (使)复苏, (使)复兴"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
disclaim,"v. 放弃, 弃权, 拒绝承认"
exclaim,"v. 大叫, 呼喊, 大声叫"
include,"vt. 包括, 把...算入, 包住
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusive,"a. 决定性的, 确定性的, 最后的
"
occlude,"vt. 使闭塞, 隔断, 挡住
vi. 咬合"
recluse,"a. 隐遁的, 偏僻的
n. 隐遁者, 遁世者"
seclusion,"n. 隔离, 隐退"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
counterargument,[法] 抗办
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
autocracy,"n. 独裁统治, 独裁统治的国家
"
aristocracy,"n. 贵族, 上层社会, 知识界杰出分子
"
bureaucracy,"n. 官僚, 官吏
"
democracy,"n. 民主政治, 民主主义
"
gerontocracy,"n. 老人统治, 老人管理, 老人集团"
technocracy,"n. 技术专家政治论, 技术专家治国论
"
creative,"a. 有创造力的, 创作的, 产生的"
creature,"n. 人, 动物, 创造物, 生物"
accrete,"vi. 连生, 合生, 附依
vt. 使依附, 使连接
a. 合生的"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
credible,"a. 可信的, 可靠的
"
credence,"n. 信任, 祭器台, 供桌, 凭证
"
credentials,"n. 信任状, 国书, 文件, 身份证明, 证书
"
credulous,"a. 轻信的, 易受骗的"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
recriminate,"v. 反责, 反唇相讥, 反控"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
curative,"a. 治病的, 有疗效的
n. 药物, 治疗法"
curator,"n. 管理者, 经理, 主管人, 掌管者, 馆长, 大学学监, 监护人, 保护人
"
curious,"a. 好奇的, 求知的, 古怪的"
epicure,"n. 美食家, 讲究饮食的人"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
recurrent,"a. 再发生的, 定期重复的, 循环的
"
concur,"vi. 同意, 一致, 同时发生
"
occurrence,"n. 发生, 事件, 出现
"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
precursory,"a. 先驱的, 前兆的"
excursive,"a. 游览的, 离题的, 散漫的
"
discursive,"a. 离题的, 东拉西扯的"
incursion,"n. 侵入, 侵略, 奇袭"
decent,"a. 有分寸的, 得体的, 大方的"
indecency,"n. 无礼, 猥亵
"
decorous,"a. 有礼貌的, 高雅的, 端正的"
decorum,"n. 端正, 礼貌, 合宜, 礼仪"
decorate,v. 装饰
democracy,"n. 民主政治, 民主主义
"
demagogue,n. 煽动者
demography,"n. 人口统计学
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
pandemic,"a. 大流行的, 普遍的, 全世界的
"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
dentist,"n. 牙科医生
"
denture,"n. 一副假牙, 一副牙齿, 齿列
"
indent,"n. 契约, 订货单, 凹痕
vi. 切割成锯齿状
vt. 缩排, 定货, 印凹痕
"
rodent,"a. 咬的, 啮齿类的
n. 啮齿动物"
indict,"vt. 起诉, 控告, 指控
"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
valediction,"n. 告别, 告别辞"
vindicate,"vt. 辩护, 证明...无辜, 维护
"
vindictive,"a. 有报仇心的, 怀恨的, 惩罚的
"
benediction,n. 祝福
dictionary,"n. 字典, 词典
"
predict,"v. 预知, 预言, 预报"
dominate,"v. 支配, 占优势"
dominant,"a. 占优势的, 支配的
"
predominant,"a. 占主导地位的, 卓越的
"
domineering,"a. 盛气凌人的, 跋扈的, 专横的, 专制的"
indomitable,"a. 不屈服的, 不屈不挠的"
duct,"n. 管, 输送管
vt. 通过管道输送"
aqueduct,"n. 水管, 沟渠, 导管
"
conductor,"n. 领导者, 指挥者, 售票员, 向导
"
misconduct,"vt. 办错, 使行为不端
n. 办错, 渎职, 通奸"
conducive,"a. 有益于...的, 有助于...的, 助长的"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
"
irreducible,"a. 不能复归的, 不能削减的, 不可约的
"
deduce,"vt. 推论, 演绎出
"
deduct,"vt. 扣除, 减去
"
deductive,"a. 推论的, 演绎的
"
educate,"vt. 教育, 培养, 训练"
enduring,"a. 持久的, 忍耐的"
durable,"a. 持久的, 耐用的"
duration,"n. 持续时间, 持续
"
indurate,"vt. 使硬化, 使无感觉, 使确立
a. 顽固的, 冷酷的"
obdurate,"a. 顽固的, 执拗的, 冷酷的
"
earplug,"n. 耳塞
"
earring,"n. 耳环, 耳饰"
earshot,"n. 听力所及之范围, 可听距离"
eavesdropper,n. 偷听者
earsplitting,a. 震耳欲聋的
enable,"vt. 使能够
"
ennoble,"vt. 授予爵位, 使高贵"
ensemble,"n. 全体, 合唱曲, (女人的)全套服装
"
enfranchise,"vt. 给予自治权, 给予选举权, 解放
"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
enhance,"vt. 提高, 加强, 增加"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
enrich,"vt. 使富足, 使肥沃"
adequate,"a. 适当的, 足够的
"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equate,"vt. 使相等, 视为平等
vi. 等同"
equitable,"a. 公平的, 公正的
"
equable,"a. 平静的, 变动小的"
equity,"n. 公平, 公正
"
equilibrium,"n. 平衡, 平静, 均衡
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
equanimity,"n. 平静, 镇定, 沉着"
aesthete,"n. 审美家, 唯美主义者"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
anesthesia,"n. 麻醉, 麻木
"
eulogy,"n. 赞词, 称颂"
eulogize,"vt. 称赞, 颂扬"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
euphonious,"a. 音响好的, 悦耳的, 声音和谐的"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
exigent,"a. 紧急的, 迫切的, 苛求的
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
extort,"vt. 勒索, 敲诈, 强要
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
extradition,"n. 引渡逃犯, 亡命者送还本国
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
extricate,"vt. 使解脱, 救出"
exodus,"n. 大批的离去
"
facade,"n. 建筑物的正面, 外观, 表面"
facetious,"a. 滑稽的, 爱开玩笑的"
barefaced,"a. 公然的, 无耻的, 无面具的"
deface,"vt. 损伤外观
"
efface,"vt. 抹去, 消除, 忘却"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
factual,"a. 事实的, 实际的
"
affected,"a. 假装的, 做作的, 受影响的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affectionate,"a. 深情的, 充满情爱的"
disaffect,"vt. 使疏远, 使不忠, 使不满意"
defect,"n. 缺点
"
feckless,"a. 无效的, 无能的, 不负责任的"
infection,"n. 传染, 影响, 传染病
"
disinfect,"vt. 消毒
"
failing,"n. 失败, 缺点
prep. 如果没有...
a. 失败的"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
fallible,"a. 易错的, 可能犯错的"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
faultless,"a. 完美的, 无缺点的
"
faultfinder,n. 吹毛求疵的人
defend,"vt. 防护, 辩护, 防卫
"
defendant,"n. 被告
"
offend,"v. 犯罪, 冒犯, 违反, 进攻"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
fender,"n. 防卫物, 挡泥板"
fervent,"a. 热的, 炎热的, 热心的"
fervor,"n. 热情, 热心, 炽热"
fervid,"a. 热的, 热心的"
effervescent,"a. 冒泡的, 兴奋的, 泡腾的
"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
officiate,"vt. 执行, 司仪, 担任(体育比赛)裁判
vi. 主持宗教仪式, 行使职务"
officious,"a. 多管闲事的, 非官方的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
perfidy,"n. 不诚实, 背信弃义(行为)
"
affidavit,"n. 宣誓书, 书面陈述
"
confident,"a. 有信心的, 有把握的"
confidant,"n. 心腹朋友, 知己"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
diffident,"a. 无自信的, 谦虚谨慎的, 羞怯的"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
define,"vt. 定义, 规定, 使明确
"
definite,"a. 明确的, 一定的
"
definitive,"n. 限定词
a. 限定的, 决定性的"
definition,"n. 定义, 精确度, 清晰度
"
finality,"n. 终结, 定局, 终结性言行
"
finale,"n. 结局, 最后乐章, 终曲"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
infinity,"n. 无限大, 无限
"
infinitesimal,"a. 极小的, 极微的, 无限小的
n. 极小量, 极微量, 无限小"
affinity,"n. 吸引, 姻亲关系, 类同
"
flex,"vt. 弯曲, 伸缩, 折曲
vi. 弯曲
n. 屈曲, 折曲"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
fluent,"a. 流利的, 流畅的"
affluent,"a. 丰富的, 富裕的
n. 支流, 富人"
confluence,"n. 合流, 合流点, 集合, 人群
"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influential,"a. 有影响的, 有势力的"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
influx,"n. 流入, 河口, 汇集
"
mellifluous,"a. 加了蜜糖的, 甜蜜的, 甜美的, 流畅的"
superfluous,"a. 多余的, 过剩的"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
forebear,"n. 祖先, 祖宗"
foreboding,"n. 预感, 先兆, 预兆"
foresee,"vt. 预见, 预知"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
deform,"vt. 使残缺, 使变形
vi. 变形"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
formality,"n. 礼节, 拘谨, 正式手续
"
formation,"n. 形成, 构造, 编队
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
conformist,"n. 遵奉习俗, 遵纪守法者, 遵奉国教会惯例者"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
effortless,"a. 容易的, 不费力气的"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
fortitude,"n. 刚毅, 坚毅, 不屈不挠"
forcibly,"adv. 强制地, 用力地"
enforce,"vt. 强迫, 执行, 坚持
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
refractory,"a. 不听话的, 执拗的, 难治疗的, 耐火的
"
infraction,"n. 违反, 侵害
"
frontier,"n. 边界, 边境
"
up-front,"在最前面, 预先"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
effrontery,n. 厚颜无耻
functional,"a. 功能的
"
functionary,"n. 职员, 负责人员, 官员
a. 机能的, 作用的, 职务的"
dysfunctional,a. 功能失调的
malfunction,"n. 故障, 失灵, 疾病
vi. 发生故障, 不起作用
"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
suffuse,"vt. 遍布, 弥漫, 充满"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
effusive,"a. 感情横溢的, 奔放的, 流出的"
infuse,"vt. 注入, 使充满, 泡制, 鼓舞
vi. 泡"
profuse,"a. 很多的, 丰富的, 浪费的, 慷慨的"
defuse,"vt. 去掉...的引信, 平息"
generality,"n. 概论, 概说, 大要
"
generalization,"n. 一般化, 普遍化, 概括
"
generic,"a. 属类的, 一般的
"
genial,"a. 和蔼的, 亲切的, 友善的
"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
generation,"n. 一代, 一世, 产生
"
generator,"n. 产生器, 发电机, 生产者
"
engender,"vt. 产生, 引起
vi. 发生, 形成"
regenerate,"vt. 使再生, 重建, 革新
vi. 新生, 再生
a. 新生的, 再生的
"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
agnostic,n. 不可知论者
diagnose,v. 诊断
retrograde,"a. 后退的, 倒退的, 退步的
vi. 倒退, 退步, 回顾"
downgrade,"vt. 降低, 贬低
n. 下坡
a. 下坡
adv. 下坡"
low-grade,"[经] 低级, 低质量"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
grandeur,"n. 庄严, 伟大, 壮丽"
grandiose,"a. 宏伟的, 壮丽的, 夸张的
"
grandiloquent,"a. 大言不惭的, 夸张的, 夸大的"
aggrandize,"vt. 增加, 夸大"
gratify,vt. 使满足
gratitude,n. 感激之情
gratis,"adv. 免费地, 白送地
a. 免费的"
gratuity,"n. 小费, 赠物, 赏钱
"
gratuitous,"a. 免费的, 无理由的
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
gregarious,"a. 社交的, 群居的"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
digress,"vi. 走向岔道, 离题, 扯到枝节上"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
regressive,"a. 后退的, 退化的, 回归的
"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
egress,"n. 出口, 外出
vi. 外出"
habitable,"a. 适于居住的, 可居住的"
habituate,"vt. 使习惯于, 使熟习于"
habitual,"a. 习惯的, 惯常的, 平常的
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
cohabit,"vi. 同居
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
handily,"adv. 巧妙地, 敏捷地, 便利地"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
handcuff,"vt. 给...戴上手铐
n. 手铐"
handshake,n. 握手
handwriting,n. 笔迹
offhand,"a. 即时的, 即席的, 无准备的, 随便的, 简慢的, 不友好的
adv. 即时地, 即席地, 随便地"
hapless,"a. 倒霉的, 不幸的"
mishap,"n. 不幸之事, 灾祸, 恶运"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
heading,"n. 标题, 起始字, 方向
"
headstrong,"a. 顽固的, 刚愎的, 任性的"
hot-headed,a. 急躁的
figurehead,"n. 装饰船头的人像, 傀儡领袖"
heartfelt,"a. 衷心的, 真心真意的"
heartiness,"n. 诚实, 热心"
fainthearted,"a. 懦弱的, 无精神的, 胆小的"
lighthearted,"a. 快乐的, 心情愉快的；无忧无虑的"
stouthearted,"a. 刚毅的, 大胆的"
hearten,"vt. 使振作, 激励
vi. 振作"
hydrate,"n. 水合物, 水化合物, 氢氧化物
vt. 使成水化合物"
dehydrate,"vt. (使)脱水
"
carbohydrate,"n. 碳水化合物, 糖类
"
hyperactivity,"n. 活动过多, 机能亢进, 机能过敏
"
hyperbole,n. 夸张法
hypercritical,"a. 批评苛刻的, 吹毛求疵的"
hypocritical,"a. 伪善的, 伪善者的"
hypocrite,"n. 伪君子, 伪善者"
hypochondria,"[医] 疑病[症], 季肋部"
hypothesis,"n. 假设
"
dyslexia,"n. 诵读困难
"
amnesia,"n. 健忘症, 记忆缺失
"
anemia,"n. 贫血, 贫血症, 无活力
"
hemophilia,n. 血友病
hysteria,"n. 歇斯底里症, 不正常的兴奋, 癔病
"
insomnia,"n. 失眠症
"
mania,"n. 狂躁, 热衷, 狂热
"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
