foolishly,"adv. 愚笨地, 无聊地"
halo,"n. 晕轮, 光圈, 晕状物, 荣光
vt. 使有晕轮, 围以光环
vi. 成晕轮"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
deteriorate,v. (使)恶化
paradise,"n. 天堂, 乐园, 伊甸园"
racism,"n. 种族主义, 种族偏见
"
delusion,"n. 迷惑, 欺瞒, 错觉
"
boon,n. 恩惠
skint,"a. 身无分文的, 穷光蛋的"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
council flat,[英国英语]公营公寓
on a budget,节省费用
foodie,n. 美食家
burn out,"烧坏, 烧掉, 烧尽
"
validation,"n. 批准, 确认
"
barely,adv. 几乎不
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
ingredient,"n. 成分, 因素
"
template,"n. 样板, 模板, 垫木
"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
option,"n. 选择权, 挑选, 选项
"
quantity,"n. 量, 数量, 总量
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
anonymity,"n. 匿名, 姓氏不明
"
embarrassment,"n. 困难, 阻碍, 困窘
"
shin,"n. 胫骨
v. 攀, 爬"
bacon,"n. 熏猪肉
"
come in handy,派得上用场
properly,"adv. 适当地, 相当地"
rasher,n. 熏肉薄片
chiller,"n. 惊险小说, 冰箱内的食物冷冻格, 脱蜡冷冻结晶器, 冷却装置, 冷冻工人
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
eliminate,"vt. 除去, 排除, 剔除, 消除"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
leftover,"n. 剩货, 残留物, 剩饭
a. 残余的"
wastage,"n. 浪费, 浪费量, 废物
"
frugal,"a. 节俭的, 朴素的"
deli,n. 熟食店；熟食品（等于delicatessen）
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
carcass,"n. 尸体
"
butcher,"n. 屠夫, 肉商, 小贩
vt. 屠宰, 屠杀"
knuckle,"n. 指节, 蹄爪, 膝关节
v. 以指节打, 以手指射"
stew,"n. 炖, 烦恼, 热浴, 妓院, 鱼塘
vi. 炖, 焖, 忧虑
vt. 炖, 焖, 使焦虑"
eat out,"上馆子吃饭, 锈坏, 过度消耗(牧草等), 责骂"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
penny,"n. 便士, 一分, 小钱, 点滴
"
set lunch,无
decade,"n. 十年, 十"
prosperity,"n. 繁荣, 茂盛, 成功
"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
immediately,"adv. 直接地, 立刻, 立即"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
bureau,"n. 局, 办公处
"
common sense,常识
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
combination,"n. 组合, 合并, 联合
"
efficient,"a. 有效率的, 能干的"
stylish,"a. 现代风格的, 流行的, 潇洒的"
belief,"n. 信念, 相信, 信仰"
restraint,"n. 抑制, 克制, 束缚
"
confidence,"n. 信心
"
positively,"adv. 明确地, 肯定地, 无疑地, (非正式)确实地, 真正地"
stimulus,"n. 刺激, 激励, 刺激品
"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
architect,"n. 建筑师, 设计者, 缔造者"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
emigrate,"v. (使)移居, (使)移民"
exert,"vt. 发挥, 运用, 施以影响
"
school,"n. 学校, 鱼群, 门派, 学派
vt. 教育, 训练, 培养
vi. 成群地游"
architecture,"n. 建筑学, 建筑式样
"
enormous,"a. 巨大的, 庞大的"
signature phrase,无
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
derive,"vt. 得自
vi. 起源"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
laminated,"a. 用薄片层压制成, 切成薄片, 把...分成薄片, 由薄片迭成/覆盖的, 层压板
"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
sophisticated,"a. 复杂的, 久经世故的
"
presentation,"n. 赠与, 描述, 介绍
"
decoration,"n. 装饰, 装饰品"
elegance,"n. 高雅, 典雅, 优雅"
abundance,"n. 丰富, 充足, 大量
"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
elegant,"a. 优雅的, 端庄的, 高雅的"
airy,"a. 空气的, 空中的, 通风的, 幻想的, 轻快的"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
architectural,"a. 有关建筑的, 建筑学的"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
afford,"vt. 买得起, 足以, 给予"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
story,"n. 故事, 小说, 传奇, 描述, 阅历, 经历, 层"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
aesthetic,"a. 美学的, 审美的, 有美感的"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
mispredict,[网络] 误预测
mechanical,"a. 机械的, 机械性的, 力学的
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
desirable,"a. 令人想望的, 可取的"
talented,"a. 天资高的, 有才能的"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
acquire,"vt. 获得, 学到
"
self-sufficiency, 自给自足
inevitable,"a. 不可避免的, 必然的
"
foremost,"a. 最初的, 最重要的
adv. 在最前"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
tip,"n. 顶, 尖端, 梢, 末端, 倾斜, 垃圾场, 小费, 轻击, 指点, 秘密消息
vt. 装顶端, 使倾斜, 使翻倒, 泄露, 告诫, 暗示, 给...小费, 轻击
vi. 倾斜, 翻倒, 倾覆, 踮脚走, 给小费
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
anticapitalist,a. & n.反对资本主义的( 人)
chef,n. 厨师
abolish,"vt. 废止, 革除, 消灭
"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
committed,"a. 献身于某种事业的
"
explore,"v. 探险, 探测, 探究"
make sense,有意义
tempting,"a. 诱惑人的, 吸引人的"
rational,"a. 理性的, 合理的
n. 有理数"
applicability,"n. 适用性, 应用性
"
stick with, 继续做; 跟着…; 插满
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
apparently,"adv. 表面上, 清楚地, 显然地"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
assessment,"n. 评估, 估定, 评定的款额
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
amount,"n. 总数, 总额
vi. 总计, 等同"
weakly,"a. 弱的, 虚弱的
adv. 微弱地, 虚弱地"
response,"n. 反应, 回答, 响应
"
lightly,"adv. 轻轻地, 少许, 不费力地"
conversation,"n. 会话, 说话, 交谈
"
refill,"n. 再注满, 替换物
vt. 再将...注满
vi. 被再注满"
server,"n. 服伺者, 上菜用具, 发球员
n. 服务器
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
indicate,"vt. 显示, 象征, 指示, 指出
"
invitation,"n. 邀请, 请柬, 引诱
"
professional,"n. 专业人才
a. 专业的, 职业的"
upselling,[网络] 销售；向上销售；第一节向上销售
cocktail,"n. 鸡尾酒, 开味品
a. 鸡尾酒会的"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
unrecognized,"a. 未被认出的, 未被认定的, 未被承认的"
in addition,另外
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
greasy spoon," <美俚>（供应廉价食物, 卫生条件差的）下等餐馆"
outcome,"n. 结果, 出口"
imported,"vt. 输入, 进口（import的过去式与过去分词形式）"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
low-key,[电] 暗键
tip pooling,无
fine-dining,[网络] 精致餐饮；精致美食；精致料理
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
connection,"n. 连接, 关系, 前后关系
"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
unfaithfulness,n. 不忠实；不信守婚誓
distrust,"n. 不信任
vt. 不信任"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
in truth,"事实上, 的确"
protection,"n. 保护, 防卫, 贸易保护制度
"
divorce,"n. 离婚
vt. 与...离婚"
regardless of,"不注意, 不关心"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
permanency,"n. 永久的职位
"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
savvy,"v. 理解, 领悟
n. 理解能力, 机智, 悟性"
hardship,"n. 艰难, 辛苦, 苦难
"
extremely,"adv. 极端地, 非常地"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
unique,"a. 独一无二的, 独特的, 稀罕的"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
protective,"a. 给予保护的, 保护的
"
bank,"n. 银行, 堤, 岸
"
incredible,a. 难以置信的
earnings,"n. 所赚的钱, 工资, 收入
"
nest egg,"n. 养老金, 储备金; 留窝鸡蛋"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
guarded,"a. 被防护着的, 被监视着的, 警戒着的"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
sting,"n. 叮, 刺痛, 刺激, 讽刺
vt. 叮, 刺痛, 刺激, 使苦恼
vi. 叮, 刺痛"
confess,"v. 承认, 坦白, 忏悔, 供认"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
protect,"vt. 防卫, 保护, 警戒
"
suspicious,"a. 可疑的, 多疑的, 怀疑的
"
reassure,"vt. 使...安心, 向...再保证
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
sensible,"a. 有感觉的, 敏感的, 明智的
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
gender,"n. 性
vt. 产生"
in particular,特别
senior,"n. 年长者, 资深者, 毕业班学生
a. 年长的, 高级的, 资深的"
overwhelmingly,"adv. 压倒性地, 不可抵抗地"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
equality,"n. 平等, 均匀, 相等
"
corporate,"a. 社团的, 合伙的, 公司的
"
governance,"n. 统治, 统辖, 管理
"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
legislation,"n. 立法, 法律
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
frustration,"n. 挫折, 顿挫
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
compel,"vt. 强迫, 迫使"
proportion,"n. 比例, 比率, 均衡, 部分, 面积
vt. 使成比例, 使均衡"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
quota,"n. 配额, 限额
"
glass ceiling,n. 玻璃天花板; 玻璃天花板封顶
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
reluctance,"n. 不情愿, 勉强
"
belief,"n. 信念, 相信, 信仰"
meritocracy,n. 精英领导阶级
run counter to,"违反, 背道而驰"
capable,"a. 有能力的, 能的, 能干的"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
obstacle,"n. 障碍, 妨害物, 阻碍"
temporarily,"adv. 暂时, 一时, 临时"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
promotion,"n. 晋级, 创建, 增进
"
massive,"a. 大而重的, 宽大的, 宏伟的
"
exception,"n. 例外, 除外, 异议
"
appropriate,"a. 适当的
"
newsworthy,a. 有报导价值的
just,"a. 正直的, 合理的, 正确的, 应得的
adv. 刚刚, 正好, 仅仅"
in place,"na. 得其所；适当的
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
consumer,"n. 消费者
"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
in response to,"回答..., 响应..., 对...有反应
"
fundamental,"n. 基本原理, 原则, 基波
a. 基本的, 重要的, 原音的"
figure out,"合计为, 计算出, 明白"
tropical,"a. 热带的, 热情的
"
hygiene,"n. 卫生保健, 卫生学, 保健法
"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
disinfecting,"v. 除去（感染）, 给…消毒( disinfect的现在分词 )"
vitamin,"n. 维生素
"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
pearly,"a. 珍珠似的, 产珍珠的, 用珍珠装饰的, 用珠母装饰的, 珍贵的"
scrub,"n. 用力擦洗, 矮树, 矮人, 渺小之物
vt. 用力擦洗, 擦掉, 摩擦
vi. 擦洗干净, 进行手臂消毒
a. 次等的, 矮小的, 非正规球队的, 临时凑合的"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
cavity,"n. 洞, 空穴, 腔
"
beverage,"n. 饮料
"
primarily,"adv. 主要地, 首先地"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
put on makeup,[网络] 化妆；打扮化妆
sip,"n. 啜饮, 小口喝, 抿
vi. 啜饮
vt. 啜
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
psychologist,"n. 心理学家
"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
viable,"a. 能养活的, 能生长发育的
"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
controversy,"n. 论争, 辩论, 论战, 争论
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
questionable,"a. 可疑的
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
erupt,"vi. 爆发
vt. 喷出"
indissoluble,"a. 不能溶解的, 不能分解的, 坚固的"
spectator,"n. 观众, 目击者, 旁观者"
paradise,"n. 天堂, 乐园, 伊甸园"
priority,"n. 优先权, 优先
"
professional,"n. 专业人才
a. 专业的, 职业的"
readjust,"vt. 重新调整, 再调整
"
adapt,"vt. 使适应, 改编
vi. 适应"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
audience,"n. 听众, 观众, 读者
"
structure,"n. 结构, 构造, 建筑物
vt. 构成, 组织"
reality,"n. 实在, 事实, 实体, 逼真
"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
conventional,"a. 传统的, 习惯的, 约定的
"
review,"n. 检讨, 复习, 回顾, 检阅, 评论
vt. 温习, 检讨, 评论, 再检察, 复审
vi. 复习功课, 写评论"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
supporter,"n. 支持者, 后盾, 迫随者, 护身织物
"
consumer,"n. 消费者
"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
gigantic,"a. 巨人般的, 巨大的"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
bench,"n. 长椅子
"
batter,"v. 连续猛打（尤其指妇女），猛击
n. 面糊（食物），击球员，打击手"
at one's disposal,[法] 自由处置
replay,"vt. 重新比赛, 重演
n. 重赛"
foresee,"vt. 预见, 预知"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
option,"n. 选择权, 挑选, 选项
"
largely,"adv. 大量地, 很多地, 大半地"
conservative,"a. 保守的, 守旧的, 有保存力的
"
expansion,"n. 扩充, 开展, 膨胀
"
survive,"vt. 比...活得长, 生存, 生还, 幸免于
vi. 活下来, 幸存"
evidence,"n. 根据, 证据, 迹象
"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
ensure,"vt. 确定, 保证, 担保, 保护
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
argument,"n. 争论, 论证, 论据, 自变量
"
ceiling,"n. 天花板
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
event,"n. 事件, 结果, 事情的进程, 竞赛项目
"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
recreational,"a. 消遣的, 娱乐的"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
take over,"na. 接管；继承
"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
moreover,"adv. 而且, 此外"
romantic,"a. 浪漫的, 风流的, 传奇性的, 夸大的, 空想的, 浪漫派的"
hold sb. down,"na. 压制；牵制；阻止；压低(物价等)
"
inopportune,"a. 不合时机的, 不巧的"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
relationship,"n. 关系, 关联
"
mourning,"n. 哀痛, 居丧, 举哀, 哀悼, 丧服, 戴孝"
furthermore,"adv. 此外, 而且"
eventually,"adv. 最后, 终于"
press,"n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫
vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼
vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
opportunity,"n. 机会, 时机"
harmful,"a. 有害的, 伤害的"
reaction,"n. 反应, 反作用, 反动
"
inner,"a. 内部的, 内心的
n. 内部"
exaggerate,"v. 夸大, 夸张"
misunderstand,"vt. 误解, 误会"
luxuriant,"a. 繁茂的, 丰富的, 肥沃的, 华丽的
"
imagination,"n. 想像, 听觉, 想像力
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
barrier,"n. 障碍, 栅栏
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
weigh sb. down,"na. 使负重担；压迫
"
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
circumstance,"n. 环境, 状况, 事件"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
happiness,"n. 快乐, 幸运, 适当"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
guilt,"n. 罪行, 内疚
"
possibility,"n. 可能性, 可能的事
"
mindset,n. 心态；倾向；习惯；精神状态
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
complain,"v. 抱怨, 抗议, 控诉"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
isolated,"a. 孤立的, 孤零零的
"
keep in mind,"na. 记在心里；记住；注意
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
companionship,"n. 交往, 友谊, 一群同伴"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
community,"n. 社区, 公众, 共有, 共同体
"
encouragement,"n. 鼓励, 激励, 奖励
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
