barbecue,"n. 烤肉
vt. 烤肉, 烧烤"
cake,"n. 蛋糕, 块, 饼
vt. 使结块, 加块状物于
vi. 结块"
omelette,"n. 煎蛋卷, 炒蛋"
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
grill,"n. 烤架, 铁格子, 烤肉
v. 烧, 烤, 严加盘问, 给...装栅栏"
boil,"n. 煮沸, 沸腾, 疖
v. 煮沸, 激动"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
fried,a. 油炸的
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
thirsty,"a. 口渴的, 渴望的, 干燥的"
grilled,"a. 烤的, 炙过的, 有格子的"
cleaner,"n. 清洁工人, 清洁剂, 干洗商
"
customer,"n. 消费者
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
painter,"n. 画家, 油漆匠
"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
photographer,"n. 摄影师, 摄影者"
actor,"n. 男演员, 行动者
"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
artist,"n. 艺术家, 画家"
chemist,"n. 化学家, 药剂师
"
dentist,"n. 牙科医生
"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
receptionist,n. 接待员
colleague,"n. 同事, 同僚"
guest,"n. 客人, 来宾, 旅客
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
mechanic,"n. 机械工, 技工
a. 手工的"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
secretary,"n. 秘书, 书记, 大臣
"
shop assistant,n. 店员
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
tour guide,"旅游向导,导游"
businessman,"n. 商人, 实业家, 工商业家"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
computer,"n. 电脑, 电子计算机
"
diploma,"n. 文凭, 毕业证书
"
earn,"vt. 赚得, 获得, 博得
"
instruction,"n. 指令, 教导, 命令
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
pharmacy,"n. 药房, 配药学, 制药业
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
appointment,"n. 约会, 委任的职位, 委派
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
exhibition,"n. 表现, 展览会, 展览品
"
morning,"n. 早晨, 早上, 初期"
afternoon,"n. 午后, 下午"
evening,"n. 傍晚, 晚间, 末期"
January,n. 一月
February,n. 二月
March,abbr. Master of Architecture 建筑学硕士
April,n. 四月
May,"n. 五月
aux. 愿能, 可以, 愿意"
June,n. 六月
July,n. 七月
August,"n. 八月
a. 威严的, 令人敬畏的"
September,n. 九月
October,n. 十月
November,n. 十一月
December,n. 十二月
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
summer,"n. 夏季, 全盛时期
vi. 避暑, 过夏天
"
autumn,"n. 秋天, 成熟期"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
winter,"n. 冬季, 萧条期, 衰退期
a. 冬天的
vt. 使度过冬天
vi. 过冬"
Sunday,太阳日(太阳能动力鼓吹者选定的每年5月的一天，宣传大力研究和利用太阳能)
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
noon,"n. 正午, 中午, 全盛期"
night,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作
"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
weekend,"n. 周末, 周末休假"
heart attack,心脏病发作
cancer,"n. 癌, 恶性肿瘤
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
dentist,"n. 牙科医生
"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
problem,"n. 问题, 难题
a. 成问题的, 难处理的"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
ambulance,"n. 救护车
"
appointment,"n. 约会, 委任的职位, 委派
"
chemist,"n. 化学家, 药剂师
"
comb,"n. 头梳, 鸡冠
vt. 梳头发, 梳毛
vi. (浪)涌起"
hospital,"n. 医院
"
insurance,"n. 保险, 保险业, 保险费
"
soap,"n. 肥皂, 阿谀
vt. 以肥皂洗, 阿谀
"
toothbrush,n. 牙刷
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
burn,"vt. 烧, 烧毁, 烧伤
vi. 燃烧, 发热, 烧毁
n. 烧伤, 烙印"
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
lie down,躺下
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
dangerous,"a. 危险的
"
brother,n. 兄弟
child,"n. 孩子, 产物, 追随者
"
cousin,"n. 堂兄弟姊妹, 表兄弟姊妹
"
daughter,"n. 女儿
a. 女儿的"
family,"n. 家庭, 家人, 族
a. 家庭的"
grandchild,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
granddaughter,"n. 孙女, 外孙女"
grandfather,"n. 祖父, 始祖
"
grandmother,"n. 祖母, 女祖先"
grandparent,n. 祖父母
grandson,"n. 孙子, 外孙"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
mother,"n. 母亲, 修女院长
vt. 产生, 照看, 收养"
dad,"n. 爸爸, 爹爹"
mum,"n. 菊花, 沉默
a. 沉默的
vi. 演哑剧
interj. 别说话"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
married,"a. 已婚的, 婚姻的
"
Mr.,"abbr. （用于男子的姓氏或姓名前）先生；（用于称呼要员）先生
"
Mrs.,n. 先生
Ms.,"abbr. 多发性硬化
n. “M”的复数
"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
pen-friend,n. 笔友
surname,"n. 姓, 别号, 绰号
vt. 呼以姓氏, 起绰号"
teenager,n. 十三岁到十九岁的少年
guest,"n. 客人, 来宾, 旅客
"
colleague,"n. 同事, 同僚"
friend,"n. 朋友, 支持者, 赞助者
"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
wife,"n. 妻子, 太太, 夫人
"
advertisement,"n. 广告, 启事, 广告宣传
"
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
competition,"n. 竞争, 竞赛
"
concert,"n. 音乐会, 和声, 一致
vt. 协力, 协调
vi. 协力
"
conversation,"n. 会话, 说话, 交谈
"
drum,"n. 鼓, 鼓声
vi. 击鼓, 作鼓声
vt. 打鼓奏出
"
exhibition,"n. 表现, 展览会, 展览品
"
email,n. 电子信函
guidebook,"n. 指南, 手册, 要览"
guitar,n. 吉他
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
internet,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
mobile phone, 移动电话
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
museum,n. 博物馆
opera,n. 歌剧
painter,"n. 画家, 油漆匠
"
photography,"n. 摄影, 摄影术
"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
website,n. 网站（全球资讯网的主机站）
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
bookshop,n. 书店
cash,"n. 现金
vt. 兑现"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
cheque,n. 支票
customer,"n. 消费者
"
department store,"百货公司
"
dollar,"n. 美元, 元(加、澳等国货币单位)
"
Euro,n. 欧元（欧盟的统一货币单位）
for sale,"待售
"
pay for,付...款
pence,"pl. (非正式)copper便士, (美)分, 分币"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
closed,"a. 关闭的, 限于少数人的
"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
penny,"n. 便士, 一分, 小钱, 点滴
"
pence,"pl. (非正式)copper便士, (美)分, 分币"
pennies,"pl. (非正式)copper便士, (美)分, 分币"
pound,"n. 磅, 英镑, 重击, 鱼塘, 拘留所, 兽栏
vt. 强烈打击, 捣烂, 监禁, 关入栏内
vi. 连续重击, 苦干"
shop assistant,n. 店员
supermarket,"n. 超级市场
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
credit card,
price,"n. 价格, 代价, 价值
vt. 定...的价格"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
wallet,"n. 皮夹
"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
bathroom,"n. 浴室, 厕所"
bedroom,n. 卧室
blanket,"n. 毛毯, 毯子
vt. 掩盖, 覆盖
a. 总共的"
bookshelf,n. 书架
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
cupboard,"n. 食橱, 碗柜, 餐具柜"
dining room,饭厅
downstairs,"n. 楼下
a. 楼下的
adv. 在楼下"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
furniture,"n. 家具, 帆具"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
hall,"n. 门厅, 走廊, 会堂"
kitchen,"n. 厨房, 全套炊具
"
living room,"客厅, 起居室"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
roof,"n. 屋顶, 室顶
vt. 给...盖屋顶, 遮蔽"
shower,"n. 阵雨, 淋浴, 一阵, 展出者, 显示者
vi. 淋浴, 下阵雨
vt. 淋湿, 倾注"
sitting room,起居室
sofa,n. 沙发
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
black,"n. 黑色, 黑颜料
a. 黑色的"
blue,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
brown,"n. 褐色
a. 褐色的
v. (使)变褐色"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
orange,"n. 柑橘, 桔子, 橘色
a. 橘色的"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
red,"a. 红的, 红色的, 红肿的, 流血的
n. 红色, 红颜料, 赤字
"
white,"n. 白色, 洁白, 眼白, 白种人, 蛋白
a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的"
yellow,"n. 黄色
a. 黄色的"
blonde,"a. (头发)亚麻色的, 淡色的, 白肤金发碧眼的, 白里透红的, 白皙的, 淡黄色的
n. 肤色白皙的金发女人"
centimeter,"n. 厘米
"
degree,"n. 程度, 度数, 学位, 度
"
gram,"n. 克, 绿豆, 鹰嘴豆
"
gramme,"n. 克
"
kilo,"n. 千
"
kilometre,"n. 公里, 千米"
litre,"n. 升, 公升
"
mile,"n. 英里, 很大距离
"
minute,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
moment,"n. 片刻, 瞬间, 重要, 阶段, 力矩
"
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
second,"n. 秒, 瞬间, 第二名, 支持者, 助手
a. 第二的, 其次的, 次要的, 附加的, 辅助的
num. 第二
vt. 当...助手, 支持"
temperature,"n. 温度, 发烧, 热度
"
week,"n. 星期, 周"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
diploma,"n. 文凭, 毕业证书
"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
insurance,"n. 保险, 保险业, 保险费
"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
menu,"n. 菜单, (功能)选择单
"
message,"n. 消息, 通讯, 讯息, 教训, 预言, 广告词
vt. 通知
vi. 通报, 报告, 报信
"
newspaper,n. 报纸
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
passport,"n. 护照, 手段, 通行证
"
postcard,n. 明信片
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
afterwards,"adv. 然后, 后来"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
belt,"n. 带子, 地带
"
blouse,n. 宽松的上衣
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
clothes,n. 衣服
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
glasses,n. 眼镜；双筒望远镜；玻璃（glass的复数形式）
hat,"n. 帽子
vt. 给...戴帽子"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
raincoat,n. 雨衣
shirt,"n. 衬衫, 内衣, 汗衫"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
shorts,"n. 短裤, (美)男人的短衬裤
"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
suit,"n. 套装, 诉讼, 请求, 起诉, 套, 组
vt. 适合, 使适应
vi. 合适, 相称"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
tights,n. 紧身衣裤
trainers,n. 训练员；运动鞋；练习器（trainer的复数）
trousers,"pl. 裤子, 长裤"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
T-shirt,"短袖运动衫,短袖汗衫"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
wallet,"n. 皮夹
"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
jeans,"n. 工装裤, 牛仔裤"
apartment,"n. 房间, 公寓"
bank,"n. 银行, 堤, 岸
"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
bookshop,n. 书店
building,"n. 建筑物, 建筑
"
bus station,n. 公交车站
café,无
campsite,n. 营地
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
cathedral,n. 大教堂
centre,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
cinema,"n. 电影院, 电影"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
city,"n. 城市, 市
"
college,"n. 学院, 大学, 学会"
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
department store,"百货公司
"
disco,"n. 夜总会, 迪斯科, 的士高"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
exhibition,"n. 表现, 展览会, 展览品
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
factory,"n. 工厂, 产生地, 代理店
"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
flat,"a. 平坦的, 单调的, 无力的, 浅的, 萧条的, 干脆的, 无聊的
adv. 平直地, 断然地
n. 扁平物, 平面, 平地, 平原, 平板车
v. (使)变平"
guesthouse,"n. 宾馆, 高级寄宿舍, 招待所"
hospital,"n. 医院
"
hotel,"n. 旅馆, 客栈"
library,"n. 图书馆, 藏书, 库
"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
market,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
museum,n. 博物馆
newsagent,n. 报刊经销商
post office,"邮局
"
restaurant,"n. 餐馆, 饭店"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
sports centre," 体育运动中心, 运动场"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
stadium,"n. 露天大型运动场
"
supermarket,"n. 超级市场
"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
tourist information centre,无
travel agency,"旅行社
"
village,"n. 村庄
a. 乡村的, 村庄的"
zoo,n. 动物园
poster,"n. 海报, 招贴, 驿马"
baseball,"n. 棒球
"
basketball,n. 篮球
football,"n. 足球, 橄榄球"
volleyball,n. 排球
golf,"n. 高尔夫球
vi. 打高尔夫球"
hockey,"n. 冰球, 曲棍球"
riding,"n. 骑, 乘车, 乘, 骑术, 骑马"
sailing,"n. 航行, 航海术, 启航
a. 航行的"
skiing,"n. 滑雪运动, 滑雪术"
swimming,"n. 游泳, 眩晕"
table tennis,乒乓球
sports centre," 体育运动中心, 运动场"
stadium,"n. 露天大型运动场
"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
competition,"n. 竞争, 竞赛
"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
race,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根
vi. 赛跑, 竞赛, 疾走
vt. 与...赛跑, 使疾走, 使猛转
"
team,"n. 队, 组
vt. 把马(牛)套在同一辆车上, 把...编成一组
vi. 驾驶卡车, 协作"
winner,"n. 胜利者, 优胜者
"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
trainer,"n. 训练员, 驯马师
"
hobby,"n. 嗜好, 癖好, 爱好"
holiday,"n. 假日, 假期, 节日
vi. 度假"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
newspaper,n. 报纸
beach,n. 海滩
bicycle,n. 自行车
bike,"n. 自行车, 脚踏车"
boat,"n. 船
vi. 乘船
vt. 以船运"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
member,"n. 成员, 会员
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
tent,"n. 帐篷, 帷幕, 住处, 塞条, 塞子
vi. 住帐蓬, 宿营, 暂时居住
vt. 用帐篷遮盖, 使住帐篷, 用塞条嵌入"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
campsite,n. 营地
