rubbish,"n. 废物, 垃圾, 胡说"
own,"n. 自己的
a. 自己的, 嫡亲的, 同胞的
vt. 拥有, 支配, 自认, 承认, 顺从于
vi. 承认, 供认"
railway,"n. 铁路, 轨道
"
part,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位
vt. 分开, 分离, 断绝, 区别, 分配
vi. 分开, 断裂, 分手
a. 部分的, 局部的
adv. 部分地, 有些"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
certain,"a. 确定的, 某一个的, 必然的
"
as for,至于
honest,"a. 诚实的, 坦直的, 可靠的"
to be honest,"老实说,说实在的"
while,"n. 一会儿, (一段)时间
conj. 当...的时候, 虽然
vt. 消磨"
truthful,"a. 说真话的, 诚实的, 真实的, 如实的
"
hometown,"n. 故乡, 家乡"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
search,"n. 搜寻, 查究
v. 搜寻, 搜查, 探求, 调查, 搜索
"
among,prep. 在...之中
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
regard,"n. 关心, 注意, 尊敬, 关系, 问候
vt. 视为, 注意, 考虑, 和...有关, 看待
vi. 注视, 注意"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
century,"n. 世纪, 百年"
according,"a. 相符的, 根据...而定的
adv. 相应地"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
especially,"adv. 尤其, 特别, 格外"
childhood,"n. 孩童时期
"
consider,"v. 考虑, 思考, 认为"
close to,"接近于, 靠近于"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
