cent,"n. 分
"
mince,"n. 切碎物
vt. 切碎, 矫揉做作地说
vi. 碎步走, 装腔作势"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
minimize,"vt. 将...减到最少
vt. 最小化
vi. 最小化
"
diminish,"v. (使)减少, (使)变小"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
minify,"vt. 使变小, 使缩小, 使降低
"
creative,"a. 有创造力的, 创作的, 产生的"
create,"vt. 创造, 建造, 引起, 任命"
creature,"n. 人, 动物, 创造物, 生物"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
decrease,"n. 减少, 减少量
v. 减少"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
crescent,"n. 新月, 新月形(物)
a. 新月形的, 逐渐增加的"
procreate,"vt. 生, 生殖, 产生
vi. 生殖"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
sum,"n. 总数, 总和, 金额, 概要, 顶点
vt. 总计, 概括
vi. 合计
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
summarize,"v. 概述, 总结"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
public,"n. 公众, 民众
a. 公众的, 公共的, 公立的, 公用的"
population,"n. 人口, 人口数
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
publication,"n. 出版物, 出版, 公布
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
popularity,"n. 名声, 受大众欢迎, 流行"
popularize,"vt. 使成通俗性, 使平易, 使普及
vi. 通俗化"
publicize,vt. 宣传
publicity,"n. 名声, 宣传, 公开场合
"
populous,"a. 人口多的, 人口稠密的"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
remodel,"vt. 改造, 改型, 改变"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
commodity,"n. 农产品, 商品, 有用的物品
"
outmoded,"a. 过时的, 废弃的
"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
type,"n. 类型, 样式, 典型, 榜样, 标志, 符号, 型, 式
vi. 打字
vt. 作为代表, 测定类型, 用打字机打
"
typewriter,n. 打字机
typical,"a. 典型的, 象征性的
"
prototype,"n. 原型
"
typify,"vt. 代表, 象征, 为...之典型"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
arrange,"v. 安排, 排列, 达成协议
"
arrangement,"n. 排列, 整齐, 安排
"
disarrange,"vt. 扰乱, 搅乱, 弄乱"
rearrange,"vt. 再排列, 重新整理
"
misarrange,"vt. 排错, 作不适当安排"
derange,"vt. 扰乱, 使发狂"
setting,"n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具
"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
settle,"n. 有背长椅
vt. 决定, 整理, 安放, 使定居, 使平静, 支付, 安排, 解决, 结算
vi. 停留, 下陷, 沉淀, 澄清, 安下心来, 结清, 定居, 安家"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
reset,"n. 重新设定, 重新组合, 重排版
vt. 重新设定, 重置, 重新组合
vi. 重置, 清零
"
preset,"vt. 事先调整
n. 预调装置
"
inset,"vt. 嵌入
n. 插入物, 插页, 插图"
unsettle,"vt. 使移动, 搅乱, 使动摇, 使不安宁
vi. 动荡不定, 离开固定位置"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
proposal,"n. 提议, 计划, 求婚
"
suppose,"vt. 推想, 假设, 以为, 想像, 假定
vi. 料想"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
positive,"a. 肯定的, 积极的, 有把握的
"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
composition,"n. 作文, 创作, 组成
"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
discompose,"vt. 使不安, 使烦乱, 使烦恼"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
media,"n. 媒体
"
middle,"n. 中央, 中间, 腰部
a. 中央的, 中庸的, 中间的"
midday,"n. 正午, 中午
a. 正午的"
midnight,"n. 午夜, 子夜, 半夜
a. 午夜的, 半夜的"
midsummer,"n. 仲夏, 夏至期
a. 仲夏的"
midway,"n. 中途, 中间, 娱乐场
a. 中途的, 中间的
adv. 中途"
immediate,"a. 立即的, 直接的, 接近的
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
midfield,"n. 球场中央部分
a. 中场的"
mediation,"n. 调停, 调解, 中介
"
midst,"n. 中间
prep. 在...中间"
mediator,"n. 调停者, 传递者, 基督
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
meddle,"vi. 干涉, 干预, 擅自摸弄
"
midterm,"a. 中期的
n. 期中考试"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
localism,"n. 有地方色彩, 土话, 方言, 地方主义
"
relocate,"vt. 重新安置, 再配置, 放在新地方
"
locate,"vt. 找出, 设于, 位于
vi. 定居"
allocate,"vt. 分派, 分配
"
locality,"n. 地方, 所在, 位置
"
collocate,"vt. 布置, 使成搭配, 排列"
dislocate,"vt. 脱臼, 弄乱"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
determine,"v. 决定, 决心"
determined,"a. 坚决的, 已下决心的"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
termination,"n. 终止, 结束, 结果, 词尾
"
exterminate,"vt. 扑灭, 消灭, 根绝"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
formula,"n. 客套语, 公式, 准则
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
reform,"n. 改革, 改正, 改造
vt. 改革, 改过, 革新, 重整
vi. 革新, 改过"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
uniform,"n. 制服
a. 统一的, 一律的, 始终如一的"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
informative,"a. 提供消息的, 见闻广博的"
formation,"n. 形成, 构造, 编队
"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
formalism,"n. 拘泥形式, 形式主义
"
deform,"vt. 使残缺, 使变形
vi. 变形"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
ideological,"a. 意识形态的, 空想的
"
idealism,"n. 唯心主义, 观念论, 唯心论, 理想主义"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
ideograph,n. 表意文字
computer,"n. 电脑, 电子计算机
"
dispute,"n. 争论
v. 争论"
reputation,"n. 名誉, 名声, 声望
"
repute,"n. 名望, 名气, 声望
vt. 认为, 以为"
disrepute,"n. 丧失名誉, 坏名声, 不名誉"
compute,"v. 计算, 估算
n. 计算, 估算"
impute,"vt. 归罪, 使负责, 嫁祸于"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
conquest,"n. 战胜, 征服, 战利品
"
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
acquire,"vt. 获得, 学到
"
inquire,"v. 询问, 问明, 查究"
require,"vt. 需要, 命令, 要求
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
acquirement,"n. 取得, 得到, 获得, 学到的东西
"
inquest,"n. 审讯, 讯问, 验尸
"
inquisition,"n. 调查, 探究, 审理, 宗教裁判所
"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
acquired,"a. 获得的, 后天的
"
sense,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智
vt. 感觉, 觉察, 检测
"
sensible,"a. 有感觉的, 敏感的, 明智的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
sentiment,"n. 感情, 感伤, 情操, 情绪, 感想, 意见
"
resentment,"n. 怨恨, 愤恨"
resent,"vt. 愤恨, 憎恶, 怨恨"
sensory,"a. 知觉的, 感觉的, 传递感觉的
"
sensibility,"n. 感性, 感觉, 情感
"
assent,"n. 赞成
vi. 同意"
consentient,"a. 同意的, 无异议的, 一致同意的"
dissent,"n. 异议
vi. 持异议, 不同意"
sentimental,"a. 感伤的, 感情用事的"
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
declare,"v. 宣布, 声明, 申报, 断言"
declaration,"n. 宣告, 说明, 宣布
"
clearance,"n. 清除, 间隙
"
clarity,"n. 清楚, 明晰
"
clearing,"n. 清扫, 空地, 票据清算
"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
donor,"n. 捐赠人
"
donate,v. 捐赠
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
tradition,"n. 传说, 传统, 交付
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
acting,"n. 演戏, 装腔作势
a. 代理的, 演出用的, 起作用的"
react,"vi. 起反应, 起作用, 反攻
"
activity,"n. 活动, 行动, 活跃, 活力
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
transact,"vt. 办理, 处理
vi. 作交易, 谈判"
counteract,"vt. 抵消, 阻碍, 中和
"
enact,"vt. 制定法律, 扮演, 颁布
"
inactivity,"n. 不活动, 不活泼, 休止状态
"
actualize,"vt. 实行, 使现实化"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
agile,"a. 敏捷的, 灵活的, 机敏的"
agility,"n. 敏捷, 灵活, 机敏"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
fiction,"n. 小说, 虚构故事
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
facility,"n. 容易, 灵巧, 设备
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
infect,"vt. 传染, 感染
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
feasible,"a. 能实行的, 可行的, 适宜的
"
defect,"n. 缺点
"
efficient,"a. 有效率的, 能干的"
infectious,"a. 有传染性的, 易传染的
"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
defection,"n. 背叛, 缺乏, 毛病
"
facile,"a. 容易的, 灵巧的, 温和的"
facilitate,"vt. 使容易, 促进, 帮助
"
suffice,"vi. 足够, 有能力
vt. 满足"
emotion,"n. 情绪, 激动, 强烈的情感
"
automobile,"n. 汽车
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
promote,"vt. 促进, 晋升, 创办, 推销
"
promotion,"n. 晋级, 创建, 增进
"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
mobster,"n. 犯罪集团成员
"
immobile,"a. 不动的, 不变的, 固定的, 静止的"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
operate,"v. 操作, 运转, 动手术, 活动"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
cooperate,"vi. 合作, 协力, 配合
"
cooperation,"n. 合作, 协力, 配合
"
operable,"a. 可操作的, 可实施的, 可手术治疗的
"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
treatment,"n. 治疗, 待遇, 处理
"
treaty,"n. 条约, 谈判
"
retreat,"n. 休息寓所, 撤退, 隐居, 退避
vi. 撤退, 隐退, 向后倾
vt. 退(棋)"
maltreat,"vt. 虐待, 滥用
"
entreat,"v. 恳求, 乞求"
emission,"n. 发射, 射出, 发行
"
permission,"n. 许可, 允许
"
transmission,"n. 传输, 传送, 变速器
"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
commission,"n. 委任状, 任官令, 所委职责, 佣金, 犯, 委托, 所托之事
vt. 委任, 委托制作, 使服役"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
mission,"n. 任务, 代表团, 使命, 传教团
vt. 派遣, 向...传教"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
submission,"n. 屈服, 服从, 谦恭, 呈递, 提交, 意见
"
emissive,"a. 发射的, 放射性的"
missionary,"n. 传教士, 负有任务者, 工作人员
a. 传教的, 传教士的"
permissive,"a. 许可的, 获准的, 宽容的, 放任的, 放纵的, 允许选择的, 自由的
"
omit,"vt. 省略, 删除, 疏忽, 遗漏
"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
disuse,"n. 不被使用, 废弃
vt. 停止使用, 废止"
usual,"a. 平常的, 通常的"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
utilize,vt. 利用
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
abusive,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的"
able,"a. 能干的, 能够的"
ability,"n. 能力, 才干
"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
debilitate,vt. 使衰弱
habilitate,"vt. 提供周转资金, 给...穿着, 使...具有能力
vi. 取得任职资格"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
effort,"n. 努力, 成就"
enforce,"vt. 强迫, 执行, 坚持
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
solve,"vt. 解决, 付给, 溶解
vt. 求解
vi. 求解
"
resolve,"vi. 决定, 分解, 决心
vt. 使分解, 解析, 解决, 消除, 决心
n. 决定之事, 决心, 坚决"
solution,"n. 解决, 解答, 溶液
"
resolute,"n. 果断的人
a. 坚决的, 刚毅的, 毅然的"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
dissolve,"v. 溶解, 解散"
solvable,"a. 可以解的, 可以解决的
"
absolve,"vt. 宣告...无罪, 赦免, 免除
"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
technical,"a. 技术上的, 专门的, 工业的, 严格根据法律的
"
technician,"n. 技师
"
technique,"n. 技巧, 技术, 方法
"
technology,"n. 技术, 工业技术, 术语
"
polytechnic,"a. 各种工艺的, 工艺教育的
n. 工艺专科学校, 理工专科学校"
praise,"n. 赞美, 称赞, 崇拜
vt. 称赞, 赞美
vi. 赞扬, 表扬"
precious,"a. 宝贵的, 珍贵的, 过于精致的, 珍爱的"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
depreciation,"n. 价值减低, 减价, 跌落, 贬低, 折旧
"
appraisal,"n. 评价, 估价
"
appraise,"vt. 评价, 估价
"
depreciate,"vi. 贬值
vt. 降价, 贬低"
appreciative,"a. 有欣赏力的, 感激的"
appreciable,"a. 可感知的, 可评估的"
lax,"a. 松的, 不严格的, 腹泻的, 松弛的
n. 腹泻, 松元音"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
relaxation,"n. 松弛, 放松, 减轻, 缓和, 休息, 休养
"
lease,"n. 租约, 租期, 租
vt. 出租, 租出, 租得"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
laxity,"n. 松弛, 不检点
"
foundation,"n. 基础, 根据, 建立
"
fundament,"n. 基础, 臀部, 肛门
"
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
unfounded,"a. 没有事实根据的, 没有理由的, 虚幻的, 未建立的
"
profundity,"n. 深度, 深奥, 深刻, 深厚"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
expense,"n. 费用, 代价, 开支, 损失
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
compensate,"v. 偿还, 补偿, 付报酬"
expend,"vt. 花费, 消耗, 用光"
expenditure,"n. 开支, 费用, 用光, 消费额
"
dispensable,"a. 不是必要的, 可有可无的"
dispense,"vt. 分发, 分配
vi. 特许, 豁免"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
deserve,"vt. 该得到, 值得
vi. 应得报答"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
conservation,"n. 保护, 保存
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
observation,"n. 观察, 注意, 观测, 观察力
"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
reserve,"n. 储备品, 贮量, 后备军, 自然保护区, 保留, 拘谨, 节制, 储备金
vt. 保留, 保存, 预订, 延期, 推迟"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
observance,"n. 观察, 遵守, 仪式, 风俗习惯
"
observatory,"n. 天文台, 气象台, 了望台"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
temptation,"n. 诱惑, 诱惑物
"
tempting,"a. 诱惑人的, 吸引人的"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
temptatious,[美]诱惑性的
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
cultivate,"vt. 培养, 耕作"
horticulture,n. 园艺
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
incult,"a. 未开垦的, 未耕种的, 无教养的"
picture,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维
vt. 画, 拍摄, 用图说明, 描写, 想像
"
picturesque,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
depict,"vt. 描述, 描写"
pictorial,"a. 绘画的, 插图的, 用图画表示的, 形象化的, 有象形文字特征的
n. 画报, 画刊, 有图邮票, 插图杂志, 插图报纸"
pictograph,"n. 象形文字, 古代石壁画, 统计图表
"
textile,"n. 纺织品, 纺织业
a. 织的, 纺织的"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
pretext,"n. 借口, 托词
v. 以...为借口"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
approachable,"a. 可接近的, 可亲近的
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
approximation,"n. 接近, 近似值
"
proximity,"n. 接近, 亲近"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initialize,"vt. 预置
"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initially,"adv. 最初, 开头"
initiation,"n. 开始, 指引, 入会
"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
adapt,"vt. 使适应, 改编
vi. 适应"
aptitude,"n. 资质, 才能, 自然倾向
"
adaptable,"a. 能适应的, 适合的, 可修改的"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
inapt,"a. 不适当的, 不熟练的"
intelligence,"n. 智力, 情报, 信息
"
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
"
elegant,"a. 优雅的, 端庄的, 高雅的"
