mutual,"a. 相互的, 共有的
"
cheek,"n. 颊, 厚颜, 脸蛋
"
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
burp,"n. 饱嗝儿, 打嗝
v. 打饱嗝"
reddish,"a. 微红的, 略带红色的"
inevitable,"a. 不可避免的, 必然的
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
enrich,"vt. 使富足, 使肥沃"
metaphorically,"adv. 比喻地, 隐喻地"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
dross,"n. 浮渣, 碎屑, 渣滓
"
imitation,"n. 模仿, 效法, 冒充, 赝品
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
novelty,"n. 新奇, 新鲜, 新奇的事物"
originality,"n. 创意, 新奇, 独创能力, 原始"
artistry,n. 艺术性
by no means,决不
on the contrary,"正相反
"
ethnic,"a. 人种的, 种族的
"
consequently,adv. 所以
memorable,"a. 值得纪念的, 难忘的"
portable,"a. 可携带的, 可搬运的, 可移动的
"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
presentable,"a. 体面的, 可表现的, 可提出的"
discrete,"a. 不连续的, 离散的
"
improvise,"vt. 即席创作, 临时做"
discourage,"vt. 使气馁, 阻碍"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
insurance,"n. 保险, 保险业, 保险费
"
physical,"a. 身体的, 物质的, 自然的, 物理学的, 好色的
n. 体格检查"
alter,v. 改变
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
prairie,"n. 大草原, 草甸"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
irrigation,"n. 灌溉, 冲洗
"
hydroelectric,"a. 水力电气的
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
beneficial,"a. 有益的, 受益的
"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
industrialized,a. 工业化的
pressing,"a. 紧迫的, 迫切的, 热切的
n. 压, 压榨, 冲压件, 唱片"
massive,"a. 大而重的, 宽大的, 宏伟的
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
indifference,"n. 不重视, 无兴趣, 漠不关心
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
cut through,"抄近路走过, 刺穿"
bring about,"na. 造成；带来；【航】(使船)回转
"
suffer from,"忍受, 遭受
"
lack of, 缺乏
urbanization,"n. 都市化
"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
metropolis,"n. 大都市, 重要中心, 首府
"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
dynamism,"n. 物力论, 力本说
"
acquaint,"vt. 使认识, 介绍"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
reception,"n. 接待, 接受, 招待会
"
management,"n. 经营, 支配, 管理
"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
cubicle,"n. 小卧室
"
get acquainted with,开始知道
show ... around,"v. 带…参观
"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
sweltering,"a. 闷热的, 热得难受的, 中暑的"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
necessity,"n. 需要, 必需品, 必然
"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
consultant,"n. 顾问, 征询意见者
"
hash,"n. 剁碎的食物, 杂乱无章的的一大堆, 杂烩, 复述
vt. 切碎, 搞糟"
booming,"a. 急速发展的
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
complain about,抱怨
make ends meet,"量入为出,使收支相抵"
set aside,"na. 搁置；拨出；驳回
"
hash house,经济餐馆
in spite of,不管
depend on,"依靠, 依赖"
statistic,"n. 统计量
a. 统计的, 统计学的"
oversupply,"vt. 过度供给
n. 过多的供应品"
aerospace,"n. 航天空间, 航天技术"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
carpenter,n. 木匠
mechanic,"n. 机械工, 技工
a. 手工的"
plumber,"n. 水管工人
"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
myth,"n. 神话, 虚构的事, 虚构的人"
indoctrinate,"vt. 教训, 教导, 灌输"
enrollment,"n. 登记, 注册, 入伍
"
moblog, 移动博客
combination,"n. 组合, 合并, 联合
"
publish,"vt. 出版, 发行, 公开, 发表, 宣传, 公布
vi. 出版, 发行"
entry,"n. 登录, 条目, 进入, 入口, 报关
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
especially,"adv. 尤其, 特别, 格外"
laptop,[计] 膝上型的
edit,"vt. 编辑, 编校, 修订, 剪辑
"
browser,"n. 吃嫩叶的动物, 浏览书本的人
"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
upload,"[计] 上装, 加载, 储入"
description,"n. 描述, 说明, 种类
"
on the move,"在活动中, 在发展, 活跃"
on a business trip,[网络] 出差；出差旅行；因公出差
happen to do sth., 碰巧做某事
multi-functional,adj. 多功能的
application,"n. 应用, 申请, 志愿书, 应用程序
"
corporation,"n. 公司, 合作, 法人团体
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
cost-effective,
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
connection,"n. 连接, 关系, 前后关系
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
publicly,"adv. 公然地, 以公众名义"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
consumer,"n. 消费者
"
interaction,"n. 交互作用, 交感
"
promotional,a. 增进的
randomly,"adv. 偶然, 胡乱, 无目的, 任意, 随便, 任取, 无规则, 机遇, 胡乱地, 任意地, 随便地
"
automatically,"adv. 自动地, 机械地"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
build up,"树立, 增进, 增大, 堵塞
"
get access to,可以到达；可以使用；有接触(或进入、使用)的机会(或权利)
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
symptom,"n. 症状, 征候, 征兆
"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
alcohol,"n. 酒精, 酒
"
addiction,"n. 入迷, 瘾
"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
craving,"n. 渴望, 热望
"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
inability,"n. 无能, 无力"
equate,"vt. 使相等, 视为平等
vi. 等同"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
allegedly,adv. 依其申述
malnutrition,"n. 营养失调, 营养不良
"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
rarely,"adv. 很少地, 罕有地"
loyalty,"n. 忠贞, 忠诚, 忠实
"
outlet,"n. 出口, 发泄方法, 市场
"
celebration,"n. 庆祝, 庆典"
schedule,"n. 时间表, 一览表, 计划表, 议事日程
vt. 预定, 编制目录, 制...表, 安排"
packed,"a. 充满...的, 满座的, 挤得满满的, 压坚实的, 塞满了...的, 挤满了人的, 拥挤的
"
celebrate,"v. 庆祝, 祝贺, 举行"
have in mind,"na. 记住；铭记不忘；注意
"
apply for,"申请,请求,要求…"
stop by,顺便访问
capacity,"n. 容量, 能力, 才能, 资格
"
creative,"a. 有创造力的, 创作的, 产生的"
productive,"a. 能生产的, 有生产价值的, 多产的
"
authentically,"adv. 可靠地, 真正地"
credible,"a. 可信的, 可靠的
"
trustworthy,"a. 可信赖的
"
genuine,"a. 真正的, 真实的, 诚恳的
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
evaluate,"vt. 评估, 评价, 赋值"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
demolish,"vt. 毁坏, 破坏, 粉碎"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
awe,"n. 敬畏
vt. 使敬畏"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
dignity,"n. 尊严, 高贵
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
committed,"a. 献身于某种事业的
"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
separate ... from ...,"把...和...分开, 把...和...区分开, 使...从...离析"
pretend to do sth.,[网络] 假装做某事；假装干；假装去做某事
come to conclusion,无
go after,"追逐, 追求"
isolate from ...,使与…隔离；使与…分离；使孤立
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
enticing,"a. 引诱的, 迷人的
"
upward,"a. 向上的
adv. 以上"
spiral,"n. 螺旋形之物, 螺线
a. 螺旋形的, 盘旋的
vi. 螺旋形下降, 螺旋形上升, 螺旋形行进
vt. 使螺旋形行进"
transportable,a. 可运输的
bias,"n. 偏见, 斜纹
a. 偏斜的
adv. 偏斜
vt. 使有偏见
"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
troublesome,"a. 麻烦的, 令人讨厌的"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
prohibitively,"adv. 禁止, 起阻止作用, 抑制"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
aged,"a. 老的, 陈的, 有...岁的
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
facility,"n. 容易, 灵巧, 设备
"
nursing home,私人疗养院
a heavy burden,无
care for,"喜欢, 照顾, 为...操心, 尊重"
professional care,[网络] 专业小心；专业的照顾；专业护理
finding,"n. 发现, 发现物, 决定, 裁决
"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
researcher,n. 研究人员
emotion,"n. 情绪, 激动, 强烈的情感
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
sharply,"adv. 锐利地, 严厉地, 厉害地
"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
unemployed,"a. 失业的, 未被利用的
"
well-being,n. 健康; 幸福; 保持良好状态
emotional pattern,无
brain chemistry, 脑化学
psychologically,"adv. 心理上, 从心理学角度"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
absorption,"n. 吸收, 专心, 全神贯注
"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
keen,"a. 锋利的, 敏锐的, 强烈的, 敏捷的, 热心的, 渴望的
n. 挽歌, 痛哭
v. 唱挽歌, 痛哭"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
vigor,"n. 精力, 活力"
vitality,"n. 活力, 生命力
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
infancy,"n. 幼年, 初期, 幼儿期
"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
incapable,"a. 无能力的, 不能的
"
good old days, 过去美好的日子
cling to,"依附, 依靠, 坚持"
be indifferent to,对…漠不关心
owing to,"由于..., 因为..."
in this sense,无
be incapable of,不能
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
unlimited,"a. 无限的, 不受限制的, 无条件的
"
creativity,"n. 创造力, 创造性"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
stable income,无
dreamer,"n. 做梦的人, 梦想者"
doer,"n. 行为者, 实干家
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
organized,"a. 有组织的, 组织起来的"
systematically,"adv. 有系统地, 有组织地, 有条理地"
critically,"adv. 批评性地, 审慎地, 精密地"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
folder,"n. 文件夹, 折纸机, 折叠式书本, 卷宗
"
restructure,"vt. 更改结构, 重建, 调整"
nerd,n. 讨厌的人；呆子
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
take action,"采取行动, 提出诉讼"
file management system,[电] 文件管理系统
berry,"n. 浆果
vi. 采集浆果"
blackberry,"n. 刺, 黑莓
"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
quart,"n. 夸脱
"
slate,"n. 板岩, 页岩, 提名名单, 人选, 记录, 石板
a. 石板色的
vt. 铺石板, 责骂, 痛打"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
develop a habit of ...,无
at the thought of ...,一想起
