enable,"vt. 使能够
"
unbalanced,"a. 不平衡的, 错乱的, 不稳定的, 收支不平衡的
"
counterbalance,"vt. 使平均, 使平衡, 使弥补
n. 平衡量, 平衡力, 势均力敌"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
behalf,"n. 利益, 方面"
beneath,"prep. 在...下方
adv. 在...下方"
benefit,"n. 利益
vt. 有益于
vi. 受益"
beneficial,"a. 有益的, 受益的
"
profit,"n. 利润, 赢利, 利益
vi. 有益, 获利, 赚钱
vt. 有益于"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
profitably,"adv. 有利地, 有益地"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
blunt,"a. 钝的, 坦率的, 麻痹的"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
aboard,"adv. 在船上, 在火车上, 在飞机上
prep. 在...之上"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
broadly,"adv. 宽广地, 明白地, 无礼貌地"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
overburden,"vt. 装载过多, 负担过多, 使过劳
"
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
campus,"n. 校园, 大学生活"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
capable,"a. 有能力的, 能的, 能干的"
incapable,"a. 无能力的, 不能的
"
capability,"n. 能力, 性能, 约束力
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
capitalism,"n. 资本主义
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
captivate,"vt. 迷住, 迷惑"
capacity,"n. 容量, 能力, 才能, 资格
"
capacious,"a. 容积大的, 广阔的, 宽敞的"
escape,"n. 逃亡, 避难设备, 逃跑
vi. 逃脱, 避开, 溜走
vt. 逃避, 避免, 被...忘掉"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participation,"n. 参与, 分享
"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
anticipation,"n. 预期, 预料
"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
ancestor,"n. 祖先, 祖宗"
ancestry,"n. 祖先, 世系, 名门出身"
ancestral,"a. 祖先的, 祖传的
"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
disciplinary,"a. 训练的, 纪律的, 训诫的
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
scare,"n. 惊吓, 恐慌
vt. 惊吓, 使恐慌
vi. 受惊"
scary,"a. 容易受惊的, 胆小的, 提心吊胆的"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
fright,"n. 惊骇, 吃惊
"
frighten,"vt. 使惊吓
vi. 惊恐"
frightened,"a. 受惊吓的, 受惊的, (非正式)害怕...的"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
cherish,"vt. 珍爱, 怀有, 爱护"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
concerning,"prep. 关于
"
curious,"a. 好奇的, 求知的, 古怪的"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
processor,"n. 信息处理机, 加工者, 处理者
"
microprocessor,"n. 微处理器
"
procedure,"n. 程序, 过程, 手续
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
preceding,"a. 在前的, 前面的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
precedented,"a. 有前例的
"
unprecedented,"a. 空前的
"
predecessor,"n. 前任, 先辈, 前身
"
recession,"n. 后退, 凹处, 衰退, 归还
"
recede,"vi. 向后退, 退却, 收回, 降低, 减弱
"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
success,"n. 成功, 成就, 胜利"
successful,"a. 成功的, 一帆风顺的, 顺利的
"
successfully,"adv. 成功, 结果良好, 有成就"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
successive,"a. 继承的, 连续的
"
successor,"n. 继承者, 接任者
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
excessive,"a. 过度的, 过多的, 极端的
"
exceedingly,"adv. 极端地, 极度地, 非常"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
excellent,"a. 优良的, 杰出的, 出色的"
excellence,"n. 优秀, 卓越, 优点"
concede,"vt. 承认, 退让
vi. 让步"
concession,"n. 特许, 让步, 认可
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
reception,"n. 接待, 接受, 招待会
"
receptor,"n. 受体, 感觉器官
"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
acceptable,"a. 可接受的, 合意的, 可忍受的"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
unacceptable,"a. 无法接受的, 不受欢迎的
"
concept,"n. 观念, 概念
"
conception,"n. 观念, 概念
"
misconception,n. 误解
conceptual,"a. 概念的
"
conceive,"vt. 构思, 认为
vi. 怀孕"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
deceive,"v. 欺骗, 行骗"
deception,"n. 欺骗, 诡计
"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
deceptiveness,n. 虚伪；迷惑骗人
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
exception,"n. 例外, 除外, 异议
"
exceptional,"a. 例外的, 异常的, 特别的"
susceptible,"a. 易受影响的, 易感动的, 容许...的
"
century,"n. 世纪, 百年"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
innocence,"n. 无罪, 无知, 天真无邪
"
incentive,"n. 动机
a. 激励的"
central,"a. 中央的, 重要的
"
centralize,"vt. 集聚, 集中, 施行中央集权
vi. 集中"
centralized,a. 集中的；中央集权的
centralization,"n. 集中, 中央集权化
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentration,"n. 集中, 专心
"
certain,"a. 确定的, 某一个的, 必然的
"
certainly,adv. 确定地
certainty,"n. 确定, 确实的事情
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
certify,"v. 证明, 保证"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
decide,"v. 决定, 判决"
decision,"n. 决定, 决心, 决断
"
decisive,"a. 决定性的, 坚定的, 果断的"
decisiveness, 果断性
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
homicide,"n. 杀人, 杀人者
"
precise,"a. 精确的, 严谨的, 明确的
"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
genocide,"n. 种族灭绝, 灭绝整个种族的大屠杀
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
casually,"adv. 偶然地, 临时地, 随便地"
casualty,"n. 意外事故, 伤亡, 受害者
"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
accidentally,"adv. 偶然地, 意外地"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
incidental,"a. 附带的, 偶然的, 容易发生的
n. 附带事件"
incidentally,"adv. 伴随地, 偶然, 顺便"
incidence,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
"
coincidence,"n. 巧合, 同时发生
"
coincident,"a. 一致的, 符合的, 同时发生的"
coincide,"vi. 一致, 符合
"
civil,"a. 市民的, 公民的, 有礼貌的
"
civility,"n. 礼貌, 礼仪"
civilian,"n. 平民, 民法专家
a. 平民的, 百姓的, 民用的"
civilization,"n. 文明, 教化
"
civilize,"vt. 使开化, 使文明
vi. 变文明"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
exclaim,"v. 大叫, 呼喊, 大声叫"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
announcement,"n. 公告, 发表, 告知
"
pronounce,"v. 发音, 宣告, 断言"
pronouncement,"n. 声明, 公告, 宣言, 宣告, 发表, 意见, 决定
"
clarity,"n. 清楚, 明晰
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
declare,"v. 宣布, 声明, 申报, 断言"
declaration,"n. 宣告, 说明, 宣布
"
class,"n. 班级, 阶级, 种类, 课
vt. 分类
"
classify,"vt. 分类, 归类, 分等
"
reclassify,[经] 三级分类
classification,"n. 分类, 分级
"
classical,"a. 古典的, 正统派的, 经典的
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusion,"n. 结论, 结尾, 推论
"
conclusive,"a. 决定性的, 确定性的, 最后的
"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
include,"vt. 包括, 把...算入, 包住
"
including,"prep. 包含, 包括
"
exclude,"vt. 除外, 排除, 排斥
"
excluding,"prep. 把...排除在外, 不包括..., 不计..."
exclusive,"a. 排外的, 独占的, 唯一的
"
exclusively,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
exclusion,"n. 排除, 除外, 逐出
"
disclose,"vt. 揭露, 透露
"
disclosure,"n. 揭发, 泄露, 揭发(或暴露)的事实
"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
commonly,"adv. 一般, 普通, 通常"
commonness,"n. 普通, 平凡, 共性"
community,"n. 社区, 公众, 共有, 共同体
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communication,"n. 交流, 交通, 通讯
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
according,"a. 相符的, 根据...而定的
adv. 相应地"
accordingly,"adv. 相应地, 因此, 于是"
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
compute,"v. 计算, 估算
n. 计算, 估算"
calculate,"v. 计算, 预测, 计划, 打算"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accountable,"a. 负有责任的, 可说明的, 可解释的
"
accountability,"n. 负有责任, 可说明性
"
unaccountably,"adv. 不能说明地, 不可解释地; 无责任地"
accounting,"n. 会计学, 帐单, 清帐
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
discoverer,n. 发现者
rediscover,vt. 重新发现
recover,"vt. 重新获得, 恢复, 复原, 拯救
vi. 痊愈, 复原, 胜诉
"
recovery,"n. 恢复, 复原, 痊愈, 重获
"
create,"vt. 创造, 建造, 引起, 任命"
creative,"a. 有创造力的, 创作的, 产生的"
creativity,"n. 创造力, 创造性"
creation,"n. 创造, 创作物, 发明
"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
increasingly,"adv. 逐渐地, 渐增地"
decrease,"n. 减少, 减少量
v. 减少"
crime,"n. 犯罪, 罪行, 罪恶
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
discrimination,"n. 差别, 岐视, 辨别力
"
criticize,"v. 批评, 吹毛求疵, 非难"
criticism,"n. 批评, 评论, 非难
"
critique,"n. 评论文章, 评论"
critic,"n. 批评家, 鉴定家"
criteria,"pl. 标准
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
critically,"adv. 批评性地, 审慎地, 精密地"
crucial,"a. 决定性的, 重要的, 严厉的
"
accurate,"a. 正确的, 精确的
"
accuracy,"n. 精确, 正确
"
accurately,"adv. 正确地, 精确地"
occur,"vi. 发生, 被想到, 存在"
occurrence,"n. 发生, 事件, 出现
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
incur,"vt. 招致, 蒙受, 遭遇
"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
currently,"adv. 现在, 当前, 一般, 普通
"
currency,"n. 货币, 通货, 流通, 通用
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
insecurity,"n. 不安全, 不安全感
"
rescue,"n. 援救, 解救, 营救
vt. 援救, 救出, 营救"
cater,"v. 提供饮食及服务, 投合, 迎合"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
cautiously,adv. 慎重地
cautiousness,n. 谨慎；小心
category,"n. 种类, 类项
"
cease,"n. 停止
v. 停止, 终了"
censor,"n. 检查员
vt. 检查, 审查, 删改"
census,"n. 户口普查
vt. 实施统计调查"
ceremony,"n. 典礼, 仪式, 礼节
"
ceremonial,"n. 仪式
a. 正式的"
celebrate,"v. 庆祝, 祝贺, 举行"
celebrity,"n. 名声, 名人"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
overcharge,"v. 讨价过高, 装载过多, 过度充电, 渲染
n. 超载, 装药过多, 过度充电"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
cite,"vt. 引用, 引证, 表彰
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
collision,"n. 碰撞, 冲突, 抵触
"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
cognitive,"a. 认知的, 认识的"
colleague,"n. 同事, 同僚"
college,"n. 学院, 大学, 学会"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confrontation,n. 对抗；对质；面对
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
connect,"v. 连接, 联合, 联系"
connection,"n. 连接, 关系, 前后关系
"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consciousness,"n. 意识, 知觉, 自觉
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
convince,"vt. 说服, 使相信
"
convincing,"a. 使人信服的, 有力的, 令人心悦诚服的"
corporation,"n. 公司, 合作, 法人团体
"
corporate,"a. 社团的, 合伙的, 公司的
"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
incredible,a. 难以置信的
incredibly,adv. 不能相信地
crisis,"n. 危机, 危险期, 紧要关头
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
cultivate,"vt. 培养, 耕作"
cultivation,"n. 教化, 培养, 耕作
"
democracy,"n. 民主政治, 民主主义
"
democratic,"a. 民主的
"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
townsfolk,"n. 镇民, 市民, 城里生长的人, 城镇居民"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
demonstrate,"vt. 示范, 证明
vi. 示威"
demonstration,"n. 示范, 实证
"
dental,"a. 牙齿的
"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identifiable,"a. 可辨认的
"
identical,"a. 同一的, 恒等的, 完全相同的
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
predict,"v. 预知, 预言, 预报"
prediction,"n. 预言, 预报
"
predictable,a. 可预言的
unpredictable,a. 不可预知的
predictably,adv. 可预言地
unpredictably,adv. 无法预言地）；不可预见地（不能预料地
indicate,"vt. 显示, 象征, 指示, 指出
"
indicator,"n. 指示器, 指示剂, 指标
"
indication,"n. 指示, 象征, 暗示
"
indicative,"a. 指示的, 象征的, 表示...的
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
contradictory,"a. 反驳的, 反对的, 抗辩的
n. 矛盾因素, 对立物"
contradiction,"n. 反驳, 矛盾
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrarily,"adv. 反之, 相反地, 反对地"
