ambiguity,"n. 不明确, 含糊
"
consign,"vt. 交付, 储蓄, 委托, 寄存
"
consignment,"n. 委托
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
insist,"v. 坚持, 坚决主张, 强调"
resist,"v. 抵抗, 耐得住, 抵制, 反抗
n. 防染材料"
subsistence,"n. 生存, 生活
"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
containment,"n. 抑制, 牵制, 遏制
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contender,"n. 参赛者, 争论者, 斗争者, 竞争者"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
intend,"vt. 计划, 打算, 意思是
"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
detest,"vt. 厌恶, 憎恨"
protest,"n. 抗议, 反对, 抗议书, 断言
v. 反对, 抗议, 断言"
testimonial,"n. 证明书, 介绍信, 奖品, 奖金, 奖状, 感谢信, 表扬信
a. (有关)证明书的, 鉴定书的, 表扬的, 褒奖的"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
retract,"v. 缩回, 收回, 取消, 撤消"
tract,"n. 大片土地, 地带, 小册子
"
advent,"n. 来到, 来临"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
convent,"n. 女修道会
"
invent,"vt. 发明, 创作, 虚构
"
convertible,"a. 可改变的, 可交换的
n. 有活动篷的汽车"
extrovert,"n. 外向性格的人
"
inadvertent,"a. 漫不经心的, 非故意的"
inadvertently,"adv. 漫不经心地, 疏忽地; 非故意地"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
pervert,"vt. 使堕落, 使反常, 歪曲, 滥用, 使左右颠倒, 唆使...性变态
n. 堕落者, 行为反常者, 背教者, 性欲反常者"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
subvert,"vt. 推翻, 颠覆, 毁灭
"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
backfire,"n. 逆火, 回火, 放火
vi. 放逆火, 预先放火, 发生意外"
catastrophic,"a. 悲惨的, 灾难的"
enigmatic,"a. 费解的, 谜一般的, 高深莫测的"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
denim,"n. 斜纹粗棉布, 牛仔布, 劳动布, (非正式)工作服, 工装裤"
beset,"vt. 围绕, 使苦恼, 镶嵌"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
drummer,"n. 鼓手, 旅行推销员
"
besiege,"vt. 围攻, 包围"
ardent,"a. 热心的, 激动的, 燃烧般的
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
bolster,"n. 支持, 长枕
vt. 支持, 支撑"
shake hands with ...,和…握手
locust,"n. 蝗虫, 蚱蜢, 蝉"
categorize,"vt. 分类, 归类"
endangered,a. 有生命危险的；濒临灭绝的
endangered species,[法] 会造成危害的物件
clan,"n. 氏族, 宗族, 集团
"
coexist,vi. 共存
multicultural,a. 融合或具有多种文化的；多种文化的
aftermath,"n. 结果, 后果
"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
peacekeeping,"[法] 维护和平的, 执行停火协定的"
constrain,"vt. 强迫, 限制, 关押"
UN,abbr. 联合国
United Nations,"联合国
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
counteract,"vt. 抵消, 阻碍, 中和
"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
bloc,n. 集团
chic,"n. 漂亮, 别致的款式
a. 漂亮的, 别致的"
pendant,"n. 垂饰, 下垂物, 补充的东西, 补编
"
dangle,"vi. 摇晃地悬挂着, 追求
vt. 使摇晃地悬挂
n. 悬垂"
decease,"n. 死亡
vi. 死亡"
coronation,n. 加冕礼
inauguration,"n. (美)总统就职, 开幕仪式, 就职典礼, 开始, 开辟, 开创, 为...举行开幕式
"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
indefinite,"a. 模糊的, 不确定的, 无限的
"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
ultraviolet,"a. 紫外线的
"
sunburn,"n. 日炙, 晒斑, 晒焦, 晒黑
vt.vi. (使)晒黑, (使)晒得退色, (使)晒焦"
protect ... from ...,保护
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
gymnastics,"n. 体操, 体育
"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
disintegrate,"vt. (使)分解, (使)碎裂
"
brewer,"n. (啤酒)制造者, 泡制饮料的器皿
"
diversify,"vt. 使多样化, 使变化"
lineup,"n. 阵容, 阵形, 布阵, 一组人"
foothold,"n. 立足处, 据点, 根据地"
graveyard,n. 墓地
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
nostalgia,"n. 乡愁, 向往过去, 怀旧之情
"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
volley,"n. 群射, 齐发, 迸发
vt. 群射, 齐发, 截击
vi. 进行群射, 齐鸣"
ensue,"vi. 跟着发生, 继起
vt. 追求"
termination,"n. 终止, 结束, 结果, 词尾
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
penal,"a. 有关处罚的, 刑的, 刑罚的, 刑法上的, (课税)繁重的
"
equalize,"vt. 使相等, 补偿
vi. 相等"
showcase,"n. 陈列橱
"
inaugural,"a. 就任的, 开幕的
n. 就职演讲"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
sandstone,"n. 沙岩
"
It is plausible that ...,无
exemplify,"vt. 例证, 例示
"
haughty,"a. 傲慢的, 骄傲的, 崇高的"
bureaucrat,"n. 官僚作风的人, 官僚, 官僚主义者
"
resin,"n. 树脂
vt. 涂树脂于"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
vile,"a. 恶劣的, 肮脏的, 低廉的, 卑鄙的
"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
neon,"n. 氖
"
billboard,"n. 广告牌, 布告板
vt. 宣传"
flicker,"n. 闪烁, 闪光, 颤动
vi. 闪动, 闪烁, 摇动, 扑动翅膀
vt. 使摇曳, 使闪烁"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
disgraceful,"a. 可耻的, 不名誉的"
inaugurate,"vt. 开始, 举行...就职典礼"
consecutive,"a. 连续的, 联贯的
"
invalidate,"vt. 使无效
"
entitlement,"n. 权利
"
rebate,"n. 部分退款, 折扣
vt. 退还, 打折扣
vi. 退还部分付款"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
jeopardize,"vt. 危害, 使受危困, 使陷危地"
undercover,"a. 秘密从事的, 秘密的, 从事间谍活动的
"
underway,a. 航行中的；进行中的；起步的
lag,"n. 落后, 囚犯, 迟延, 桶板, 防护套
a. 最后的
vi. 落后, 蹒跚, 缓缓而行, 滞后
vt. 落后于, 押往监狱, 加上外套
"
an economic recovery,无
protectionism,"n. 贸易保护主义, 贸易保护制
"
liberalize,"vt. 宽大, 使自由主义化
vi. 自由主义化"
bead,"n. 珠子, 滴
vt. 用珠装饰
vi. 形成珠
"
perspiration,"n. 汗, 流汗, 努力
"
moisten,"vt. 弄湿
vi. 变潮湿"
smock,"n. 工作服, 罩衫, 长罩衣
vt. 使穿上工作服, 缝制装饰用衣褶"
necessitate,"vt. 迫使, 使成为必需, 需要"
dietary,"a. 饮食的
n. 规定食物"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
predominantly,"adv. 主要地, 显著地, 大多数地, 突出地"
indigenous,"a. 本土的, 国产的, 固有的
"
theology,n. 神学
ordain,"vt. 注定, 规定, 任命
vi. 颁布命令"
vicar,"n. 教区牧师, 教堂主持, 代理人
"
after graduation,无
beneficiary,"n. 受惠者, 受益人
a. 受封的"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
overrun,"n. 蔓延, 风行一时, 超过限度
vt. 蔓延, 蹂躏, 超过, 泛滥
vi. 泛滥, 超载限度
"
influenza,"n. 流行性感冒
"
beastly,"a. 野兽的, 残忍的, 令人厌憎的"
midsummer,"n. 仲夏, 夏至期
a. 仲夏的"
parch,"vt. 烤, 烘, 使干透
vi. 烤干, 焦干"
jargon,"n. 专门术语, 行话, 梦话, 土语
"
pertain,"vi. 从属于, 关于, 涉及, 附属, 适合, 相称
"
biochemistry,"n. 生物化学
"
wry,"a. 扭歪的, 歪曲的, 歪斜的
v. 扭曲, 扭歪"
stunning,"a. 打昏迷的, 弄得人昏头昏脑的, 令人震惊的"
rebound,"vi. 弹回, 返回, 产生事与愿违的结果
vt. 使弹回, 使返回
n. 反弹, 返回, 篮板球, 振作
rebind的过去式和过去分词"
rehabilitate,"vt. 恢复原状, 修复, 使康复
"
narcotic,"n. 麻醉药, 镇静剂
a. 麻醉的, 催眠的"
venerable,"a. 庄严的, 值得尊敬的"
relegate,"vt. 驱逐, 使降低地位, 把...归类, 把...委托给
"
commoner,"n. 平民, 自费学生, 有共用权的人
"
unaccountable,"a. 无法解释的, 无责任的
"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
relent,"vi. 变宽厚, 变温和, 动怜悯之心"
venue,"n. 犯罪地点, 审判地, 发生地点"
muddle,"vt. 混合, 使微醉, 使咬字不清晰
vi. 胡乱对付
n. 困惑, 混浊状态"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
feudalism,"n. 封建主义, 封建制度"
advent,"n. 来到, 来临"
revolutionize,"vt. 向...鼓吹革命, 使发生革命性剧变"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
urine,"n. 小便, 尿
"
snowflake,"n. 雪片, 雪花, 雪片莲"
shimmer,"n. 微光, 闪光
vi. 闪烁
vt. 使闪烁"
basil,"n. 罗勒属植物
"
broth,"n. 原汁清汤, 肉汤
"
simmer,"vt. 煨
vi. 炖, 内心充满
n. 即将沸腾的状态, 即将发作"
cod,"n. 鳕, 欺骗, 愚弄
v. 欺骗, 愚弄"
spawn,"n. (鱼)卵, 产物
vt. 产卵, 酿成, 大量生产
vi. 产卵, 大量生产"
sprout,"n. 芽, 萌芽
vt. 使发芽, 摘去芽
vi. 长芽, 抽条"
promenade,"n. 散步, 骑马, 舞会
vi. 漫步, 兜风
vt. 在...散步"
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
spurt,"n. 喷射, 冲刺
vt. 喷射
vi. 喷出, 迸发, 冲刺"
subdivide,"vt.vi. (把...)再分, (把...)细分
"
legality,"n. 合法, 正当
"
questionable,"a. 可疑的
"
glamorous,"a. 富有魅力的, 迷人的"
allure,"vt. 引诱, 吸引
n. 魅力, 诱惑力"
transcend,"vt. 超越, 胜过"
melodramatic,"a. 传奇剧风格的, 戏剧似的, 夸张的"
undercut,"n. 底切, 牛腰部下侧嫩肉, 下口, 下旋削球
vt. 廉价出售, 底切, 雕出, 下旋削球
vi. 切除底部"
authenticity,"n. 可靠性, 真实性
"
flawless,"a. 无瑕疵的, 无缺点的
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
incomparable,"a. 无比的, 不能比较的"
saga,"n. 传说, 英雄传奇, 冒险故事"
pacifist,"n. 和平主义者, 反战论者, 不抵抗主义者"
allude,"vi. 暗指, 提及"
shortcoming,"n. 缺点, 短处"
bureaucratic,"a. 官僚的
"
methodology,"n. 方法学, 方法论
"
lousy,"a. 污秽的, 恶心的, 生虱的"
bastard,"n. 私生子, 劣货
a. 私生的, 杂种的, 不合标准的"
bellow,v. 怒吼
concur,"vi. 同意, 一致, 同时发生
"
supposition,"n. 想像, 推测, 推想
"
causal,"a. 原因的, 因果关系的, 表示原因或理由的
n. 表示原因的连词"
a causal relationship,无
elicit,"vt. 引出, 推导出, 引起"
candid,"a. 坦白的, 率直的, 公正的"
fruitless,"a. 不结果的, 不长果实的, 无子的"
culprit,"n. 犯人, 罪犯, 刑事被告
"
haunted,"a. 常出现鬼的, 闹鬼的"
motel,n. 汽车旅馆
fabricate,"vt. 制造, 建造, 装配, 伪造"
alibi,"n. 不在犯罪现场, 托辞
v. 为...辩解"
treatise,"n. 论文, 专著"
overstate,"vt. 夸大的叙述, 夸张, 过分强调
"
instability,"n. 不安定, 不稳定
"
purport,"n. 意义, 要旨, 目的
vt. 意味着, 声称, 打算"
definitive,"n. 限定词
a. 限定的, 决定性的"
duo,n. 二重唱
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
compact disc,"n. 镭射碟, 镭射唱片
"
ramble,"n. 漫步, 随笔
vi. 漫步, 漫谈, 漫游, 蔓延
vt. 闲逛于"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
disadvantaged,"a. 社会地位低下的, 生活条件差的, 被剥夺了基本权利的
"
diminutive,"a. 小的, 小型的, 指小的
n. 身材极小的人, 指小词, 爱称"
hue,"n. 样子, 色度, 色彩, 叫声, 色调
"
alight,"vi. 落下, 偶然发现
a. 点着的"
cerebral,"a. 脑的, 大脑的
"
bash,"v. 猛击, 打坏
n. 猛撞, 猛击"
skull,"n. 头盖骨, 头脑, 好学生
"
braid,"n. 辫子, 穗带
vt. 编成辫, 镶边"
beckon,"v. 招手示意, 召唤, 吸引
n. 表召唤的点头(或手势)"
buff,"n. 暗黄色, 暗黄色皮革, 人的皮肤
vt. 擦亮, 使柔软
a. 暗黄色的"
boutique,n. 专卖流行衣服的小商店
glossy,"a. 平滑的, 有光泽的"
bustle,"n. 喧闹, 裙撑
vi. 奔忙, 喧闹
vt. 使忙碌, 催促"
cutlery,"n. 刀剑制造业, 刃具制造业, 刀剑, 刃具, 刀叉餐具"
fanatic,"n. 狂热者, 盲信
a. 狂热的, 盲信的"
chuck,"n. 抚弄, 赶走, 抛掷, 咯咯声, 颈肉, 卡盘
vt. 轻拍, 抛掷, 驱逐, 丢弃, 用卡盘夹住
vi. 咯咯叫"
grenade,n. 手榴弹
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
clamber,"n. 攀登, 爬上
v. 爬上, 攀登"
rung,"n. (梯子)踏步, 横档, 轮辐, 粗棍
ring的过去分词"
dusky,"a. 微暗的, 暗淡的, 暗黑色的, 多黑影的, 黑黝黝的, 微黑色的, 忧郁的"
loft,"n. 阁楼, 鸽房, 楼上
vt. 储存于阁楼上
vi. 将球高击"
fragmentary,"a. 碎片的, 碎屑的, 片断的, 断片的, 碎块的, 不完全的, 不连续的, 不完整的"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
granite,"n. 花岗岩
"
potter,"n. 陶工, 制陶工人"
engrave,"vt. 刻上, 雕刻, 铭记"
dainty,a. 秀丽的；美味的；讲究的；挑剔的
flick,"n. 快速的轻打, 轻打声, 弹开
v. 轻弹, 轻轻拂去, 忽然摇动"
butt,"n. 粗大的一头, 烟头, 靶, 笑柄
"
mug,"n. 有柄大杯, 脸, 苦读者
vt. 给...拍照, 攻击, 苦读
vi. 拼命用功"
suspender,"n. 悬挂者(物), 袜吊, 吊裤带
"
flop,"n. 砰然落下, 拍击声, 失败
vi. 笨重地摔, 猛落
vt. 笨拙地抛下
adv. 噗通"
take off ...,"v. (飞机)起飞；出去；拿掉；移送
"
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
ruby,"n. 红宝石, 深红色
a. 红宝石色的, 深红色的
vt. 使带红宝石色
"
clothesline,n. 晒衣绳
gag,"n. 箝口物, 箝制言论, 讨论终结
vt. 阻塞, 压制言论自由, 使窒息, 使呕吐, 插科打浑, 欺骗
vi. 窒息, 作呕, 欺骗, 插科打浑"
adhesive,"a. 粘着的, 涂有粘性物质的
n. 粘合剂, 橡皮膏"
gape,"n. 裂口, 张嘴, 打哈欠
vi. 裂开, 张嘴, 打哈欠"
larva,"n. 幼虫
"
cobweb,"n. 蜘蛛网, 蛛丝, 混乱
vt. 使布满蛛网"
at the sight of ...,在看到…时
grimace,"n. 鬼脸, 怪相
vi. 扮鬼脸, 作怪相"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
hack,"n. 劈, 砍, 砍痕, 出租车, 干咳, 晒架, 鹤嘴锄
vt. 劈, 砍, 出租, 用旧
vi. 劈, 砍, 干咳, 驾驶出租车
a. 出租的"
laurel,"n. 月桂树, 荣誉
vt. 使戴桂冠, 授予荣誉"
wrestler,n. 摔跤选手
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
aloft,"adv. 在高处, 在上"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
airship,"n. 飞艇, 飞船"
transcontinental,"a. 横贯大陆的, 大陆那边的"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
greasy,"a. 油腻的, 含脂肪多的"
mince,"n. 切碎物
vt. 切碎, 矫揉做作地说
vi. 碎步走, 装腔作势"
prawn,"n. 明虾, 对虾
vi. 捕虾"
clam,"n. 蛤, 沉默寡言的人
vi. 捞蛤"
casserole,"n. 餐桌上用有盖的焙盘, 砂锅菜
"
bony,"a. 如骨的, 多骨的, 瘦骨嶙峋的"
prowl,"n. 潜行, 徘徊, 悄悄踱步
vi. 潜行以觅食, 徘徊
vt. 徘徊"
consulate,"n. 领事, 领事任期, 领事馆
"
scrawl,"vt. 潦草地写
vi. 乱写
n. 潦草的笔迹"
logo,"n. 连合活字, 商标, 徽标
"
scribble,"n. 潦草的写法, 潦草写成的东西, 拙劣的作品
v. 潦草地书写, 乱写, 滥写"
autograph,"n. 亲笔, 亲笔签名, 手稿
vt. 亲笔签名于, 亲笔写"
duckling,n. 小鸭子
scurry,"vi. 急赶, 急跑, 急转
n. 急赶, 急跑, 急转, 阵雪, 阵雨"
asphalt,"n. 柏油
a. 用柏油铺成的
vt. 以柏油铺"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
artery,"n. 动脉, 干道, 要道
"
coma,"n. 昏迷, 麻木, 彗发
"
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
"
pulpit,n. 讲道坛
bridal,"a. 新娘的, 婚礼的"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
margarine,"n. 人造黄油
"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
syrup,"n. 糖浆, 果汁
"
snuff,"n. 烛花, 用鼻吸气, 嗅, 闻, 鼻烟, 气味
vt. 剪烛花, 掐灭, 扼杀, 消灭, 用鼻吸, 嗅出, 闻出
vi. 嗅, 闻"
mantelpiece,"n. 壁炉台, 壁炉架"
stoke,"v. 司炉, (使)大吃"
briskly,"adv. 活泼地, 精神勃勃地"
nominee,"n. 被提名者, 被任命者
"
strut,"n. 高视阔步, 支柱, 压杆
vi. 趾高气扬地走, 肿胀
vt. 用支柱支撑, 炫耀"
convoy,"n. 护送, 护卫
vt. 护航, 护送"
swerve,"n. 转向, 弯曲, 背离
vi. 突然转向, 转弯, 背离
vt. 使突然转向, 使转弯, 使背离"
maniac,"a. 发狂的, 癫狂的, 疯狂的
n. 狂人, 疯子"
tinker,"n. 补锅匠, 会做各种修补活计的人
vi. 做焊锅匠, 笨拙的修补
vt. 修补"
