a,"第一个字母 A; 一个; 第一的
art. "
examine,"v. 检查, 调查, 考试"
example,"n. 例子, 样本, 实例
"
exciting,"a. 令人兴奋的, 刺激的
"
excuse,"vt. 原谅, 申辩, 做为...的托辞
n. 致歉, 理由, 饶恕, 借口"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
factory,"n. 工厂, 产生地, 代理店
"
family,"n. 家庭, 家人, 族
a. 家庭的"
famous,"a. 出名的, 极好的"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
far,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
farmer,"n. 农夫, 农场主
"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
fat,"n. 脂肪, 脂油, 肥肉
a. 肥的, 胖的, 油腻的
n. 文件分配表
"
father,"n. 父亲, 祖先, 长辈, 神父, 创始者
vt. 当...的父亲, 保护, 创作, 发明, 培养"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
fax,"n. 传真
vt. 发传真
"
February,n. 二月
feel,"vt. 感觉, 觉得, 触摸, 以为
vi. 有知觉, 摸索, 同情
n. 感觉, 觉得, 触摸"
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
fever,"n. 发烧, 发热, 热病
"
few,"a. 很少的, 不多的, 少数的
n. 少数"
fifteen,"num. 十五, 十五个"
fifth,"num. 第五, 五分之一"
fifty,"num. 五十, 五十个"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
finger,"n. 手指, 指状物, (手套的)手指部分, 指针
v. 用手指拨弄, 伸出
"
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
flag,"n. 标志, 旗标, 旗子, 信号旗, 菖蒲
vt. 悬旗, 打旗号, 铺石板
vi. 无力地下垂
"
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
floor,"n. 地板, 楼层, 底部, 底价
vt. 铺地板, 打倒
n. 地面, 地板, 基底
"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
flu,"n. 流感, 流行性感冒"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
food,"n. 食物, 养料
"
foot,"n. 脚, 步调, 英尺, 底部, 末尾, 步兵
vt. 走在...上, 给...换底, 支付
vi. 跳舞, 步行, 总计"
football,"n. 足球, 橄榄球"
for,"prep. 为, 因为, 至于
conj. 因为
"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
forest,"n. 森林, 林区
vt. 植树于"
forget,"vt. 忘记, 忽略, 忘
vi. 忘记"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
forty,"num. 四十, 四十个"
four,"num. 四, 四个
"
fourteen,"num. 十四, 十四个"
fourth,"num. 第四, 四分之一"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
France,n. 法国
free,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的
vt. 释放, 解放, 使自由
adv. 自由地, 免费"
Friday,n. 星期五
fridge,n. 电冰箱
friend,"n. 朋友, 支持者, 赞助者
"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
frog,"n. 青蛙
"
from,"prep. 从, 来自, 根据"
front,"n. 前面, 开头, 前线, 阵线, 态度
vt. 面对, 朝向, 对抗
vi. 朝向"
fruit,"n. 水果, 果类, 结果
"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
funny,"a. 好笑的, 有趣的, 滑稽的
n. 滑稽人物"
future,"n. 未来, 将来
a. 将来的, 未来的"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
gas,"n. 气体, 汽油, 瓦斯
"
gate,"n. 门, 牌楼, 大门, 通道, 闸
vt. 装门于
"
Germany,n. 德国
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
girl,"n. 女孩, 少女, 女佣"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
glad,"a. 高兴的, 喜欢的, 情愿的"
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
glove,"n. 手套
vt. 给...戴手套"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
goat,"n. 山羊, 替罪羊, 色鬼"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
goodbye,interj. 再见
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
grandchild,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
granddaughter,"n. 孙女, 外孙女"
grandfather,"n. 祖父, 始祖
"
grandma,"n. 奶奶, 外婆"
grandmother,"n. 祖母, 女祖先"
grandpa,"爷爷, 老太爷, 外公"
grandparent,n. 祖父母
grandson,"n. 孙子, 外孙"
granny,"n. 奶奶, 老奶奶, 老婆婆, 外婆, 婆婆妈妈的人, 唠叨挑剔的人, 接生婆"
grass,"n. 草, 草原, 牧场
"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
green,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
group,"n. 团体, 组, 团, 群
v. 聚合, 成群
"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
guest,"n. 客人, 来宾, 旅客
"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
hair,"n. 头发, 毛发, 些微
"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
hall,"n. 门厅, 走廊, 会堂"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
hat,"n. 帽子
vt. 给...戴帽子"
have,"vt. 有, 怀有, 拿, 进行
aux. 已经"
he,"pron. 他
n. 男孩, 男人, 雄性动物"
