well-dressed, 衣着入时的；穿着讲究的
remains,"n. 剩余物, 废墟, 残余
"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
stadium,"n. 露天大型运动场
"
hold,"n. 把握, 把持力, 柄, 控制, 掌握, 监禁
vt. 保存, 握住, 拿住, 占据, 持有, 拥有
vi. 支持, 持续, 有效
n. 保留
"
empire,"n. 帝国, 帝权"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
fall into ruin,[网络] 破败不堪；崩塌；成为废墟
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
tomb,"n. 坟墓, 死亡
vt. 埋葬"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
studio,"n. 工作室, 画室, 演播室, 电影制片厂"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
director,"n. 主管, 导演, 董事
"
contestant,"n. 竞争者
"
whisper,"n. 耳语, 密谈, 谣传, 沙沙声
vi. 耳语, 密谈, 沙沙地响
vt. 低声说"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
cameraman,"n. 照相师, 摄影师"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
rush forward, 一拥而上
powder,"n. 粉, 粉末, 火药
vt. 搽粉于, 搽粉, 撒粉, 使成粉末
vi. 搽粉, 变成粉末"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
quiz,"n. 考查, 课堂测验, 恶作剧, 智力测验
vt. 戏弄, 考查, 恶作剧"
terrific,"a. 非常好的, 极端的, 可怕的"
ahead of,在…之前
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
keep still,保持不动
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
arrange,"v. 安排, 排列, 达成协议
"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
digital,"a. 数字显示的, 数字的
n. 数字仪表, 数字式电子表(或时钟)
"
cigarette lighter, 打火机
record,"n. 记录, 履历, 档案, 审判记录, 最高纪录, 唱片
vt. 记录, 记载, 标明, 将...录音
vi. 记录, 录音, 可被录音
a. 创纪录的
"
cassette,"n. 盒式磁带, 珠宝箱, 暗盒
"
mixed grill,n. 烤杂排; 烤什锦
steak,"n. 牛排, 鱼排, 肉排"
pork chop,n. 猪排
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
astronaut,"n. 太空旅行者, 宇航员
"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
tiny,"a. 很少的, 微小的"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
instead of,代替
cattle,"n. 牛, 家畜
"
appetite,"n. 食欲, 欲望, 爱好
"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
vitamin,"n. 维生素
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
pesticide,"n. 杀虫剂
"
source,"n. 来源, 水源, 根源, 原始资料, 源
"
energy,"n. 精力, 精神, 活力, 能量
"
variety,"n. 多样, 种类, 变种, 杂耍
"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
cheeseburger,n. 干酪汉堡包
milkshake,n. 奶昔
increase,"n. 增加, 增进, 利益
vt. 增加, 加大
vi. 增加, 繁殖"
heart attack,心脏病发作
intelligent,"a. 聪明的, 智能的, 了解的"
decide on,"决定,选定,确定…"
tell ... from, 辨别
agriculture,"n. 农业
"
farming,"n. 农业, 耕作"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
nourish,"vt. 滋养, 使健壮, 怀有"
mixture,"n. 混合, 混淆, 混合物
"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
make the best use of,"v. 充分利用
"
experimental,"a. 实验的, 根据实验的
"
facility,"n. 容易, 灵巧, 设备
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
profitable,"a. 有利润的, 有利益的, 赚钱的
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
prove,"vt. 证明, 查验, 检验, 勘探, 显示
vi. 证明是"
economic,"a. 经济上的, 实用的, 节省的
"
benefit,"n. 利益
vt. 有益于
vi. 受益"
used to,"过去经常(做)..., 过去有规律地发生"
backward,"adv. 向后地, 相反地
a. 向后的, 相反的
"
amazed,"a. 吃惊的, 惊奇的"
high-tech,高技术
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
cancer,"n. 癌, 恶性肿瘤
"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
moderation,"n. 缓和, 适度, 温和
"
in contrast to,"与...形成对照, 而..."
soya,[医] 大豆
soy,"n. 酱油, 大豆
"
AE,abbr. 行政帐户（account executive）；航空工程（Aeronautical Engineer）
in comparison, 相比之下
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
fortunately,"adv. 幸运地, 幸亏"
be aware of,知道
