carpenter,n. 木匠
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
mayor,"n. 市长
"
improvement,"n. 进步, 改善, 利用
"
self-educated,"a. 自修的, 自我教育的"
geometry,"n. 几何学
"
diagram,n. 图表；图解
circuit,"n. 电路, 环(行)道, 巡回
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
pocket-sized,a. 可放在衣袋中携带的；小型的；袖珍的
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
the last minute,[网络] 最后一分钟；紧急关头
the last moment, [电影]悲恋三人行
put out,"v. 扑灭；熄灭；放出；伸出
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
calculator,"n. 计算者, 计算器
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
spectrum,"n. 光谱, 范围, 系列
"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
ridiculous,"a. 荒谬的, 可笑的"
tire,"n. 轮胎, 头饰
vt. 使疲倦, 使厌烦, 打扮
vi. 疲劳, 厌倦"
throw oneself into,积极从事
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
graph,"n. 曲线图, 图表, 图形
"
economical,"a. 节俭的, 经济的, 合算的
"
sanitary,"a. 卫生的
n. 公共厕所"
correctional,"a. 改正的, 修正的, 矫正的"
facility,"n. 容易, 灵巧, 设备
"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
body count, 敌尸计数；死亡人数统计
survivor,"n. 生还者, 幸存者
"
unsure,"a. 不肯定的, 不确定的, 没有自信的"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
informer,"n. 密告者, 控告者, 通知者
"
offshore,"a. 海面的, 吹向海面的, 近海的
adv. 向海面"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
allergic,"a. 对...过敏的, 极反感的
"
employment,"n. 雇用, 职业, 工作
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
capital punishment, 死刑
taxpayer,"n. 纳税人
"
pre-owned, 旧的；二手的；转手的
flexibility,"n. 弹性, 适应性
"
unemployed,"a. 失业的, 未被利用的
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
faith,"n. 信心, 信任, 忠实, 保证
"
optional,"a. 可选择的, 随意的
"
fibre,"n. 纤维, 构造, 纤维制品
"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
microscope,"n. 显微镜
"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
for the taking,供随意拿取
bless,"vt. 祝福, 祈佑, 使神圣化"
nursery,"n. 托儿所, 苗圃, 温床
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
brunch,n. 早午餐
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
dignity,"n. 尊严, 高贵
"
archaeology,n. 考古学
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
numerous,"a. 很多的, 数目众多的, 多数的
"
brochure,"n. 小册子, 小册"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
psychology,"n. 心理学, 心理状态
"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
steak,"n. 牛排, 鱼排, 肉排"
rice cooker,"n. 饭锅
"
bean curd,豆腐
garlic,"n. 大蒜
"
microwave,"n. 微波
"
saucer,"n. 茶碟, 茶托
"
Thermos,n. 热水瓶
put something away, （非正式）（体育运动用语）处理; 同 put something down （见后面义项3）; （非正式）（大量）吃喝; 存（钱）
furnished,"a. 家具, 有家具的"
basin,"n. 盆, 盆地
"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
millimetre,"n. 毫米
"
room-mate,"n. 室友；同住一室的人
"
astronomy,n. 天文学
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
terrify,"vt. 使恐惧, 恐吓"
as for,至于
universe,"n. 宇宙, 星系, (思想等)范围"
embassy,"n. 大使馆, 大使馆全体人员
"
allusion,"n. 提及, 暗指"
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
den,"n. 兽穴, 洞穴
"
catch-22,"n. 互相抵触之规律或条件所造成的无法脱身的困窘；不合逻辑的或矛盾的问题
a. 摆脱不了的"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
mythology,n. 神话
unbeatable,"a. 无敌的, 无与伦比的"
prophet,"n. 预言者, 先知, 提倡者"
overboard,"adv. 自船上落下, 在船外"
vomit,"vt. 吐出, 呕吐
vi. 呕吐
n. 呕吐, 呕吐物, 催吐剂"
Herculean,a. 魁梧有力的
a good Samaritan,一个乐善好施的人
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
aimless,"a. 无目的的, 没有目标的"
land on one's feet,"交好运, 脱离困境"
atom,"n. 原子, 核能, 微粒, 微量
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
communism,n. 共产主义
socialism,"n. 社会主义, 社会主义运动"
socialist,"n. 社会主义者, 社会党党员
"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
currently,"adv. 现在, 当前, 一般, 普通
"
premier,"n. 总理, 首相
a. 首位的, 最初的"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
seminar,"n. 研究班, 专题讨论会
"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
