evict,"vt. 逐出, 赶出, 驱逐
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
blasé,无
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
surmise,"n. 推测, 猜测
v. 推测, 臆测"
depraved,"a. 堕落的, 腐化的, 道德败坏的
"
indistinct,"a. 不清楚的, 朦胧的, 难以清楚辨认的"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
genesis,"n. 发生, 起源, 创世记
"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
deficit,"n. 赤字, 不足额
"
controversy,"n. 论争, 辩论, 论战, 争论
"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
ascribe,"vt. 归因于, 归咎于
"
variation,"n. 变更, 变化, 变种, 变奏
"
defraud,"vt. 欺骗
"
uproot,"vt. 连根拔起, 根除"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
compressible,"a. 可压缩的
"
confrontation,n. 对抗；对质；面对
redeem,"vt. 赎回, 挽回, 恢复, 偿还, 补偿
"
bucolic,"a. 牧民的, 牧歌的, 乡下风味的
n. 田园诗, 农夫"
entity,"n. 实体, 实存物, 存在
"
accost,"vt. 招呼, 搭讪, 勾引
"
dialect,"n. 方言, 同源语"
desultory,"a. 散漫的, 无条理的, 不连贯的"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
perplexing,"a. 令人费解的, 令人困惑的"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
coincidence,"n. 巧合, 同时发生
"
hypothesis,"n. 假设
"
defiant,"a. 挑衅的, 目中无人的"
shrinkage,"n. 收缩, 收缩量, 减低
"
reputed,"a. 名誉好的, 被称为...的, 有...名气的
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
barrel,"n. 桶
vt. 装入桶内"
allude,"vi. 暗指, 提及"
apprehensive,"a. 惴惴不安的, 敏悟的, 知晓的"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
discourteous,"a. 失礼的, 无礼貌的"
emanate,"vi. 散发, 发出, 发源"
purposeful,"a. 有目的的
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
qualified,"a. 有资格的
"
blighted,"a. 挫折, 枯萎, 摧残, 毁损"
pontifical,"a. 教皇的, 主教的, 大祭司的
n. 主教全套服饰, 主教仪典"
covetous,"a. 贪婪的, 妄想的"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
roam,"v. 漫游, 闲逛, 徜徉
n. 漫步, 漫游"
crabbed,"a. 潦草的, 难懂的, 易怒的, 倔强的"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
summary,"n. 摘要, 概要
a. 摘要的, 简略的
"
jade,"n. 玉, 翡翠, 老马
a. 绿色的, 玉制的
v. (使)疲倦"
edible,"n. 食品, 食物
a. 可食用的"
comprehensible,a. 可理解的
acquittal,"n. 履行, 无罪开释
"
destitution,"n. 穷困, 贫穷, 缺乏"
inclusive,"a. 包含的, 包括的"
fictitious,"a. 假想的, 编造的, 虚伪的
"
berate,vt. 严责
negligible,"a. 可以忽略的, 不足取的, 无用的
"
chilly,"a. 寒冷的, 冷淡的, 不友好的
"
adept,"a. 熟练的, 老练的, 巧妙的
n. 能手, 内行"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
bravado,n. 虚张声势
apotheosis,"n. 尊崇为神, 神化, 美化"
dignify,"vt. 增威严, 使高贵, 故作显贵"
embody,"vt. 具体表达, 使具体化
"
maritime,"a. 海的, 海上的, 海事的, 沿海的, 海员的
"
apparition,"n. 鬼, 幽灵, 幻影"
impede,"vt. 妨碍, 阻碍, 阻止"
casualty,"n. 意外事故, 伤亡, 受害者
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
trifle,"n. 琐事, 少量
vt. 浪费
vi. 开玩笑, 翻弄, 虚度光阴"
egoism,"n. 自我主义, 利己主义"
recessive,"a. 后退的, 逆行的, 隐性的
n. 隐性性状"
accede,"vi. 同意, 正式加入, 就任, 继任"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
expect,"vt. 预期, 盼望, 期待"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
aggrandize,"vt. 增加, 夸大"
habitude,"n. 习俗, 习惯"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
arboretum,"n. 树木园, 植物园"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
meditate,"vt. 想, 考虑, 计划
vi. 沉思, 反省"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
adjuration,"n. 恳请, 祈求
"
alimentary,"a. 饮食的, 供养的
"
dissimilar,"a. 不同的, 相异的"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
obscurity,"n. 阴暗, 朦胧, 晦涩, 费解, 身份低微"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
inestimable,"a. 无价的, 无法估计的"
informal,"a. 非正式的, 不拘礼的, 通俗的
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
disparity,"n. 不一致
"
condescend,"vi. 谦逊, 屈就, 堕落"
renown,"n. 名声, 声望
vt. 使有声望"
boorish,"a. 粗野的, 粗鄙的"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
cathartic,"n. 泻药, 通便药
a. 通便的, 导泻的"
impetus,"n. 动力, 推动力, 动量
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
adulterate,"vt. 掺杂
a. 掺假的, 假的, 通奸的"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
recourse,"n. 求援, 求助, 追索权
"
hesitant,"a. 迟疑的, 踌躇的, 犹豫不定的"
acquaint,"vt. 使认识, 介绍"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
malice,"n. 恶意, 蓄意害人, 怨恨
"
allay,"vt. 使平静, 使缓和"
secondary,"a. 中级的, 中等的, 次要的, 第二的, 从属的, 辅助的
"
disburse,"vt. 支付, 支出, 分配
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
transcendent,"a. 卓越的, 出类拔萃的, 超常的
n. 卓越的人, 超绝物"
numerous,"a. 很多的, 数目众多的, 多数的
"
intelligence,"n. 智力, 情报, 信息
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
conciliatory,"a. 安抚的, 和好的, 调和的"
compunction,"n. 良心的责备, 后悔, 悔恨"
conjugal,"a. 婚姻的, 配偶的
"
outdo,"vt. 超越, 胜过, 战胜"
emigrate,"v. (使)移居, (使)移民"
bibliography,"n. 参考书目
"
comestible,"a. 可吃的
n. 食物"
exemplary,"a. 可仿效的, 可做模范的, 惩戒性的, 示范的
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
allot,"vt. 分配, 分摊指定
"
senator,"n. 参议员, (某些大学的)理事
"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
demolition,"n. 破坏, 毁坏, 撤销
"
debacle,"n. 崩溃, 大失败"
stature,"n. 身材, 身高, 高度
"
statue,"vt. 以雕像装饰
n. 雕像"
status,"n. 状态, 情形, 地位, 要人身份
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
synonym,n. 同义词
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
projection,"n. 发射, 计划, 突出部分, 设计, 推测
"
testimony,"n. 证言, 证据, 声明
"
aversion,"n. 厌恶, 讨厌的事, 讨厌的人
"
avarice,n. 贪婪
automaton,"n. 自动机, 机器人
"
legendary,"a. 传说的, 传奇中说的, 传奇般的, 传说中的, 著名的"
quaff,"v. 狂饮, 大口地喝
n. 大口喝下的酒, 痛饮"
trivialize,"vt. 使平凡, 使琐碎"
unprecedented,"a. 空前的
"
plod,"n. 沉重的步伐, 辛勤工作
vi. 沉重地走, 辛勤工作, 孜孜从事
vt. 沉重缓慢地走"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
filibuster,"n. 阻挠议事的活动, 掠夺兵, 暴兵, 海盗
vi. 掠夺
vt. (以冗长的演说)阻碍议案通过"
stupefy,"vt. 使麻醉, 使失去知觉, 使惊呆
"
benevolent,"a. 善意的, 慈善的"
dual,"a. 双重的, 双的
n. 双数"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
"
soothe,"vt. 缓和, 使安静, 安慰, 奉承
vi. 起安慰作用"
utter,"a. 全然的, 绝对的, 完全的
vt. 发出声音, 做声, 发表, 发射, 流通"
congest,"vt. 使充满, 使拥塞, 使充血
vi. 充塞, 充血, 拥挤"
dogged,"a. 顽固的, 顽强的"
brusque,"a. 唐突的, 直率的"
resource,"n. 资源, 财力, 办法, 策略, 急智, 消遣
"
demure,"a. 装成端庄的, 假正经的, 娴静的"
typical,"a. 典型的, 象征性的
"
augment,"v. 增加, 增长
"
symbolize,"vt. 符号化, 用符号表现
vi. 采用象征, 使用符号"
unspeakable,"a. 说不出的, 无法形容的, 不能以言语表达的, 坏得无话可说的, 说不出口的"
animosity,"n. 仇恨, 憎恶, 敌意"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
acquired,"a. 获得的, 后天的
"
beget,"vt. 为某人之生父, 招致, 产生, 引起"
amorphous,"a. 无定形的, 无组织的
"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
drowsy,"a. 昏昏欲睡的
"
vocabulary,"n. 词汇(量), 词汇表
"
eclectic,"n. 折衷主义者
a. 选择的, 折衷的"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
systematic,"a. 有系统的, 分类上的, 体系的
"
misdeed,"n. 罪行, 犯罪
"
savage,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的
vt. 用暴力对付, 凶猛攻击
n. 原始人, 粗鲁人"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
imprint,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
forsake,"vt. 放弃, 断念, 抛弃
"
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
misstep,"n. 踏错, 错误, 失策
"
undue,"a. 不适当的, 过度的, 未到期的
"
derelict,"a. 被抛弃了的, 无主的, 玩忽职守的
n. 遗弃物, 被遗弃的人, 玩忽职守者"
tense,"a. 紧张的, 拉紧的
v. (使)紧张, (使)拉紧
n. 时态"
fluctuation,"n. 变动, 波动, 动摇
"
dissect,"v. 解剖, 切开"
simile,"n. 明喻, 明喻说法"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
comprise,"vt. 包含, 构成"
retrieve,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索
vi. 找回猎物
n. 取回, 恢复, 救险球
"
imaginary,"a. 想像的, 虚构的, 假想的"
naval,"a. 海军的, 军舰的, 有舰队的
"
bumptious,"a. 瞎自夸的, 瞎自大的, 傲慢的"
prolong,"vt. 延长, 拖延, 拖长
"
ulterior,"a. 隐秘不明的, 在特定界限以外的, 将来的, 隐蔽的
"
humanity,"n. 人性, 人类, 博爱"
irrelevant,"a. 不恰当的, 无关系的, 不相干的
"
unanimity,"n. 无异议, 同意, (全体)一致
"
subsequent,"a. 后来的, 接下去的
"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
technique,"n. 技巧, 技术, 方法
"
quantitative,"a. 数量的, 定量的
"
geology,"n. 地质学, 地质情况"
decisive,"a. 决定性的, 坚定的, 果断的"
charlatan,"n. 庸医
"
gravity,"n. 地心引力, 重力
"
explicate,"vt. 详细说明, 解释, 说明, 引伸"
decoy,"n. 圈套, 诱骗
vt. 诱骗"
personnel,"n. 人员, 人事部门, 人事科(处)
"
prophetic,"a. 预言的, 先知的, 预示的"
procedure,"n. 程序, 过程, 手续
"
figurative,"a. 比喻的, 象征的, 修饰丰富的"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
cant,"n. 伪善之言, 黑话, 斜面, 角落
vi. 讲黑话, 倾斜"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
erroneous,"a. 错误的, 不正确的
"
acme,"n. 顶点, 极度, 最高点
"
glimmer,"n. 一丝光线, 微光, 少许
vi. 发微光"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
conflagration,"n. 大火灾, 大火, 冲突
"
extant,"a. 现存的, 未毁的"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
commensurate,"a. 同量的, 同等的, 相称的"
collaborate,"vi. 合作, 勾结
"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
recline,"vt. 使斜靠
vi. 靠, 斜倚, 依赖"
vegetarian,"n. 素食者, 食草动物
a. 素食的"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
subconscious,"n. 潜在意识, 下意识
a. 下意识的, 潜意识的"
amphibious,"a. 水陆两栖的, 能两栖作战的, 陆海空军协同作战的
"
receptive,"a. 能接纳的
"
deft,"a. 敏捷熟练的, 灵巧的"
cavil,"n. 无端的指责, 挑剔
v. 吹毛求疵"
abominate,"vt. 厌恶, 憎恶"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
apogee,"n. 远地点, 最高点, 极点
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
maze,"n. 迷宫, 迷惘
vt. 使迷惘, 使混乱, 迷失"
concourse,"n. 集合, 总汇, 群集"
engaging,"a. 动人的, 迷人的, 有魅力的"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
parry,"vt. 挡开, 回避, 闪避的回答
n. 挡开, 回避, 闪避的回答"
harmonic,"a. 和谐的, 音乐般的, 和声的
n. 泛音, 谐波"
welter,"vi. 翻滚, 滚动, 沉溺, 浸湿, 起伏
n. 翻滚, 汹涌, 混乱, 起伏, 重量级骑手"
legend,"n. 传说, 传奇文学, 图例
"
preoccupy,"vt. 抢先占领, 使全神贯注"
abundance,"n. 丰富, 充足, 大量
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
widespread,"a. 充分伸展的, 广布的, 普及的, 流传广的"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
excellent,"a. 优良的, 杰出的, 出色的"
verification,"n. 证实, 查证, 证明属实
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
morality,"n. 道德, 教训, 品行
"
superstitious,"a. 迷信的
"
befriend,"vt. 待人如友, 扶助"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
benefactor,"n. 恩人, 捐助者, 施主
"
disastrous,"a. 损失惨重的, 悲伤的"
lively,"a. 活泼的, 鲜明的, 生动的"
deleterious,"a. 有害的, 造成伤害的
"
contentment,"n. 满足, 使人满意的事物, 满意"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
contemptible,"a. 卑鄙的, 可轻蔑的, 不足挂齿的"
microphone,"n. 扩音器, 麦克风
"
analogous,"a. 类似的, 相似的
"
grievous,"a. 痛苦的, 严重的, 充满悲伤的
"
canto,"n. 长诗的篇章, 曲调"
barring,"prep. 不包括, 除非"
avuncular,"a. 叔伯的, 叔伯似的"
bereave,"vt. 使孤寂, 使丧失, 使失去"
vivify,"vt. 给与生气, 使生动, 使活跃"
append,"vt. 附加, 增补, 盖章
"
appraise,"vt. 评价, 估价
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
appropriate,"a. 适当的
"
galore,"adv. 丰富地
n. 丰富, 大量"
curmudgeon,"n. 脾气坏的人, 吝啬鬼"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
coddle,"vt. 娇养, 溺爱, 用文火煮(蛋)"
astringent,"n. 收敛剂
a. 收敛性的, 严厉的, 涩的"
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
thesis,"n. 论题, 论文"
cogitate,"v. 思考, 考虑"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
verifiable,"a. 可核实的, 可证实的
"
unanimous,"a. 意见一致的, 无异议的"
dominate,"v. 支配, 占优势"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
deride,"vt. 嘲弄, 嘲笑"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
vocation,"n. 职业, 天命, 天职, 才能, 行业
"
centurion,n. 百人队队长
artifice,"n. 诡计, 技巧, 巧妙"
diurnal,"a. 每日的, 一日间的, 白天的
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
ambidextrous,"a. 两手俱利的, 搞两面派的
"
myth,"n. 神话, 虚构的事, 虚构的人"
cacophony,"n. 不愉快的音调, 不协和音, 杂音"
imminent,"a. 即将来临的, 逼近的"
comparative,"a. 比较的, 相对的
n. 对手"
tolerate,"vt. 宽容, 容许, 有耐力"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
benignant,"a. 善良的, 仁慈的, 和蔼的, 有益的
"
nutriment,"n. 营养物, 食物, 营养素"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
anticlimax,"n. 突降法, 虎头蛇尾"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
avert,"vt. 转开, 避免, 防止"
occupant,"n. 占有者, 居住者, 占用者"
redress,"n. 赔偿, 补救, 矫正
vt. 纠正, 赔偿, 救济"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
cupidity,"n. 贪心, 贪婪"
shun,"vt. 避开, 规避, 避免"
unparalleled,"a. 无比的, 无双的, 空前的"
agreement,"n. 同意, 合约, 协议
"
enact,"vt. 制定法律, 扮演, 颁布
"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
visual,"a. 视觉的
"
supposition,"n. 想像, 推测, 推想
"
census,"n. 户口普查
vt. 实施统计调查"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
solemn,"a. 严肃的, 郑重的, 庄严的"
reasonable,"a. 合理的, 明理的, 适当的
"
diabolical,a. 恶魔的
unaccountable,"a. 无法解释的, 无责任的
"
deference,"n. 顺从, 尊重"
antediluvian,"a. 大洪水前的, 陈旧的, 过时的
n. 大洪水以前的人, 老迈的人"
precision,"n. 精密, 精确, 精确度, 精度
a. 精密的, 精确的
"
feint,"n. 伪装, 假装, 假托, 佯攻
vi. 装作, 假装, 佯攻
a. 假的, 虚饰的"
digression,"n. 离题, 扯到枝节上, 偏离"
retrospective,"a. 回顾的, 怀旧的, 在后面的
n. 回顾展"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
heedful,"a. 注意的, 留心的"
haste,"n. 匆忙, 急忙"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
dignity,"n. 尊严, 高贵
"
bask,"vi. 晒太阳, 感到舒适"
repetition,"n. 重复, 背诵, 循环, 复制品, 副本
"
awry,"a. 歪的, 错误的
adv. 歪斜地, 错地"
ensue,"vi. 跟着发生, 继起
vt. 追求"
lustrous,"a. 有光泽的, 光辉的"
deducible,a. 可推论的
reminiscence,"n. 回想, 回忆, 怀旧, 话旧"
variegate,"vt. 使成斑驳, 使多样化"
dutiful,"a. 尽职的, 忠实的, 顺从的, 守本分的"
inveigle,vt. 诱骗；诱使
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
audition,"n. 听, 听力, 试听
"
deplete,"vt. 耗尽, 使衰竭
"
aspirant,"n. 怀抱大志者, 野心家
a. 上进的, 有野心的"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
coercion,"n. 强迫, 威压, 高压统治
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
vitalize,"vt. 赋予生命, 给予活力, 使有生气
"
historical,"a. 历史的, 史实的, 历史上的
"
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词
a. 辅助的, 备用的"
analyze,"vt. 分析, 细察, 分解
"
altitude,"n. 高度, 海拔, 高处
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
diverse,"a. 不同的, 变化多的"
accomplish,"vt. 完成, 达到, 实现, 使完美"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
logical,"a. 合乎逻辑的, 合理的
"
flux,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
"
immigrate,"vt. 使移居入境
vi. 移入"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
innumerable,"a. 无数的, 数不清的"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
possessive,"n. 所有格
a. 所有的, 占有的"
species,"n. 种, 类, 外形
"
decorous,"a. 有礼貌的, 高雅的, 端正的"
precise,"a. 精确的, 严谨的, 明确的
"
memorize,"vt. 记住, 熟记, 背熟"
seclude,"vt. 使隔离, 使孤立, 隔开"
congenital,"a. 天生的, 先天的
"
sensation,"n. 感觉, 轰动
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
dejected,"a. 沮丧的, 灰心的"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
ornate,"a. 装饰的, 华丽的"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
dubious,"a. 可疑的, 不确定的"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
resemblance,"n. 相似处, 类似, 肖像"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
alienate,"vt. 使疏远, 离间, 转让
"
acumen,"n. 敏锐, 聪明"
patriotism,"n. 爱国心, 爱国精神, 爱国主义"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
omission,"n. 省略, 遗漏, 疏忽
"
nationality,"n. 国籍, 国家, 民族性
"
predominant,"a. 占主导地位的, 卓越的
"
reactionary,"n. 反动分子
a. 反动的, 反动主义的, 反对改革的"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
preservation,"n. 保存, 保藏, 保护
"
