French door,落地双扇玻璃门
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
vacillation,"n. 游移不定, 踌躇, 不果断"
dally,"vi. 戏耍, 玩弄, 闲混
vt. 浪费"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
prosecution,"n. 执行, 经营, 起诉"
orator,"n. 演说者, 演讲者, 雄辩家, 原告, 请愿人
"
jury,"n. 陪审团, 评判委员会
a. 应急的"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
indict,"vt. 起诉, 控告, 指控
"
evangelist,"n. 福音传道者, 圣经新约福音书的作者"
exhort,"v. 劝诫, 忠告"
infidel,"a. 不信神的, 无信仰的, 异端的
n. 无信仰者, 异教徒, 异端"
attorney-general,"首席检察官, (美国)司法部长"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
agnostic,n. 不可知论者
drawl,"v. 慢吞吞地说, 故意拉长调子讲话
n. 慢吞吞拉长调子的说话方式"
bigotry,"n. 盲从, 偏见, 偏执的行为(或态度)"
faggot,"n. 柴把, 束薪
vt. 捆, 束"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
contaminated,a. 受污染的；弄脏的
mammal,"n. 哺乳动物
"
brandish,"vt. 挥, 挥舞
n. 挥舞"
sonorous,"n. 宏亮的, 响亮的, 作响的
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
adjourn,"vi. 休会, 换地方
vt. 使中止, 推迟"
sulphurous,"a. 亚硫的, 恶毒的, 亵渎的, 凶狠的"
wily,"a. 使用计谋的, 有诡计的, 狡猾的"
slur,"n. 连音符, 诽谤, 玷污, 印刷模糊
vt. 草率地看过, 忽略, 含糊地念
vi. 模糊不清"
gavel,"n. 槌
"
forlornly,adv. 可怜地；孤苦伶仃地；没希望地；渺茫地
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
libido,"n. 性的冲动, 性欲"
macabre,"a. 以死亡为主题的, 可怕的"
lacerate,"vt. 划破, 割破, 使痛心, 撕碎
a. 撕碎的, 受折磨的"
dormer window," 屋顶窗, 老虎窗"
chalet,n. 瑞士山中的牧人小屋
preposterous,"a. 反常的, 乖戾的, 荒谬的, 首末倒置的"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
eczematous,"[医] 湿疹的, 湿疹性的"
patina,"n. 绿锈, 光泽, 古色, 神态, 圣餐盘
"
uremic,"a. 尿毒症的
"
aberrant,"a. 偏离正路的, 偏离常轨的, 畸变的
"
inimical,"a. 有敌意的, 有害的, 抵触的"
grotesquery,n. 怪异的行为
grotesquerie,"n. 怪异图案, 奇怪, 可笑"
diabolical,a. 恶魔的
insensate,"a. 无感觉的, 迟钝的, 无生命的, 无情的"
putrid,"a. 腐败的
"
enigmatical,"a. 难解的, 谜一般的, 不可思议的"
depravity,"n. 堕落, 腐败, 邪恶
"
etiology,"n. 病原学, 病因学
"
aetiology,"n. 原因的说明, 原因论, 病原学, 病原
"
pathological,"a. 病理学的, 由疾病引起的, (非正式)不合理的, 仅由想象引起的, 不理智的
"
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
frailty,"n. 弱点, 脆弱, 意志薄弱
"
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
keelboat,n. 龙骨式艇
raft,"n. 筏, 救生筏, 大量
vi. 乘筏
vt. 筏运, 制成筏"
molasses,"n. 糖蜜
"
cosmos,"n. 宇宙, 秩序, 和谐, 大波斯菊
"
feud,"n. 不和, 封地, 争执
vi. 长期不和, 擦亮"
piracy,"n. 海盗行为, 海上劫掠, 剽窃, 著作权侵害, 非法翻印
"
lynching,"n. 处私刑杀害
"
phonographic,"a. 留声机的, 表音的, 音符的, 速记的"
flotsam,"n. 浮货, 废料, 零碎
"
motley,"a. 杂色的, 穿杂色衣的, 杂乱的, 混杂的
n. 杂色, 杂色衣服, 混杂, 小丑"
stagecoach,n. 公共马车
succumb,"vi. 屈从, 屈服, 死"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
humorist,"n. 幽默家, 幽默作家"
travelogue,n. 旅行见闻讲座
debunk,"vt. 揭穿, 暴露, 拆穿假面具"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
pariah,"n. 贱民(印度的最低阶级), 被放逐者"
panorama,"n. 全景, 全貌, 概论, 范围"
spinal meningitis,[医] 脊膜炎
crater,"n. 火山口, 环行山, 弹坑
"
Providence,"n. 深谋远虑, 天意, 天命"
groove,"n. 凹槽, 惯例, 理想境况
vt. 开槽于"
elm,"n. 榆树
"
limousine,n. 轿车
sweet gum,"n. 香枫, 香枫的树叶"
dimwit,n. 傻瓜
organdy,(=organdie) n.一种细薄的棉织品
pump,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
shingle,"n. 墙面板, 小招牌"
porthole,"n. 舷窗, 炮门
"
scald,"n. 烫伤, 烫洗
v. 烫伤, 烫洗"
lizard,"n. 蜥蜴
"
navel,"n. 脐, 肚脐, 中央, 中心
"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
beef-cattle,菜牛
collard,n. [植]羽衣甘蓝
chitlins,[复]n.<方>=chitterlings
rump prints,无
churn,"n. 搅乳器
v. 搅拌, 搅动"
clabber,"n. 酸牛奶
v. (使)凝结, (使)变酸"
whittle,"vt. 逐渐削薄, 削整, 削弱, 削减
vi. 削木头
n. 大刀, 屠刀"
dasher,"n. 猛冲者, 精力充沛的人, 搅拌装置"
alcove,"n. 凹室, 壁龛, 小亭"
sink,"n. 藏垢的场所, 沟渠, 污水槽
vi. 下沉, 沉没, 下陷, 减弱, 衰退, 消沉, 堕落, 渗透
vt. 使低落, 使下沉, 陷于, 投入(资金等), 挖掘"
Paisley shirts,无
lavender,"n. 熏衣草, 淡紫色
a. 淡紫色的
vt. 用熏衣草熏"
checkerberry,"n. [植]鹿蹄草或果实, 蔓虎刺之一种, 平铺白珠果"
hangdog,"a. 鬼鬼祟祟的, 卑躬屈膝的, 低贱的
n. 卑微的人"
ram,"n. 公羊, 撞锤
vi. 猛击, 撞
vt. 猛击, 填塞, 反复灌输
n. 只读内存, 随机存取内存, 随机存取存储器
"
matrimonial,"a. 与婚姻有关的, 婚礼的
"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
mullah,n. 毛拉
infidel,"a. 不信神的, 无信仰的, 异端的
n. 无信仰者, 异教徒, 异端"
calcium,"n. 钙
"
lime,"n. 石灰, 粘鸟胶, 酸橙
vt. 以石灰处理, 粘鸟胶于, 撒石灰"
perimeter,"n. 周长, 周界, 边缘
"
covenant,"n. 契约, 盟约
v. 立契约, 缔结盟约"
sumo,n. （日）相扑
marrow,"n. 髓, 骨髓, 精华, 活力, 配偶
"
dervish,n. (伊斯兰教的)托钵僧
alpine,"a. 高山的, 高山生长的"
raja,"n. 印度王公, 统治者"
semiconductor,"n. 半导体
"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
precipice,"n. 悬崖, 绝壁, 险境"
plumb line,铅垂线
ledger,"n. 分类帐, 分户总帐, 盖墓石板, 横木
"
mason,"n. 泥瓦匠, 共济会会员
vt. 用砖瓦砌成"
chisel,"n. 凿子
v. 凿, 刻, 雕凿, 欺骗"
trowel,"n. 泥铲, 泥刀
vt. 用泥铲涂"
ibex,n. 北山羊
musket gun,无
polio,"n. 脊髓灰质炎, 小儿麻痹症
"
parchment,"n. 羊皮纸, 毕业文凭, 学位证书"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
exit poll,n. 出口民意
pastor,n. 牧师
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
denigrate,"vt. 使变黑, 玷污, 诋毁"
unequivocal,"a. 不含糊的, 不模棱两可的, 明确的
"
rabbi,"n. 拉比(犹太教圣职人员), 大师(对犹太学者的尊称)
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
profess,"vt. 声称, 以...为业, 伪称, 讲授
vi. 表白, 承认, 当教授"
sermon,"n. 说教, 启示, 布道"
You Tube,n. 视频网站（可以让用户免费上传、观赏、分享视频短片的热门视频共享网站）
gang-banger,[网络] 少年犯罪集团成员
bequeath,"vt. 遗赠, 遗留
"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
gin up,[网络] 养精咒
pulpit,n. 讲道坛
pew,"n. 教堂长椅, 会众, 座位
vt. 为(教堂)安装座位, 把...围在一起"
truism,"n. 自明之理, 众所周知, 老生常谈
"
complicity,"n. 同谋, 串通, 复杂
"
chasm,"n. 陷窟, 裂口"
zero sum, 零和
audacity,"n. 大胆, 厚颜无耻"
Scripture,"n. 圣经, 圣经的一节, 圣经的一句, 铭文"
blizzard,"n. 大风雪, 暴风雪"
hickory,"n. 山核桃树, 山核桃木
"
pecan,n. 美洲山核桃(树)
witch hazel, 北美金缕梅
canyon,"n. 峡谷, 海底悬崖"
corral,"n. 畜栏
vt. 把...关进畜栏"
cleavage,"n. 劈开, 裂片, 分裂
"
elk,n. 麋鹿
badger,"n. 獾, 獾皮毛
vt. 纠缠"
flax,"n. 亚麻, 麻布, 亚麻织品
"
buckwheat,"n. 荞麦, 荞麦片, 荞麦粉
"
stonecrop,n. 景天
larkspur,"n. 翠雀属植物
"
sweet clover, 草木樨（属）; 草木犀
lee,"n. 背风处, 避风处, 下风处, 保护, 庇护
a. 避风的, 背风的, 下风的, 保护的"
deity,"n. 神, 神性"
solstice,"n. 至, 至日, 至点, 极限, 决定性时刻"
caldron,n. 大锅
wean,"vt. 使断奶, 使丢弃, 使断念
n. 小儿"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
impale,"vt. 刺穿, 使绝望, 钉住"
deicide,n. 杀神
skillet,"n. 煮锅, 长柄浅锅"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
ample,"a. 大量的, 充足的, 丰富的"
nocturnal,"a. 夜的, 夜曲的
"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
perch,"n. 栖木, 高位, 杆, 河鲈
v. (使)栖息, 就位, 位于, (使)暂歇"
purl,"n. 金银线, 边饰, 反针, 潺潺声, 苦艾啤酒
vt. 用金银丝绣, 用反针编织
vi. 潺潺流水, 用反针编织"
scissortail,n. [鸟]叉尾霸鹟
comparable,"a. 可比较的, 比得上的"
underlying,"a. 在下面的
"
parka,"n. 皮制连帽大衣, 派克大衣"
glacier,n. 冰川
inexorable,"a. 无情的, 冷酷的"
graph,"n. 曲线图, 图表, 图形
"
rendezvous,"n. 约会, 约会地点
v. 集合, 集结, 在约定场所会面
"
snowscape,n. 雪景
noctilucent,"a. 生物发光的, 夜发光的"
tusk,"n. 长牙, 獠牙, 尖物
vt. 以长牙刺戳, 以长牙掘"
paralysis,"n. 麻痹, 停顿, 瘫痪
"
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
aquifer,[化] 含水层
molecule,"n. 分子, 些微
"
equilibrium,"n. 平衡, 平静, 均衡
"
vegetative,"a. 植物的, 蔬菜的, 生长的, 无性繁殖的, 植物似的, 生活呆板单调的, 生长性的
"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
saloon,"n. 大厅, 沙龙, 酒吧, 会客室"
colonel,"n. 陆军上校, 长官"
Mme,[网络] 邻甲氧基苯甲醛；苹果酸酶
beguile,vt. 诱骗
deferential,"a. 恭敬的
"
Right,[网络] -对
unwitting,"a. 不知情的, 没有意识到的, 不知不觉的"
dismissive,a. 轻视的
ascription,n. 归属
maid,"n. 少女, 未婚女子, 女仆"
calf love,早年初恋
signpost,"n. 招牌柱, 广告柱, 路标"
voluptuousness,"n. 风骚, 体态丰满"
taffrail,"n. 船尾上部, 船尾栏杆"
bluff,"n. 断崖, 绝壁, 吓唬
a. 直率的
v. 吓唬, 欺骗"
limestone,"n. 石灰石
"
altitude,"n. 高度, 海拔, 高处
"
intermittent,"a. 间歇的, 断断续续的
"
promontory,"n. 岬, 海角
"
gull,"n. 鸥, 易受骗之人, 呆子
vt. 欺诈, 骗"
albatross,"n. 信天翁, 沉重负担"
idyllic,"a. 田园诗的, 牧歌的, 悠闲的"
skiff,"n. 小艇, 轻舟, 小型帆船"
leper,"n. 麻疯病患者, 受蔑视的人
"
aquamarine,"n. 海蓝宝石, 浅绿色
"
croquet,"n. 槌球游戏
vi. 贴击对方的球"
devoid of, [医]aaj.缺乏的。没有的
immemorial,"a. 太古的, 远古的, 无法追忆的
"
wring,"n. 扭绞, 拧, 挤
vt. 拧, 绞, 扭, 勒索, 折磨, 使痛苦
vi. 蠕动, 扭动, 绞, 扭, 感到痛苦"
primordial,"a. 原始的, 自原始时代的
"
dandified,a. 打扮得华丽的
docile,"a. 容易教的, 温顺的"
locust,"n. 蝗虫, 蚱蜢, 蝉"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
cataract,"n. 大瀑布, 奔流, 暴雨, 白内障
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
yoke,"n. 轭, 牛轭, 束缚
vt. 给...上轭, 连接, 结合, 使匹配
vi. 结合, 匹配
"
foe,"n. 仇敌, 反对者, 敌人, 对手"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
subjugation,"n. 征服, 镇压, 平息
"
destroyer,"n. 破坏者, 消灭者, 起破坏作用的东西, 驱逐舰"
battleship,"n. 战列舰, 主力舰"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
quarter-deck,后甲板
awning,"n. 遮篷, 雨篷"
turret,"n. 塔楼, 角楼, 攻城用仰冲车
"
admiral,"n. 舰队司令, 海军上将, 旗舰"
august,"n. 八月
a. 威严的, 令人敬畏的"
boatswain,n. 水手长
cruiser,"n. 巡洋舰, 巡航飞机, 警察巡逻车"
flagship,n. 旗舰
accommodation ladder,舷梯
battery,"n. 电池, 殴打
"
scupper,"n. 甲板排水孔, 泄水口"
blue jacket,〈俗〉水兵
superstructure,"n. 上部构造, 上层建筑
"
quartermaster,"n. 军需官
"
fittings,n. 家具；设备；配件（fitting的复数）
fire extinguisher,[电] 灭火器
bunk,"n. 铺位, 废话, 逃走
vi. 逃跑, 睡在铺上
vt. 提供铺位"
wardroom,"n. 军官公共生活室, 全体军官"
the Kremlin,[网络] 克里姆林宫；会像克里姆林宫；克林姆林宫
aluminum,"n. 铝
"
stern,"n. 尾部, 船尾, 臀
a. 严厉的, 严格的, 坚定的, 坚决的"
coxswain,"n. 艇长, 舵手"
seaplane,n. 水上飞机
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
gangway,"n. 通道, 通路, 跳板
interj. 让路"
arsenal,"n. 兵工厂, 军械库
"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
stupendous,"a. 惊人的, 巨大的"
matériel,无
chaplain,n. 牧师
unwonted,"a. 不习惯的, 不寻常的, 非惯常的"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
gamut,"n. 音阶, 整个范围, 全部, 音域"
chum,"n. 密友, 室友
vi. 结为密友"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
bulkhead,"n. 隔壁, 防水壁"
bomber,"n. 轰炸机, 投弹手"
skipper,"n. 船长, 机长, 队长"
equivocate,"vi. 说模棱两可的话, 支吾"
