hello,"interj. 喂, 嘿"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
which,"pron. 哪一个, 那一个"
the,art. 那
Here you are.,"你已经到了,你要的东西在这儿!"
You're welcome.,[网络] 不客气；别客气；不用谢
pen,"n. 钢笔, 笔, 笔调, 笔杆子, 作家, 围栏, 栅栏, 禽畜
vt. 写, 关入栏中, 囚禁
vi. 动笔, 写作"
pencil,"n. 铅笔, 色笔, 眉笔, 画笔, 光线束
vt. 用铅笔写或涂, 草拟"
zoo,n. 动物园
pencil-box, 铅笔盒
may,"n. 五月
aux. 愿能, 可以, 愿意"
use,"n. 使用, 习惯, 使用价值, 用法, 使用权
vt. 使用, 利用, 运用, 耗费
vi. 惯常"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
book,"n. 书, 书籍, 帐簿, 名册, 工作簿
v. 登记, 预订
"
bag,"n. 袋子, 袋状物
vt. 使膨大, 装袋, 猎获"
crayon,"n. 蜡笔, 蜡笔画
vt. 以蜡笔作画"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
year,"n. 年, 年度, 年龄
"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
have a party,[网络] 聚会；举行晚会；开聚会
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
sing,"vi. 唱, 唱歌, 演唱, 鸣, 啼
vt. 唱, 歌颂
n. 嗖嗖声"
dance,"n. 跳舞, 舞蹈, 舞会
v. 跳舞"
happy,"a. 快乐的, 幸福的, 愉快的, 恰当的"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
