bedroom,n. 卧室
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
clothes,n. 衣服
T-shirt,"短袖运动衫,短袖汗衫"
blouse,n. 宽松的上衣
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
very much, 非常; 良; 无可不可
how much,"多少, 什么价钱, 到什么程度"
hundred,"n. 百, 百个东西
num. 百, 百个
a. 一百的, 许多的"
yuan,"n. 元(中国货币单位)
"
too,"adv. 也, 非常, 太"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
won't,[网络] 惯于
will not,无
take,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费
vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产
n. 拿, 取, 收成, 奏效"
cap,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
shirt,"n. 衬衫, 内衣, 汗衫"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
sweater,"n. 毛衣, 毛线衫, 运动衫, 出汗者
"
help,"n. 帮忙, 帮助者, 补救办法, 有益的东西
vt. 帮助, 帮忙, 接济, 治疗, 款待
vi. 有用, 救命, 招待
"
shoe,"n. 鞋, 靴, 外胎
vt. 给...穿鞋, 为马钉蹄铁"
pair,"n. 一双, 一对, 一副
v. (使)成对"
a pair of,"一对..., 一付..."
I'll,"我将, 我会（=I shall）"
I will,[网络] 艾维；我意志；我愿意
them,"pron. 他们, 她们, 它们"
jeans,"n. 工装裤, 牛仔裤"
anything,pron. 任何事
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
all,"a. 所有的, 全部的, 一切的
adv. 全部, 全然
pron. 全部
n. 全部"
sock,"n. 短袜, 鞋垫, 一击
vt. 重击, 猛投, 给...穿袜
vi. 打击
adv. 正着地, 不偏不倚地
a. 非常成功的"
trousers,"pl. 裤子, 长裤"
shorts,"n. 短裤, (美)男人的短衬裤
"
wear,"n. 穿着, 戴, 使用, 耗损, 服装, 耐久性
vt. 穿着, 戴, 留(须、发等), 呈现, 磨损, 磨成, 耗损, 使疲乏, 消磨
vi. 磨损, 变旧, 耐久, 渐变, 渐渐消失"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
painter,"n. 画家, 油漆匠
"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
grow up,"成熟, 成年, 发展, 逐渐形成"
be good at,擅长
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
food,"n. 食物, 养料
"
builder,"n. 建立者
"
build,"v. 建立, 建筑
n. 构造, 体格"
doctor,"n. 医生, 博士
vt. 授以博士学位, 诊断, 修改
vi. 行医"
policeman,"n. 警察
"
reporter,"n. 记者, 报告者
"
news,"n. 新闻, 消息, 报导
"
job,"n. 工作, 零活, 职业, 事情
vi. 做零工, 打杂, 做股票经纪, 假公济私
vt. 代客买卖, 批发, 承包, 欺骗
"
factory,"n. 工厂, 产生地, 代理店
"
worker,"n. 工人, 劳动者
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
his,"pron. 他的
"
writer,"n. 作家, 撰稿者, 抄写员
"
tell,"vt. 告诉, 说, 吩咐, 断定, 知道
vi. 讲述, 泄密, 告发, 表明"
her,"pron. 她的, 她"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
"
women,pl. 女人
farmer,"n. 农夫, 农场主
"
men,pl. man的复数
make,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行
vi. 开始, 前进, 增大, 被制造, 被处理
n. 制造, 构造, 性情"
machine,"n. 机器, 机械装置, 机构, 自动售货机, 机械般工作的人
vt. 以机器制造"
