evident,"a. 显然的, 明显的"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
"
monotonous,"a. 单调的, 无变化的"
supersonic,"a. 超声波的
"
ultrasonic,"n. 超声波
a. 超音速的"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
equivocal,"a. 意义不明确的, 模棱两可的
"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
provoke,"vt. 激怒, 惹起, 诱导
"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
correspond,"vi. 符合, 通信, 相当
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
probation,"n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
"
approve,"vt. 赞同, 核准, 为...提供证据
vi. 赞许"
denounce,"vt. 告发, 抨击, 谴责
"
pronounce,"v. 发音, 宣告, 断言"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
react,"vi. 起反应, 起作用, 反攻
"
transaction,"n. 交易, 办理, 学报, 和解协议
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
agenda,"pl. 议程, 日常工作事项
"
agony,"n. 极大的痛苦, 挣扎
"
antagonist,"n. 敌手, 对手
"
create,"vt. 创造, 建造, 引起, 任命"
creature,"n. 人, 动物, 创造物, 生物"
recreate,"v. (使)得到休养, (使)得到娱乐, 再创造"
pastime,"n. 消遣, 娱乐, 游戏"
mediocre,"a. 不好不坏的, 通常, 平凡的"
prefer,"vt. 宁可, 较喜欢, 提出
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
confer,"vt. 授予, 带来
vi. 协商"
differ,"vi. 不一致, 不同
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
infer,"vt. 推论出, 推断
vi. 作推论"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
valueless,"a. 无价值的, 不值钱的
"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
evaluate,"vt. 评估, 评价, 赋值"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
dispose,"vt. 处理, 排列, 布置
vi. 处置"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
asset,"n. 资产, 有益的东西"
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
saturate,"vt. 使渗透, 浸透, 使充满, 使饱和
a. 浸透的, 饱和度高的, 深颜色的
n. 饱和化合物, 饱和脂肪酸"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
attain,"vt. 达到, 获得
vi. 达到"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
detain,"vt. 扣留, 扣押, 耽搁
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
prohibit,"vt. 禁止, 阻止
"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
distract,"vt. 转移, 分心, 使发狂"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
compel,"vt. 强迫, 迫使"
propel,"vt. 推进, 驱使
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
erupt,"vi. 爆发
vt. 喷出"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
bankrupt,"n. 破产者
a. 破产的
vt. 使破产"
corrupt,"a. 腐败的, 贪污的, 讹误充斥的
vt. 使腐烂, 腐蚀, 使恶化
vi. 腐烂, 堕落"
fragment,"n. 碎片, 破片, 片段
"
fraction,"n. 小部分, 破片, 分数
"
fragile,"a. 易碎的, 脆的
"
compete,"vi. 竞争, 对抗"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
acquire,"vt. 获得, 学到
"
enquiry,"n. 询问
"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
coincide,"vi. 一致, 符合
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
precise,"a. 精确的, 严谨的, 明确的
"
concise,"a. 简洁的, 简明的"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
sector,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
depression,"n. 不景气, 消沉, 沮丧, 洼地
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
alleviate,"vt. 减轻, 使缓和"
elevate,"vt. 举起, 提拔, 鼓舞"
accomplish,"vt. 完成, 达到, 实现, 使完美"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
supplement,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
comply,"vi. 顺从, 依从
"
deplete,"vt. 耗尽, 使衰竭
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
retribution,"n. 报应, 惩罚, 报酬
"
distribute,"vt. 分配, 散布, 分发
"
ascribe,"vt. 归因于, 归咎于
"
describe,"vt. 描述, 描绘, 画"
prescribe,"v. 规定, 指定, 嘱咐, 开处方"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
literal,"a. 逐字的, 字面上的, 文字的, 字母的
n. 印刷错误
"
literate,"n. 学者
a. 有读写能力的, 精通文学的, 受过教育的"
literature,"n. 文学, 文艺, 著作
"
preside,"vi. 统辖, 当主人, 主持
"
reside,"vi. 住, 居留, 属于
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
obsess,"vt. 迷住, 使困扰"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
procedure,"n. 程序, 过程, 手续
"
process,"n. 程序, 进行, 过程
vt. 加工, 使...接受处理, 对...处置, 对...起诉
a. 经加工的, 有特殊光效的
"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
recession,"n. 后退, 凹处, 衰退, 归还
"
concede,"vt. 承认, 退让
vi. 让步"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
eminent,"a. 显赫的, 杰出的, 有名的"
naive,"a. 天真的, 纯真的, 幼稚的"
innate,"a. 先天的, 天生的
"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
innovation,"n. 改革, 创新
"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complicated,"a. 复杂的
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
explicit,"a. 详述的, 清楚的, 直言的"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
simulate,"vt. 模拟, 假装, 模仿
"
simultaneous,"a. 同时的, 同时发生的
"
symmetry,"n. 对称, 匀称
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
synthesis,"n. 综合, 组织, 综合体
"
analysis,"n. 分析
"
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作
vi. 被吸收, 被同化"
resemble,"vt. 相似, 类似"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
accumulate,"v. 积聚, 堆积"
undulate,"a. 波动的, 起伏的
vi. 波动, 起伏, 呈波浪形
vt. 使起伏, 使波动"
abundant,"a. 丰富的, 充分的, 大量的"
redundant,"a. 多余的, 过多的, 冗长的
"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
approximate,"a. 大约的, 接近的, 近似的
vt. 接近, 使接近, 粗略估计
vi. 接近于"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
lingual,"a. 舌的, 舌音的, 语言的
n. 舌音"
linguistics,n. 语言学
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
allege,"vt. 宣称, 主张, 提出, 断言
"
analogy,"n. 相似, 类似
"
monologue,"n. 独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
defect,"n. 缺点
"
deficient,"a. 不足的, 不充分的, 有缺陷的"
sufficient,"a. 充分的, 足够的
"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
infect,"vt. 传染, 感染
"
facility,"n. 容易, 灵巧, 设备
"
facilitate,"vt. 使容易, 促进, 帮助
"
feasible,"a. 能实行的, 可行的, 适宜的
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
exceptional,"a. 例外的, 异常的, 特别的"
conceive,"vt. 构思, 认为
vi. 怀孕"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
deceive,"v. 欺骗, 行骗"
recipient,"a. 领受的, 容易接受的, 感受性强的
n. 领受者, 容纳者, 容器"
capability,"n. 能力, 性能, 约束力
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
anticipate,"vt. 预期, 占先, 加速, 提前使用
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
intermittent,"a. 间歇的, 断断续续的
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
promising,"a. 有希望的, 前途有望的
"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
inject,"vt. 注射, 注入, 使入轨
"
eject,"vt. 逐放, 放逐, 喷射
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
respire,v. 呼吸
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
aspire,"vi. 渴望, 立志于"
conspire,"vi. 阴谋, 协力, 共谋
vt. 图谋"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
applaud,"v. 拍手喝彩, 称赞, 赞同"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
reclaim,"vt. 开垦, 改造, 感化, 纠正, 回收
vi. 喊叫, 抗议"
exclaim,"v. 大叫, 呼喊, 大声叫"
declare,"v. 宣布, 声明, 申报, 断言"
reconcile,"vt. 使和解, 调停, 使和谐, 使一致, 使听从
"
restrict,"vt. 限制, 限定, 约束
"
restrain,"vt. 抑制, 阻止, 束缚
"
constrain,"vt. 强迫, 限制, 关押"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
obstacle,"n. 障碍, 妨害物, 阻碍"
obstinate,"a. 倔强的, 顽固的, 不让步的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
constitute,"vt. 构成, 组成, 任命
"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
distinct,"a. 清楚的, 显著的, 不同的"
distinctive,"a. 有特色的, 出众的"
distinguish,"v. 区别, 辨别"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
instinct,"n. 本能, 直觉
a. 充满着的"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
controversy,"n. 论争, 辩论, 论战, 争论
"
divert,"vt. 转移, 使欢娱
vi. 转移"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
"
universe,"n. 宇宙, 星系, (思想等)范围"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
revolve,"v. (使)旋转, 反复考虑, 循环出现"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
dominate,"v. 支配, 占优势"
predominant,"a. 占主导地位的, 卓越的
"
domestic,"a. 家庭的, 国内的, 驯养的
"
opt,vi. 选择
optimism,"n. 乐观主义, 乐观, 乐天
"
optimum,"n. 最适条件, 最佳效果
a. 最优的, 最适宜的"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
extraordinary,"a. 非常的, 特别的, 非凡的
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
community,"n. 社区, 公众, 共有, 共同体
"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
intend,"vt. 计划, 打算, 意思是
"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
intensive,"a. 加强的, 内涵的, 集中的
n. 加强器"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
august,"n. 八月
a. 威严的, 令人敬畏的"
augment,"v. 增加, 增长
"
majesty,"n. 最高权威, 威严, 王权, 雄伟, 庄严"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
diminish,"v. (使)减少, (使)变小"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
equation,"n. 相等, 等式, 平衡
"
equator,"n. 赤道
"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
equilibrium,"n. 平衡, 平静, 均衡
"
democracy,"n. 民主政治, 民主主义
"
demonstrate,"vt. 示范, 证明
vi. 示威"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
identical,"a. 同一的, 恒等的, 完全相同的
"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
able,"a. 能干的, 能够的"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
abolish,"vt. 废止, 革除, 消灭
"
abide,"vi. 停留, 遵守, 居留, 继续下去
vt. 忍受, 经受, 屈从于"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
abundant,"a. 丰富的, 充分的, 大量的"
abound,"vi. 大量存在, 富于, 充满"
abreast,"adv. 并肩地, 并列地"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
acclaim,"n. 喝彩, 欢呼, 赞同
v. 欢呼, 喝彩, 称赞"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
"
accomplish,"vt. 完成, 达到, 实现, 使完美"
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目
vi. 报帐, 解释, 导致, 报偿, 占, 杀死
vt. 认为
"
accounting,"n. 会计学, 帐单, 清帐
"
accumulate,"v. 积聚, 堆积"
accuracy,"n. 精确, 正确
"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
achievement,"n. 完成, 成就, 功业"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquaintance,"n. 认识, 相识者"
acquire,"vt. 获得, 学到
"
activist,n. 激进主义分子
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
adapt,"vt. 使适应, 改编
vi. 适应"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
adequate,"a. 适当的, 足够的
"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
adjoining,"a. 邻接的, 毗连的
"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admission,"n. 准许进入, 入场费, 录用, 承认
"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
adore,"vt. 崇拜, 爱慕, 喜爱
vi. 崇拜, 爱慕"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
"
adversary,"n. 敌手, 对手
a. 敌手的, 敌对的"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
aerial,"a. 空中的, 航空的, 空气的, 空想的
n. 天线"
aesthetic,"a. 美学的, 审美的, 有美感的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
affiliate,"vt. 使紧密联系, 使附属, 接纳, 收养
vi. 发生联系, 参加"
affirm,"v. 断言, 确认"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
aggravate,"vt. 使恶化, 使更严重, 加重"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
agitation,"n. 激动, 焦虑, 煽动, 搅动, 摇动
"
agony,"n. 极大的痛苦, 挣扎
"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
allege,"vt. 宣称, 主张, 提出, 断言
"
alleviate,"vt. 减轻, 使缓和"
allocation,"n. 配置, 分配, 拨给
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
alphabet,"n. 字母
"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
altitude,"n. 高度, 海拔, 高处
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
ambiguous,"a. 不明确的, 模棱两可的
"
ambition,"n. 野心, 志向"
ambulance,"n. 救护车
"
amend,"vt. 修改, 改善, 改良
vi. 改过自新"
ample,"a. 大量的, 充足的, 丰富的"
amusement,"n. 兴味, 娱乐, 消遣
"
analogy,"n. 相似, 类似
"
analyze,"vt. 分析, 细察, 分解
"
ancestor,"n. 祖先, 祖宗"
