colonist,"n. 殖民地居民, 移民"
infliction,"[法] 处罚, 加刑, 刑罚"
inhumanity,"n. 不人道, 残暴
"
incentive,"n. 动机
a. 激励的"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
instrumental,"a. 仪器的, 器具的, 可作为手段的
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
unspeakable,"a. 说不出的, 无法形容的, 不能以言语表达的, 坏得无话可说的, 说不出口的"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
creed,"n. 宗教信条, 教义, 纲领"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
toll,"n. 通行费, 代价, 钟声
vt. 征收, 敲钟, 鸣钟, 勾引, 引诱
vi. 征税, 鸣钟"
blow up,"v. 炸掉；爆炸；充气；放大
"
unwilling,"a. 不愿意的, 勉强的
"
watercress,"n. 水田芥, 西洋菜"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
peppery,"a. 胡椒的, 辛辣的, 很辣的, 急躁的, 易怒的"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
kneel,vi. 跪下
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
ledge,"n. 突出部分, 暗礁, 矿层"
smock,"n. 工作服, 罩衫, 长罩衣
vt. 使穿上工作服, 缝制装饰用衣褶"
carbine,n. 卡宾枪
sling,"n. 投石器, 抛掷, 吊索, 吊钩
vt. 用投石器投掷, 用吊钩吊上, 吊起"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
get to one's feet,un. 觉得胆小；站起来
grudgingly,adv. 勉强地；不情愿地
grin,"n. 露齿笑
v. 露齿而笑"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flannel,"n. 法兰绒, 法兰绒衣服"
sullenly,"adv. 不高兴地, 绷着脸, 忧郁地"
dynamite,"n. 炸药
vt. 炸毁, 破坏"
evenly,"adv. 平衡地, 平坦地, 平等地"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
gaunt,"a. 瘦削的, 憔悴的, 荒凉的"
crease,"n. 皱痕, 折痕
v. (使)起皱痕"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
marlin,n. 枪鱼
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
relatively,"adv. 相对地, 比较地, 相当地, 相关地
"
apparently,"adv. 表面上, 清楚地, 显然地"
mechanic,"n. 机械工, 技工
a. 手工的"
seemingly,"adv. 看来似乎, 表面上看来"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
constraint,"n. 强制, 约束
"
distinctly,"adv. 显然地, 明显地, 清楚地"
flowery,"a. 多花的, 绚丽的, 华丽的"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
prose,"n. 散文
v. 写散文
a. 散文的, 平凡的"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
innovative,"a. 革新的, 创新的, 富有革新精神的"
clod,"n. 土块
vt. 对...掷土块"
promontory,"n. 岬, 海角
"
diminish,"v. (使)减少, (使)变小"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
magnify,"vt. 放大, 扩大, 赞美, 夸大
vi. 有放大能力"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
arch-," 表示“原始的”; 表示“统治者”, “首领”, “领导者”"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
forgery,"n. 伪造, 伪造罪, 伪造物
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
unimaginative,"a. 缺乏想象力的, 无趣的"
stretch out,"伸手, 开始大踏步走"
flatten,"vi. 使...不活跃, 变平
vt. 弄平, 打倒, 使失去光泽"
indication,"n. 指示, 象征, 暗示
"
scrawl,"vt. 潦草地写
vi. 乱写
n. 潦草的笔迹"
legend,"n. 传说, 传奇文学, 图例
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
be connected to, 与…有联系，与…有关联；与…连接
lean,"n. 瘦肉, 倾斜, 倾斜度
a. 瘦的, 贫乏的, 歉收的
vi. 倚靠, 倾斜, 依赖
vt. 使倾斜"
concerning,"prep. 关于
"
moor,"n.荒野；旷野
Moor: 摩尔人.
v.系住；停泊"
be connected with,与...相连/联系
give sb. credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
"
reassure,"vt. 使...安心, 向...再保证
"
insatiable,"a. 不知足的, 贪求无厌的
"
appetite,"n. 食欲, 欲望, 爱好
"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
substitute,"n. 代理, 代理人, 代用品, 代替者, 代替物
vt. 代替
vi. 替代, 取代, 代用
a. 代替的, 代用的, 代用品的
"
genre,"n. 类型, 流派"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
pulp,"n. 果肉, 纸浆
vt. 使化成纸浆, 除去...果肉
vi. 变成纸浆"
be viewed as, 被看作是
intriguing,"a. 吸引人的, 有趣的"
manor,"n. 庄园
"
cosy,"a. 温暖舒适的
n. 保暖套"
unrealistic,"a. 不切实际的, 幻想的"
in contrast to,"与...形成对照, 而..."
revolve,"v. (使)旋转, 反复考虑, 循环出现"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
scavenger,"n. (英)清道夫, 清扫工, 拾垃圾的人, 清除剂, 净化剂, 食腐动物, 黄色作家
"
sewage,"n. 脏水, 污水
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
doctorate,n. 博士头衔
psychometric,"a. 心理测量的,心理测量学的"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
aggression,"n. 侵犯, 侵略
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
incongruous,"a. 不协调的, 不一致的, 不合适的"
familiarity,"n. 熟悉, 精通, 亲密"
or rather,"更确切地说,说得更确切点"
outcome,"n. 结果, 出口"
pun,"n. 双关语, 俏皮话
vi. 说双关语, 说俏皮话
vt. 用双关语说服, 捣实"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
incongruity,"n. 不协调, 不一致, 不合适
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
detached,"a. 超然的, 分离的, 冷淡的
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
transcend,"vt. 超越, 胜过"
limitation,"n. 限制, 缺陷, 限额
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
see about,"查询, 留意于, 料理"
count on,"依靠, 指望"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
hint,"n. 暗示, 提示
v. 暗示, 示意"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
coward,"n. 懦弱的人, 胆小的人"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
"
resemblance,"n. 相似处, 类似, 肖像"
deceive,"v. 欺骗, 行骗"
flattered,"a. 高兴的, 感到荣幸的；过分夸赞"
for an instant,"短时间,瞬时间,剎那间"
cordially,"adv. 诚恳地, 诚挚地, 诚实地"
vaguely,"adv. 含糊地, 暧昧地"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
troublesome,"a. 麻烦的, 令人讨厌的"
affection,"n. 影响, 病, 喜爱, 情感, 倾向
"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
presently,"adv. 目前, 不久"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
aphorism,"n. 格言, 警语"
nominate,"vt. 提名, 任命, 命名
"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
visualise,"vt. 使可见, 使具体化, 使具形象
vt.vi. 设想, 想象
vi. 显现"
imbue,"vt. 使感染, 灌输, 使浸透"
prevalence,"n. 普遍, 流行, 广泛
"
imperfection,"n. 不完美, 缺点
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
gaiety,"n. 愉快, 快活, 高兴"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
nourish,"vt. 滋养, 使健壮, 怀有"
dwell,"vi. 居住, 居住(于), 存在(于)"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
contradiction,"n. 反驳, 矛盾
"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
lightness,"n. 光亮度, (颜色的)浅淡, 轻率, 轻佻, 轻浮, 轻盈, 轻松, 轻巧, 精巧, 优美
"
subtlety,"n. 微妙, 精明"
sham,"n. 假, 赝品, 骗子, 哄骗
a. 假的, 伪造的
vt. 假装, 冒充
vi. 装假"
stupidity,"n. 愚蠢, 糊涂事
"
humbug,"vt. 欺骗, 哄骗
vi. 行骗
n. 骗子, 欺骗, 欺诈"
witty,"a. 富于机智的, 诙谐的"
sane,"a. 神智健全的, 稳健的, 没病的, 合理的
"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
come into existence,"开始存在, 成立"
headquarters,"n. 总部, 司令部, 总部人员
"
charter,"n. 特许状, 执照, 宪章
vt. 特许, 发给特许执照"
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
enforce,"vt. 强迫, 执行, 坚持
"
ensure,"vt. 确定, 保证, 担保, 保护
"
at a time,"每次, 在某时"
veto,"n. 否决权
vt. 否决, 禁止"
proposal,"n. 提议, 计划, 求婚
"
diplomat,"n. 外交官, 有外交手腕的人
"
neutral,"n. 中立者, 中立国, 非彩色, 空档
a. 中立的, 中性的, 无色的"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
administer,"vt. 管理, 料理, 执行
vi. 执行遗产管理人的职责, 给予帮助"
refugee,"n. 难民, 流亡者
"
beret,n. 贝雷帽
dispute,"n. 争论
v. 争论"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
partnership,"n. 合伙, 合股, 合作关系
"
testimony,"n. 证言, 证据, 声明
"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
commemorate,vt. 纪念
showcase,"n. 陈列橱
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
contemporary,"n. 同时代的人
a. 同时代的, 属于同一时期的"
degradation,"n. 降格, 堕落, 退化
"
symposium,"n. 讨论会, 座谈会, 专题报告会, 专题论文集"
hearten,"vt. 使振作, 激励
vi. 振作"
means,"n. 方法, 手段, 工具, 财产, 收入
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
genocide,"n. 种族灭绝, 灭绝整个种族的大屠杀
"
heinous,"a. 可憎的, 令人发指的"
secretariat,"n. 书记处, 秘书之职, 秘书处"
proliferation,"n. 增殖, 激增
"
disarmament,"n. 裁军
"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
fare,"n. 费用, 旅客, 食物
vi. 进展, 进步, 经营, 过活"
capacity,"n. 容量, 能力, 才能, 资格
"
multilateral,"a. 多边的, 多国的
"
ongoing,"a. 前进的, 进行的, 不间断的
n. 前进, 发展"
transformation,"n. 变形, 变质, 变化, 改革, 变换
"
constructive,"a. 建设性的, 构造上的
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
synergy,"n. 协同作用
"
augur,"n. 占卜官, 预言者
v. 预示, 预言"
fulfilment,"n. 履行, 结束, 完成, 实现, 满意, 称心
"
fruitful,"a. 结果实的, 多实的, 产量多的"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
ecology,"n. 生态学, 社会生态学
"
rhinoceros,n. 犀牛
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
