according to,"根据, 按照；取决于；据…所说"
god,"n. 上帝, 神像, 偶像
vt. 使神化"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
golf,"n. 高尔夫球
vi. 打高尔夫球"
goodness,"n. 仁慈, 善良"
goose,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗
vt. 与...性交, 突然加大油门, 使生色, 喝倒彩"
govern,"v. 统治, 支配, 管理"
gown,"n. 睡衣, 法衣, 大学全体师生
vt. 使穿睡衣"
grain,"n. 谷粒, 颗粒, 谷类, 纹理, 本质
v. (使)成谷粒"
grammar,"n. 语法学, 入门书
"
grand,"a. 庄重的, 壮观的, 显赫的, 重大的, 最高的, 雄伟的, 宏大的, 豪华的, 傲慢的
"
grape,"n. 葡萄, 葡萄树
"
graph,"n. 曲线图, 图表, 图形
"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
gravity,"n. 地心引力, 重力
"
greedy,"a. 贪婪的, 贪得的, 贪吃的"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
grocer,n. 食品商
growth,"n. 生长, 栽培, 增长
"
guarantee,"n. 担保, 抵押品, 保证书
vt. 保证, 担保"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
guidance,"n. 指导, 领导
"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
gun,"n. 枪
"
ham,"n. 火腿, 后腿, 笨拙演员
a. 过火的, 做作的
v. 演得过火"
hammer,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
"
handful,"n. 少数, 一把, 棘手事"
handkerchief,"n. 手帕, 头巾, 围巾"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
handy,"a. 便利的, 敏捷的, 容易取得的
"
hardship,"n. 艰难, 辛苦, 苦难
"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
harmony,"n. 协调, 和睦, 调和
"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
hawk,"n. 鹰, 掠夺者, 鹰派成员
vi. 放鹰行猎, 像鹰一般地袭击, 清嗓, 咳嗽
vt. 捕捉, 咳出, 兜售, 叫卖, 散播"
hay,"n. 干草
vt. 制干草, 供给干草
vi. 晒干草"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
headmaster,"n. (中小学)校长, 监工"
heap,"n. 堆, 许多, 累积
vt. 堆积, 装满
"
hearing,"n. 听, 听觉, 听讯
"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
heaven,"n. 天堂, 上帝, 天空"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
herb,"n. 药草, 香草
"
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
hi,interj. 喂
highway,"n. 公路, 大道, 捷径
"
hire,"n. 租金, 租用, 雇用
vt. 雇请, 出租
vi. 受雇"
holy,"a. 神圣的, 圣洁的, 至善的
n. 神圣的东西"
honey,"n. 蜂蜜, 甜蜜, 爱人
a. 蜂蜜似的, 甜蜜的, 甘美的
vt. 加蜜使甜, 对...说甜言蜜语
vi. 说甜言蜜语, 奉承"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
hopeful,"n. 有希望之人, 有前途之人
a. 有希望的, 怀抱希望的, 保持乐观的"
horrible,"a. 可怕的, 遭透的, 极讨厌的"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
hunt,"n. 狩猎, 追捕, 搜寻, 猎区
vt. 狩猎, 打猎, 搜索
vi. 打猎, 猎食, 搜寻"
hurricane,"n. 飓风, 暴风, 暴风雨"
hydrogen,"n. 氢
"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
identity,"n. 身份, 相同, 一致, 特性, 恒等式
"
identification,"n. 识别, 身份证明, 认同
"
idiom,"n. 习语, 成语, 惯用语法, 方言"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
illegal,"a. 违法的, 不合规定的
"
immediate,"a. 立即的, 直接的, 接近的
"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
importance,"n. 重要, 重要性, 重要地位, 自大
"
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
income,"n. 收入, 收益, 流入
"
indeed,"adv. 的确, 实在, 真正地, 甚至"
independence,"n. 独立, 自立, 自主
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
indicate,"vt. 显示, 象征, 指示, 指出
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
injure,"vt. 伤害, 损害, 使受冤屈
"
injury,"n. 伤害, 侮辱
"
ink,"n. 墨水, 墨汁
vt. 涂墨水于, 签署, 加墨水"
inland,"a. 内陆的, 国内的
n. 内地"
inn,"n. 旅馆, 客栈
vi. 住旅馆"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
insect,"n. 昆虫, 卑鄙的人
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
insist,"v. 坚持, 坚决主张, 强调"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
institution,"n. 机构, 惯例, 制度
"
instruct,"vt. 教, 教育, 命令, 通知
"
instruction,"n. 指令, 教导, 命令
"
instrument,"n. 工具, 手段, 仪器
"
insurance,"n. 保险, 保险业, 保险费
"
insure,"vt. 保险, 确保
vi. 投保"
intelligence,"n. 智力, 情报, 信息
"
intend,"vt. 计划, 打算, 意思是
"
intention,"n. 意图, 目的, 含义
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
interval,"n. 间隔, 距离, 间歇, 间隙
"
introduction,"n. 介绍, 传入, 采用, 初步"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
jam,"n. 果酱, 拥塞之物, 堵塞, 困境
vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞
vi. 堵塞, 轧住, 拥挤"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
jaw,"n. 颚, 颌
v. 闲谈, 教训, 唠叨"
jazz,"n. 爵士乐, 喧闹
a. 爵士乐的, 喧吵的
vi. 演奏爵士乐, 跳爵士舞, 游荡
vt. 奏爵士乐, 使活泼"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
jewel,"n. 珠宝, 贵重物, 镶珠宝的饰物
vt. 饰以珠宝, 镶以宝石"
jewelry,"n. 珠宝, 珠宝类"
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
journalist,"n. 新闻记者, 从事新闻杂志业的人"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
judgement,"n. 审判, 判决, 判断
"
jungle,"n. 丛林, 杂乱的一堆, 弱肉强食的地方"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
kettle,"n. 茶壶, 罐
"
kick,"n. 踢, 反冲, 后座力, 凹底
vi. 踢, 反抗, 反冲
vt. 踢, 反冲"
kindergarten,n. 幼稚园
kindness,"n. 仁慈, 亲切, 和蔼"
kingdom,"n. 王国, 领域
"
knee,"n. 膝, 膝盖
vt. 膝行, 用膝盖碰"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
lamb,"n. 小羊, 羔羊
v. 产羊羔"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
lap,"n. 膝盖, 舔, 一圈, 下摆, 衣兜, 山坳
vi. 重叠, 围住, 轻拍, 舔
vt. 包围, 抱...在膝上, 使重叠, 舔, 拍打, 泼溅
"
laser,"n. 激光
"
latter,"a. 后者的, 较后的, 近来的"
laundry,"n. 洗衣店, 洗好的衣服, 洗涤
"
lavatory,"n. 洗脸盆, 厕所"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
league,"n. 同盟, 联盟, 盟约
v. 组联盟, (使)加盟"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
legal,"a. 法律的, 法定的, 合法的
"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
length,"n. 长度, 长, 期间, 一段
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
liberal,"n. 自由主义者
a. 慷慨的, 不拘泥的, 宽大的, 自由主义的"
liberty,"n. 自由, 特权, 许可, 冒失
"
liberate,"vt. 解放, 释放, 使自由
"
librarian,"n. 图书馆员, 图书管理员
"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
lifetime,"n. 一生, 终生
a. 一生的, 终生的"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
link,"n. 环, 连结物, 链接, 火把
vt. 连结, 联合, 挽住
vi. 连接起来
"
lip,"n. 唇, 口缘, 唇状构造
vt. 以嘴唇碰, 轻轻说出
a. 口头上的
"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
literature,"n. 文学, 文艺, 著作
"
literary,"a. 文学的, 文艺的, 精通文学的
"
litre,"n. 升, 公升
"
load,"n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载
vt. 装载, 装填, 使担负
vi. 装货, 上客, 装料
"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
lorry,"n. 卡车, 货车
"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
loudspeaker,"n. 扩音器, 喇叭
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
luggage,"n. 行李, 皮箱"
lung,"n. 肺, 肺脏, 空地
"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
maid,"n. 少女, 未婚女子, 女仆"
mail,"n. 邮件, 邮政, 邮递, 盔甲
vt. 邮寄, 给...穿盔甲
"
mainland,"n. 大陆, 本土
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
majority,"n. 多数, 大半
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
manager,"n. 经理, 管理员, 管理器
"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
married,"a. 已婚的, 婚姻的
"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
mat,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
means,"n. 方法, 手段, 工具, 财产, 收入
"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
medal,"n. 奖牌, 勋章
vt. 授勋予"
melon,"n. 瓜, 甜瓜, 红利, 赃物
"
memorial,"n. 纪念物, 请愿书
a. 记念的, 记忆的"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
mercy,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运
"
merely,adv. 只
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
method,"n. 方法, 办法, 条理, 秩序
"
microscope,"n. 显微镜
"
might,"n. 力量, 权力
aux. 可能, 也许"
millionaire,"n. 百万富翁, 大富豪
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
minimum,"a. 最小的, 最低的
n. 最小值
"
minister,"n. 部长, 牧师, 公使
vi. 服侍, 救助, 主持宗教仪式"
ministry,"n. 部, 内阁, 服务
"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
misunderstand,"vt. 误解, 误会"
mixture,"n. 混合, 混淆, 混合物
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
monument,"n. 纪念碑, 纪念物, 石碑"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
mosquito,"n. 蚊子
"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
mountain,"n. 山, 山脉, 大堆"
mourn,"v. 哀悼, 忧伤, 服丧"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
mud,"n. 泥, 诽谤
vt. 弄脏"
multiply,"v. 繁殖, 乘, 增加
"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
mutton,n. 羊肉
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
nationality,"n. 国籍, 国家, 民族性
"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
necklace,n. 项链
needle,"n. 针, 尖
vt. 用针缝
vi. 缝纫
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
nephew,"n. 侄子, 外甥"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
network,"n. 网络, 广播网, 网状物
"
niece,"n. 侄女, 甥女"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
northwest,"n. 西北, 西北方
a. 西北的, 在西北的, 来自西北的
adv. 向西北"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
nowhere,"adv. 无处, 到处都无"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
nut,"n. 坚果, 核心, 螺帽
"
nutrition,"n. 营养, 营养学
"
nylon,"n. 尼龙
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
"
occur,"vi. 发生, 被想到, 存在"
official,"n. 官员, 公务员, 职员
a. 公务的, 官方的, 正式的"
opera,n. 歌剧
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
optional,"a. 可选择的, 随意的
"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
organization,"n. 组织, 结构, 团体, 体制
"
origin,"n. 起源, 起因, 出身, 开端
"
otherwise,"adv. 否则, 不同地, 别的方式"
outcome,"n. 结果, 出口"
outer,"a. 外部的, 外面的, 在外的, 远离中心的
"
outing,"n. 郊游, 远足
a. 远足适用的"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
output,"n. 输出, 产品, 产量
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
oval,"n. 椭圆形
a. 卵形的, 椭圆形的"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
ownership,"n. 所有权, 物主身份
"
ox,n. 牛
oxygen,"n. 氧
"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
paddle,"n. 桨, 划桨, 明轮翼
vi. 划桨, 戏水, 涉水
vt. 用桨划, 划船运送, 搅, 拌"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
painter,"n. 画家, 油漆匠
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
partly,"adv. 部分地, 在一定程度上"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
passenger,"n. 乘客, 旅客
"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
patent,"n. 专利权, 许可证, 执照, 专利品, 素质
a. 专利的, 特许的, 显著的, 新奇的
vt. 取得...的专利权, 请准专利"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
patience,"n. 耐性, 忍耐"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
pattern,"n. 模范, 典型, 式样, 样品, 图案, 格调, 模式
vt. 模仿, 仿造, 以图案装饰
vi. 形成图案
"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
pea,"n. 豌豆, 似豌豆的东西"
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物
vt. 告发
vi. 告密, 检举"
pear,"n. 梨子, 梨树, 梨木
"
peasant,"n. 农夫, 乡下人"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
penny,"n. 便士, 一分, 小钱, 点滴
"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
percent,"n. 百分比, 百分数, 部分
"
percentage,"n. 百分比, 比率, 部分, 可能性
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
permission,"n. 许可, 允许
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
personnel,"n. 人员, 人事部门, 人事科(处)
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
pest,"n. 令人讨厌之物, 有害之物, 害虫, 瘟疫
"
petrol,"n. 汽油
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
physician,"n. 医师, 内科医师, 解除痛苦者
"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
pile,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮
vi. 堆起, 堆积, 积累, 挤, 猛烈攻击
vt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
pillow,"n. 枕头, 靠垫, 枕状岩
vt. 作...的枕头, 垫, 枕于
vi. 靠在枕上"
pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
pint,"n. 品脱(干量或液量的单位)
"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
plane,"n. 平面, 扁平物, 机翼, 飞机, 水准, 地位
a. 平的, 平面的
vt. 将...刨平, 刨平, 掠过水面
vi. 翱翔, 乘飞机旅行, 刨掉"
planet,"n. 行星, 命运星辰, 杰出的人, 重大影响的事"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
poem,"n. 诗, 诗般美的事物"
poet,n. 诗人
poison,"n. 毒药, 毒, 毒物, 有毒害的事物
vt. 毒害, 毒杀, 使中毒
vi. 放毒, 下毒"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
pole,"n. 波兰人, 极点, 磁极, 电极, 杆, 竿, 相反的极端
vt. 用竿支撑
vi. 撑篙"
policy,"n. 政策, 方针, 策略, 保险单
"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
political,"a. 政治的, 政治上的, 政党的, 从事政治的
"
politician,"n. 政客, 政治家, 从事党派政治的人
"
politics,"n. 政治, 政治学, 政见, 政治活动
"
pond,"n. 池塘
v. 筑成池塘"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
possibility,"n. 可能性, 可能的事
"
possibly,"adv. 可能, 也许"
postage,"n. 邮资
"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
