oh,interj. (表示惊讶、恐怖、赞叹)哦
quarter,"n. 四分之一, 一刻钟, 季度, 地区
vt. 四等分, 肢解
vi. 驻扎, 住宿"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
in the morning, 明天上午[早晨]
in the afternoon,adv. 在下午
in the evening,在晚上
first,"adv. 首先, 第一, 优先
a. 第一的
num. 第一
n. 开始, 第一"
chat,"n. 闲谈
vi. 闲谈, 聊天"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
each other,彼此
practise,"v. 实践, 实行, 练习, 实习, 从事(职业)"
have a good time,过得快乐
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
would,"aux. 将, 愿意"
would like, 想要
'd like,无
life,"n. 生活, 生命, 人生, 世事, 生物, 寿命, 一生, 生命力, 灵魂, 无期徒刑
"
lives,life的复数
roller skating, 滑旱冰
wish,"n. 希望, 愿望, 祝愿, 命令, 请求
vt. 愿, 想要, 希望, 祝愿
vi. 希望"
luck,"n. 运气, 幸运, 好运, 侥幸
vi. 靠好运成功"
museum,n. 博物馆
twice,"adv. 两次, 两倍"
picnic,"n. 野餐, 远足, 愉快的经历
vi. 去野餐, 远足"
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
reason,"n. 理由, 原因, 理智, 道理, 前提, 理性
vt. 说服, 推论, 辩论
vi. 推论, 劝说, 思考"
ready,"n. 预备好的状态, 现款
a. 准备好的, 备用的, 可以使用的
adv. 预先, 迅速
vt. 使准备好"
get ready for sth.,(使)准备好...
learn,vt. 学习；认识到；得知
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
celebrate,"v. 庆祝, 祝贺, 举行"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
dress,"n. 服装, 覆盖物
vi. 穿着
vt. 给...穿衣, 整理"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
Christmas,[网络] 圣诞；基督的弥撒
festival,"a. 节日的, 喜庆的, 快乐的
n. 节日, 庆祝, 欢宴"
because,conj. 因为
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
together,"adv. 一起, 共同, 彼此"
get together,"聚集, 收集, 积累"
moon cake,月饼(中国食品)
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
USA,"abbr. 美国；美利坚合众国（the United States of America）
n. (Usa)人名；(日)宇佐(名)；(所)尤萨"
United States of America,"美国, 美利坚合众国"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
pumpkin,n. 南瓜
lantern,"n. 灯笼, 提灯, 航标灯
vt. 装上提灯"
when,"conj. 当...的时候
adv. 何时, 什么时候
pron. 什么时侯
n. 时间"
inside,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
knock on the door,夜晚敲门(恐怖统治的标志)；夜晚敲门(恐怖统治的标志)[亦作knock in the night]
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
trick or treat, 不请吃就捣蛋（指万圣节孩子们挨家逐户要糖果等礼物，如不遂愿便恶作剧一番的风俗）
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
treat,"n. 宴请, 款待
vt. 视为, 对待, 论述, 治疗, 款待
vi. 讨论, 谈判, 作东"
trick,"n. 诡计, 欺诈, 谋略, 恶作剧, 习惯, 决窍
vt. 愚弄, 欺骗, 装饰
vi. 哄骗, 戏弄
a. 有决窍的, 特技的, 欺诈的, 漂亮的, 靠不住的"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
dumpling,"n. 面团布丁, 团子"
rice dumpling, 粽子
grandparent,n. 祖父母
other,"a. 其他的, 另外的, 从前的
pron. 其他的, 他人, 另外一个"
thing,"n. 事物, 东西, 物, 用品, 事, 事件, 情况, 行为, 特征"
lion,"n. 狮子, 狮子(星)座, 国际狮子会会员"
lion dance, 舞狮; 狮子舞
firework,"n. 烟火具, 烟火, 烟火信号弹, 焰火, 激情的表现"
find out,"na. 查出；发现；看清…的面目；识破
"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
radio,"n. 无线电, 收音机, 无线电报, 无线电广播, 无线电台
v. 用无线电发送"
take photos, 照像，拍照
at night,在晚上
show,"n. 显示, 表现, 展览, 卖弄, 炫耀, 外观, 演出, 洋相
vt. 表示, 显示, 展现, 陈列, 演出, 表明, 指出, 带领
vi. 露面, 显现, 演出
"
seem,"vi. 象是, 似乎"
different,"a. 不同的
"
around,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
off,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
set off,"na. 分；分割；划开；区划
"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
red packet, 红袋子; 红包
lifestyle,n. 生活方式
noon,"n. 正午, 中午, 全盛期"
hamburger,"n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排"
keep,"n. 生计, 维持, 保持
vt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐
vi. 保持, 继续不断"
lemon,"n. 柠檬, 柠檬树, 柠檬色
"
watermelon,n. 西瓜
chocolate,"n. 巧克力
a. 巧克力制的"
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
carrot,"n. 胡萝卜
"
pork,"n. 猪肉
"
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
meat,"n. 肉, 餐, 食物
"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
keep fit,"保持健康,健身"
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
pear,"n. 梨子, 梨树, 梨木
"
sugar,"n. 糖, 糖块, 甜言蜜语
vt. 加糖于, 使甜蜜, 粉饰, 美化
vi. 制成糖"
tooth,"n. 牙齿, 齿状物, 爱好
vt. 装以齿, 将...切成齿状
vi. 啮合"
teeth,"pl. 牙齿
"
computer game,"[计] 计算机博弈, 计算机游戏, 计算机对策"
cola,"结肠, 冒号, 科朗
"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
plan,"n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图
vt. 计划, 设计, 意欲
vi. 订计划"
pool,"n. 池, 水塘, 石油层, 联营
vt. 合伙经营, 共享, 采掘, 汇聚成
vi. 汇合成塘, 淤积, 联营"
swimming pool,n. 游泳池
piece,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
a piece of,"一块..., 一片..."
glass,"n. 玻璃, 玻璃杯, 透镜
vt. 装玻璃于, 反射, 反映
vi. 成玻璃状"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
salt,"n. 盐, 风趣, 刺激
a. 含盐的, 咸的, 风趣的, 辛辣的
vt. 加盐于, 用盐腌"
cup,"n. 杯子, 茶杯, 优胜杯
vt. 使成杯状, 为...拔火罐"
kilo,"n. 千
"
kilogram,"n. 千克, 公斤
"
carton,"n. 硬纸盒, 纸板箱
"
bottle,"n. 瓶子, 酒瓶
vt. 装瓶, 抑制, 围困"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
than,"conj. 比, 除...外
prep. 比"
less than," 小于, 决不; 以内; 没有; 不足"
more than,"比...多, 超出预料, 很, 绰绰"
take a walk,散步
total,"a. 全体的, 总的, 全然的
vt. 计算...的总和, 共计为
vi. 合计
n. 总数, 全体, 合计
adv. 统统"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
score,"n. 得分, 抓痕, 二十个, 刻痕, 帐目, 乐谱, 起跑线, 终点线, 大量
vt. 刻划, 划线, 获得, 评价, 把...记下
vi. 刻痕, 记分, 得分
"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
menu,"n. 菜单, (功能)选择单
"
bean,"n. 豆子
"
all right,"好, 顺利, 良好的, 正确的"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
energy,"n. 精力, 精神, 活力, 能量
"
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
shopping,"n. 买东西, 购物
"
mall,n. 林荫路
shopping mall,n. 大型购物中心
down,"a. 向下的
adv. 下, 下去, 降下
prep. 往下, 沿着
n. 丘陵, 软毛, 开阔的高地
"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
wallet,"n. 皮夹
"
carry,"n. 进位, 射程, 运载
vt. 携带, 运送, 支持, 传送, 包含
vi. 被携带, 能达到
"
bookshop,n. 书店
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
CD,"abbr. (=compact disc)激光唱片
n. 光盘
"
compact disc,"n. 镭射碟, 镭射唱片
"
sure,"a. 确信, 必然的, 必定的
adv. 当然, 确实地, 无疑地"
maybe,"adv. 也许, 大概
n. 可能性"
be interested in,对…很感兴趣
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
you're welcome,[网络] 不客气；别客气；不用谢
shopkeeper,"n. 零售商, 店主, 老板"
just a minute,请等一会儿
take a look,看一看
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
last,"a. 最后的, 末尾的, 最近的
vi. 持续, 支持, 维持
vt. 使维持, 够...用
adv. 最后, 后来
n. 最后, 末尾, 鞋楦头"
hair clip,发夹
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
"
pink,"n. 粉红色, 石竹花, 化身, 典范, 头面人物, 极度
a. 粉红的, 石竹科的, 比较激进的, 脸色发红的, 精致的, 有点下流的
vt. 刺, 扎, 刺痛, 射伤, 使面红耳赤, 使变粉红色
vi. 变粉红色"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
change,"n. 变化, 找回的零钱, 找头, 更换
vt. 改变, 更换, 兑换"
different from, 异于…; 不比
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
item,"n. 项目, 条款, 一则, 项
"
T-shirt,"短袖运动衫,短袖汗衫"
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
area,"n. 区域, 面积, 范围, 空地
"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
pocket,"n. 口袋, 钱袋, 钱, 容器
vt. 装...在口袋里, 隐藏, 抑制, 私吞, 搁置, 击...入袋
a. 袖珍的, 小型的, 压缩的, 金钱上的"
pocket money,"零用钱
"
pair,"n. 一双, 一对, 一副
v. (使)成对"
a pair of,"一对..., 一付..."
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
bus stop,公共汽车站
restaurant,"n. 餐馆, 饭店"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
think about,"考虑, 回想"
spend,"vt. 花费, 浪费, 度过, 消耗, 消磨
vi. 花费, 用尽"
lazy,"a. 懒惰的, 怠惰的, 缓慢的
vi. 懒散"
blouse,n. 宽松的上衣
tie,"n. 带子, 线, 鞋带, 领带, 领结, 关系, 束缚, 平局, 不分胜负
vt. 系, 打结, 扎, 约束, 与...成平局
vi. 结合, 打结, 不分胜负"
lend,"vt. 借, 贷款给, 增添, 提供, 出租
vi. 贷款"
lady,"n. 淑女, 夫人, 女士, 贵妇"
gentleman,"n. 绅士, 先生"
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
"
trainer,"n. 训练员, 驯马师
"
sneaker,"n. 鬼鬼祟祟做事的人, 卑鄙者, 帆布胶底运动鞋"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
among,prep. 在...之中
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
grey,"n. 灰色
a. 灰色的, 阴沉的
v. (使)成灰色"
smart,"a. 聪明的, 漂亮的, 刺痛的, 剧烈的, 敏捷的, 巧妙的, 伶俐的, 潇洒的
n. 刺痛, 痛苦
vi. 刺痛"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
both,"a. 两者的
adv. 两者都
pron. 两者"
jeans,"n. 工装裤, 牛仔裤"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
wool,"n. 羊毛, 毛织物, 毛线, 绒线
"
boot,"n. 长靴, 踢, 解雇, 效用
vt. 使穿靴, 踢, 解雇, 有用
"
both ... and ..., 两个都; 既…又…
be made of,由...所组成
write to,给…写信
wait for,"na. 等；等待
"
look for,"寻找, 期待"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
go for sth.,"去找, 努力获取, 被认为, 主张, 拥护"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
fit for, 给…量尺寸以便做…; 适于， 适合
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
glove,"n. 手套
vt. 给...戴手套"
leather,"n. 皮革, 皮制品, 马镫的皮带
vt. 覆以皮革, 鞭苔, 抽打
a. 皮革的, 皮制的"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
lovely,"a. 可爱的, 有趣的"
hat,"n. 帽子
vt. 给...戴帽子"
jacket,"n. 夹克, 外套, 护套
vt. 给...穿夹克, 给...装护套"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
design,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
include,"vt. 包括, 把...算入, 包住
"
