accustom,vt. 使习惯于
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
crevice,"n. 裂缝
"
foolhardy,"a. 愚勇的, 有勇无谋的"
lure,"n. 饵, 诱惑
vt. 引诱, 诱惑"
makeshift,"n. 权宜之计, 临时代用品
a. 权宜的, 临时代用的"
optimist,"n. 乐观者, 乐观主义者"
previous,"a. 早先的, 前面的, 过急的
"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
terse,"a. 简洁的, 扼要的"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
vertical,"a. 垂直的, 直立的
"
abolish,"vt. 废止, 革除, 消灭
"
agony,"n. 极大的痛苦, 挣扎
"
catapult,"n. 弹射器, 弹弓, 弩炮
vt. 发射"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
denounce,"vt. 告发, 抨击, 谴责
"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
inflict,"vt. 施以, 加害, 使承受
"
loathe,"vt. 厌恶, 憎恶"
meddle,"vi. 干涉, 干预, 擅自摸弄
"
monstrous,"a. 巨大的, 畸形的, 怪异的
"
rouse,"n. 觉醒, 奋起, 干杯
vt. 唤醒, 鼓舞, 激动, 使振奋, 惊起
vi. 醒来, 奋起"
steadfast,"a. 坚定的, 踏实的, 固定的, 不变的"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
colony,"n. 殖民地, 移民队
"
compensate,"v. 偿还, 补偿, 付报酬"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
feeble,"a. 微弱的, 衰弱的, 无效的
"
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
resemble,"vt. 相似, 类似"
rigid,"a. 坚硬的, 刚性的, 严格的, 精密的, 刻板的"
solitary,"n. 独居者
a. 孤独的, 独居的"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
waddle,"vi. 摇摇摆摆地走, 蹒跚而行
n. 蹒跚"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
banquet,n. 宴会
cargo,"n. 货物
"
cask,"n. 桶, 木桶
vt. 装入桶内"
celebrate,"v. 庆祝, 祝贺, 举行"
decrease,"n. 减少, 减少量
v. 减少"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
edible,"n. 食品, 食物
a. 可食用的"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
hew,"vt. 砍, 砍倒, 砍成
vi. 砍, 劈, 坚持"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
task,"n. 工作, 任务, 作业, 困难的工作
vt. 派给...工作, 使辛劳
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
accomplish,"vt. 完成, 达到, 实现, 使完美"
ascend,"vi. 上升, 追溯, 登高
vt. 攀登"
dense,"a. 密集的, 浓厚的"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
flimsy,"a. 易坏的, 脆弱的, 浅薄的
n. 易损坏的东西(或材料), 薄纸, 描图用薄纸, 薄纸稿纸"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
lumber,"n. 木材, 破旧家俱, 废物, 隆隆声
vt. 砍伐木材, 乱堆
vi. 笨拙地移动, 喧闹地向前走, 隆隆地移动"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
spectator,"n. 观众, 目击者, 旁观者"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
terminate,"a. 有结尾的, (可)结束的
vi. 结束, 终止, 满期
vt. 使停止, 使结束, 使终止
"
unwieldy,"a. 难处理的, 笨大难使用的, 笨拙的"
available,"a. 可利用的, 可获得的, 有效的
"
bondage,"n. 奴役, 束缚
"
donate,v. 捐赠
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
liberate,"vt. 解放, 释放, 使自由
"
numerous,"a. 很多的, 数目众多的, 多数的
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
prohibit,"vt. 禁止, 阻止
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
reassure,"vt. 使...安心, 向...再保证
"
reluctant,"a. 不情愿的, 勉强的
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
yearn,"vi. 渴望, 想念, 怀念, 同情"
accelerate,"v. 加速, 促进"
altitude,"n. 高度, 海拔, 高处
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
brace,"n. 支柱, 曲柄, 支撑, 一对
vt. 紧缚, 支撑, 激励
vi. 打起精神
"
confident,"a. 有信心的, 有把握的"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
exult,"vi. 非常高兴, 欢欣"
hangar,"n. 棚厂, 飞机库"
maximum,"n. 极点, 最大量, 极大
a. 最高的, 最大的, 最大极限的
"
methodical,"a. 有方法的, 有系统的"
nonchalant,"a. 不关心的, 冷淡的, 无动于衷的"
proceed,"vi. 继续进行, 进行, 开始, 发出, 起诉
"
saunter,"n. 闲逛, 漫步
vi. 闲逛, 漫步"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
convalesce,"vi. 渐渐康复, 渐愈"
dedicate,"vt. 献出, 贡献"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
exasperate,"vt. 使恼怒, 激怒, 恶化
a. 糙面的, 恼怒的, 激怒的"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
restrict,"vt. 限制, 限定, 约束
"
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
tempest,"n. 暴风雨, 骚动
vt. 使受大风暴影响, 使骚动, 使激动"
upbringing,n. 教养
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
bask,"vi. 晒太阳, 感到舒适"
carcass,"n. 尸体
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
flail,"n. 连枷
v. 用连枷打, 打"
gorge,"n. 峡谷, 凹槽, 塞饱, 咽喉
vi. 狼吞虎咽
vt. 塞饱, 狼吞虎咽地吃"
morsel,"n. 一口, 少量, 小片"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
ripple,"n. 涟波, 涟漪, 波纹, 粗钢梳
vt. 使起涟漪
vi. 起微波, 起潺潺声"
slither,"vi. 不稳地滑动
vt. 使滑动"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
snout,"n. 鼻口部, 鼻子, 口吻状物, 烟草"
taper,"n. 带子操作工, 小蜡烛, 尖细, 渐弱, 锥形, 尖塔
a. 尖细的, 分等级的
v. (使)一头逐渐变细, (使)逐渐减少"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
decade,"n. 十年, 十"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
require,"vt. 需要, 命令, 要求
"
taunt,"n. 辱骂, 嘲弄
vt. 嘲弄, 奚落
a. 很高的"
tolerant,"a. 宽容的, 容忍的, (对冷、热)能耐的
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
wilderness,"n. 荒野, 荒地, 大量"
disaster,"n. 灾祸, 不幸, 彻底失败"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
immense,"a. 极广大的, 无边的, 非常好的"
intense,"a. 非常的, 强烈的, 紧张的, 热情的
"
investigate,"v. 调查, 审查"
lurch,"n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
vi. 惨败, 倾斜, 徘徊
vt. 击败"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
petrify,"vt. (非正式)使惊呆, 使吓得要死, 使发呆
vt.vi. 使石化, 使成为化石, 使变僵, 变僵硬, 使消失活力, 使僵化"
predict,"v. 预知, 预言, 预报"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
bungle,"v. 拙劣地工作, 粗制滥造, 把...搞糟
n. 粗劣, 失误, 笨拙"
dominate,"v. 支配, 占优势"
former,"a. 从前的, 前者的
n. 起形成作用的人(或物), 模型, 样板"
guardian,"n. 看守者, 监护人, 保护人
a. 保护的"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
jubilee,"n. 五十周年纪念/庆祝, 二十五周年纪念/庆祝, 欢乐的佳节, 欢庆日, 狂欢节"
kin,"n. 亲戚, 同族, 血缘关系, 家族
a. 有亲属关系的, 性质类似的, 同类的"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
provoke,"vt. 激怒, 惹起, 诱导
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
afflict,"vt. 使苦恼, 折磨"
barren,"a. 不育的, 贫瘠的
n. 荒地"
consist,"vi. 组成, 存在于, 一致"
drought,"n. 干旱, 缺乏"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
famine,"n. 饥荒, 缺乏, 饥饿"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
oasis,"n. 绿洲, 舒适的地方
"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
refuge,"n. 避难所, 安全地带, 避难, 庇护
vi. 躲避
vt. 给予...庇护"
revert,"vi. 恢复, 复归, 回复, 还原
vt. 使回复原状, 使回转
n. 恢复原信仰的人
"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
animated,"a. 活生生的, 能活动的, 活泼的, 欢快的"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
convince,"vt. 说服, 使相信
"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
hilarious,"a. 喜不自禁的, 欢闹的, 引人发笑的"
likeness,"n. 相象, 相似物, 样子"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
mischief,"n. 损害, 伤害, 灾祸, 恶作剧, 淘气
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
obsolete,"a. 荒废的, 成废物的, 陈旧的, 老式的
n. 废词, 废物"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
sensation,"n. 感觉, 轰动
"
somber,"a. 昏暗的, 阴天的, 严峻的, 忧郁的"
subsequent,"a. 后来的, 接下去的
"
vow,"n. 誓约, 誓言, 许愿
vi. 起誓, 发誓, 郑重宣言
vt. 立誓, 起誓要, 郑重地宣布"
dormant,"a. 睡眠状态的, 静止的
"
elegant,"a. 优雅的, 端庄的, 高雅的"
erupt,"vi. 爆发
vt. 喷出"
excavate,"v. 挖空, 挖出, 凿通"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
fume,"n. 臭气, 烟, 激怒
vt. 熏
vi. 冒烟"
molten,"a. 熔化的, 炽热的, 铸造的
melt的过去分词"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
perish,"vi. 毁灭, 丧生, 凋谢, 颓丧, 死亡, 腐烂
vt. 毁坏, 使麻木, 使丧生, 耗尽"
population,"n. 人口, 人口数
"
prelude,"n. 前奏, 序幕, 序诗, 前奏曲
vi. 作为前奏
vt. 作为...的开头"
scald,"n. 烫伤, 烫洗
v. 烫伤, 烫洗"
stupendous,"a. 惊人的, 巨大的"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
tremor,"n. 震动, 颤动
"
ample,"a. 大量的, 充足的, 丰富的"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
compassion,"n. 同情, 怜悯"
comply,"vi. 顺从, 依从
"
cumbersome,"a. 笨重的, 麻烦的, 累赘的"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
exert,"vt. 发挥, 运用, 施以影响
"
indignant,"a. 愤怒的, 愤慨的"
jest,"n. 笑柄, 笑话
vi. 讲笑话, 嘲笑, 开玩笑
vt. 嘲笑"
mirth,"n. 欢笑, 欢乐, 愉快"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
outskirts,"n. 近郊, 市郊"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
ridicule,"n. 嘲笑, 愚弄, 笑柄
vt. 嘲笑, 嘲弄, 愚弄"
