coda,"n. 尾音, 乐章结尾部, 结尾段"
apoplectic,"n. 中风病人
a. 中风的, 有中风迹象的"
ascetic,"n. 苦行者, 禁欲者, 修道者
a. 苦行的, 禁欲的"
prophetic,"a. 预言的, 先知的, 预示的"
bathetic,"a. 陈腐的, 突降的"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
hermetic,"a. 奥妙的, 密封的, 不透气的, 不漏气的, 与外界隔绝的
"
peripatetic,"a. 徒步的, 漫游的
n. 走来走去的人, 游历"
politic,"a. 精明的, 明智的, 策略的"
antic,"n. 滑稽动作
a. 古怪的"
gigantic,"a. 巨人般的, 巨大的"
authentic,"a. 可靠的, 可信的, 真正的
"
demotic,"a. 人民的, 民众的, 通俗的"
hypnotic,"a. 催眠的, 在受催眠状态中, 易于催眠的
n. 催眠药, 安眠药, 催眠状态的人"
despotic,"a. 专制的, 专横的, 暴虐的
"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
quixotic,"a. 堂吉诃德式的, 愚侠的, 狂热而侠义的, 理想而不实际的, 充满幻想的"
dyspeptic,"a. 消化不良的, 引起消化不良的, 患消化不良的
n. 消化不良者"
septic,"a. 腐败的, 脓毒性的
n. 引起腐败的物质"
aseptic,"n. 防腐剂
a. 无菌的"
apocalyptic,"a. 天启的, <<启示录>>的"
cryptic,"a. 神秘的, 含义模糊的, 隐藏的
"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
plastic,"n. 塑料, 可塑体, 可塑性物质
a. 塑料的, 塑造的, 有可塑性的, 造型的, 易受影响的, 有创造力的"
majestic,"a. 宏伟的, 庄严的"
pessimistic,"a. 悲观的, 厌世的, 悲观主义的"
chauvinistic,"a. 本民族(或本性别)第一主义的, 沙文主义的"
egoistic,"a. 自我中心的, 自私自利的"
narcissistic,"a. 自我陶醉的, 自恋的
"
caustic,"n. 腐蚀剂
a. 腐蚀性的"
rustic,"n. 乡下人, 乡巴佬
a. 乡村的, 纯朴的, 手工粗糙的"
therapeutic,"a. 治疗的, 有益于健康的
"
ad hoc,"特别地
"
havoc,"n. 大破坏, 蹂躏
vt. 严重破坏"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
proofread,"vt. 校正, 校对"
fad,"n. 时尚
"
myriad,"n. 无数, 无数的人(或物)
a. 无数的, 种种的"
ironclad,"a. 装甲的, 铁定的
"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
goad,"n. 赶牛棒, 激励, 刺激
vt. 用刺棒驱赶, 激励, 刺激, 唆使, 煽动"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
self-absorbed, 专顾自己的
barefaced,"a. 公然的, 无耻的, 无面具的"
wrongheaded,"a. 判断错误的, 顽固的, 固执的, 坚持错误的"
levelheaded,"a. 稳健的, 头脑冷静的；明智的"
jaded,"a. 疲倦不堪的, 厌倦的"
lopsided,"a. 倾向一方的, 不平衡的"
backhanded,a. 间接的
ham-handed,"na. “ham-fisted”的变体
"
outmoded,"a. 过时的, 废弃的
"
secluded,"a. 隐退的, 隐蔽的"
ragged,"a. 衣衫褴褛的, 参差不齐的, 不协调的, 粗糙的, 刺耳的"
dogged,"a. 顽固的, 顽强的"
far-fetched,"adj. 强词夺理的
"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
polished,"a. 擦亮的, 优雅的, 精良的"
cherished,v. 珍爱( cherish的过去式和过去分词 ); 怀有; 爱护; 抚育
watershed,"n. 流域, 分水岭
"
full-bodied,完满的
dignified,"a. 有尊严的, 高尚的"
serried,"a. 密集的, 林立的, 锯齿状的"
half-baked,"半熟的,没有经验的"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
dappled,"a. 斑纹的, 花斑的"
ingrained,"a. 根深蒂固的, 彻底的, 深染的"
thick-skinned,"a. 厚皮的, 脸皮厚的, 感觉迟钝的"
cramped,"a. 狭窄的, 难懂的, 难辨的"
ill-bred,没有[有]教养
kindred,"n. 家族, 相似, 亲戚关系
a. 同族的, 同类的, 血缘的"
mannered,"a. 守规矩的, 矫饰的"
unlettered,"a. 未受教育的, 无学问的, 文盲的"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
enamored,"a. 倾心于...的, 被迷住的, 迷恋的"
measured,"a. 整齐的, 慎重的, 基于标准的"
versed,"a. 熟练的, 精通的"
depressed,"a. 沮丧的, 降低的
"
sophisticated,"a. 复杂的, 久经世故的
"
dated,"a. 有日期的, 陈旧的"
variegated,"a. 杂色的, 斑驳的, 富于变化的
"
corrugated,"a. 皱纹的, 波状的
"
calculated,"a. 有计划的, 适当的, 适合的, 计算出的
"
antiquated,"a. 陈旧的, 过时的, 年老的"
disaffected,"a. 不满的, 不忠的, 疏远的"
merited,a. 应得的；理所当然的
acquainted,a. 知晓的；有知识的；熟识的
disjointed,"a. 关节脱位的, 脱臼的, 脱节的, 没有条理的, 次序混乱的, 杂乱的, 支离的
"
unwonted,"a. 不习惯的, 不寻常的, 非惯常的"
devoted,"a. 投入的, 深爱的"
halfhearted,"a. 不认真的, 无兴趣的, 不热心的"
stouthearted,"a. 刚毅的, 大胆的"
concerted,"a. 商定的, 协定的, 一致的
"
disinterested,"a. 无私欲的, 廉洁的, 公平的"
tightfisted,a. 吝啬的
committed,"a. 献身于某种事业的
"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
contrived,"a. 人造的, 勉强的, 不自然的"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
hackneyed,"a. 使用过于频繁的, 常见的, 陈腐的"
upbraid,"vt. 谴责, 责骂, 申斥"
rabid,"a. 猛烈的, 热烈的, 急进的, 狂怒的, 偏激的, 疯狂的
"
morbid,"a. 致病的, 病态的, 疾病的, 可怕的
"
turbid,"a. 浑浊的, 污浊的, 混乱的, 雾重的
"
placid,"a. 平静的, 温和的, 沉着的, 平稳的"
flaccid,"a. 软弱的, 没气力的, 无活力的
"
viscid,"a. 粘的, 胶粘的, 粘质的
"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
"
pellucid,"a. 透明的, 澄清的, 明了的
"
sordid,"a. 肮脏的, 贪婪的, 卑鄙的, 恶劣的, 暗淡的
"
frigid,"a. 寒冷的, 严寒的, 冷淡的
"
turgid,"a. 肿的, 浮夸的
"
squalid,"a. 污秽的, 肮脏的, 悲惨的, 可怜的, 卑劣的"
pallid,"a. 苍白的, 暗淡的, 无生气的"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
stolid,"a. 缺乏热情的, 神经麻木的"
timid,"a. 胆小的, 羞怯的"
paranoid,"a. (似)患妄想狂的, (似)患偏执狂的
n. 患妄想狂的人"
vapid,"a. 乏味的, 走了气味的, 无生气的, 无趣味的"
intrepid,"a. 无畏的, 勇猛的"
tepid,"a. 微温的, 温热的, 不太热烈的
"
insipid,"a. 乏味的, 清淡的, 难吃的
"
limpid,"a. 清澈的, 透明的, 平静的"
torpid,"a. 麻痹的, 迟缓的, 迟钝的, 蛰伏的
"
arid,"a. 干燥的, 不毛的"
hybrid,"n. 混血儿, 杂种, 混合物
a. 混合的, 杂种的, 混合语的
"
acrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的
"
florid,"a. 华丽的, 红润的
"
torrid,"a. 晒热的, 酷热的, 炎热的"
lurid,"a. 火烧似的, 苍白的, 华丽的, 可怕的"
fetid,"a. 恶臭的
"
languid,"a. 疲倦的, 无力的, 阴沉的"
avid,"a. 渴望的, 急切的, 劲头十足的"
fervid,"a. 热的, 热心的"
piebald,"a. 花斑的, 杂色的, 杂种的
n. 花斑马"
ribald,"a. 说话猥亵的, 下流的, 粗俗的
n. 说下流话的人"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
gild,"vt. 镀金, 虚饰, 装饰, 供给钱"
chokehold,n. 掐脖子; 压制
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
uphold,"vt. 支撑, 赞成, 鼓励, 举起, 坚持
"
untold,"a. 未说过的, 未透露的, 未加叙述的, 数不清的, 无限的, 不可计量的, 无数的
"
husband,"n. 丈夫, 管理人, 节俭的人
vt. 节俭, 使成丈夫, 持有"
offhand,"a. 即时的, 即席的, 无准备的, 随便的, 简慢的, 不友好的
adv. 即时地, 即席地, 随便地"
bland,"a. 温和的, 乏味的, 冷漠的
"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
strand,"n. (绳索的)股, 绳, 串, 海滨, 河岸
vi. 搁浅
vt. 使搁浅, 使落后, 使陷于困境, 弄断, 搓"
grandstand,"n. 正面看台, 观众"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
transcend,"vt. 超越, 胜过"
reprehend,"vt. 申斥, 谴责, 非难"
comprehend,"vt. 理解, 包括"
commend,"vt. 嘉奖, 委托给, 推荐"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
rend,"vt. 分裂, 劈开, 强夺, 撕碎, 划破
vi. 撕开, 裂开"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
distend,"v. (使)膨胀, (使)扩张"
rescind,"vt. 废止, 使无效, 取消, 撤消, 解除
"
abscond,"vi. 潜逃, 逃匿
"
moribund,"a. 垂死的
n. 垂死的人"
fecund,"a. 生殖力旺盛的, 多产的, 丰饶的, 肥沃的"
rubicund,"a. 红润的, 透红的"
jocund,"a. 欢乐的, 高兴的"
bound,"n. 跃, 回跳, 范围, 边界
a. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的
vi. 跳跃, 弹起
vt. 使跳, 限制, 形成...的疆界
bind过去式和过去分词
"
hidebound,"a. 思想偏狭顽固的, 死板的, 量小的
"
confound,"vt. 使混淆, 使狼狈, 挫败"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
foreground,"n. 前景, 最显著的位置
"
sound,"n. 声音, 语音, 吵闹, 声调, 听力范围, 探条, 海峡
a. 健全的, 可靠的, 合理的, 健康的, 彻底的, 资金充实的
adv. 彻底地, 充分地
vi. 发出声音, 回响, 测深, 试探, 听起来
vt. 使发声, 宣告, 听诊, 测...深, 试探
"
slipshod,"a. 破烂的, 马虎的, 潦草的"
falsehood,"n. 谎言, 虚假(性)
"
prod,"n. 刺针, 刺棒, 激励话, 提醒物
vt. 戳, 刺, 刺激
vi. 戳, 刺"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
sluggard,"n. 偷懒者, 游手好闲的人, 懒鬼"
diehard,"n. 顽固分子
"
dullard,"n. 蠢人, 笨蛋"
canard,"n. 谣言, 误传"
aboveboard,"adv. 光明正大地, 率直地
a. 光明正大的, 率直的"
hoard,"n. 贮藏物, 密藏的金钱
v. 囤积, 贮藏"
retard,"n. 阻止, 延迟
vt. 妨碍, 延迟, 使减速
vi. 减速, 延迟"
safeguard,"n. 保卫, 保护措施, 防护设施
vt. 保卫, 保护"
awkward,"a. 笨拙的, 棘手的"
untoward,"a. 事与愿违的, 麻烦的, 困难的, 不幸的"
wayward,"a. 任性的, 难以捉摸的, 不稳定的, 刚愎的
"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
undergird,"vt. 从底层加固, 支持, 加强"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
concord,"n. 一致, 和睦, 协定"
discord,"n. 不调和, 不和
vi. 不一致, (声音)刺耳"
chord,"n. 弦, 和音
"
foreword,"n. 前言, 序"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
shroud,"n. 尸衣, 寿衣, 覆盖物, (船的)横桅索
vt. 包以尸衣, 遮蔽, 隐藏, 覆盖"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
minutiae,n. 微小；不重要的细节（minutia的复数）
imbibe,"vt. 饮, 吸取, 吸入
vi. 喝, 吸收水分"
gibe,"v. 嘲笑
n. 嘲笑"
jibe,"vi. 嘲笑, 一致
vt. 转帆, 嘲笑
n. 嘲笑"
bribe,"n. 贿赂
vt. 贿赂, 收买
vi. 行贿"
circumscribe,"vt. 在...周围画线, 限制"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
diatribe,"n. 抨击, 谴责"
xenophobe,"n. 畏惧和憎恨外国人的人
"
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
efface,"vt. 抹去, 消除, 忘却"
solace,"n. 安慰, 安慰之物
vt. 安慰, 抚慰, 给与安慰, 使轻松"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
jaundice,"n. 黄疸, 偏见, 乖僻
vt. 使患黄疸, 使怀偏见"
cowardice,n. 懦弱
edifice,"n. 大厦, 大建筑物"
splice,"vt. 接合, 捻接, 胶接, 使结婚
n. 接合, 胶接, 结婚
"
rejoice,"vt. 使欢喜
vi. 欣喜, 高兴, 庆祝"
avarice,n. 贪婪
caprice,"n. 反复无常, 多变, 任性"
entice,"vt. 诱骗, 引诱, 怂恿"
novice,"n. 新手, 初学者"
arrogance,"n. 傲慢态度, 自大"
allegiance,"n. 忠贞, 效忠"
variance,"n. 不一致, 变化, 变异, 分歧, 不和
"
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
surveillance,"n. 监视, 监督
"
penance,"n. 自我惩罚, 忏悔, 悔过, 赎罪, 苦修
vt. 使悔罪, 使赎罪"
countenance,"n. 面容, 面部表情, 支持, 镇定"
appurtenance,"n. 附属物, 附件
"
provenance,"n. 起源, 出处"
dissonance,"n. 不和谐音, 不一致, 不调和, 刺耳的声音
"
forbearance,"n. 节制, 自制, 忍耐
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
remonstrance,"n. 抗议, 忠告, 规劝
"
malfeasance,"n. 不正当, 不法行为, 坏事, 渎职
"
complaisance,"n. 谦恭, 殷勤, 顺从"
obeisance,"n. 敬礼, 鞠躬, 敬重"
renaissance,"n. 复活, 复兴, 文艺复兴
a. 文艺复兴的"
puissance,"n. 力, 势, 权力"
impuissance,"n. 无力, 虚弱, 无能"
pittance,"n. 少量津贴, 小额施舍, 少量"
nuance,n. 细微差别
abeyance,"n. 中止, 暂搁, 停止, 归属待定
"
decadence,n. 颓废
credence,"n. 信任, 祭器台, 供桌, 凭证
"
resurgence,"n. 再起, 复活, 再现"
prescience,"n. 预知, 先见"
resilience,"n. 弹回, 有弹力, 恢复力
"
consilience,"n. 符合, 一致"
somnolence,"n. 思睡, 困倦, 瞌睡, 嗜眠, 嗜眠症
"
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
"
confluence,"n. 合流, 合流点, 集合, 人群
"
consequence,"n. 结果, 重要性
"
evince,"vt. 表明(感情等), 表示出(特性等)"
province,"n. 省, 地方, 职权, 领域
"
wince,"n. 畏缩, 退避
vi. 畏缩, 退缩, 退避"
ensconce,"vt. 安顿下来, 安置, 使隐藏"
denounce,"vt. 告发, 抨击, 谴责
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
farce,"n. 闹剧, 滑稽剧, 胡闹"
coerce,"vt. 强制, 强迫"
acquiesce,"vi. 默许, 默然同意"
coalesce,"vi. 合并, 联合, 合生
"
convalesce,"vi. 渐渐康复, 渐愈"
effervesce,"vi. 冒泡, 泡腾, 兴奋
"
seduce,"vt. 唆使, 怂恿, 引诱, 诱奸
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
truce,"n. 停战, 休战
vi. 停战, 休止
vt. 以休战结束"
barricade,"n. 路障, 障碍
vt. 设路障于, 阻碍"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
renegade,"n. 背教者, 变节者, 脱党者
a. 背弃的, 脱离的, 叛徒的
vi. 背叛, 背弃, 脱离"
accolade,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号"
abrade,"vt. 擦伤, 磨损, 磨
"
masquerade,"n. 化装舞会, 伪装
vi. 参加化装舞会, 伪装, 假装"
retrograde,"a. 后退的, 倒退的, 退步的
vi. 倒退, 退步, 回顾"
tirade,n. 激烈的长篇演说
dissuade,"vt. 劝阻
"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
cede,"vt. 割让
"
accede,"vi. 同意, 正式加入, 就任, 继任"
secede,"vi. 正式脱离(或退出), 分离
"
concede,"vt. 承认, 退让
vi. 让步"
impede,"vt. 妨碍, 阻碍, 阻止"
supersede,"vt. 代替, 取代, 接替
"
chide,"v. 斥责, 责骂"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
backslide,"vi. 堕落, 退步
n. 堕落, 退步"
bromide,"n. 溴化物, 庸俗的人
"
deride,"vt. 嘲弄, 嘲笑"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
subside,"vi. 沉淀, 沉降, 平息"
forebode,"v. 预示, 预兆, 预感"
decode,"vt. 解码, 译解
"
implode,"vi. 内爆, 向内破裂, 爆裂
"
discommode,"vt. 使不方便, 打扰, 给...添麻烦"
avant-garde,"n. 前卫; 先锋
adj. 前卫的"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
elude,"vt. 逃避, 规避, 把...难倒"
allude,"vi. 暗指, 提及"
collude,"vi. 共谋, 串通, 勾结"
denude,"vt. 使裸露, 剥下, 剥夺
"
prude,"n. 拘守礼仪的人, 故作正经的人"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
solitude,"n. 孤独, 单独, 孤寂"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
turpitude,"n. 卑鄙行为, 卑鄙
"
pulchritude,n. 美丽
lassitude,"n. 疲倦, 疲乏, 无精神
"
vicissitude,"n. 变化无常, 变迁, 荣枯, 盛衰"
latitude,"n. 纬度, 范围
"
platitude,"n. 单调, 平凡, 陈腐, 陈词滥调"
rectitude,"n. 正直, 纯正, 正确
"
certitude,"n. 确实性, 确信"
exude,"v. (使)流出, (使)渗出"
referee,"n. 仲裁人, 调解人, 裁判员
v. 仲裁, 裁判"
carefree,"a. 无忧无虑的, 不负责的"
repartee,"n. 机敏巧妙的回答, 妙语, 机智的反驳, 巧辩, 敏捷答辩的才能"
vouchsafe,"vt. 惠赐, 允许, 给予
"
fail-safe,有故障安全装置
gaffe,"n. 过失, 失态, 出丑"
rife,"a. 流行的, 盛传的, 充满的"
disengage,"vt. 使脱离, 使松开, 使摆脱约束(或义务等)
vi. 脱离, 解脱"
persiflage,"n. 戏弄, 插科打诨, 嘲弄, 挖苦"
camouflage,"vt. 伪装, 掩饰
n. 伪装, 伪装物, 幌子"
homage,"n. 尊崇, 尊敬, 效忠"
badinage,"n. 开玩笑；嘲弄, 揶揄"
rage,"n. 愤怒, 情绪激动, 狂暴
vi. 大怒, 狂吹, 流行"
disparage,"vt. 蔑视, 贬损
"
umbrage,"n. 不快, 生气, 阴影, 树荫, 怀疑等模糊感觉"
mirage,"n. 海市蜃楼, 幻景, 妄想"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
barrage,"n. 弹幕, 掩护炮火
vt. 以密集炮火进攻"
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
montage,"n. 混合画, 画面剪辑, 蒙太奇"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
assuage,"vt. 平息, 缓和, 减轻"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
abridge,"vt. 缩短, 删节, 减少, 剥夺
"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
hodgepodge,"n. 杂烩菜, 混杂物"
budge,"vi. 微微移动
vt. 推动
n. 羔羊皮"
nudge,"n. 用肘轻推, 推动, 讨厌家伙"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
trudge,"n. 沉重的步伐, 长途跋涉
vi. 步履艰难地走, 蹒跚地走
vt. 跋涉"
sacrilege,"n. 亵渎圣物, 冒渎, 渎圣行为
"
renege,"vi. 违例出牌, 食言, 毁约
vt. 否认, 放弃, 拒绝
n. 出牌违例"
beige,"a. 淡棕色的
n. 薄斜纹呢, 米色"
prestige,"n. 声望, 威望, 威信
"
vestige,"n. 遗迹, 痕迹, 残余, 丝毫, 退化的器官
"
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
divulge,"vt. 泄露, 透露"
estrange,"vt. 使疏远, 离间, 使离开"
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
constringe,"vt. 压缩, 使收缩, 使收敛"
singe,"v. 烧焦, 烤焦"
tinge,"n. 色调, 色彩, 气味, 气息
vt. 染, 使带气息"
