musketeer,"n. 火枪车, 步兵"
scuffle,"vi. 扭打, 混战, 拖着脚走, 敷衍了事
n. 扭打, 混战, 拖着脚走"
shop steward,"工会代表
"
razor-keen,无
impoverish,"vt. 使贫穷, 耗尽...的力气"
subsidy,"n. 补助金, 津贴
"
franc,n. 法郎
Deutschmark,[经] 西德马克
overdraft,"n. 透支, 透支额, 气流, 过度通风
"
caper,"n. 跳跃
vi. 雀跃, 蹦跳"
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
anomalous,"a. 不规则的, 反常的
"
hippopotamus,n. 河马
inept,"a. 不适当的, 不理智的, 笨拙的
"
shiftless,"a. 无计谋的, 偷懒的, 不中用的, 无能的"
vandalism,"n. 故意毁坏文物的行为, 破坏他人财产的行为"
polo,"n. 马球, 水球"
repertory,"n. 仓库, 库存, 储备, 保留剧目轮演"
farce,"n. 闹剧, 滑稽剧, 胡闹"
demagogue,n. 煽动者
myopic,a. [眼科]近视的；目光短浅的
shareholder,"n. 股东
"
counting-house,"[经] 存帐室, 会计室"
loon,"n. 懒人, 潜鸟, 笨蛋"
chokecherry,n. 美国稠李
patois,"n. 方言, 行话"
obscenities,n. 淫秽( obscenity的名词复数 ); 猥亵; 下流; 淫秽的词语或行为
reservation,"n. 保留, 预定, 保留品, 保留地
"
tuberculosis,"n. 肺结核
"
contagious,"a. 触染性的, 会蔓延的
"
cameo,n. 刻有浮雕的宝石或贝壳
filigree,"n. 金银细丝工艺, 精致华丽而不很坚固的物品, 金丝的细工饰品
"
raspberry,"n. 悬钩子, 呸声
"
moose,"n. 麋, 驼鹿"
antler,n. 鹿角
coyote,"n. 丛林狼, 讨厌的家伙"
ululate,"vi. 嚎叫, 鸣, 哀号, 悲泣"
aeon,"n. 永世, 万古, 极长的时期"
chipmunk,n. 金花鼠
pneumonia,"n. 肺炎
"
chrome,"n. 铬, 铬合金
"
carmine,"n. 胭脂红, 洋红色, 深红色
a. 胭脂红的, 洋红色的, 深红色的"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
motley,"a. 杂色的, 穿杂色衣的, 杂乱的, 混杂的
n. 杂色, 杂色衣服, 混杂, 小丑"
alabaster,"n. 雪花石膏
a. 雪花石膏制的"
skirmish,"n. 前哨战, 小争论, 小冲突
vi. 发生小争论, 侦察"
rung,"n. (梯子)踏步, 横档, 轮辐, 粗棍
ring的过去分词"
lukewarm,"a. 微温的, 不热的, 不热情的
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
paranoia,"n. 偏执狂, 多疑症
"
pimp,"n. 皮条客, 男妓, 恶棍, 窥探情人者, 告密者
vi. 拉皮条, 告密"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
preconception,"n. 事先钩成的看法, 成见
"
corny,"a. 谷类的, 乡巴佬似的, 粗野的
"
sojourn,"n. 逗留, 旅居
vi. 逗留, 旅居"
incorrigible,"a. 无药可救的, 积习难改的
n. 不可救药的人"
efface,"vt. 抹去, 消除, 忘却"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
inexorable,"a. 无情的, 冷酷的"
wed,"vt. 与...结婚, 使结合
vi. 结婚"
property,"n. 财产, 所有权, 性质, 属性
"
bacteria,"pl. 细菌
"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
pollen,"n. 花粉
vt. 传授花粉给"
fungi,"pl. 真菌, 突然发生而迅速生长的东西
"
organism,"n. 生物, 有机体, 社会组织
"
physicochemical,"a. 物理化学的
"
cybernetics,"n. 控制论
"
helmsman,n. 舵手
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
rudder,"n. 舵, 方向舵, 指导原则"
alga,"n. 藻类, 海藻
"
oscillation,"n. 振动, 动摇, 变动, 彷徨, 电波
"
lynx,"n. 猞猁
"
photosynthesis,"n. 光合作用
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
metabolism,"n. 新陈代谢, 变态
"
alfalfa,"n. 苜蓿, 紫苜蓿
"
perturbation,"n. 不安, 扰乱, 紊乱, 烦扰
"
excrete,"vt. 排泄, 分泌
"
carbon dioxide,"二氧化碳
"
incinerator,"n. 焚烧装置, 焚烧炉, 焚尸炉
"
technologist,"n. 工艺师, 技术员
"
predecessor,"n. 前任, 先辈, 前身
"
x-irradiation, [医]X线辐照
mutation,"n. 变化, 突变, 元音变化
"
albeit,"conj. 尽管, 虽然"
viability,"n. 生存能力, 发育能力
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
variant,"n. 变体, 异体
a. 不同的, 有差别的
"
synthesize,"v. 综合, 合成"
carcinogenic,"a. 致癌作用, 癌发生
"
enzyme,"n. 酶
"
detergent,"n. 清洁剂
"
insecticide,"n. 杀虫剂
"
herbicide,"n. 除草剂
"
potentate,"n. 有权的人, 有势力的人, 统治者"
enmeshed,v. 使陷入（网中）( enmesh的过去式和过去分词 )
condone,"vt. 赦, 宽恕
"
elucidate,"vt. 阐明, 说明"
miasma,"n. 毒气, 沼气
"
mansion,"n. 大厦, 宅邸"
subprime,"a. 准一流的, 近乎头等的; 准最低贷款利率的"
parable,"n. 寓言, 隐晦的比较"
implausible,"a. 难以置信的, 不象真实的"
porte-cochère,无
hyperventilate, [医]过度呼吸
bust,"n. 半身像, 胸部, 失败, 殴打
vt. 使爆裂, 使破产
vi. 爆裂, 破产
"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
predicament,"n. 处境, 穷境, 困局"
foreclosure,"n. 取消抵押品赎回权
"
mendacious,"a. 虚假的, 说谎的
"
chandelier,n. 枝形吊灯
tortellini,[复]n.(意大利式)饺子
thermostat,"n. 自动调温器, 温度自动启闭装置
"
microclimate,"n. 小气候
"
fossil fuel,n. 化石燃料
curtailment,"n. 缩减, 缩短
"
biofuel,[机] 生物燃料
ethanol,"n. 乙醇, 酒精
"
switchgrass,n. [植]柳枝稷
prodigal,"n. 浪费者
a. 浪费的, 挥霍的, 丰富的"
claustrophobia,"n. 幽闭恐怖症
"
credo,n. 信条
autistic,"[医] 孤独的, 自我中心的"
homeopathy,"n. 顺势疗法
"
etymologically,adv. 语源上
circumlocution,n. 迂回的说法
recourse,"n. 求援, 求助, 追索权
"
veterinarian,"n. 兽医
"
predatory,"a. 掠夺成性的, 捕食生物的, 掠夺的
"
salutary,"a. 有益的, 有用的, 有益健康的
"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
omnipotent,"a. 全能的, 无所不能的, 彻头彻尾的, 臭名昭著的"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
methodology,"n. 方法学, 方法论
"
gravity,"n. 地心引力, 重力
"
genome,
thermodynamics,"n. 热力学
"
mutation,"n. 变化, 突变, 元音变化
"
corollary,"n. 必然的结果, 系, 推论"
streamlining,"n. 吝形化, 流线型化"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
carburetor,[化] 增碳器; 汽化器; 化油器
transmission,"n. 传输, 传送, 变速器
"
plasticity,"n. 可塑性, 柔软性, 立体感
"
molecule,"n. 分子, 些微
"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
artifact,"n. 人工制品
"
skepticism,"n. 怀疑论
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
cannibalism,"n. 嗜食同类, 食人, 嗜血成性"
collage,n. 拼贴画
virtuosity,"n. 精湛技巧, 对古董等的爱好"
etch,"vt. 蚀刻, 蚀镂
vi. 施行蚀刻法
n. 腐蚀剂
"
truss,"vt. 捆绑
n. 捆, 束"
geodesic dome, 网格球顶
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
trailer,"n. 追踪者, 拖车
"
magnetic tape,"磁带
"
