wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
allocate,"vt. 分派, 分配
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
question and answer session,[网络] 问答环节；问答阶段；会议问答阶段
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
similarly,"adv. 相像地, 类似于"
dissatisfaction,"n. 不满, 不平"
disappointing,"a. 使失望的, 期待落空的, 令人沮丧的"
vacation,"n. 假期, 休假
"
extremely,"adv. 极端地, 非常地"
rate,"n. 比率, 率, 速度, 价格, 费用, 等级
vt. 估价, 认为, 鉴定等级, 责骂
vi. 被评价, 责骂"
overprice,"vt. 对...定价过高, 对...估价过高
"
five-star,"adj. 五个星的；五星级的；第一流的
"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
on a daily basis, 每天（指一起共事）
therefore,"adv. 因此, 所以"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
eat out,"上馆子吃饭, 锈坏, 过度消耗(牧草等), 责骂"
complaint,"n. 诉苦, 抱怨, 控诉
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
favorable,"a. 有利的, 赞许的, 良好的"
in the future,"未来, 将来, 往后"
greatly,"adv. 很, 非常"
reply,"n. 答复, 回答, 答辩
vi. 答复, 回答, 回击, 反响, 答辩
vt. 回答
"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
at your earliest convenience, 得便务请…从速
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
professor,n. 教授
memorable,"a. 值得纪念的, 难忘的"
feedback,"n. 反馈, 反应
"
handout,"n. 施舍物, 救济品, 分发的印刷品资料, 广告物品"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
take down,"na. 扯下；卷起；记下；卸下
"
thought,"n. 想法, 思想, 思维, 关心, 挂念
think的过去式和过去分词"
discussion,n. 讨论
in general,大多数
method,"n. 方法, 办法, 条理, 秩序
"
informative,"a. 提供消息的, 见闻广博的"
suitable,"a. 适当的, 相配的
"
inspiring,a. 鼓舞人心的
clarify,"vi. 澄清, 阐明
vt. 使明晰"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
deepen,"vi. 深化
vt. 使加深, 使强烈"
demonstrate,"vt. 示范, 证明
vi. 示威"
understanding,"n. 理解, 谅解
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
commend,"vt. 嘉奖, 委托给, 推荐"
increasingly,"adv. 逐渐地, 渐增地"
additional,"a. 附加的, 另外的, 额外的
"
in addition,另外
computer room,
lecture note,无
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
lab,"n. 实验室, 研究室
"
install,"vt. 安装, 安置, 使就职
"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
prestigious,a. 享有声望的
the Spring and Autumn Period,[网络] 春秋时期；春秋时代；我国古代名
celebrity,"n. 名声, 名人"
Confucius,n. 孔子
life story,n. 生命轨迹; 传记
thinker,"n. 思想者, 思想家"
disciple,"n. 弟子, 门徒"
educator,n. 教育家
the Analects,n. 论语
founder,"n. 创立者, 建立者
vt. 使沉没, 使摔倒, 弄跛, 浸水, 破坏
vi. 沉没, 摔到, 变跛, 倒塌, 失败"
enduring,"a. 持久的, 忍耐的"
Confucianism,"n. 孔子思想, 儒家思想"
long-standing,维持；存在已久的
sage,"n. 圣人, 哲人, 鼠尾草属植物
a. 贤明的, 明智的"
inner world,精神世界
Confucian thought,无
universal,"a. 全世界的, 普遍的, 宇宙的, 通用的
n. 一般概念"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
human value,人的价值
arrange,"v. 安排, 排列, 达成协议
"
inconvenience,"n. 不便, 困难
vt. 使感不便, 使感困难"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
postpone,"vt. 延迟, 使延期, 缓办, 搁延
vi. 延缓, 延缓发作"
unfortunately,"adv. 恐怕, 不幸的是"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
diagnose,v. 诊断
be able to,"能, 会"
infection,"n. 传染, 影响, 传染病
"
inform sb. of sth.,"v. 通知关于
"
require,"vt. 需要, 命令, 要求
"
situation,"n. 情形, 境遇, 位置
"
apologize,"vi. 道歉, 辩解"
congratulation,"n. 祝贺, 恭喜"
Yale University,耶鲁大学
receive,"vt. 收到, 接到, 得到, 接待, 迎接, 承受
vi. 收到, 会客
"
hard work, 繁重的工作; 劳苦; 苦工; 苦功
doctorate,n. 博士头衔
on your part,无
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
achievement,"n. 完成, 成就, 功业"
be proud of,"自豪, 高兴"
no doubt,无疑地
pleasure,"n. 快乐, 愉快, 令人高兴的事, 娱乐, 希望
v. (使)高兴"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
certainly,adv. 确定地
success,"n. 成功, 成就, 胜利"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
think over,"v. 仔细考虑
"
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
Terracotta Warriors,[网络] 兵马俑；陕西秦始皇陵兵马俑；秦始皇兵马俑
trip,"n. 旅行, 绊倒, 摔倒, 失足, 差错, 旅程
vt. 使跌倒, 使犯错, 使失败
vi. 轻快地走, 绊倒, 失误, 犯错, 结巴, 旅行, 远足"
guard,"n. 守卫者, 警戒, 护卫队, 防护装置
vt. 保卫, 看守, 当心
vi. 防止, 警惕, 警卫, 看守"
be sure,一定，务必
tomb,"n. 坟墓, 死亡
vt. 埋葬"
tourist destination,[网络] 旅游目的地；旅游景点；旅游胜地
emperor,"n. 皇帝, 君主"
in the old days,"从前,过去"
Dayan Pagoda,无
dynasty,"n. 朝代, 王朝"
the Banpo Museum,无
be full of,充满
boast,"n. 吹牛
vi. 吹牛, 自夸
vt. 夸口说, 自恃有"
relic,"n. 遗物, 遗迹, 纪念物, 遗风, 残留物"
plenty of,许多的
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
sense of responsibility, 责任感
serve as,"被用作..., 充当..., 起...的作用"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
platform,"n. 站台, 月台, 讲台, 论坛, 平台
"
interpersonal relation,人际关系
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
various,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
"
ability,"n. 能力, 才干
"
organize,"vt. 组织, 有机化, 给予生机
vi. 组织起来"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
proficiency,"n. 精通, 熟练, 精练"
a range of, 一系列; 一些; 一套
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
be involved in, 涉及，专心; 卷入
empower,"vt. 授予权力, 允许, 使能够
"
a variety of,"各种各样的..., 种种..."
decided,"a. 确定的, 坚决的"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
competitive,"a. 竞争的
"
musical drama,音乐剧
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
group discussion, 集体讨论
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
ample,"a. 大量的, 充足的, 丰富的"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
written application,[法] 申请书
participation,"n. 参与, 分享
"
staff office,[网络] 医护办公室；职员办公室；技术员办公室
be helpful to,"v. 有助于；对…有
"
deadline,"n. 最后期限, 截止期限
"
strengthen,"vt. 加强, 变坚固
vi. 变强, 股票上涨"
sign up,"签约参加工作, 签约雇用"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
speedy,"a. 快的, 迅速的
"
indicate,"vt. 显示, 象征, 指示, 指出
"
a large number of,"大量的..., 许多..."
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
in addition,另外
private car,私人汽车
a great many,许许多多
all the time,始终
extend,"v. 扩充, 延伸, 伸展, 扩大
"
go up,"上升, 兴建"
transportation,"n. 运输, 输送, 交通车辆
"
a good many,很多
greatly,"adv. 很, 非常"
factor,"n. 因素, 因数, 系数, 基因, 代理人
"
improve,"vt. 改良, 提高...的价值, 改善, 利用
vi. 变得更好, 增加"
as follows,如下
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
to begin with,首先
household,"n. 一家人, 家庭, 家族, 王室
a. 家庭的, 家常的, 王室的"
line chart,
quickening pace,无
gymnasium,"n. 健身房, 体育馆
"
urban life,[网络] 城市生活；都市生活；城市生活图片
doing exercise,无
ever-increasing pressure,无
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
in mounting numbers,无
be on a steady rise,无
considerably,"adv. 非常地, 很, 颇"
departments concerned,无
contribute to,捐献
tendency,"n. 趋向, 倾向
"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
energetic,"a. 精力充沛的, 积极的"
keep a balanced diet,无
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
burn the midnight oil,[网络] 挑灯夜战；熬夜
stay up late, 深夜不睡，迟睡; 熬夜
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
studying abroad,[网络] 留学海外；出国留学；国外学习的利与弊
expand knowledge,无
growth rate,
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
studying overseas,无
social interaction,社会的相互影响[作用]
on a steady rise,无
strong willpower,无
on the contrary,"正相反
"
augment,"v. 增加, 增长
"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
linguistic knowledge,无
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
cultural understanding, 文化理解
approximately,"adv. 大约, 大致, 近于
"
equipped with, 装备有
contribute to,捐献
modern-day workplace,无
aforementioned,"a. 上述的, 前述的
"
excellent opportunity,无
bar chart,
transaction,"n. 交易, 办理, 学报, 和解协议
"
formality,"n. 礼节, 拘谨, 正式手续
"
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
preferable,"a. 更可取的, 更好的, 更合意的"
contribute to,捐献
undoubtedly,"adv. 无疑, 必定, 确实地"
above all,"尤其是, 首先"
prosperity,"n. 繁荣, 茂盛, 成功
"
availability,"n. 有效性, 可利用性, 可利用的人
"
give birth to,产生
foremost,"a. 最初的, 最重要的
adv. 在最前"
SOHO,[网络] 苏荷；苏荷区
information technology,[电] 信息技术
promising,"a. 有希望的, 前途有望的
"
e-commerce, [计]电子商务
have access to,可以获得;进入
inevitable,"a. 不可避免的, 必然的
"
what is more,而且
accordingly,"adv. 相应地, 因此, 于是"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
convenient,"a. 方便的, 合宜的
"
irreversible,"a. 不可逆的, 不可改变的, 不能倒置的, 不能翻转的, 不能倒转的, 不可撤销的
"
last but not least,最后但并不是最不重要的(一点)
column chart, [计]条形图，柱形图
progression,"n. 前进, 连续, 级数
"
clearly,adv. 清楚地
work life,[机] 有效期间
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
whereby,"adv. 靠什么, 如何, 为何, 靠那个, 因此, 由此
"
statistics,"n. 统计学, 统计资料
"
increasingly,"adv. 逐渐地, 渐增地"
weekly earning,无
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
"
bureau,"n. 局, 办公处
"
commensurate,"a. 同量的, 同等的, 相称的"
educational background, [医]教育背景; 学历
in the second place,"其次, 第二点"
competitive,"a. 竞争的
"
range from A to B,无
college degree, 大专学历
bachelor's degree,学士学位
diploma,"n. 文凭, 毕业证书
"
master's degree,硕士学位
doctoral degree, 博士学位
analysis,"n. 分析
"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
predict,"v. 预知, 预言, 预报"
as follows,如下
in order to, 为了…
in the first place,首先
workplace,"n. 工作场所, 工厂, 车间"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
people in mounting numbers,无
pre-requisite,"n. 首要事, 必要事
a. 首要的, 必须的"
promising,"a. 有希望的, 前途有望的
"
higher education,na. 高等教育
imply,"vt. 暗示, 意味
"
university degree,大学学位
markedly,"adv. 显著地, 醒目地, 明显地"
aged people, [医]老年人
shoot up,"射出, 发芽, 暴涨"
financially,adv. 金融上；财政上
approximately,"adv. 大约, 大致, 近于
"
spiritually,adv. 在精神上地
involvement,"n. 卷入, 牵连, 包含, 困窘
"
the elderly,"老年人, 长者"
civilization,"n. 文明, 教化
"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
in conclusion,最后
be obliged to, 不得不; 只得; 必须
be conducive to,"对…有帮助,有益于…"
ensure,"vt. 确定, 保证, 担保, 保护
"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
stable,"n. 马房, 牛棚
a. 稳定的, 安定的, 坚固的, 坚定的
vt. 赶入马房
vi. 被关在马厩"
art group,[网络] 艺术与设计组；艺术团体；美术组
priceless spiritual treasure,无
mysterious,"a. 神秘的, 难解的, 不可思议的"
cultural exchange,文化交流
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
globalization,"[计] 全球化, 普及到世界范围"
advocate,"n. 提倡者, 拥护者
vt. 主张, 提倡"
irresistible,"a. 不可抵抗的, 不能压制的
"
international culture,无
mutual,"a. 相互的, 共有的
"
controversial,"a. 争论的, 论争的, 被议论的"
national culture, 民族文化
at first sight,乍一看
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
resist its dark side,无
be confronted with,面临
multidimensional,"a. 多面的, 多维的"
sensible,"a. 有感觉的, 敏感的, 明智的
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
absorb its essence,无
box office,"票房, 票房收入"
hunger for,渴望
film-goer,上电影院的人；爱看电影的人
in addition,另外
dramatically,"adv. 戏剧地, 引人注目地, 突然地"
crowd-puller,引人注意的人
on a steady rise,无
attractive,"a. 吸引人的, 有魅力的
"
at the same time,"同时, 但是"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
primary reason, 主要原因
idolize,"vt. 把...当偶像崇拜, 极端崇拜, 醉心于
vi. 崇拜偶像"
special effect,n. 特殊效果
in summary,总之
basically,"adv. 基本上, 主要地"
prevalent,"a. 普遍的, 流行的"
technology,"n. 技术, 工业技术, 术语
"
temporarily,"adv. 暂时, 一时, 临时"
diagram,n. 图表；图解
a large number of,"大量的..., 许多..."
clearly,adv. 清楚地
get prepared for,无
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
last but not least,最后但并不是最不重要的(一点)
dramatic,"a. 戏剧性的, 生动的"
working pressure,工作压力;使用压力
elevation,"n. 海拔, 提高, 仰角
"
take ... into account,"na. 考虑
"
recruitment,"n. 新兵征召
"
predict,"v. 预知, 预言, 预报"
Master of Professional,无
speedy,"a. 快的, 迅速的
"
Accounting,"n. 会计学, 帐单, 清帐
"
forthcoming,"a. 即将来临的
n. 来临"
at a low level,无
on the other side of the coin,无
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
contribute to,捐献
tendency,"n. 趋向, 倾向
"
above-mentioned,adj. 上述的
bring about,"na. 造成；带来；【航】(使船)回转
"
summarize,"v. 概述, 总结"
a good many,很多
as follow,如下
take effective measure,un. 采取有效措施
first and foremost,首要地
qualified,"a. 有资格的
"
ensure,"vt. 确定, 保证, 担保, 保护
"
accountant,"n. 会计人员, 会计师
"
get out of hand,失去控制
job market,工作市场
encourage,"vt. 鼓励, 支持, 激励
"
on the whole,"大体上, 基本上"
theoretical knowledge,"un. 理论知识
"
keep pace with,"并驾齐驱, 齐头并进"
practical skill,实际技能
expansion,"n. 扩充, 开展, 膨胀
"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
oblige,"vt. 强制, 施恩惠于, 使感激
vi. 施恩惠, 帮忙"
reading quantity,无
derive,"vt. 得自
vi. 起源"
reading volumes,无
companionship,"n. 交往, 友谊, 一群同伴"
respectively,"adv. 各自地, 独自地, 个别地, 分别地"
instruction,"n. 指令, 教导, 命令
"
on the contrary,"正相反
"
first and foremost,首要地
tendency,"n. 趋向, 倾向
"
disturbing,"a. 引起烦恼的, 令人不安的"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
on less necessary,无
contentment,"n. 满足, 使人满意的事物, 满意"
reading extensively,无
furthermore,"adv. 此外, 而且"
a wide range of,"范围广泛的,一连串的,变化幅度大的,参差不平"
broaden our minds,无
last but not the least,最后一点，也是非常重要的-点
advent,"n. 来到, 来临"
intellectual ability, 智能
enhance environmental awareness,无
environmental protection,
keep ecological balance,无
ecosystem,"n. 生态系统
"
nature reserve,n. 自然保护区
sustainable development strategy,无
wind and sand breaks,无
pleasant living environment,无
save energy,节能
reduce the emission of greenhouse gases,无
slow down the rate of resource degradation,无
environment-friendly products,无
global warming,n. 全球变暖
low carbon economy,[网络] 低碳经济；低碳经济体；经济社会
clean renewable energy,无
nuclear energy,
solar energy,[医] 太阳能
high-power electrical appliance,无
carbon dioxide,"二氧化碳
"
climate change, 气候变化
environmental deterioration,环境恶化
deforestation,"n. 采伐森林, 森林开伐
"
protect forests from overexploitation,无
water and soil erosion,水土流失
desertification,"n. （土壤）荒漠化, 沙漠化"
population growth,[经] 人口的增长
wildlife protection,无
endangered species,[法] 会造成危害的物件
wild species,野生种
commercial fishing,"商业性捕鱼,经济鱼类捕获"
overfishing,v. 对（鱼、渔场）捕捞过度( overfish的现在分词 ); 渔捞过度
reckless exploitation,无
natural disasters,天灾
catastrophe,"n. 大灾难, 大祸
"
destructive and disastrous earthquake,无
sandstorm,n. (沙漠地带的)沙暴
drought,"n. 干旱, 缺乏"
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
snowstorm,"n. 暴风雪
"
"""the-polluters-pay"" policy",无
law enforcement inspection,无
undertake treatment within a prescribed limit of time,无
white pollution,[网络] 白色污染；噪音污染；净化
limit the use of disposable plastic bags,无
ban the use of disposable plastic bags,无
prohibit the use of disposable plastic bags,无
throwaway biodegradable plastic bags,无
disposable chopsticks,n. 一次性筷子
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
garbage classification,无
throw,"vt. 投, 掷, 抛, 发射, 摔下, 匆匆穿上(或脱下), 抛弃, 摆脱
vi. 丢, 掷, 抛
n. 投掷, 掷骰子, 冒险"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
trash,"n. 垃圾, 废物
vt. 丢弃"
rubbish,"n. 废物, 垃圾, 胡说"
garbage,"n. 垃圾, 废物
"
decontamination of urban refuse,无
refuse landfill,无
three types of wastes,无
waste water,
waste gas,[化] 工业废气
solid waste,固体废料;固体垃圾
industrial waste,
toxic waste, 有毒废物
multipurpose use,综合利用
water resource conservation zone,无
sewage treatment,[医] 污水处理法
centralized treatment plant,无
recycled water,循环水
air pollution concentration,大气污染浓度
motor vehicle exhaust,无
exhaust purifier,排气净化器
lead-free gasoline,无铅汽油
gas-fueled vehicles,无
electric vehicles,[网络] 电动车；电动汽车；电动车辆
small-engine vehicles,无
industrial dust discharge,无
soot emission,无
fossil fuels,n. 化石燃料( fossil fuel的名词复数 )
coal,"n. 煤, 木炭
v. 加煤"
oil and natural gas,无
bachelor's degree,学士学位
master's degree,硕士学位
doctor's degree,博士学位
acquire degree,无
arts,n. 文科
science,"n. 科学, 学科, 学问, 自然科学
"
Master of Arts,"文学硕士, 文科硕士"
M.A.,瘤
Master of Science,理科硕士
M.S.,"abbr. 多发性硬化
n. “M”的复数
"
Master of Business Administration,[网络] 工商管理硕士；工商管理学硕士；企业管理硕士
MBA,[网络] 工商管理硕士；工商管理硕士研究生；工商管理硕士学位
Master of Public Administration,无
MPA,[计] MPEG相关文件，MIME“mpeg类型”
Master of Engineering, 工学硕士；工程硕士
ME,[网络] -我-
Master of Professional Accounting,无
MPAcc,无
Master of Science in Finance,无
MSF,[计] 大容量存储装置; 海量存储装置
nursery,"n. 托儿所, 苗圃, 温床
"
kindergarten,n. 幼稚园
primary school,"n. 小学, 初等学校; 参见：elementary school"
elementary school,小学
middle school,"n. 中等学校, 中学"
university,n. 大学
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
higher education,na. 高等教育
college students,[网络] 大学生；在什么都没听清的情况下；大专学生
university students,[网络] 大学生；大学学生；高校学生
college graduates,[网络] 大学毕业生；大学生；高校毕业生
university graduates,[网络] 大学毕业生；高校毕业生；本科毕业生
business school,[经] 商业学校
law school,"[法] 法学院, 法律学校, 法律学校"
graduate school,研究生院
professor,n. 教授
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
department,"n. 部门, 系, 机关
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
teaching facilities,无
dining hall, 大餐厅，食堂; 饭厅; 大食堂
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
dormitory,n. 宿舍
elective course, 选修课
optional course,选修课
tuition fees and other expenses,无
life-long education,终身教育
education for all-round development,无
compulsory education,[法] 义务教育
exam-oriented education,[网络] 应试教育
adult education,成人教育
theoretical knowledge,"un. 理论知识
"
practical skills,[网络] 实用技能；实用技巧；实践技能
information era, 信息时代
era of knowledge explosion,无
affect school achievements,无
skip classes,n. 逃课
academic performance,学业成绩;学术成就
academic atmosphere, 学业风气
broaden one's horizon, 开阔眼界
stimulate one's interest,无
tap one's potential,无
reduce study load,无
separation between liberal arts and science,无
relaxing college life,无
recruitment,"n. 新兵征召
"
enrollment,"n. 登记, 注册, 入伍
"
apply for admission to ...,无
apply for admission into ...,无
College Entrance Examination,n. 高考
National Entrance Test for M.A. Candidates,无
National Entrance Test for M.S. Candidates,无
job market,工作市场
employer,"n. 雇主, 老板
"
employee,"n. 职员, 员工, 受雇人员
"
vocational training,[经] 职业训练
cultural exchange,文化交流
cultural blending,无
cultural integration,文化整合
traditional Chinese culture, 中国传统文化
Confucianism,"n. 孔子思想, 儒家思想"
Buddhism,n. 佛教
Daoism,n. 道教
Taoism,n. 道教
Peking Opera, 京剧
Chinese calligraphy,[网络] 中国书法；名人书法；书法班
western culture,[网络] 西方文化；欧美文化；西方的文化
Enlightenment,"n. 启迪, 教化"
