a case in point,恰当的例子
at times,"有时, 不时"
attend to, 处理; 注意; 听取; 致力于
attribute to,"na. 认为(成功)是(努力)的结果
"
back down,"放弃要求, 取消前言"
back out,"停止不干, 食言
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
bargain for,"指望, 想以廉价买"
bargain on,"指望,预料"
base on,"v. 根据
"
be accustomed to doing sth.,无
be assigned to do,无
be at ease, 安逸，自由自在; 宽心; 放心
be at fault, [法]有过错
be at liberty,无
be at odds,[网络] 不和；闹别扭
be at odds with,"与...有争执, 与...不一致"
be at one's disposal,无
be at sea, 茫然不知所措; 无所适从; 茫然若失
be at stake, 在危险中
be at the mercy of,无
be better off,境况好
be beyond belief,无
be beyond compare,无
be without compare,无
be born with,"生来就有…,有…天赋"
be bound up in,热心于
be capable of,能够
be contrary to,与...相反
be dependent on,"依靠, 依赖"
be dependent upon,依靠(他人供给吃、住、钱等)，依赖；随…而定；依…而转移
be devoted to,致力于…
be entitled to,[法] 有资格或权利...
be equal to,"胜任, 相等, 合适"
be identical to sb.,与...相同
be identical with sb.,与...相同
be identical to sth.,与...相同
be identical with sth.,与...相同
be in charge, 管事；掌事
be in demand,"na. 有需要
"
be in dispute,"有纠纷
有争执"
be in doubt,[网络] 值得怀疑
be in full swing, 热火朝天
be in opposition,无
be in opposition to,无
be in shape, 身体好
be in good shape,[网络] 身体好；健康状况良好；状态良好
be in sight,"看得见,在眼前"
be in the air,[网络] 将要发生的事情；即将发生
be in the balance,悬而未决，不能肯定
hang in the balance,安危未定
be in the saddle,"骑着马, 执政, 掌权"
be in use,[网络] 在使用中；使用之中；投入使用
be in the way,妨碍
be in one's way,无
be in the wrong,"错误, 理亏"
be indispensable to,v. 必需
be indispensable for,无
be innocent of,"没有...的, 无...的"
be keen on,喜爱
be keen about,喜爱
be liable for,"有...责任, 有...义务"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be obsessed with,被…困扰
be off guard,无
be off one's guard, 麻痹大意
be on a diet,"进规定的饮食, 节食"
be on guard,[网络] 警惕；防范；有警惕
be on one's guard,警惕，提防；警戒
be on sale, 销行；行销
be on the increase,"na. 不断增加
"
be on the job,无
be on the point of,正要…的时候，正打算
be out of action,[网络] 失去作用
be out of breath, 上气不接下气
be out of condition,身体很好[不适]
be out of control,adj. 失掉控制（不受控制）
be out of date,日久失效
be out of print,已售完的; 已绝版的
be out of sight,"在视线外
看不见"
be out of stock,无
be out of touch,失去了联系
be out of work,[网络] 失业；砸饭碗；工作的人已经失业
be partial to,"对...偏袒的, 对...过分错爱的"
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be relative to,"与...有关, 与...成比例/相应"
be scared of,害怕…
be sick of,"厌恶, 厌倦"
be superior to,"优于…,胜过…,比…更优越;不受…影响,不为…所动"
be sympathetic to,无
be under control,[网络] 处于控制之中；在控制之中；得到控制
be under way, 进行中
be up to date,无
be up to the minute,无
beat around the bush,"转弯抹角, 旁敲侧击, 拖延谈及正题"
beat about the bush,旁敲侧击
beat down,"na. 打倒；镇压；〈口〉还(价)；使失望
"
beat up,"na. 搅(蛋)；虐待；冷不防地；打鼓召集
"
become of," 发生, 结果是"
beg off,请求免除
behind the scenes,"在后台, 在幕后
"
believe in,"信仰, 信任"
bend over backwards,"矫枉过正, 拼命"
beyond measure,"无可估量, 极度"
blast off,点火起飞
blow up,"v. 炸掉；爆炸；充气；放大
"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
boil down to,归结为
branch out,"长出枝条, 扩展范围"
break down,"v. 分解；抛锚；分析；划分
"
break into,"破门而入, 侵占
"
break off,"v. 断绝；摘；把…折断；使脱落
"
break one's heart,(使某人)伤心，(使某人)悲痛欲绝；(使某人)伤心而死
break out,"突发, 爆发, 叫嚷, 倒空, 取出, 使作准备
"
break the ice,打破沉默
break through,"突围, 突破
"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
bring about,"na. 造成；带来；【航】(使船)回转
"
bring around,na. 说服；〈口〉使恢复知觉
bring round,na. 说服；〈口〉使恢复知觉
bring forth,使产生
bring forward,"na. 提出(计划等)；提示；提前；公开
"
bring into effect,"实现, 实施"
carry into effect,"实行, 实现
"
put into effect,"使生效, 执行...
"
bring off,"na. 办完；(从失事船只上)救出
"
bring out,"na. 公布；说出；出版；上演
"
bring through,救活
bring to justice,[网络] 使归案受审；绳之以法；移送法办
bring sb. to his knees,无
broaden one's horizon, 开阔眼界
brush aside,"扫除, 漠视"
brush off,"na. 刷去；打发走；摒弃；逃掉
"
brush up,"刷干净, 复习, 提高
"
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
build upon,"堆积于......
建立在......"
build up,"树立, 增进, 增大, 堵塞
"
bump against,"撞上,偶然碰见"
bundle up,"na. 同“bundle”
"
burn down,"烧成平地, 火力减弱
"
burn out,"烧坏, 烧掉, 烧尽
"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
but for,要不是
but then,但另一方面
butt in,"插手, 干涉"
buy off,na. (用贿赂)收买；用钱疏通
buy out,na. 出钱使某人出让地位
by accident,偶然
by all means,"尽一切办法, 一定"
by and by,不久以后
by and large,"大体上, 基本上"
by any chance,万一
by chance,"偶然, 也许"
by comparison,比较起来
in comparison, 相比之下
by default,"因对方缺席,在对方缺席的情况下"
by far,显然
by itself,"单独地,孤零地;独立地"
by leaps and bounds,非常迅速地
in leaps and bounds,迅速地
by no means,决不
by the book,按常规
by turns,"轮流, 交替"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
call in,"na. 招；叫进；引入；调入
"
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call on,"号召, 呼吁, 约请, 访问"
call upon," 号召, 拜访; 省视"
carry forward,"na. 推进；发扬；结转；使进行
"
carry off,"na. 得(奖)；夺去；诱拐；(病)夺去人命
"
carry on,"继续开展, 行为愚蠢(或越轨)
"
carry out,"na. 实行；开展；完成
"
carry through,"na. 完成(计划等)；坚持到底
"
carry weight,"重要, 有影响"
cash down,"即其付款
"
cash in on,"靠...赚钱, 乘机利用
"
cast about for,四处寻找，设法找到；设法；筹划
cast aside,"na. 抛弃
"
cast away,"抛弃, 使失事, 使漂流到岸上"
cast off,丢弃
cast out,驱逐
catch a glimpse of,瞥见
catch one's eye,"un. 胡说；引起…的注意
"
catch sight of,瞥见
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up,"核对, 检查
"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
chew on,"寻思,细想,仔细考虑"
chew over,"na. “chew upon”的变体
"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear out,"na. 清空；腾空；清理；〈非正式〉匆忙离开
"
close by,在附近
close down,"关闭, 歇业, 停止播音"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
come about,"发生, 改变方向"
come across,偶遇
come along,v. 出现；一起来；陪伴；进步
come around,"来, 前来, 过访, 顺便来访, 笼络, 诱骗"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at,"袭击, 达到, 得到"
come down to,"流传下来;压缩为,归结为,简化为"
come into effect,"开始生效
"
go into effect,"生效,开始实施"
come on,"偶遇, 进步, 发生, 开始, 出场, 快来"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come through,"经历...仍活着, 安然度过, 胜利, 表现"
come to,"谈到, 被...继承, 苏醒, 停止"
come to blows,开始互殴
come to the fore,"出名, 成为显赫人物"
come true,"实现, 成为事实"
come up,"走上前来, 发芽, 发生, 被提到, 流行
"
come up to,"达到, 等于"
come up with,"赶上, 提出"
commit oneself to,致力于
commit to,"un. 移交
"
compare to, 把…比作， 喻为; 与…相比
compete with,与…竞争
concern about, 使（自己）关心…
concern with,使关心
congratulate on,"un. 祝贺
"
congratulate upon,无
consent to,"同意, 答应"
consist in,存在于
consist of,由...组成
consume with,为(某种思想)而不断受折磨
contribute to,捐献
cool down,"变凉, 平静下来
"
cool off,"变凉, 平静下来"
cope with,"与...竞争, 应付, 处理"
correspond to,"相当于..., 与...相对应"
correspond with,"符合, 一致, 通信"
count in,"na. 算入
"
count on,"依靠, 指望"
count upon,仰赖
count out,"na. 一面数一面取出；一面数一面分开；除开
"
count up,"把...加起来, 共计"
cover for,代替
crack down," 采取严厉措施, 制裁; 打击"
crack up,"na. 夸奖；吹捧某人；(人,身体等)疲惫不堪；〔美俚〕(飞机)坠毁
"
credit to,"na. 把(某数)记入(某人)账户的贷方；把(成功)归(某人)
"
cross off, 划掉
cross out,"na. 取消
"
cry out for,哭嚷着要求得到；恳求；迫切需要；因…而哭
cut across,抄近路通过
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut corners,抄近路
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut out,"na. 割掉；除去；剪下；开辟
"
damp down,"na. (用灰把火)封上
"
deal with,"安排, 处理, 涉及, 做生意"
deep down, 本质上; 实际上; 事实上; 在内心深处
deprive of,"un. 剥夺
"
derive from,"得自, 由来, 衍生"
descend upon,"毫无疑问,没错,没问题;降落在…,突然出现在…面前"
devote to,"v. 把…贡献给
"
die away,"熄灭, 平息, 消失"
die down,"枯萎, 凋谢"
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
"
dip into,"浏览, 稍加研究"
disagree with,"不同意, 不一致, 不适合"
dish out,"na. 上(菜)；分配(饭菜等)；〈比喻〉托出；提供
"
distinguish oneself,使杰出
do away with,"废除, 弄死"
do justice to,"公平对待, 适当处理"
do one's best,尽全力
try one's best,尽力
do one's utmost,竭力
do sb. good,"v. 有益
"
do up,"v. 修缮；收拾
"
do without,没有...也可以
do the trick,获得成功
down with,"打倒, 把...拿下"
draw in,"收缩, 引诱, 接近黄昏, 紧缩开支"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
dream of,"梦见,梦想,向往,渴望"
dream up,"na. 凭空想出；凭空捏造出
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drink in,"na. 吸收；陶醉于
"
drop by,随便访问
drop in,顺便走访
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"掉出, 退出, 离队
"
drum up,"na. 招揽(顾客等)；招募(新兵等)；鼓励；激起
"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
due to,"由于, 应归于"
early on, 在早期; 前一阵子
either ... or ...,adv. 不是…就是…，…或…，要么…要么…
emerge from,从…出现
emphasis on,强调
end in,以...为结果
end up,"竖着, 结束, 死"
engage in,"使从事于, 参加"
enquire into,"调查,探询…"
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
"
enter on,"正式开始, 着手, 开始考虑, 占有"
enter upon," 开始, 着手"
even as,"正巧在...的时候, 正如"
even if,即使
even though,"虽然, 尽管"
ever so,非常
every bit,"从头至尾, 完全"
every inch,"在各方面, 彻底"
every other,"每隔一, 所有其他的"
except for,"除...以外
"
exert oneself,"努力, 尽力"
explain away,"na. 巧辩过去
"
expose ... to,"un. 暴露于
"
face to face,面对面
face up to,勇敢地面对
fall back on,"求助于, 退到, 回头再说"
fall behind,"落在后面, 拖欠"
fall for," 上当, 听信; 爱上"
fall out,"脱落, 离队, 争吵, 结果是
"
fall through,"失败, 失约"
fall to,"着手干, 开始进食"
far from,"远离, 远非"
feel like," 摸起来像是…, 有…的感觉; 想要…"
fend off,"na. 挡开；避开(灾祸等)
"
figure out,"合计为, 计算出, 明白"
fill in,"na. 填充；填写；同“fill”
"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
fill the bill,"符合要求, 使人满意"
find fault with,"挑剔,指责,对…吹毛求疵"
fish for,摸索寻找
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit in with,"适合, 适应, 与...一致"
fix on,"确定, 决定"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
follow through,坚持到底
follow up,"v. 把…探究到底；回答
"
fool about,"闲荡, 玩弄"
fool around,"闲荡, 干蠢事, 干无用的事, 干琐屑的事"
for all,尽管
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
for good,"永久地, 永远地, 一劳永逸地"
for sale,"待售
"
for short,"简称, 缩写"
for sure,确实
for the moment,"暂时, 目前"
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
free sb. from,"na. 无…的
"
free sth. from,"na. 无…的
"
from time to time,有时
gain ground,"前进, 发展, 普及"
gain on,"逼近, 超过, 侵蚀"
gang up,"聚集, 结成一伙"
gang up on sb.,联合对付
gang up against sb.,联合攻击
generate from,无
get about,"走动, 旅行, 传开, 积极参加社会活动"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get ahead,"领先, 走在前面, 进步, 获得成功"
get along,"生活, 融洽相处"
get away from,"离开,摆脱,脱离"
get around,"病后能够走动, (非正式)旅行, 传开来"
get by,"通过, 混过"
get down,"na. 开始认真对待；落下；下车；写下
"
get hold of,"抓住, 得到"
get in the way,"挡住去路,障碍,碍事"
get insight into,无
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get nowhere,无进展
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on one's nerves,令人不安
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get the jump on,抢在...之前行动
get through,"做完, 通过, 度过"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to,产生
give off,"na. 发散(水蒸气等)
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
give rise to,"引起, 使发生"
give up,"na. 放弃；断绝；投降；自首
"
give way to,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
give ... the slip,"v. 悄悄溜掉
"
go about,"从事, 走动, 传开"
go after,"追逐, 追求"
go against,"反对, 违反, 不利于"
go along with,"陪...一起去, 赞同, 附和"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
"
go around,"漫步,闲逛,绕圈子"
go back on,"违约, 背弃"
go by,"走过, 依照, 顺便走访"
go down,"下去, 下沉, 坠落, 被接受, 咽下, 平静下来, 下降, 传下去"
go in for,"参加, 追求, 从事, 赞成"
go into,"进入, 加入, 探究, 变得, 进入...状态
"
go into detail,"详细叙述,详述"
go into details,详细叙述，详述，详细说明，逐一说明，深谈
go out of use,被废弃
go over,"转变, 仔细检查, 润色, 复习"
go the round,传播
go the rounds,=do one's (或the) round(s)；(消息、传闻、流言等) 传遍
go the round of,"传遍,走遍"
go the rounds of,无
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
go wrong,"走错路, 出毛病, 失败"
grab at,"抓住,攫取,伸手去抓"
grind out,"na. 碾成；单调地演奏手摇风琴；苦吟(诗句)
"
grow on,"引起...爱好, 加深影响"
grow out of,"长得与...不相称, 因长大而丢弃"
guard against,"预防,使提防"
hand down,"na. 宣布(判决等)；传下来
"
hand in hand,"手拉手, 联合"
hand over,交出；移交
hang about,闲荡
hang around,"闲荡, 闲逛, 转悠, 观望, 等待, 聚在...临近, 缠(人), 与...泡在一起"
hang on,"v. 坚守；守住；坚持；支撑着
"
hang out,挂出
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen to,"碰巧,偶然;发生于"
have a reputation for,"na. 因…而著名
"
have no business,无权〔不该〕(干某事)
help oneself,自用
help oneself to,自用
help out,"v. 帮助…摆脱困境；救出；协助
"
hit on,"忽然想到,碰巧遇见,到达"
hit upon, 偶然发现
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
hold on,"继续, 不挂断, 停止"
hold one's own,坚持住
hold out,"na. 伸出；提出；维持；制止
"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hold with,"赞同, 容忍"
hook up,以钩钩住
hope against hope,抱一线希望
idle away,"v. 虚度
"
if only,只要
impose on,"v. 强迫；欺骗
"
impose upon,强加于
improve on,改进
improve upon,vt. 改进
in a sense,在某种意义上
in a way,"在某种程度上, 稍稍"
in a word,总之
in addition,另外
in addition to,"另外, 加之, 除…之外还"
in advance,"预先
"
in any case,无论如何
in brief,"简言之, 以简洁的形式"
in case,万一
in case of,"假设, 万一"
in character,"适合, 相称"
in charge,"主管, 看管, 在...看管下"
in charge of,"负责..., 管理..., 主管..., 掌管..., 看管..., 在...掌管/看管之下"
in cold blood,"残忍地
"
in common,共有
in comparison with,与...比较
in conjunction with,与...协力
in connection with,"与…有联系,与…有关,关于"
in consequence,结果
in consequence of,"因此, 结果; 由于, 因为…的缘故"
in consideration of,"考虑到
"
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
by contrast to,n.  对比(与 ... 相反)
in contrast to,"与...形成对照, 而..."
by contrast with,相比之下
in contrast with,"与...形成对照, 而..."
in control,"控制, 管理, 负责"
in control of,控制住
in depth,"na. 广泛
"
in detail,详细地
in earnest,"正经地, 诚心地"
in effect,"有效
"
in evidence,"明显
"
in excess of,"超过, 较...为多"
in favor of,"赞同, 有利于"
in favour of,"[经] 同意, 支持, 有利于..."
in force,"大规模地, 有效的
"
in full,"充足, 以全文
"
in general,大多数
in half,"分成两半,平分"
in harmony, 谐; 合拍; 和和睦睦
in harmony with,"与...协调, 与...一致"
in haste,匆忙
in itself,"本身,实质上"
in kind,"以货代款
"
in line with,符合
in no case,决不
in no time,立刻
in no way,决不
in one's honor,无
in one's presence,无
in other words,换句话说
in particular,特别
in place of,"代替
"
in private,"私下, 秘密地"
in proportion to,与...成比例
in reality,"实际上, 事实上"
in relation to,"关于, 涉及"
in return,作为报答
in ruins,成为一片废墟
in search of,寻找
in secret,秘密地
in short,"简而言之
"
in so far as,"至于, 就..."
in spite of,不管
in store,"贮藏着, 保存着, 准备着, 将要发生
"
in summary,总之
in terms of,"用...的话, 根据, 按照, 在...方面
"
in the event of,"如果...发生
"
in the event that,如果;在…情况下
in the face of,面对
in the first instance,"首先, 起初
"
in the habit of,"有…的习惯,习惯于…"
in the hands of,"在某人手中,被某人控制,由某人负责"
in the interest of sb.,"为了, 为了...的利益"
in the interest of sth.,"为了, 为了...的利益"
in the interests of sb.,为了，为了…的利益；符合…的利益
in the interests of sth.,为了，为了…的利益；符合…的利益
in light of,"按照, 根据"
in the light of,"由于, 当作
"
in the long run,"长远, 最后"
in the neighbourhood of,[口语]在…附近；[俗语]大概，大约
in the red,"[经] 赤字, 亏损"
in the same boat,处境相同
in the wake of,"尾随, 紧跟, 仿效"
in tune,合调子
in tune with,和…合调
in turn,"na. 挨次
"
in vain,"徒然
"
in view of,"考虑到, 由于
"
inform sb. of sth.,"v. 通知关于
"
inform sb. about sth.,将…告知(某人)
inquire about,"询问,了解,打听"
inquire into,调查...
insist on,"坚持, 坚决要求"
insist upon,"坚持(做)..., 坚决要求(做)..."
instead of,代替
integrate into,与…成为一体
integrate with,使与...结合
interfere with sb.,"干涉,干扰,妨碍"
invest in,"投资于, 买进"
isolate from,使与…隔离；使与…分离；使孤立
jump the queue,"插队, 获得优惠待遇"
jump a queue,无
just about,"几乎, 正是"
keep an eye on,"照看, 密切注视"
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep in touch with,与...保持联络
keep one's fingers crossed,希望走好运〔成功〕
keep pace," 并列：与其他人并驾齐驱, 如在比赛中"
keep pace with,"并驾齐驱, 齐头并进"
keep pace with,"并驾齐驱, 齐头并进"
keep up,"na. 支持；保持；继续；停歇
"
kick about, <口>谈论; <口>存在; 漫不经心地踢; 漫不经心地游荡
kick around,na. 仗势欺人；到处流浪；经常改变行业；从各个角度考虑
kick off,"踢脱, 中线开球"
kick out,"na. 踢出；解雇；踢足球出界
"
kick up,"踢起
"
kind of," <口>稍微, 有点儿, 有几分"
knock about,n. 武打戏的表演
knock around,"漫游; 四处走动; 殴打; 在肉体〔精神〕上虐待; 接连打击, 毁坏; 活着; 放着无人理睬"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
knock out,"na. 敲出；敲空；使屈服；使无用
"
know backward,"对…了如指掌, 熟知…"
know backwards,熟知; 精通
know better,"很懂得,很明白"
know better than,不至于蠢到…
later on,稍后
launch into,"开始,着手,投入;大谈特谈,侈谈,大发"
launch in,无
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay great emphasis on,无
lay off,"na. 辞退；停止；暂停
"
lay over,"覆盖, 胜过, 使延期"
learn about,"学习,听说,得悉,了解"
least of all,最不
leave alone, 置于不顾
leave to one's own devices,[网络] 听任…自便；让…自行发展；让某人自已去想办法
leave off,"停止, 不再穿"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let go of," 释放, 放开"
let slide,"na. 不关心
"
level off,"平整, 变平, 稳定"
lie in,"在于..., 分娩, 睡懒觉"
log in,[计] 注册
log out,[计] 注销
long for,渴望
look back,"回顾, 三心二意
"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look over,"na. 浏览；检查；察看
"
lose contact with,与...失去联系
lose heart,丧失勇气
lose one's temper,发脾气
major in,"主修, 专攻"
make a difference,"有区别,有很大关系"
make a fool of,"使…成为笑柄,愚弄,欺骗"
make a thing of,"认为…不得了,对…小题大作"
make a thing out of,对 ... 小题大做
make a top priority,无
make an example of,"惩罚,罚一儆百"
make for,"走向, 有利于, 倾向于"
make history,做出永垂史册的事情
make no bones about,"对...毫不犹豫
"
make off,离开
make one's hair stand on end, 令人发指
make out,"na. 理解；发现；起草；证明
"
make sense,有意义
make sure,确定
make the best of,充分利用
make the grade,"成功, 爬上陡坡"
make up,"na. 弥补；起草；定；签订
"
make up for,"补偿,弥补"
make use of,使用
many a,[地名] 马尼亚河 ( 俄 )
map out,"na. 规划
"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
"
mess with,"胡乱摆弄,糟蹋,与…厮混;和…一道用膳"
might as well,"还是...的好, 不妨"
mind your own business,自管自吧
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mix with,和...混合
more often than not,"多半, 通常"
move around, 走来走去
move off,"离开, 死, 畅销"
move on,继续前进
move out,"搬出, 出发"
much as," 虽然, 尽管"
neither ... nor,[网络] 既不……也不；两者都不；均不
no doubt,无疑地
no matter,"无论, 没关系"
none other than,"不是别人而正是..., 不是他物而正是..."
not in the least,"绝对不, 一点也不"
not to mention,不必提及
not until,直到...才...
now that,"既然..., 由于..."
nowhere near,离...很近
object to sb.,"反对,不赞成"
object to sth.,"反对,不赞成"
occur to,…发生在; 被想起〔到〕
odds and ends,零星东西
of a kind,"同一类的, 蹩脚的"
of late,最近
of necessity,必然地
of no account,不重要的
off balance,"un. 偿清债务；趔趄
"
on account of,由于
on a dime,在很小的范围内;立刻
on approval,"商品供试用的, 包退包换的
"
on average, 平均起来
on the average, 平均而言; 一般来说;  通常; 平均来讲
on behalf of,"代表...
"
in behalf of,"代表,为了…"
on board,"在船/车/飞机上, 在公共交通车辆上
"
on business,因公
on campus,在校内
on condition,接通条件
on condition that,"若是…, 以…为条件"
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
on end,"竖着, 连续地"
on grounds of,"以...为理由, 以...为借口, 根据..."
on the grounds of, 以…为理由，根据
on loan,"出借,借出,供出借"
on occasion,有时
on occasions,"间或, 有时"
on one's behalf,"为…的利益,代表"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
on schedule,"按时
"
on the contrary,"正相反
"
on the fence,"抱观望态度, 保持中立"
on the hour,准点地
on the quiet,"秘密地
"
on the shelf,"被搁置的, 束之高阁, 被废弃的, 推迟执行, 被辞退的, 无结婚希望, 死了的"
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
on the spur of the moment, 凭一时冲动; 日不移晷
on thin ice,如履薄冰
only if,只要...就
open up,"na. (打)开；割开；开发(资源)；揭示
"
or else,否则
or so,"大约, 或许, ...左右"
or something,或是什么的
originate from,发源于
other than,"不同于, 除了"
out of joint,"脱节的, 脱臼的, 混乱的, 不协调的, 心情不好的"
out of step,"步调不一致
"
out of style,"过时,不时兴,不时髦"
out of the blue,突然
out of the way,"不挡道, 不恰当, 异常, 偏僻
"
out of tune,"走调
"
owe to,"v. 由于；把…归功于
"
owing to,"由于..., 因为..."
pack in,"na. 停止
"
pack off,"na. “pack away”的变体
"
pack up,"打包, 整理, 收工, 结束"
pair off,na. 使分成
parcel out,"na. 分派
"
participate in,"参加, 参与, 分享"
pass off,"na. 拿(假货)卖给 (on somebody)；混过去；结束；顺利完成
"
patch up,"na. 拼凑；结束；制止；匆忙处理
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
persist in,"坚持, 固执于"
persist in sth.,"坚持, 固执于"
persist in doing sth.,无
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pitch in,"投入, 动手干, 作出贡献"
