preceding,"a. 在前的, 前面的
"
feast,"n. 宴会, 酒席, 享受, 节日
vt. 款待, 享乐, 请客
vi. 参加宴会, 尽情地吃, 享受"
bar mitzvah,"n. 受诫礼（为满 13 岁的犹太男孩举行的成人仪式）
vt. 给男孩行受戒礼"
legally,"adv. 法律上, 合法地
"
prom,"n. (英)音乐会, (美)舞会, 散步道
"
limousine,n. 轿车
walkabout,n. 徒步旅行
adolescent,"a. 青春期的, 青少年的
n. 青少年"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
aboriginal,"a. 原始的, 土著的
n. 土著居民, 土生生物"
continuous,"a. 连续的, 继续的, 连续不断的
"
deceive,"v. 欺骗, 行骗"
elf,"n. 小精灵, 矮人, 淘气鬼
"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
"
brainwash,"n. 洗脑
vt. 对人洗脑"
myth,"n. 神话, 虚构的事, 虚构的人"
roadside,"n. 路旁, 路边
a. 路边的"
tinsel,"n. 金属丝, 金属箔, 俗丽的东西
a. 金属箔制的, 闪亮的, 俗丽的, 华而不实的
vt. 用金属箔装饰, 虚饰"
marble,"n. 大理石, 石弹, 雕刻品
a. 大理石的, 冷酷无情的, 有大理石花纹的"
slingshot,n. 弹弓
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
gypsum,"n. 石膏
vt. 用石膏处理"
foreman,"n. 领班, 工头, 陪审长
"
eve,"n. 前夕, 前夜"
constellation,"n. 星座, 荟萃
"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
dago,"n. 意大利人, 西班牙人"
logic,"n. 逻辑, 逻辑学, 推理的方法, 推理, 逻辑性
"
twinkle,"n. 闪烁, 闪耀, 瞬息
vi. 闪烁
vt. 使闪耀"
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
"
dinky,"a. 极小的, 不足道的, 整洁的"
horizon,"n. 地平线, 眼界, (天)视地平"
light year,n. 光年
black hole,n. 黑洞
quasar,"n. 类星射电源, 类星体"
supernova,n. 超新星
clunker,n. 年久失修的旧机器
runner,"n. 跑步者, 赛跑者, 送信人, 走私船, 操作者, 滑槽
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
descendant,"n. 后裔, 子孙
a. 传下的, 下降的"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
look down on sb.,"轻视, 看不起"
look down on sth.,"轻视, 看不起"
mark down,"记下, 标低价格
"
be out of one's mind,精神不正常
go out of one's mind,发疯
for keeps,"归赢者所得, 认真的, 永远"
every bit as,完全一样
lay claim to sth.,"要求, 坚持对...的所有权, 自以为"
what the hell,"(用以加强语气或咒骂)究竟,到底"
transformation,"n. 变形, 变质, 变化, 改革, 变换
"
consumption,"n. 消费, 消费量, 痨病
"
acceptable,"a. 可接受的, 合意的, 可忍受的"
intervention,"n. 插入, 介入, 调停
"
prosecution,"n. 执行, 经营, 起诉"
colonial,"a. 殖民的, 殖民地的
"
knit,"v. 编织, 结合"
mitten,"n. 连指手套, 拳击手套"
embroidery,"n. 刺绣品, 粉饰, 刺绣"
strictly,"adv. 严格地, 确实地"
understanding,"n. 理解, 谅解
"
anthropologist,n. 人类学家
largely,"adv. 大量地, 很多地, 大半地"
incapable,"a. 无能力的, 不能的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
leniency,"n. 宽大, 温和, 慈悲为怀
"
competence,"n. 胜任, 职称, 能力
"
mischievous,"a. 淘气的, 有害的, 恶作剧的, 胡搅的"
beating,"n. 打, 挫败, 搏动
"
wilful,"a. 任性的, 固执的, 故意的, 存心的
"
harsh,"a. 粗糙的, 刺耳的, 严厉的
"
outsider,"n. 外人, 局外人, 非会员, 外行, 门外汉, 比赛中获胜可能性不大的选手
"
radically,"adv. 根本地, 完全地"
ethnic,"a. 人种的, 种族的
"
extensively,"adv. 广大, 广延, 外延, 大面积(耕种), 粗放, 广博, 广泛, 广阔"
reluctant,"a. 不情愿的, 勉强的
"
famished,a. 饥馑的
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
reverence,"n. 尊敬, 敬重, 敬礼, 尊严, 威望
vt. 崇敬, 敬畏, 尊敬"
incompetent,"a. 无能力的, 无资格的, 机能不全的, 不胜任的
n. 无能力者"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
childcare,n. 儿童照管；儿童保育
unsupervised,[计] 无监督的
irresponsible,a. 不负责任的；不可靠的
firewood,n. 木柴
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
teen,"n. 愤怒, 悲哀"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
judgment,"n. 裁判, 宣告, 判决书
"
bizarre,a. 奇异的
negatively,"adv. 否定地, 消极地"
continual,"a. 持续不断的, 继续的
"
fascination,"n. 令人着迷的事物, 入迷, 魅力"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
"
in appreciation of,"感激
欣赏"
reason with,与...评理
tell sb. off,"na. 数清；分派(工作)；【罕】编号；谴责
"
fall over, 被…绊倒; 意外地从…上跌落; 落在…之外; 迫不及待做某事
take exception to sth.,"反对
"
tend to,"注意, 趋向"
marvellous,"a. 奇异的, 神奇的, 奇迹般的, 惊人的, 不可思议的, 绝妙的, 妙极的"
sumptuous,"a. 奢侈的, 华丽的"
larder,"n. 食物橱, 家用食品, 食物储藏室"
fella,"n. 小伙子；[俚]伙伴, 伙计"
buyer,"n. 买主, 买方
"
robber,"n. 强盗, 盗贼"
orchestra,"n. 管弦乐队, 乐队演奏处"
capacity,"n. 容量, 能力, 才能, 资格
"
sake,"n. 目的, 缘故, 理由"
terminology,"n. 术语, 术语学
"
sensuous,"a. 感觉上的, 使感官以快感的, 敏感的"
expressive,"a. 表达的, 富于表情的"
sheerly,"adv. 全然地, 完全地"
mechanically,"adv. 机械, 用机械, 机械学, 物理, 力学, 呆板, 无意识, 手工操作, 技工"
hypothetical,"a. 假设的, 有待证实的, 假定的, 有前提的
"
absent-mindedly,adv. absent-minded的变形
brainless,"a. 无头脑的, 愚笨的"
engender,"vt. 产生, 引起
vi. 发生, 形成"
qualified,"a. 有资格的
"
qualify,"vi. 取得资格, 有资格
vt. 使有资格, 使合格, 限定, 限制, 准予"
consolation,"n. 安慰, 令人安慰的事物
"
apropos,"a. 适当的, 恰好的
adv. 适当地, 恰好地"
potent,"a. 有力的, 有说服力的, 有效的
"
usurp,"vt. 篡夺, 侵占, 夺取
vi. 篡夺, 侵占"
disproportionate,a. 不成比例的
constitute,"vt. 构成, 组成, 任命
"
composer,"n. 作曲家, 作家, 调停者"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
purely,"adv. 纯粹地, 清白地, 贞洁地"
intransigent,"a. 非妥协性的
n. 不妥协的人"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
fugue,"n. 赋格曲, 神游
v. 谱赋格曲"
temper,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
clavichord,n. 击弦古钢琴
sadness,"n. 悲哀, 悲伤"
pessimistically,adv. 悲观地
resignedly,"adv. 听从地, 服从地"
fatefully,"adv. 宿命地, 决定性地"
smilingly,"adv. 微笑地, 含笑地"
work of art,n. 艺术作品
pleasurable,"a. 快乐的, 愉快的, 舒适的, 心情舒畅的"
manipulation,"n. 操作, 处理
"
sufficiently,"adv. 足够, 充分"
conscious,"a. 有意识的, 知觉的, 觉察的
"
awareness,"n. 意识, 认识
"
melody,"n. 曲子, 美妙音乐, 曲调"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
clarity,"n. 清楚, 明晰
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
correlation,"n. 相互关系, 相关, 关联
"
instinctive,"a. 本能的, 天生的, 直觉的
"
instinctively,"adv. 本能地, 直觉地"
analogy,"n. 相似, 类似
"
analogous,"a. 类似的, 相似的
"
costume,"n. 装束, 服装"
theatrical,"a. 剧场的, 夸张的, 戏剧性的
n. 戏剧演出"
derive,"vt. 得自
vi. 起源"
gaiety,"n. 愉快, 快活, 高兴"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
playwright,n. 剧作家
theatergoer,"n. 戏迷, 戏剧家"
separately,adv. 
so to speak,"可以这么说, 打个譬喻说"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
shy away from, （由于羞怯等）躲开[避开]
heaven knows,"天知道, 确实无疑地"
to sb.'s satisfaction,无
pin down,na. 强迫(人)承认
give off,"na. 发散(水蒸气等)
"
derive from,"得自, 由来, 衍生"
aside from,除...以外
practically,"adv. 几乎, 差不多, 事实上"
exhilaration,"n. 令人高兴, 愉快"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
subscriber,"n. 签署者, 捐献者, 订户
"
journal,"n. 日记, 杂志, 日报
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
pursuit,"n. 追踪, 追求, 追赶, 娱乐, 职业
"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
photographer,"n. 摄影师, 摄影者"
clack,"v. 噼啪响
n. 噼啪响"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
commotion,"n. 骚动, 暴乱
"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
swoop,"n. 俯冲, 攫取
vt. 抓取
vi. 猛扑, 突然袭击"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
perfume,"n. 香水, 香气, (悦人的)气氛, 美名
vt. 洒香水于, 薰香, 使充满香气"
cologne,"n. 科隆, 科隆香水"
bustling,"a. 熙熙攘攘的, 忙乱的"
chord,"n. 弦, 和音
"
onlooker,"n. 旁观者, 袖手旁观者"
viewer,"n. 观察者, 看电视者, 视察员, 观察器
"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
torso,"n. 躯干, 裸体躯干雕像
"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
downward,a. 向下的
apparently,"adv. 表面上, 清楚地, 显然地"
unaware,"a. 未认识到的, 不知道的
"
pursuer,"n. 追赶者, 追求者, 研究者
"
bleached,"a. 漂白的, 晒白的, 颜色变浅的
v. 使（颜色）变淡, 变白, 漂白( bleach的过去式和过去分词 )"
bleach,"vt. 漂白
vi. 变白
n. 漂白, 漂白剂"
celebrant,"n. 主持仪式的人, 主持弥撒的教父"
obliging,"a. 乐于施惠的, 体贴的, 有礼貌的"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
ensuing,a. 接著发生的
ignite,"vt. 点燃, 使灼热, 使兴奋"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
story line,"n. 故事的本事, 情节"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
surmise,"n. 推测, 猜测
v. 推测, 臆测"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
romanticize,"vi. 有浪漫思想, 以浪漫方式行事, 以浪漫风格描写
vt. 使浪漫化"
predictably,adv. 可预言地
predictable,a. 可预言的
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
spawn,"n. (鱼)卵, 产物
vt. 产卵, 酿成, 大量生产
vi. 产卵, 大量生产"
boatload,"n. 船的载货量, 一条船的货物"
sentimental,"a. 感伤的, 感情用事的"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
sexual,"a. 性的, 性别的
"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
readily,"adv. 迅速地, 轻易地, 乐意地"
observable,"a. 可遵守的, 可庆祝的, 看得见的, 可辨别的, 观测得到的, 值得注意的, 显著的
n. 感觉到的事物, 现象"
suspend,"vt. 悬, 吊, 使悬浮, 暂停, 中止, 推迟
vi. 暂停, 中止, 悬浮, 停止偿付债务
"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
demon,n. 魔鬼
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
victor,"n. 胜利者
a. 胜利的"
carefree,"a. 无忧无虑的, 不负责的"
confidence,"n. 信心
"
await,"vt. 等候
vi. 等待着"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
inventive,"a. 善于创造的, 发明的"
suburb,"n. 市郊住宅区, 郊区, 边缘"
distract,"vt. 转移, 分心, 使发狂"
captivating,"a. 迷人的, 有魅力的"
on the line,"处于中间, 立即"
keep track of sb.,了解
keep track of sth.,了解
border on,接壤
out of the corner of one's eye,用眼角余光看
strike a chord,引起共鸣
strike a chord with sb., 引起共鸣
gloss over sth.,掩盖
sit well with sb.,与 ... 相符
not sit well with sb.,无
regardless of,"不注意, 不关心"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
masterpiece,"n. 杰作, 名著"
frustrating,a. 令人沮丧的
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
critic,"n. 批评家, 鉴定家"
analyze,"vt. 分析, 细察, 分解
"
snapshot,"n. 快照, 抽点打印
"
bodyguard,"n. 保镖, 护卫"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
illusion,"n. 幻影, 错觉, 幻想
"
starry,"a. 星光照耀的, 多星的, 星形的, 明亮的"
breakdown,"n. 崩溃, 故障
"
turmoil,"n. 骚动, 混乱"
metropolitan,"n. 大都市居民, 都主教, 宗主国的公民
a. 大都市的, 都主教区的, 宗主国的"
notoriety,"n. 恶名, 臭名, 声名狼藉"
prostitute,"n. 妓女, 男娼
vt. 使沦为妓女
a. 卖淫的, 堕落的"
brothel,"n. 妓院
"
influential,"a. 有影响的, 有势力的"
Cubist,"n. 立体派画家
a. 立体派的"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
plural,"n. 复数
a. 复数的, 两个以上的"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
manor,"n. 庄园
"
lodge,"n. 小屋, 门房, 支部, 旅舍, 分会
vi. 临时住宿, 倒伏, 寄宿, 投宿
vt. 安顿, 容纳, 提出, 把...射入, 存放"
groundsman,"n. 球场管理员, 大花园的园丁"
clearing,"n. 清扫, 空地, 票据清算
"
orchard,"n. 果园, 果树林"
workman,"n. 工人, 工匠, 男工"
quarry,"n. 采石场, 方形石, 猎物, 被追求物, 来源
vt. 挖出, 努力挖掘
vi. 费力地找"
identical,"a. 同一的, 恒等的, 完全相同的
"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
teem,"vi. 充满, 充足, 倾注
vt. 倒出"
windfall,"n. 被风吹落的果子, 横财
"
forlorn,"a. 孤独的, 悲惨的, 凄凉的"
daffodil,"n. 水仙花
a. 水仙花色的"
tulip,n. 郁金香
chrysanthemum,n. 菊花
riot,"n. 暴动, 喧闹, 放纵
vi. 发动, 暴动, 纵情, 放荡
vt. 浪费, 挥霍"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
tinge,"n. 色调, 色彩, 气味, 气息
vt. 染, 使带气息"
gurgle,"n. 汩汩声
vi. 汩汩地流, 作汩汩声"
topmost,"a. 最高的, 顶端的"
bough,n. 大树枝
woodland,"n. 林区, 林地"
spire,"n. 尖塔, 尖顶, 锥形体, 螺旋
vi. 突出, 耸立, 螺旋形上升
vt. 给...加塔尖"
peal,"n. 响亮持久的声音, 钟声
vt. 使鸣响, 大声发出
vi. 大声鸣响, 震响"
telegram,"n. 电报, 一封电报
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
porch,"n. 门廊, 走廊"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
vanish,"vi. 消失, 不见, 成为零"
briefcase,n. 公事包
terraced,a. 阶地的；有平台的；沿斜坡建造的
terraced house, <英>排屋（互相连接的一排房屋之一幢）
detach,"vt. 使分离, 分遣
"
semi-detached,"adj. 半独立式的
"
coarse,"a. 粗糙的, 下等的, 粗俗的
"
congested,"a. 拥挤的, 堵塞的
"
spick and span,"adj. 崭新的；漂亮的；干干净净的
"
furnish,"vt. 供给, 提供, 装设
"
install,"vt. 安装, 安置, 使就职
"
bathtub,n. 浴缸
lavatory,"n. 洗脸盆, 厕所"
indoors,adv. 在户内
appliance,"n. 器械, 用具, 应用
"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
delivery,"n. 递送, 交付, 分娩, 交货, 引渡
"
milkman,"n. 牛奶商, 送奶工, 挤奶的男人"
rag-and-bone man,"un. 废品收购者
"
cart,"n. 二轮运货马车
vi. 驾运货马车
vt. 用车装载"
whir,"n. 呼呼声, 飕飕声
vi. 作呼呼声, 发飕飕声
vt. 使呼呼响"
clank,"n. 叮当声
vi. 发叮当声, 发铿锵声
vt. 使铿然作响"
crossroads,"n. 十字路口, 交叉路口, 聚会的中心地点, (喻)需作抉择的重要关头, 紧要关头"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
resent,"vt. 愤恨, 憎恶, 怨恨"
assemble,"vt. 集合, 收集, 装配
vi. 集合
"
floorboard,"n. 一块地板, 汽车底部板"
creak,"n. 辗轧声, 嘎吱嘎吱声
vi. 作辗轧声, 发出辗轧声"
ghost,"n. 鬼, 灵魂, 幻影, 一丝, 一点
v. 鬼似地游荡"
scuff mark, 擦伤（玻璃、陶瓷表面缺陷）
carve,"v. 雕刻, 切开"
banister,"n. 栏杆的支柱, 楼梯的扶栏"
hush,"n. 肃静, 安静, 沉默
vt. (使)肃静, (使)安静, (使)缄默
interj. 嘘, 别作声"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
stonework,"n. 石造物, 建筑物的石造部分, 石方工程, 石细工, 石匠工场, 石铺"
dirt,"n. 污垢, 泥土
"
mould,"n. 模子, 模制品, 松软沃土, 霉
vt. 形成, 浇铸, 用泥土覆盖
vi. 发霉"
frankly,adv. 坦白地
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
screech,"n. 尖声喊叫, 尖叫声, 煞车声
vt. 尖声讲
vi. 发出尖声"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
"
keep sb. company,[网络] 陪伴；作伴；交往
live with, 与…一起生活; 与（异性）同居; 学会去适应; 接受并忍受
restless,"a. 不安静的, 慌张的, 休息不充分的
"
adventurer,"n. 冒险家, 投机者
"
