act on,"按...行动, 作用于
"
appropriate to, 将（某物）分配给…
benefit from,从…获利
bring about,"na. 造成；带来；【航】(使船)回转
"
be applicable to,(适)用于
be busy with,忙于
because of,因为
be concerned with,"涉及..., 与...有关"
be confronted with,面临
be conscious of,意识到...
be considered as,被认为/看作是...
be dependent on,"依靠, 依赖"
be eager to,"盼望,渴望"
be entitled to,[法] 有资格或权利...
be exposed to,"[计] 曝光, 曝露"
be inclined to,"倾向于..., 有...的趋势"
be interested in,对…很感兴趣
be likely to,"有可能…,很可能…"
be obliged to, 不得不; 只得; 必须
be puzzled by,无
be regarded as,[网络] 被认为是；被当做是；视为
be resistant to,"抵抗...的, 对...有耐药力的"
be satisfied with,对...感到满意
be second to,次于…
be subject to,"受支配, 从属于, 可以...的, 常遭受..."
be vulnerable to,易受...的伤害
be willing to,愿意(做)...
be worth doing,无
by accident,偶然
by all means,"尽一切办法, 一定"
by chance,"偶然, 也许"
by contrast,"对比起来, 与之相比, 相反地"
in contrast,"比较起来, 相反地, 而"
by means of,依靠
by nature,天生地
by way of,"经由, 作为, 为了
"
back up,"na. 支持；堵塞；【棒球】抢救后方；【计算机】把(文件等备份)
"
bear in mind,"na. 记住；铭记不忘；注意
"
keep in mind,"na. 记在心里；记住；注意
"
bear out,"na. 证明
"
begin with,"以…开始,首先"
benefit by,"得益于…,从…中获得好处"
bet on,v. 打赌
bid for,"要求,争取,投标,出价竞买"
boast of,吹嘘;引以自豪地拥有
boast about,自夸
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
"
put into effect,"使生效, 执行...
"
bring forth,使产生
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
bring into, 使达到…; 把…拿入; 使开始生效; 使清楚地被人理解[知道]
bring out,"na. 公布；说出；出版；上演
"
build on, 在原有的建筑物上增建; 以…为基础; 依赖; 一心指望
burn down,"烧成平地, 火力减弱
"
burn out,"烧坏, 烧掉, 烧尽
"
burn up,"烧起来, 烧掉, 发怒"
burst into,"闯入, 开出, 突然出现"
burst out,"闯出来, 大声喊, 突发"
buy into,出钱入(某组织或企业)
buy out,na. 出钱使某人出让地位
buy up,"na. 囤积；整批收购；购进(其他公司)
"
back and forth,来回地
bad debt,[会计] 坏帐；[会计] 呆帐
badly off,"穷的, 缺少的"
be able to,"能, 会"
be addicted to,沉迷于…
be aware of,知道
be beneficial to,有益于
be bound to,"肯定,必然,注定;保证做某事,有义务做某事"
be bound up with,与...有密切关系
be characterized by,"具有...的特性, 其特性为..."
be different from,"与…不同,和…不一样"
be distracted by,被…搞得心烦意乱;被…搞得要发狂
be enrolled in,"v. 入伍,入学"
be equal to,"胜任, 相等, 合适"
be equipped for,"准备好,对…有准备"
be equivalent to,"[计] 等价的, 等效的, 等值的"
be essential to,对…必要的
be faced with,"面对,面临着…"
be familiar with,熟悉
be familiar to,对…熟悉的
be fond of,"喜爱, 爱好"
behind the scenes,"在后台, 在幕后
"
be ignorant of,不知道
be independent of,"独立于...之外, 不受...支配, 与...无关, 不依赖..."
be indicative of,"表示..., 提示..., 指示..., 暗示..."
be irrelevant to, 与。。。不相干，不切题
be jealous of,妒嫉
be liable for,"有...责任, 有...义务"
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
be made of,由...所组成
be marked by,"特点是,以…为特点"
be of ... importance,无
be open to,"对...开放, 愿接受...的"
be opposed to,"反对..., 与...相对"
be popular with,为...所喜欢
be proud of,"自豪, 高兴"
be relevant to,与...有关
be sensitive to,"敏感, 灵敏"
be stuck in, 困于，停止不前，动弹不得
be supposed to,"应该, 被期望"
be to blame,该受责备
be tolerant of,"忍耐,容忍,对…有忍耐力"
be typical of,是...的特点
be unaware of,"不知道, 不注意"
be unfamiliar with,"不熟悉…,对…很陌生"
be urged to,无
be worthwhile to,无
be worthy of,"值得,应得到"
beyond dispute,"没有争论余地, 无疑地
"
beyond one's ability,无
bottom line,"n. 概要, 账本底线"
box office,"票房, 票房收入"
but then,但另一方面
by analogy,用类推的方法
by and large,"大体上, 基本上"
by hand,用手
by heart,"凭记忆, 记住"
by mistake,由于差错
by no means,决不
by reason of,"由于, 因为"
by the end of,"到…结束的时候,到…末"
blow up,"v. 炸掉；爆炸；充气；放大
"
boot up, [计]引导，启动
build in,"na. 加入；埋入；围以(房屋,围墙等)
"
be appropriate for,"适合,适用于"
be charged with,"装满, 承担, 被控告
"
be correlated with,与...有关/相联系
be diligent in,无
be indispensable to,v. 必需
be indispensable for,无
between jobs,[网络] 失业；待业中；工作之间
beyond one's comprehension, 不可理解
beyond the capability of,无
beyond the dreams of,无
book value,"帐面价值
"
by a large margin,无
by courtesy of,蒙...好意
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
carry on,"继续开展, 行为愚蠢(或越轨)
"
check on,"检查,核对"
cling to,"依附, 依靠, 坚持"
come across,偶遇
compete with,与…竞争
comply with,照做
conform to,"符合, 遵照"
contribute to,捐献
cope with,"与...竞争, 应付, 处理"
contrary to,与…相反
call off,"na. 〈口〉命令停止；丢手；取消(婚约)；〈美〉点(名)
"
call up,"na. 传；动员；打电话给；【电讯】呼唤
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
cater to,迎合
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；〔美俚〕死
"
check up on,[美国英语]；查验；核实；校对；调查:；检查体格:
cheer on,"un. 欢呼；喝采；高呼加油:；为某人打气
"
cheer up,"v. 鼓舞；振作一点
"
clean out,"na. 扫除干净；〔俚语〕(把钱)花完
"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
close down,"关闭, 歇业, 停止播音"
close up,"na. 靠紧；(伤)愈合；密闭；〔美国〕结束
"
coincide with,符合
combine with,与...结合
come about,"发生, 改变方向"
come along,v. 出现；一起来；陪伴；进步
come around,"来, 前来, 过访, 顺便来访, 笼络, 诱骗"
come round,"顺便来访, 绕道而来, 转向, 改主意, 苏醒, 平息"
come at,"袭击, 达到, 得到"
come by,"从旁边走过, 得到"
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
come down to,"流传下来;压缩为,归结为,简化为"
come in,"进来, 到达, 流行起来, 当选, 到手
"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
come to,"谈到, 被...继承, 苏醒, 停止"
come up with,"赶上, 提出"
comment on,评论
communicate with,通话
compare to, 把…比作， 喻为; 与…相比
compare with,"比较…,跟…相比,比得上…"
complain about,抱怨
complain of,"抱怨, 抗议"
concentrate on,"集中, 全神贯注于"
consent to,"同意, 答应"
consist of,由...组成
count in,"na. 算入
"
cut across,抄近路通过
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
capable of, 有…能力（或技能）的，能…的
close to,"接近于, 靠近于"
come into being,"形成, 产生"
come into effect,"开始生效
"
go into effect,"生效,开始实施"
come into use,开始被使用
come to a close,结束
come to life,苏醒
come to light,"na. 显露
"
come true,"实现, 成为事实"
commit suicide,[法] 自杀
common to, 共同的，共有的
comparable with,"可比较的, 比得上的；与…相容；可同…比较"
comparable to,"可比较的, 比得上的"
control over,控制
convenient to, 便利的，方便的；便于
choke up,"塞住, 噎住, 阻塞"
clamp down,"取缔, 强行压制"
clear away,"na. 扫除；砍去；(雾等)消散
"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
"
clear up,"na. 整顿；说明；(天气)转晴
"
come apart,"分开, 分裂"
come in for,"遭到, 受到"
come into,"得到, 继承
"
compensate for,赔偿
confess to,"承认, 坦白; 〈宗〉向…忏悔"
cool off,"变凉, 平静下来"
correspond to,"相当于..., 与...相对应"
crack down," 采取严厉措施, 制裁; 打击"
crack down on,"制裁, 镇压"
curl up,卷起
clear-cut,"adj. 清晰的
"
come into operation,[法] 开始实施
go into operation,"生效, 开始工作"
come to a head,"出脓, 到紧急关头"
come to blows,开始互殴
come to grief,"遭到不幸, 遭难, 失败"
come to grips with,与...搏斗
come to hand,"na. 拿到手
"
come to one's senses,"苏醒过来, 醒悟"
come to terms,"达成协议, 妥协, 让步
"
coupled with, 加上，外加
cross section,"横截面
"
cut and dried,"枯燥无味的,刻板的,老一套的;现成的,事先准备好的"
cut short,"na. 打断(讲话)；使停止；缩减；从简
"
deal with,"安排, 处理, 涉及, 做生意"
depend on,"依靠, 依赖"
derive from,"得自, 由来, 衍生"
die out,"熄灭, 平息, 消失"
do harm to, 损害。。。，伤害。。。; 残害
doze off,不知不觉地睡着了
draw on,"戴上, 吸收, 利用, 向...提取, 引诱, 招致, 临近"
date back to,"始于,可以追溯到…"
dedicate to,献身
deprive of,"un. 剥夺
"
devote to,"v. 把…贡献给
"
die down,"枯萎, 凋谢"
differ in,在…方面不同
disagree with,"不同意, 不一致, 不适合"
dispose of,"处理, 安排, 转让, 卖掉, 除掉, 吃光, 解决"
distinct from,adj. 不同于N
do business,"na. 做买卖
"
do for,"na. 帮助；适合做；除掉；毁掉
"
do justice to,"公平对待, 适当处理"
do with,"与...相处, 忍受, 对付"
draw out,"na. 抽出；拔出；掏出；提出
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drive away," 驱车离开; 把…驱开, 赶走; 祛"
drop by,随便访问
drop in,顺便走访
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"掉出, 退出, 离队
"
drop out of,"退出,辍学,脱离"
drop to,下降到;跌到
dry out," （使）变干, （使）干涸; <非正>（使）戒（酒、毒等）; 晾干"
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
"
do one's best,尽全力
try one's best,尽力
double-digit,"un. 两位数字的
"
dozens of,"几十个,数十个;许多…"
draw a comparison,"做比较
打比方"
drive sb. to do sth.,无
deduce from,"推断
"
discriminate against,歧视
dispense with,"免除, 省却, 无需"
divide by,用…整除;因…而发生分裂
do away with,"废除, 弄死"
double up,"把...对折, 弯曲, 同宿一室"
do up,"v. 修缮；收拾
"
dream up,"na. 凭空想出；凭空捏造出
"
dwell on,"细想, 详述"
dwell upon,凝思;详细论述;仔细研究
dead end,"闭塞不通的一头, 死胡同
"
do one's bit,尽自己的一份力量
do one's utmost,竭力
do the honors," 尽地主之谊, 招待宾客"
draw dividend,无
drive into action,无
evolve from,由...进化
exert influence on,对…施加影响
eat up,"吃光, 耗尽, 吞灭"
embark on,"从事, 着手"
engage in,"使从事于, 参加"
engage with,交战
escape from,逃脱
experiment on,对...进行实验
extract from,从…中提取
earn one's living,"谋生, 维持生活"
either ... or,adv. 不是…就是…，…或…，要么…要么…
even if,即使
even though,"虽然, 尽管"
ever since,从那时到现在
every other,"每隔一, 所有其他的"
every so often,"时常, 常常, 不时"
except for,"除...以外
"
expert in, 熟练于…
fail to, 未能…
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
filter out,[化] 滤出
for example,例如
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for instance,"例如
"
for long,长久
fall behind,"落在后面, 拖欠"
fall down," 倒塌, 跌倒; 失败; 趴架; 栽倒"
fall for," 上当, 听信; 爱上"
fall off,"从...跌下, 下降, 减少, 衰退, 离开"
feel like," 摸起来像是…, 有…的感觉; 想要…"
fight back,"抵抗, 回击"
figure out,"合计为, 计算出, 明白"
fill up,"na. 同“fill”
"
fill with,"v. 充满
"
find out,"na. 查出；发现；看清…的面目；识破
"
finish up,"结束, 完成, 用光"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit into,适合
fix on,"确定, 决定"
fix up,"na. 〈美口〉修理；解决；组织；安顿住处
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
follow through,坚持到底
fair play,"公平比赛, 公平条件
"
far from,"远离, 远非"
far off," 远, 在远处的"
far-reaching,adj. 影响深远的; 有广泛影响的
first and foremost,首要地
first of all,首先
fit for, 给…量尺寸以便做…; 适于， 适合
fit to,[计] 调整到
follow suit,"跟着做, 跟着出同花色的牌"
for a while,暂时
for certain,肯定地
for ever,"永远, 老是"
for free,免费地
for good,"永久地, 永远地, 一劳永逸地"
for one's part,"对某人来说, 就个人来说"
for one thing,首先
for sale,"待售
"
for short,"简称, 缩写"
for sure,确实
for the benefit of,为…的利益 ; 为惩戒…
for the most part,在极大程度上
for purpose of,为…的目的
for the purpose of, 为了，因…起见; 借以
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
full time,"专职,全部工作时间的,全日制"
fall out of,"放弃, 中止"
find fault with,"挑剔,指责,对…吹毛求疵"
flare up,"突然起燃, 突然燃烧, 突然发作/加剧, 突然发怒"
flash on,"立刻理解,马上体会出;闪亮,闪烁;感到恍恍忽忽"
fool around,"闲荡, 干蠢事, 干无用的事, 干琐屑的事"
for good measure,"作为额外增添, 另外"
for the time being,暂时
get over,"爬过, 克服, 熬过, 恢复, 原谅"
get rid of,"摆脱, 除去"
give in,"na. 让步；屈服；投降；上交
"
give up,"na. 放弃；断绝；投降；自首
"
go against,"反对, 违反, 不利于"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
get ahead,"领先, 走在前面, 进步, 获得成功"
get back to,"回到…,继续…"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
get out,"出去, 离开, 逃脱, 摆脱, 泄露, 说出, 出版, 弄出来"
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
give access to,"准许进入,使得以进入"
give birth to,产生
give priority to,"给…以优先权,优先考虑…"
go along,"前进, 进行"
go out,"出去, 熄灭, 过时, 辞职, 倒塌, 罢工"
go with,"伴随, 与...相配"
get going,"na. 采取行动；出去；使某人发怒
"
get in the way,"挡住去路,障碍,碍事"
get ready,准备好
get on in life,"发迹, 飞黄腾达"
get out of the way,"v. 解决；除去
"
have nothing to do with,与...无关
hand over,交出；移交
happen to sb.,"碰巧,偶然;发生于"
happen to sth.,"碰巧,偶然;发生于"
have a good time,过得快乐
have an advantage over,"胜过,比…优越"
have connection with, 与…有联系
have difficulty in,对…有困难
have faith in,"na. 相信
"
have no use for,"不需要, 厌恶"
hear from,"接到...的信, 受...批评"
help to,"un. 替某人或自己取食物、饮料等:
"
hold on,"继续, 不挂断, 停止"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
"
hundreds of thousands of,"几十万,无数"
insist on,"坚持, 坚决要求"
intend to,"打算(做)..., 想要(做)..."
if only,只要
in addition,另外
in and out,"进进出出, 弯弯曲曲"
in a sense,在某种意义上
in a word,总之
in brief,"简言之, 以简洁的形式"
in consequence,结果
in contrast,"比较起来, 相反地, 而"
in effect,"有效
"
in face of,"面对,在…面前;不顾,即使"
in fact,"事实上
"
in favor of,"赞同, 有利于"
in general,大多数
in line with,符合
in order to, 为了…
in particular,特别
instead of,代替
in terms of,"用...的话, 根据, 按照, 在...方面
"
in theory, 理论上
in the wake of,"尾随, 紧跟, 仿效"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
"
in vain,"徒然
"
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
integrate into,与…成为一体
integrate with,使与...结合
interact with, 与…相互作用，与…相互影响; 与…相互配合
interfere with,"干涉,干扰,妨碍"
ill-informed,"a. 消息不灵通的, 所知不多的"
in action,"在活动, 在运转"
in any case,无论如何
in-built,"a. 内置的, 固定的, 嵌入的"
in business,"在营业,在生产,在做生意"
in cash,[经] 用现金
in competition with,[网络] 与…竞争；在与…竞争之中；与……比赛
in contact with,与...在接触中
in danger,在危险中
in depth,"na. 广泛
"
in despair,绝望地
in detail,详细地
in dispute,在争论中
in exchange for,交换
influence on,对…有影响
in front of,在...前面
in large numbers, 满谷满坑；成群；满坑满谷
in matter of,与…有关
in memory of,纪念...
in need,"在急需时,在贫困时,在危难中"
in order,"整齐, 状况良好, 适宜"
in other ways,在其他方面
in other words,换句话说
in part,部分地
in perspective,"正确地, 显示在脑海中, 符合透视法地"
in practice,"在实践中, 实际上, 熟练"
in print,"已出版, 在销售中"
in public,当众
in quest of,为了追求...
in reality,"实际上, 事实上"
in respect of,"[法] 关于, 就...而言"
in response to,"回答..., 响应..., 对...有反应
"
in return,作为报答
in return for,作为…的回报
in search of,寻找
in short supply,供应不足
in some ways,在某些方面
in spite of,不管
in sympathy with,"赞同..., 与...一致"
in ... terms,"在谈判,在协商;明确地,措词严密地"
in the background,在幕后;隐蔽地
in the end,"最后, 终于"
in the eyes of,在...心目中
in the heart of,在…中心
in the interest of,"为了, 为了...的利益"
in the knowledge of,无
in the light of,"由于, 当作
"
in the long run,"长远, 最后"
in the long term,长远地
in the short term,短期内
in the manner of,"以…方式,按照,根据…"
in the past,在过去
in the process of,在...的过程中
in the way,挡道
in the way of,在…方面;在…过程中;作为…;阻碍…
in use,"在使用着, 在应用"
in words,口头上
impose on,"v. 强迫；欺骗
"
interfere in,"干预,干涉,介入"
in ample supply,无
in a row,"成一长行, 连续, 一连串"
in blinding flash,无
in the pipeline,"在进行,在着手,在准备,在制定"
jump on,扑向
keep down,"na. 压住；压服；【印】用小活字排印；缩减
"
keep an eye on,"照看, 密切注视"
keep one's word,守信
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"跟上
"
kill off,"na. 消灭
"
keen on, 热衷于有兴趣的
keep one's eyes open,"注意, 留心"
keep abreast of,保持与...并列
keep track of,了解
key in,"un. 插上；键入
"
lay off,"na. 辞退；停止；暂停
"
lead to,"导致, 通向"
lead up to,"带到, 导致, 作为...的准备"
look for,"寻找, 期待"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
lead into,把…带入; 导致; (道路等)通向
lead on,"na. 哄骗；怂恿
"
lean on,靠着
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
lie down,躺下
lie with,是...的权利/义务
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
"
live by,靠…为生
live in,住进
live off,"以...为食料, 靠...生活"
long for,渴望
look back,"回顾, 三心二意
"
look back at,无
look back on,"回头看,回顾,追忆"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
look into,"窥视, 浏览, 观察
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
lose sleep,"na. 失眠
"
laughing stock,n. 笑柄
less than," 小于, 决不; 以内; 没有; 不足"
life sentence,n. 无期徒刑的判决
make fun of,取笑
make up,"na. 弥补；起草；定；签订
"
make no difference,没有影响
make use of,使用
manage to, 达成，设法
marvel at,对...惊奇
meet the requirements of,vt.  适应(满足 ... 的需要)
move on,继续前进
multiply by,"v. 乘
"
make an effort,作出努力
make money,"挣钱
"
make progress,取得进步/展
make sacrifice,无
market-oriented,市场导向
meet one's need,满足某人的需要
millions of,"成千上万的..., 无数的..."
more often than not,"多半, 通常"
more than,"比...多, 超出预料, 很, 绰绰"
move against,行动起来反对
merit pay,[经] 功绩酬劳
muscle tone, [医]肌紧张，肌肉紧张度
no less than,正如
no longer,不再
nothing more than,不过是...
now that,"既然..., 由于..."
neglect of,疏忽
neither ... nor,[网络] 既不……也不；两者都不；均不
never mind,"没关系, 不用担心"
no doubt,无疑地
no other than,"na. 就是；只有
"
no sooner ... than,[网络] 一……就；不早于；刚…就
not as ... as,无
not so ... as, 不及，不像
not ... at all,一点也不
not ... but,"虽然,但并非不…"
nothing but,只
not in the least,"绝对不, 一点也不"
not to mention,不必提及
no way,"无论如何也不,决不"
no wonder,不足为奇的
owe to,"v. 由于；把…归功于
"
on average, 平均起来
on behalf of,"代表...
"
once for all,"只此一次, 一劳永逸地, 彻底地"
only if,只要...就
on the average, 平均而言; 一般来说;  通常; 平均来讲
on an average,"作为平均数, 通常"
on the basis of,以...为基础
on the contrary,"正相反
"
on the other hand,另一方面
on the whole,"大体上, 基本上"
other than,"不同于, 除了"
out of date,"过时的, 废弃的
"
owing to,"由于..., 因为..."
occur to,…发生在; 被想起〔到〕
open up,"na. (打)开；割开；开发(资源)；揭示
"
operate on,对...施手术
originate in," 归因于…, 产生于…; 起源"
originate from,发源于
ought to,应该
of course,当然
off and on,断断续续地
off balance,"un. 偿清债务；趔趄
"
off duty,下班的
on account of,由于
on a daily basis, 每天（指一起共事）
on business,因公
once again,再一次
once in a while,偶尔
once more,再一次
once upon a time,从前
on condition that,"若是…, 以…为条件"
on demand,comb.form 表示“一经用户要求即刻提供的电信服务”[参较 fax-on-demand]
on duty,"值班, 上班
"
one after another,"接连地
"
one another,彼此
on earth,"在世上, 究竟"
one way or another,无论如何
on fire,"起火, 非常激动"
on foot,"na. 步行；在进行中；徒步
"
on guard,"na. 看守；值班
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on impulse,一时冲动
on line,"[经] (与主机)联机, 在线, 机内"
on occasion,有时
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
on order,"已定(购)而尚未交货的
"
on paper,"以书面形式, 在名义上"
on purpose,"故意
"
on sale,"廉售的, 拍卖的"
on schedule,"按时
"
on the air,"在广播, 在电视中"
on the decline,没落
on the go," 活跃, 忙个不停"
on the increase,正在增长
on the point of,正要...的时候
on the rise,"在上涨, 在增长"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
on the verge of,"接近于, 濒临于"
on time,"准时
"
open-minded,虚心坦怀的
or else,否则
or so,"大约, 或许, ...左右"
out of control,"不受控制, 失去控制
"
out of doors,户外
out of hand,"无法控制, 脱手, 告终, 立即"
out of the way,"不挡道, 不恰当, 异常, 偏僻
"
over the years,"在这几年中, 在那几年中"
over time,[计] 超时
odds and ends,零星东西
off-the-cuff,"即兴地, 非正式地"
of no account,不重要的
on cue,就在这个时候
on oath,"发誓, 在誓言的约束下
"
under oath,"宣誓,发誓,凭誓言"
on one's honor, 以名誉担保
on the blink,"奄奄一息,濒于死亡;坏了,失灵"
on the brink of,"在…边缘,濒于,接近,几乎,差点"
on the horizon,在地平线上
on the ropes,"倒在栏索上, 处于困境, 濒于失败"
on the sly,诡秘地
out of character,"不符合某人一贯的性格, 与自己的性/习惯/所扮的角色不适合"
over-the-counter, （买药）不用处方
pay attention to,注意
point out,"na. 指出
"
prefer to,"un. 较喜欢；宁愿:
"
provide for,"v. 为…作准备
"
provide ... with,"v. 供给；供应
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
parallel to, vt. 平行于；与……平等
parallel with,与...比较
prior to,"在前, 居先
"
participate in,"参加, 参与, 分享"
part with," 失去, 卖掉[付出]…, 与…分开; 割舍"
pass down,"un. 过；一闪即逝；下达
"
pave the way for,为...铺平道路
pay back,"na. 偿还；报答；向…报复；付还
"
pay for,付...款
pick up,"v. 拾起；探出；重新开始
"
piece together,"na. 拼合
"
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
prepare against,"为对付…做好准备,防备…"
prepare for,[网络] 准备；为…作准备；为…做准备
press for,"na. 催逼；(时间)迫促；(资金)短少
"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
"
pull through,"(使)渡过难关, (使)恢复健康"
push aside,"v. 推开
"
push up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
"
put an end to,"结束, 终止"
put through,"na. 经受；测试；试验；使…通过
"
put up,"adj. 预先商定的
"
package deal,"一揽子交易
"
persuade sb. to do sth.,无
point of view,"观点
"
pose a contrast,无
preferable to,"adj. 优于；胜过
"
public figure,n. 社会名人; 人士
put pen to paper,落笔
pin down,na. 强迫(人)承认
plead for,为...辩护
plough through,"驶过,穿过,乘风破浪"
point at, （把…）对准，指向; 针对; 指画
point to,指向
prey on,"捕食, 掠夺"
part and parcel,"重要的部分, 必要部分"
pink slip,"解雇通知书
"
prejudice against,使对…抱有偏见
put down roots,[网络] 落地生根；定居；扎根
quick-witted,脑筋反应快的
refer to,"v. 查阅；提到
"
resort to,"诉诸于, 采取
"
rest on,"被搁在, 停留在, 信赖"
result from,"由...产生
"
result in,"导致
"
rather than,与其...不如...
regardless of,"不注意, 不关心"
reflect on,"深思, 反省, 导致, 招致非议"
relate to,"na. 有关联；与…有关；理解
"
rely on,"依赖, 依靠"
reply to,回答
report back," 带回…的报告, 汇报"
resign from,辞职
respond to ...,"答复,响应,对…作出反应"
retreat from,"放弃, 退出"
return to,回复到...
ride on,"乘, 骑, 依靠"
root in,来源于
rule out,"na. 排除
"
run out,"na. 耗尽；用光；过有效期；失效
"
rush through,"匆忙做完,草草完成;掠过"
ready for, 准备好干某事; 准备供（某人、事）用的; 准备应付; 对付
ready-made,"[经] 现成的, 预先制好的"
real estate,"不动产
"
reason for,…的原因
research into,"探究, 调查"
research on, 研究， 探讨…
responsible for," 为…负责, 是造成…的原因"
