small talk,闲聊
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
hero,"n. 英雄, 超越常人者, 男主角"
play an important part in,[网络] 在…方面起重要作用；在……中起重要作用；在……起重要作用
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
philosophical,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的"
vanish,"vi. 消失, 不见, 成为零"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
bush,"n. 矮树丛
"
definitely,"adv. 明确无疑地, 清楚地"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
scent,"n. 气味, 香味, 香水, 踪迹, 痕迹, 线索, 嗅觉
vt. 闻出, 嗅, 发觉, 使充满气味
vi. 嗅猎, 发出气味"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
direction,"n. 方向, 指导, 趋势
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
knuckle,"n. 指节, 蹄爪, 膝关节
v. 以指节打, 以手指射"
bite,"n. 咬, 一口
v. 咬, 刺痛, 穿透"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
stupefied,"v. 使发呆, 使昏昏沉沉( stupefy的过去式和过去分词 ); 使惊讶; 木然"
exhaustion,"n. 抽空, 耗尽, 疲惫, 筋疲力尽
"
tabby,"n. 平纹, 斑猫
vt. 使起波纹
a. 平纹组织的, 起波纹的"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
hold out,"na. 伸出；提出；维持；制止
"
come up to,"达到, 等于"
longing,"n. 渴望, 热望, 憧憬
a. 渴望的, 热望的"
scald,"n. 烫伤, 烫洗
v. 烫伤, 烫洗"
turn away,"v. 转变方向
"
patrol,"n. 巡逻, 巡逻员, 侦察队
v. 巡逻, 巡视"
hornbeam,n. 鹅耳枥
paw,"n. 爪
v. 以蹄扒地, 用爪子抓, 拼命抓, 向...乱抓, 笨拙地使用, 费力地前进"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
invisible,"a. 看不见的, 无形的
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
stiffly,"adv. 呆板地, 顽固地, 僵硬地"
alertly,"adv. 警觉地, 留意地"
patch,"n. 片, 补缀, 碎片, 斑, 傻瓜
vt. 补缀, 掩饰, 拼凑, 平息
"
hedge,"n. 树篱, 障碍, 套头交易
vt. 用树篱围, 套期保值, 妨碍, 两面下注以防...的损失
vi. 筑树篱, 躲闪, 两面下注以防损失
a. 树篱的, 偷偷摸摸的"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
sniff,"n. 以鼻吸气, 嗅, 气息
vi. 嗅, 蔑视, 嗤之以鼻
vt. 闻, 用力吸, 发觉"
whisker,"n. 腮须, 胡须, 一丝儿
"
twitch,"vi. 急拉, 抽搐, 阵痛
vt. 急拉, 攫取, 抽动
n. 急拉, 抽搐, 阵痛"
wariness,"n. 谨慎, 注意, 小心"
blink,"vi. 眨眼, 闪亮
vt. 眨眼, 使闪亮
n. 眨眼, 瞬间, 闪光, 闪烁
"
sweep over, 风靡; 向…扩展; 眺望; 环视
keep one's eyes on,"注视,监视"
fix on,"确定, 决定"
cast about,"搜索, 想方设法"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
roughly,"adv. 概略地, 粗糙地, 粗暴地"
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
"
level,"n. 水平, 水准, 平地
a. 同高的, 平坦的, 齐平的, 水平的
vt. 弄平, 夷平, 使同等, 瞄准, 对准
vi. 变平, 拉平
"
profoundly,"adv. 深深地, 深切地"
alien,"n. 外国人, 外侨
a. 外国的, 相异的"
entice,"vt. 诱骗, 引诱, 怂恿"
stoop,"n. 佝偻, 屈从, 弯腰
vi. 弯下, 屈从, 弯腰, 堕落
vt. 使屈从, 使弯曲"
swim,"n. 游泳, 漂浮, 潮流, 眩晕
vi. 游泳, 游, 漂浮, 浸, 覆盖, 充溢, 大量拥有, 旋转, 眩晕
vt. 游过, 使浮起"
thump,"n. 重打, 重击声
v. 重打, 撞击, 痛打"
scramble,"n. 攀缘, 爬行, 抢夺, 混乱, 紧急起飞
vi. 攀缘, 杂乱蔓延, 争夺, 拼凑, 匆忙
vt. 攀登, 扰乱, 使混杂"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
boulevard,n. 林荫大道
utterly,"adv. 完全地, 全然, 绝对"
be laden with,"充满…,满载…"
laden with,"载满,充满烦恼"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
parkland,n. 公用场地；有树丛的开阔草地
grove,n. 小树林
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
shudder,"n. 战栗, 发抖
vi. 战栗, 发抖"
dawning,"n. 拂晓, 黎明"
light-headedness,"un. 头晕目眩
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
look around for,到处寻找
revenge,"n. 报仇, 复仇, 报复
vt. 报仇, 报复"
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
wicked,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的"
cottage,"n. 小屋, 茅舍"
put a spell on,"na. 迷住；蛊惑
"
punish,"vt. 处罚, 惩罚, 严厉对待
vi. 惩罚"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
cafeteria,"n. 自助餐厅
"
envelope,"n. 信封, 封套, 封袋
"
literary,"a. 文学的, 文艺的, 精通文学的
"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
output,"n. 输出, 产品, 产量
"
schoolchildren,n. 小学生（schoolchild的复数）
typewriter,n. 打字机
stateswoman,n. 女政治家
gifted,a. 有天才的
roots,"n. 乡土感情, 归根之情"
flesh,"n. 肉, 肉体, 肉欲, 人性, 亲属, 人类, 众生, 人体
vt. 以肉喂, 激起...的杀戳情绪, 使肥, 赋以血肉
vi. 长胖"
be associated with, 和…联系在一起; 与…有关
associated with,与…有关系；与…相联系
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
anecdote,"n. 轶事, 奇闻"
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
swift,"n. 褐雨燕, 快速爬行的小蜥蜴, 蝙蝠蛾, 大滚筒
a. 迅速的, 快的, 敏捷的, 立刻的
adv. 迅速地, 敏捷地
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
adjustment,"n. 调整, 调节, 校正
"
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
criticism,"n. 批评, 评论, 非难
"
appeal to sb.,[法] 诉诸...
curriculum,"n. 课程
"
be restricted to,"仅限于..., 限制在..."
restricted to,无
distribute,"vt. 分配, 散布, 分发
"
accumulate,"v. 积聚, 堆积"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
thus,"adv. 如此, 因此, 到如此程度
"
attain,"vt. 达到, 获得
vi. 达到"
status,"n. 状态, 情形, 地位, 要人身份
"
billionaire,n. 亿万富翁
wardrobe,"n. 衣橱, 衣室, 全部衣服"
sorrow,"n. 悲伤, 哀惜, 不幸
vi. 悲伤, 懊悔, 遗憾"
ahead of,在…之前
ought,"aux. 应该, 大概
n. 责任"
inquisitive,"a. 好问的, 想知道的, 好追根究底的"
look back over one's shoulder,无
catch a glimpse of,瞥见
set out,"n. 开始；出发；动身；准备
"
crunch,"v. 嘎吱嘎吱的咬嚼, 压碎, 嘎吱嘎吱地踏过
n. 咬碎, 咬碎声"
pitter-patter,"adv. 劈劈拍拍地
n. 拍挞拍挞
"
glossy,"a. 平滑的, 有光泽的"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
muffler,"n. 围巾, 头巾, 无指手套, 消声器
"
curly,"a. 拳曲的, 卷毛的, 弯曲的"
gracious,"a. 亲切的, 慈善的"
exclaim,"v. 大叫, 呼喊, 大声叫"
elf,"n. 小精灵, 矮人, 淘气鬼
"
magical,"a. 魔术的, 有魔力的, 不可思议的"
power,"n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率
vt. 使...有力量, 供以动力, 激励
"
dwarf,"n. 矮子, 侏儒
v. (使)变矮小"
possess,"vt. 持有, 占有, 拥有, 克制, 支配, 迷住
"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
trust,"n. 信任, 信赖, 相信, 受托, 职责, 信心, 托拉斯
a. 信托的, 托拉斯的
vt. 信赖, 信任, 相信, 盼望, 赊卖给
vi. 相信, 信赖, 依靠
"
chat,"n. 闲谈
vi. 闲谈, 聊天"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
burst out,"闯出来, 大声喊, 突发"
knock ... over,"na. 弄倒；屈服；死；逮捕
"
financially,adv. 金融上；财政上
moody,"a. 心情不稳的, 郁郁寡欢的, 喜怒无常的"
lose interest in,对…失去兴趣
from time to time,有时
cloakroom,n. 寄物间
turn round,"转身, 转变, 改变意见, 采取新政策
"
amount,"n. 总数, 总额
vi. 总计, 等同"
locker,"n. 抽屉, 小柜, 上锁人
"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
raise money,"筹钱
"
theft,"n. 盗窃, 失窃, 盗窃罪, 赃物
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
underneath,"adv. 在下面
prep. 在...的下面"
on the phone, <口>在打电话，在接电话
lively,"a. 活泼的, 鲜明的, 生动的"
quarrel,"n. 吵架, 反目, 怨言, 方头凿
vi. 吵架, 争论, 挑剔"
make up,"na. 弥补；起草；定；签订
"
regret,"n. 遗憾, 后悔, 悔恨, 抱歉, 歉意
vt. 为...感到遗憾, 后悔, 惋惜, 懊悔, 抱歉
vi. 感到抱歉"
keep in touch,保持联络
lose touch with,和…失去联系
sweets,n. 糖果；甜食（sweet的复数）
alike,"a. 相似的, 同样的
adv. 一样, 以同样的方式"
be ashamed of,"感到羞耻, 惭愧"
ashamed of,耻于…
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
forgive,"vt. 原谅, 宽恕, 免除
"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
scold,"n. 好骂街的人, 责骂
v. 责骂"
hurt,"n. 伤害, 创伤, 损害
v. 伤害, (使)伤心, 危害, 刺痛"
be blessed with,在…方面有福气;幸运地享有
blessed with,[网络] 有幸得到
bungalow,n. 平房
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
"
worm,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆
vi. 蠕行, 慢慢前进
vt. 使蠕行, 慢慢地走, 除虫
"
cage,"n. 笼, 牢房, 战俘营
vt. 关进笼内"
be allergic to,"对…有过敏反应,厌恶…"
allergic to, 对…过敏
tiny,"a. 很少的, 微小的"
swell,"n. 增大, 隆起的部分, 巨浪, 肿胀
a. 优秀的, 一流的
vi. 增大, 膨胀, 肿胀, 增强, 骄傲
vt. 使膨胀, 使增大, 使上涨, 使骄傲"
walnut,"n. 胡桃
"
squirrel,"n. 松鼠, 松鼠毛皮
vt. 贮藏"
ripen,"vt. 使成熟
vi. 成熟"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
stony,"a. 多石的, 无情的"
loch,"n. 湖, 海湾"
spray,"n. 水沫, 浪花, 水花, 喷雾, 喷雾器, 小树枝
vt. 喷雾, 扫射, 喷射
vi. 喷, 溅开"
carpenter,n. 木匠
broom,"n. 扫帚, 金雀花
vt. 扫除"
cigar,n. 雪茄
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
underwear,n. 内衣
be on good terms with,与…有交情
on good terms with,与某人关系好
salute,"vi. 行礼, 致意, 问候, 放礼炮
vt. 向...致意, 迎接, 赞扬
n. 招呼, 敬礼, 礼炮"
spy,"n. 间谍, 侦探, 侦察
vt. 侦察, 找出, 发现
vi. 做密探, 侦查"
perfect,"n. 完成时
a. 完美的, 完好的, 理想的, 熟练的, 精确的, 完成式的
vt. 使完美, 修改, 使精通, 改善, 使熟练"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
be nostalgic for,无
nostalgic for,无
rewind,"vt. 重绕
n. 重绕
"
predict,"v. 预知, 预言, 预报"
click,"n. 咔哒声, 啪嗒声
vi. 作咔哒声
vt. 使发咔哒声
"
Auld Lang Syne,美好的昔日
pilgrim,"n. 旅行者, 朝圣者, 香客
vi. 朝圣"
glowing,"a. 白热的, 灼热的, 通红的, 鲜艳的
"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
flee,"vt. 逃避, 逃跑, 逃走
vi. 逃, 消失"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
amid,"prep. 在其间, 在其中
"
liar,n. 说谎者
reiterate,"vt. 反复地说, 重申, 反复地做
"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
tread,"n. 踏, 步态, 梯级, 交尾, 鞋底
vi. 踏, 行走, 交尾
vt. 踩, 踏, 践踏, 跳(舞)"
all at once,"突然, 同时
"
auld,"a. 老的, 旧的"
bring ... to mind,想起
in return,作为报答
reunite,v. (使)再联合
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
belong to,属于
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
from the bottom of one's heart,从心底
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
give concerts,无
conservatory,"a. 保存性的, 有保存力的
n. 温室, 音乐学校"
soloist,"n. 独奏者, 独唱者"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
be true of,符合于
true for,无
folk song,民歌
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
poetry,"n. 诗, 韵文, 诗歌艺术"
poetic,"a. 诗的, 诗意的, 诗人的"
give life to,无
be the same with,也一样
the same with,与……相同
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
share feelings and ideas with,无
make contact with,与...联系
master musician,无
compose music,作曲
ambition,"n. 野心, 志向"
regarding,prep. 关于
melody,"n. 曲子, 美妙音乐, 曲调"
rhyme,"n. 韵, 押韵, 韵文
vi. 押韵
vt. 使押韵, 用韵诗表达"
passerby,"n. 过路人, 行人"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
semi-circle, 半圆
interval,"n. 间隔, 距离, 间歇, 间隙
"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
socket,"n. 窝, 穴, 插座, 眼窝
vt. 插进插座
"
regulate,"vt. 管理, 控制, 调节, 调整, 校准
"
organ,"n. 风琴, 器官, 元件, 机构, 机关
"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
side road,旁路
quartet,"n. 四重奏
"
suite,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
"
session,"n. 期间, 开庭期, 会议, 学期
"
saucer,"n. 茶碟, 茶托
"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
vacant,"a. 空的, 空白的, 空虚的, 空闲的, 茫然的, 空缺的
"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
barrel organ,手摇风琴
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
spotted,"a. 有斑点的, 斑纹的, 弄污了的"
all of a sudden,突然
popcorn,n. 爆米花
dance to the music,[网络] 随着音乐跳舞；伴随着音乐跳舞；伴着音乐跳舞
rockabilly,n. 乡村摇滚乐
tunnel,"n. 隧道, 地下道
vi. 挖隧道
vt. 掘隧道于"
relay,"n. 驿马, 替班, 中继, 接力
vt. 分程传递, 转播, 使接替
vi. 接力传送, 转播"
liveliness,"n. 活泼, 快活, 热闹"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
relax,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
arena,"n. 角斗场, 舞台, 场地
"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
"
billboard,"n. 广告牌, 布告板
vt. 宣传"
draw upon,[经] 开出
signify,"vt. 象征, 预示
vi. 要紧, 重要"
symbolic,"a. 象征的, 符号的
"
numerology,n. 命理学；数字命理学
mythology,n. 神话
hairpin,"n. 簪, 束发夹, 夹发针"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
in addition to,"另外, 加之, 除…之外还"
statuette,n. 小雕像
gramophone,n. 留声机
critic,"n. 批评家, 鉴定家"
therefore,"adv. 因此, 所以"
clone,"n. 无性系
"
