curly,"a. 拳曲的, 卷毛的, 弯曲的"
round,"n. 圆, 圆形物, 巡回, 循环, 一轮, 一回合, 一局, 范围, 轮唱
a. 圆的, 球形的, 丰满的, 肥胖的, 完全的, 大概的, 完美的, 圆润的
prep. 围着, 附近, 绕过, 在...周围
adv. 围绕着, 在周围, 迂回地, 挨个, 朝反方向
vt. 弄圆, 使成圆形, 绕行, 完成, 围捕, 把...四舍五入
vi. 变圆, 发胖, 环行, 拐弯, 进展"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
eye,"n. 眼睛, 视力, 看
vt. 看, 注视"
singer,n. 歌手
artist,"n. 艺术家, 画家"
crime,"n. 犯罪, 罪行, 罪恶
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
put,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予
vi. 出发, 航行, 发芽
n. 掷, 股票出售权, 笨蛋
a. 固定不动的
"
each,"a. 每个, 每一
adv. 每个
pron. 每个, 个人, 各自"
way,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面
adv. 远远地, 非常"
describe,"vt. 描述, 描绘, 画"
differently,"adv. 差异, 不同, 各别, 各种"
another,"a. 另外的, 再一的, 不同的
pron. 又一个, 另一个, 类似的另一个"
end,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余
v. 结束, 终结, 终止
"
in the end,"最后, 终于"
real,"a. 真的, 真实的, 实际的, 实在的, 不动(产)的, 实数的
n. 实数, 现实
adv. 真正地"
jeans,"n. 工装裤, 牛仔裤"
Johnny,"n. 男人, 家伙"
Dean,"n. 院长, 主持牧师
"
Tina,n. 蒂娜（女子名）
Jackson,[网络] 杰克逊；杰克森
noodle,"n. 面条, 笨蛋"
mutton,n. 羊肉
beef,"n. 牛肉, 肌肉
vt. 养(牛), 宰(牛)
vi. 抱怨, 告发"
cabbage,"n. 卷心菜
"
potato,n. 马铃薯
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
would,"aux. 将, 愿意"
would like, 想要
yet,"adv. 还, 尚, 仍然, 已经, 然而
conj. 然而"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
waitress,"n. 女侍者, 女服务员"
order,"n. 次序, 规则, 命令
vi. 命令, 定货
vt. 整理, 命令, 定购
n. 顺序, 阶数
"
take one's order,无
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
one bowl of ...,无
one large bowl of ...,无
tofu,n. 豆腐
meat,"n. 肉, 餐, 食物
"
dumpling,"n. 面团布丁, 团子"
porridge,"n. 粥, 糊"
onion,"n. 洋葱
vt. 因洋葱使掉泪"
fish,"n. 鱼, 鱼肉, 鱼类, 接合板
vt. 钓, 钓鱼, 查出, 用接合板连接
vi. 捕鱼, 钓鱼, 用钩捞取, 摸索寻找"
pancake,"n. 薄烤饼, 薄煎饼, 烙饼"
world,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量
"
around the world,"全世界,遍及全世界,世界各地"
answer,"n. 答案, 回答, 回报, 答辩
vt. 回答, 反驳, 适应, 响应, 符合
vi. 回答, 答应, 负责, 符合, 成功
"
different,"a. 不同的
"
candle,"n. 蜡烛
vt. 对着光检查"
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期
v. 变老, 成熟"
make a wish,"欲望, 企图, 幻想"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
blow out,"na. 取消；停止鼓风；(吹)胀；吹破
"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
the UK,n. 英国
the United Kingdom, [法]联合王国
candy,"n. 糖果, 冰糖
vt. 用糖煮, 使结晶为砂糖
vi. 结晶为砂糖"
lucky,"a. 幸运的, 吉祥的, 好运的, 侥幸的"
seaweed,"n. 海草, 海藻
"
health,"n. 健康, 卫生, 蓬勃, 健康状态
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
get popular,无
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
idea,"n. 主意, 办法, 理想, 思想, 概念, 意见
"
bring good luck to ...,无
make ... come true,无
Brazil,n. 巴西
Korea,"n. 朝鲜, 韩国"
milk,"n. 奶, 乳状物
vt. 挤乳, 榨取
vi. 产乳"
cow,"n. 母牛, 母兽
vt. 威胁"
milk a cow,无
horse,"n. 马, 骑兵, 脚架
vi. 骑马, 取笑
vt. 使骑马, 系马于"
ride a horse, 骑马
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
feed chickens,无
farmer,"n. 农夫, 农场主
"
else,"a. 别的, 其他的
adv. 另外, 否则, 不然"
quite,"adv. 相当, 完全, 十分"
quite a lot, 好些
quite a lot of ...,"adj. 不少
"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
anything,pron. 任何事
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
show ... around,"v. 带…参观
"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
farming,"n. 农业, 耕作"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
"
excellent,"a. 优良的, 杰出的, 出色的"
countryside,"n. 乡下地方, 乡下居民"
in the countryside,[网络] 在乡村；在乡下；在农村
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
worry,"n. 担心, 烦恼, 忧虑, 苦恼, 撕咬
vt. 使烦恼, 使焦虑, 使苦恼, 困扰, 折磨, 撕咬
vi. 烦恼, 担心, 撕咬"
yesterday,"n. 昨天
adv. 昨天"
flower,"n. 花, 开花植物, 精华, 盛时
vi. 开花, 发育, 旺盛, 成熟
vt. 用花装饰, 使开花"
get,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上
vi. 到达, 成为, 变得
n. (网球等)救球, 生殖, 幼兽
"
luckily,"adv. 幸运地, 幸亏, 侥幸"
sun,"n. 太阳, 日, 日光, 阳光
vt. 晒
vi. 晒太阳"
museum,n. 博物馆
fire,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情
vt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇
vi. 着火, 烧火, 开枪, 射击, 激动"
fire station,[法] 消防站
painting,"n. 画, 绘画, 油漆
"
lovely,"a. 可爱的, 有趣的"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
exciting,"a. 令人兴奋的, 刺激的
"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
cheap,"a. 便宜的, 不值钱的, 可鄙的
adv. 便宜地"
fast,"a. 快速的, 紧的
adv. 很快地, 紧紧地, 彻底地
n. 绝食, 斋戒
vi. 绝食, 斋戒"
robot,"n. 机械人, 自动机械, 机械般工作的人
"
guide,"n. 引导者, 导游, 指南, 路标
vt. 指导, 支配, 管理, 带领, 操纵
vi. 任向导
"
gift,"n. 礼物, 赠予, 天才
vt. 赋予"
all in all,"总而言之, 合计, 头等重要的东西"
everything,"pron. 每件事物, 所有事物"
interested,"a. 感兴趣的
"
be interested in,对…很感兴趣
dark,"n. 黑暗, 夜, 黄昏, 模糊
a. 黑暗的, 暗的, 深色的, 隐密的, 模糊的, 无知的"
hear,"vt. 听到, 倾听, 听说, 审理
vi. 听见, 听"
not ... at all,一点也不
anywhere,adv. 无论何处
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
start,"n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件
vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛
vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
"
give,"n. 弹性, 适应性
vt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出
vi. 捐赠, 支持不住, 让步"
wonderful,"a. 令人惊奇的, 奇妙的, 极好的"
Carol,[网络] 凯罗尔
camp,"n. 露营, 帐篷
vi. 露营, 扎营
vt. 使扎营"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
beach,n. 海滩
badminton,n. 羽毛球运动
sheep,"n. 羊, 胆小者"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
butterfly,"n. 蝴蝶
"
visitor,"n. 参观者, 游客, 访客
"
tired,"a. 疲累的, 疲乏的, 厌倦的"
stay,"n. 停留, 逗留, 制止, 延缓, 停止, 支柱, 支撑物, 支索
vt. 制止, 延缓, 坚持, 支持, 支撑, 用支索固定
vi. 停留, 逗留, 暂停, 坚持, 中止"
stay up late, 深夜不睡，迟睡; 熬夜
away,adv. 离去
run away,"潜逃
"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
baby,"n. 婴孩
"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
shout at ...,对…大声喊
woof,"n. 纬线, 织物, 基本成分, 低吠声, 低鸣声"
language,"n. 语言, 文字, 措辞
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
fly a kite,"放风筝, 试探舆论, 开空头支票
"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
high school,中学
ago,adv. 以前
India,n. 印度
put up,"adj. 预先商定的
"
tent,"n. 帐篷, 帷幕, 住处, 塞条, 塞子
vi. 住帐蓬, 宿营, 暂时居住
vt. 用帐篷遮盖, 使住帐篷, 用塞条嵌入"
moon,"n. 月亮, 月球, 月光
vi. 闲荡
vt. 虚度"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
get a surprise,无
snake,"n. 蛇, 阴险的人
vi. 曲折行进
vt. 迂回, 拉, 急抽"
scared,"a. 害怕的, 担惊受怕的, 惊慌的, 吓坏了的"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
shout to ...,向…叫喊
jump,"n. 跳跃, 跳动, 暴涨, 惊跳
vt. 跳跃, 跃过, 突升, 使跳跃
vi. 跳跃, 跳, 跳动, 暴涨
"
up and down,"上下地, 到处"
wake,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
wake ... up,"na. 同“wake”；叫醒；醒来；振作起来
"
into,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
forest,"n. 森林, 林区
vt. 植树于"
ear,"n. 耳朵, 倾听, 听觉, 穗
vi. 抽穗"
Lucy,n. 露西（女子名）
anyone,pron. 任何人
few,"a. 很少的, 不多的, 少数的
n. 少数"
quite a few,相当多的
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
something,"pron. 某事, 某物"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
everyone,"pron. 每个人, 人人
"
of course,当然
myself,"pron. 我自己, 我亲自, 我独自"
yourself,pron. 你自己
yourselves,pron. 你们自己
hen,"n. 母鸡, 雌禽"
pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人
v. 生小猪, 象猪般地生活"
seem,"vi. 象是, 似乎"
bored,a. 无聊的；烦人的；无趣的
someone,"pron. 有人, 某人"
diary,"n. 日记
"
activity,"n. 活动, 行动, 活跃, 活力
"
decide,"v. 决定, 判决"
try,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
paragliding,(paraglide 的现在分词) v. 进行滑翔伞运动
feel like," 摸起来像是…, 有…的感觉; 想要…"
bird,"n. 鸟, 羽毛球
vi. 打鸟"
bicycle,n. 自行车
building,"n. 建筑物, 建筑
"
trader,"n. 商人, 商船
"
wonder,"n. 奇迹, 惊奇, 惊愕
vt. 惊奇, 想知道
vi. 惊讶, 怀疑"
difference,"n. 不同, 差异
"
top,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
"
wait,"n. 等待, 等候
vt. 等候, 期待, 延缓, 伺候, 推迟
vi. 等, 等候, 耽搁, 伺候用餐
"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
because of,因为
below,"prep. 在下面
adv. 在下面"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
hungry,"a. 饥饿的, 荒年的, 渴望的, 不毛的
"
as,"adv. 同样地, 例如
prep. 做为, 当作
conj. 当...之时, 以...的方式, 像...一样, 因为
"
hill,"n. 小山, 丘陵, 小土堆
vt. 作成土堆, 堆成小丘"
duck,"n. 鸭子
vi. 没入水中, 闪避
vt. 猛按...入水, 躲避"
dislike,"n. 嫌恶
vt. 讨厌, 不喜欢"
Central Park,中央公园（位于美国纽约）
Huangguoshu Waterfall,无
Hong Kong,"香港
"
Malaysia,"n. 马来西亚
"
Malaysian,"a. 马来西亚的
n. 马来西亚人"
Georgetown,乔治市(马来西亚港市)
Weld Quay,无
Penang Hill,无
Tian'anmen Square, 天安门广场
the Palace Museum, 故宫; 故宫博物院
Mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
"
housework,"n. 家事, 家务"
hardly,"adv. 刚刚, 几乎不, 勉强是"
ever,"adv. 曾经, 究竟, 永远"
hardly ever,几乎从不
once,"adv. 一次, 曾经, 一旦
conj. 一旦, 一经
n. 一次
a. 从前的"
twice,"adv. 两次, 两倍"
Internet,[网络] 互联网；因特网；网际网路
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
programme,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序"
full,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
"
swing,"n. 摇摆, 振幅, 音律, 节奏, 涨落, 秋千, 旋转, 行动自由
vi. 摇摆, 悬挂, 旋转, 大摇大摆地走, 转向
vt. 挥舞, 使旋转, 使转向, 悬挂, 吊运
a. 旋转的, 悬挂的, 强节奏爵士音乐的"
swing dance,[网络] 摇摆舞；摇摆舞蹈；於摇摆舞
maybe,"adv. 也许, 大概
n. 可能性"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
at least,"至少
"
junk,"n. 垃圾, 乌七八糟的东西, 舢板
"
junk food,"n. 垃圾食品, 无营养食品"
coffee,"n. 咖啡, 咖啡色
"
result,"n. 结果, 成绩, 答案
vi. 产生, 结果, 致使
"
percent,"n. 百分比, 百分数, 部分
"
online,[计] 联机
television,"n. 电视
"
although,"conj. 虽然, 尽管"
through,"adv. 穿越, 从头至尾, 到底, 因为
prep. 经过, 穿过
a. 对穿的, 直达的, 完结的"
mind,"n. 思想, 愿望, 智力, 记忆, 心理, 情绪, 理智, 主意, 心意
vi. 介意, 注意, 留心
vt. 注意, 留意, 专心于, 照看, 介意"
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
such,"a. 如此的, 这样的"
such as,"例如..., 像这种的"
together,"adv. 一起, 共同, 彼此"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
writer,"n. 作家, 撰稿者, 抄写员
"
dentist,"n. 牙科医生
"
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
than,"conj. 比, 除...外
prep. 比"
more than,"比...多, 超出预料, 很, 绰绰"
almost,"adv. 几乎, 差不多"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
less than," 小于, 决不; 以内; 没有; 不足"
point,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
Claire,n. 克莱儿（女子名）
Sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
American Teenager,无
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
better,"a. 较好的
adv. 比较好"
good,"n. 善行, 好处, 利益
a. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
well,"n. 井, 泉水, 源泉, 好
v. 涌出
a. 健康的, 良好的, 适宜的, 恰当的
adv. 很好地, 适当地, 好意地, 很, 完全
interj. 好啦"
loudly,"adv. 高声地, 大声地, 吵闹地"
quietly,"adv. 安静地, 沉着地, 秘密地"
hard-working,辛勤工作的
competition,"n. 竞争, 竞赛
"
fantastic,"a. 奇妙的, 稀奇的, 空想的"
which,"pron. 哪一个, 那一个"
clearly,adv. 清楚地
win,"vt. 赢得, 打胜, 成功
vi. 获胜, 达到, 影响
n. 胜利, 赢, 收益"
though,"adv. 然而, 可是
conj. 虽然, 纵然"
talented,"a. 天资高的, 有才能的"
truly,"adv. 真实地, 不假"
care,"n. 小心, 照料, 忧虑
vi. 关心, 介意
vt. 在意, 喜欢"
care about,担心
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
kid,"n. 小山羊, 小山羊肉, 小孩, 欺骗
a. 小山羊皮制的
v. 哄骗, 嘲弄"
as long as,只要...
necessary,a. 必要的；必然的；必需的
be different from,"与…不同,和…不一样"
both,"a. 两者的
adv. 两者都
pron. 两者"
bring out,"na. 公布；说出；出版；上演
"
grade,"n. 等级, 年级, 阶段, 成绩, 程度, 坡度, 斜坡
vt. 分等, 分级, 评分
vi. 属于某等级, 逐渐变化"
should,"aux. 应该, 将要"
the same as,"与...相同, 与...一致"
saying,"n. 叙述, 话, 说, 言论"
reach,"n. 伸出, 延伸, 区域, 范围, 流域, 岬
vt. 到达, 达到, 伸出, 延伸, 影响
vi. 达到, 延伸, 伸出手, 传到"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
touch,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力
vt. 接触, 触摸, 触及, 使接触, 达到, 涉及, 影响到, 使轻度受害, 感动
vi. 触摸, 接近, 涉及, 提到"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
fact,"n. 事实, 真实性, 真相, 细节, 论据"
in fact,"事实上
"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
arm,"n. 手臂, 袖子, 狭长港湾, 武器
vt. 武装, 装备
vi. 武装起来
"
share,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
"
loud,"a. 大声的, 不断的, 喧吵的
adv. 高声地, 大声地"
similar,"a. 相似的, 类似的
n. 相似的东西"
be similar to,与...相似
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
primary school,"n. 小学, 初等学校; 参见：elementary school"
information,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
"
Tara,[网络] 助教或者助研
Sam,n. 山姆（男子名）
Nelly,"n. 内丽（女子名, 等于Eleanor, Ellen, Helen）"
Larry,n. 拉里（男子名）
theater,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
seat,"n. 座, 座位, 位子, 席位, 所在地
vt. 使坐下, 使就座, 为...设座于, 使就职
vi. 安装在底座上"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
ticket,"n. 票, 券, 车票, 标签, 入场券, 证明书
vt. 加标签于, 为...购票"
worst,"n. 最坏, 最坏的时候
a. 最坏的, 最恶劣的, 最不利的
adv. 最坏, 最糟"
bad,"a. 坏的
n. 坏
adv. 坏地"
badly,"adv. 严重地, 恶劣地, 极度地"
cheaply,adv. 便宜地
song,"n. 歌, 曲, 鸣声, 歌唱, 歌曲, 诗歌"
DJ,"abbr. 〈美(=Dow Jones & Co)道琼斯公司
n. （电台、电视台、夜总会）唱片节目主持人（全写为 disc jockey）
v. 做音乐节目主持人（尤指在夜总会）
"
choose,"vt. 选择, 宁愿, 欲
vi. 作出选择, 愿意
"
chose,"n. 动产
choose的过去式"
carefully,"adv. 小心地, 谨慎地"
reporter,"n. 记者, 报告者
"
so far,迄今为止
fresh,"a. 新鲜的, 新奇的, 另外的, 淡的, 精神饱满的, 冒失的
adv. 最新地, 刚刚
n. 开始, 泛滥"
comfortably,"adv. 安乐地, 舒服地, 宽裕地"
worse,"n. 更坏的事, 更恶劣的事, 败局
a. 更坏的, 更恶劣的
adv. 更坏地, 更恶劣地"
bad,"a. 坏的
n. 坏
adv. 坏地"
badly,"adv. 严重地, 恶劣地, 极度地"
service,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
menu,"n. 菜单, (功能)选择单
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
meal,"n. 一餐, 膳食, 粗粉
vi. 进餐"
creative,"a. 有创造力的, 创作的, 产生的"
performer,"n. 表演者, 执行者, 完成者
"
talent,"n. 天才, 才能, 有才干的人, 天资"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
have ... in common,"un. 没有共同之处；有某些共同之处
"
magician,"n. 魔术家, 幻术家, 术士"
all kinds of,各种各样的
beautifully,"adv. 美好地, 漂亮地"
be up to,"胜任,达到,由…负责"
role,"n. 角色, 职责, 任务
"
play a role, 起作用
winner,"n. 胜利者, 优胜者
"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
everybody,"pron. 每个人, 人人"
make up,"na. 弥补；起草；定；签订
"
example,"n. 例子, 样本, 实例
"
for example,例如
poor,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的
"
seriously,"adv. 严肃地, 认真地, 严重地"
take ... seriously,"na. 重视；认真(想)；当真
"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
agree with,"同意…,与…意见一致;适应…"
crowded,"a. 拥挤的, 塞满的"
Greg,"n. 格雷格（男子名, 等于Gregory）"
Depp,n. 德普（姓氏）
Danny,"n. 丹尼（男子名, 等于Daniel）"
Eliza,"n. 伊莱扎（女子名, Elizabeth的昵称）"
Vera,abbr. 通用实验性反应堆装置（Versatile Experimental Reactor Assembly ）
Dennis,n. 丹尼斯（男子名）
American Idol,美国偶像（美国真人秀电视节目）
America's Got Talent,无
China's Got Talent,无
