species,"n. 种, 类, 外形
"
claim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
characteristic,"n. 特性, 特征, 特色
a. 特性的, 特有的, 有特色的
"
formation,"n. 形成, 构造, 编队
"
semester,n. 学期
original,"a. 最初的, 原始的, 有创意的
n. 原物, 原作"
glacier,n. 冰川
eventually,"adv. 最后, 终于"
figure,"n. 数字, 价格, 图形, 形状
vt. 描绘, 表示, 演算, 认为
vi. 计算, 出现, 估计"
solution,"n. 解决, 解答, 溶液
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
generally,"adv. 通常, 逐渐地, 普遍地"
sign,"n. 符号, 招牌, 征兆, 正负号, 手势
vt. 签名, 打手势表达
vi. 签名
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
significant,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
decline,"n. 衰退, 跌落, 下降
vt. 使降低, 婉谢
vi. 下降, 衰落, 偏斜"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
cell,"n. 单元, 细胞, 电池
"
emphasize,"vt. 强调, 加强语气, 着重"
economy,"n. 经济, 理财, 节约
"
range,"n. 排, 行, 山脉, 范围, 行列, 射程
vt. 排列, 归类于, 使并列, 放牧
vi. 平行, 延伸, 漫游
"
ecosystem,"n. 生态系统
"
incorrect,"a. 不正确的
"
response,"n. 反应, 回答, 响应
"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
locate,"vt. 找出, 设于, 位于
vi. 定居"
melt,"n. 熔化, 熔化物, 溶解
v. (使)熔化, (使)溶解, (使)消散, (使)变软"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
nutrient,"a. 营养的, 滋养的
n. 营养物, 滋养物"
coral,"n. 珊瑚, 珊瑚色
"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
origin,"n. 起源, 起因, 出身, 开端
"
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
carbon,"n. 碳, 副本, 复写纸
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
volcanic,"a. 火山的, 猛烈的
n. 火山岩"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
narrator,"n. 讲述者, 叙述者
"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
recent,"a. 最近的, 近代的, 最新的
"
groundwater,n. 地下水
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
introductory,"a. 介绍的, 引导的, 开端的"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
root,"n. 根, 根本, 根源, 基础, 底部
vt. 使扎根, 使固定, 根除, 肃清, 搜出, 用鼻拱
vi. 生根, 固定, 源于, 用鼻拱土, 寻找, 捧场, 支持"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
infant,"n. 婴儿, 儿童, 初学者
a. 婴儿的, 幼稚的"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
settlement,"n. 安顿, 解决, 处理, 结算, 殖民, 殖民地, 沉降
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
internal,"a. 内在的, 国内的
"
pottery,"n. 陶器, 陶器厂
"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
route,"n. 路径, 途径, 路线
vt. 确定路线, 按规定路线发送
"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
religious,"a. 宗教性的, 虔诚的, 宗教上的, 严谨的
n. 修道士, 出家人"
throughout,"adv. 到处, 贯穿全部地, 自始至终
prep. 遍及, 在各处
"
biological,"a. 生物学的
"
mammal,"n. 哺乳动物
"
density,"n. 密度
"
effective,"a. 有效的, 有力的, 实际的
n. 有生力量"
valley,"n. 山谷, 溪谷, 流域, 凹地
"
presence,"n. 出席, 面前, 存在, 仪态, 风度
"
reef,"n. 暗礁, 礁, 缩帆
v. 缩(帆)"
property,"n. 财产, 所有权, 性质, 属性
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
"
additional,"a. 附加的, 另外的, 额外的
"
clay,"n. 泥土, 肉体, 黏土
"
colony,"n. 殖民地, 移民队
"
statue,"vt. 以雕像装饰
n. 雕像"
stimulus,"n. 刺激, 激励, 刺激品
"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
diversity,"n. 差异, 多样性
"
opportunity,"n. 机会, 时机"
vegetation,"n. 植物
"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
demonstrate,"vt. 示范, 证明
vi. 示威"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
observation,"n. 观察, 注意, 观测, 观察力
"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
generate,"vt. 产生, 发生, 导致
"
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
primarily,"adv. 主要地, 首先地"
turtle,n. 海龟
urban,"a. 都市的, 住在都市的, 习惯于都市的
"
geologist,"n. 地质学家, 地质学者"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
substance,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
evolution,"n. 进化, 发展, 进展, (气体)放出, 开方
"
photography,"n. 摄影, 摄影术
"
understanding,"n. 理解, 谅解
"
crater,"n. 火山口, 环行山, 弹坑
"
decade,"n. 十年, 十"
directly,"adv. 径直地, 直接地, 直率地, 正好地, 直截了当地, (非正式)立即, 马上
conj. 一...(就...), 一当...就...
"
mechanism,"n. 机械, 机构, 结构, 机理, 技巧
"
periodic,"a. 周期的, 定期的, 间歇(性)的, 循环的, 用完整句的, 高碘的
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
relative,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
cultural,"a. 文化的, 教养的, 修养的
"
dioxide,"n. 二氧化物
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
adapt,"vt. 使适应, 改编
vi. 适应"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
consumer,"n. 消费者
"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
organic,"a. 器官的, 有机的, 组织的, 根本的
"
predict,"v. 预知, 预言, 预报"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
copper,"n. 铜, 警察
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
bacteria,"pl. 细菌
"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
psychology,"n. 心理学, 心理状态
"
responsible,"a. 有责任的, 负责的, 责任重大的
"
summarize,"v. 概述, 总结"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
principle,"n. 原则, 原理, 主义
"
rub,"n. 摩擦, 困难, 障碍, 磨损处
vt. 擦, 搓, 摩擦, 惹怒
vi. 摩擦, 擦破"
rural,"a. 乡下的, 田园的, 乡村风味的
"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
comet,n. 彗星
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
haven,"n. 港, 避难所, 安息所
vt. 安置...于港中, 庇护, 入港"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
sequence,"n. 序列, 续发事件, 顺序, 连续
vt. 按顺序排好
"
stability,"n. 安定, 稳定性, 坚实, 巩固
"
stratum,"n. 层, 地层, 阶层
"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
transportation,"n. 运输, 输送, 交通车辆
"
migrate,"vi. 移动, 移往, 随季节而移居
"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
reaction,"n. 反应, 反作用, 反动
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
convince,"vt. 说服, 使相信
"
dense,"a. 密集的, 浓厚的"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
previous,"a. 早先的, 前面的, 过急的
"
series,"n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
"
concentration,"n. 集中, 专心
"
presentation,"n. 赠与, 描述, 介绍
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
capacity,"n. 容量, 能力, 才能, 资格
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
expansion,"n. 扩充, 开展, 膨胀
"
extremely,"adv. 极端地, 非常地"
irrigation,"n. 灌溉, 冲洗
"
reservoir,"n. 贮水池, 贮藏处, 贮备, 水库
vt. 储藏"
scale,"n. 刻度, 衡量, 比例, 比例尺, 数值范围, 等级, 规模, 天平, 秤, 鳞, 积垢
vt. 依比例决定, 攀登, 测量, 绘制, 刮鳞, 使生垢, 过秤
vi. 剥落, 生水垢, 重量为, 攀登, 衡量
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
extensive,"a. 广的, 广泛的, 多方面的
"
mid,"a. 中间的, 中央的, 中部的
prep. 在...之中"
volume,"n. 册, 卷, 体积, 容量, 大量, 许多, 份量, 音量
vi. 成团卷起
vt. 把...收集成卷
a. 大量的
"
climax,"n. 高潮, 极点, 层进法
v. (使)达到顶点, (使)达到高潮"
elevation,"n. 海拔, 提高, 仰角
"
proposal,"n. 提议, 计划, 求婚
"
stress,"n. 压力, 紧迫, 强调, 重音, 重点, 应力
vt. 加压力于, 着重, 重读"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
dominate,"v. 支配, 占优势"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
enzyme,"n. 酶
"
historical,"a. 历史的, 史实的, 历史上的
"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
selection,"n. 选择, 选文, 精选品
"
specialized,"a. 专门的, 特别的, 专科的, 特化的, 专化的
"
variation,"n. 变更, 变化, 变种, 变奏
"
aggressive,"a. 侵略的, 挑畔的, 进取的
"
detect,"vt. 发现, 察觉, 探测
"
ecological,"a. 生态学的, 主张生态保护的
"
innovation,"n. 改革, 创新
"
interaction,"n. 交互作用, 交感
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
rhythm,"n. 旋律, 节奏, 韵律, 匀称, 张弛节律
"
section,"n. 区段, 部分, 区域, 节, 截面, 处, 科, 区, 扇区
vt. 把...分段, 把...切片
vi. 被切成片
"
distribution,"n. 分配
"
gene,"n. 基因
"
critic,"n. 批评家, 鉴定家"
crocodile,n. 鳄鱼
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
strategy,"n. 战略, 策略
"
accumulate,"v. 积聚, 堆积"
capable,"a. 有能力的, 能的, 能干的"
creative,"a. 有创造力的, 创作的, 产生的"
define,"vt. 定义, 规定, 使明确
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
geological,"a. 地质学的, 地质的"
massive,"a. 大而重的, 宽大的, 宏伟的
"
military,"n. 军队
a. 军事的, 军人的, 适于战争的"
reflection,"n. 反映, 沉思, 映像, 想法, 责难
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
artisan,"n. 工匠, 技工
"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
dominant,"a. 占优势的, 支配的
"
era,"n. 时代, 纪元, 时期"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
reptile,"n. 爬行动物, 爬虫, 卑鄙的人
a. 爬行的, 爬虫类的, 卑鄙的"
tulip,n. 郁金香
widely,adv. 广泛地
bulb,"n. 球茎, 电灯泡
"
classical,"a. 古典的, 正统派的, 经典的
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
skeleton,"n. 骨骼, 骨瘦如柴的人, 梗概, 骨干, 残骸
a. 骨骼的, 概略的, 基层的, 骨干的
"
unique,"a. 独一无二的, 独特的, 稀罕的"
beetle,"n. 甲虫, 大槌
vi. 快速移动
vt. 捶"
carve,"v. 雕刻, 切开"
cognitive,"a. 认知的, 认识的"
furthermore,"adv. 此外, 而且"
geothermal,"a. 地温的, 地热的"
mall,n. 林荫路
option,"n. 选择权, 挑选, 选项
"
paleolithic,a. 旧石器时代的
similarity,"n. 类似, 类似处
"
assign,"vt. 分配, 指派, 赋值
"
comparison,"n. 比较, 对照, 比喻
"
distribute,"vt. 分配, 散布, 分发
"
emotion,"n. 情绪, 激动, 强烈的情感
"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
inhabitant,"n. 居民, 居住者
"
manufacture,"n. 产品, 制造
vt. 制造, 假造
vi. 制造"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
revolution,"n. 革命, 大变革, 旋转, 转数, 循环
"
toxic,"a. 有毒的, 中毒的
"
version,"n. 一种描述, 版本, 译文
"
cafeteria,"n. 自助餐厅
"
ceramic,"a. 陶瓷的
n. 陶瓷制品"
colonize,"vi. 开拓殖民地
vt. 殖民于, 移植于"
domesticate,"vt. 养驯, 引进(外来词等), 教化"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
librarian,"n. 图书馆员, 图书管理员
"
positive,"a. 肯定的, 积极的, 有把握的
"
professional,"n. 专业人才
a. 专业的, 职业的"
radiation,"n. 辐射
"
tropical,"a. 热带的, 热情的
"
visible,"a. 看得见的, 明显的, 显然的
n. 可见物"
biologist,"n. 生物学家
"
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
management,"n. 经营, 支配, 管理
"
numerous,"a. 很多的, 数目众多的, 多数的
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
roll,"n. 卷, 滚动, 名单, 案卷, 压路机
vi. 滚, 滚动, 飘流, 起伏, 卷, 绕
vt. 使滚动, 卷, 绕"
slope,"n. 倾斜, 斜坡, 斜率, 扛枪姿势
vt. 使倾斜, 弄斜, 扛
vi. 倾斜, 走, 逃走"
virtually,adv. 事实上
appropriate,"a. 适当的
"
archaeology,n. 考古学
boundary,"n. 边界, 分界线
"
breed,"n. 种类, 品种
v. 养育, 引起, 饲养, 繁殖"
ethanol,"n. 乙醇, 酒精
"
marsh,"n. 沼泽, 湿地
a. 沼泽的"
mechanical,"a. 机械的, 机械性的, 力学的
"
spice,"n. 香料, 药料, 香气, 调味品, 情趣, 少许
vt. 加香料, 使添趣味"
abundant,"a. 丰富的, 充分的, 大量的"
algae,"pl. 藻类, 海藻
"
atomic,"a. 原子的, 原子能的
"
considerable,"a. 相当的, 可观的, 重要的"
constantly,"adv. 不变地, 不断地, 时常地"
ecologist,n. 生态学者
formal,"a. 正式的, 形式的, 礼仪的, 拘于礼节的, 拘谨的
n. 正式的社交活动"
genetic,"a. 创始的, 遗传的, 起源的, 遗传学的
"
increasingly,"adv. 逐渐地, 渐增地"
moth,"n. 蛾害, 蛾, 乌头叶菜豆
"
pollinator,"n. 传粉者, 传粉媒介, 传粉昆虫; 授花粉器"
positively,"adv. 明确地, 肯定地, 无疑地, (非正式)确实地, 真正地"
rare,"a. 稀罕的, 罕有的, 珍奇的, 稀薄的, 半熟的, 非常好的
adv. 非常"
recall,"n. 回忆, 召回, 撤消
vt. 回想, 回忆, 召回, 撤消, 使恢复
"
tension,"n. 紧张, 不安, 拉紧, 张力, 压力, 电压
vt. 拉紧, 使紧张"
absence,"n. 缺席, 缺乏, 没有
"
available,"a. 可利用的, 可获得的, 有效的
"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
crisis,"n. 危机, 危险期, 紧要关头
"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
poetry,"n. 诗, 韵文, 诗歌艺术"
protein,"n. 蛋白质
a. 蛋白质的"
residence,"n. 住宅, 居留, 驻扎, 居住期间
"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
succession,"n. 连续, 继承权, 继位, 演替, 地层次序
"
toad,"n. 蟾蜍, 癞蛤蟆, 讨厌的家伙"
adopt,"vt. 采用, 正式通过, 收养, 接受
"
alter,v. 改变
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
diverse,"a. 不同的, 变化多的"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
emotional,"a. 情绪的, 情感的
"
item,"n. 项目, 条款, 一则, 项
"
millennium,"n. 千禧年, 一千年"
philosophy,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
sophisticated,"a. 复杂的, 久经世故的
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
whereas,"conj. 然而, 鉴于
"
barrier,"n. 障碍, 栅栏
"
depict,"vt. 描述, 描写"
dramatic,"a. 戏剧性的, 生动的"
fairly,"adv. 美观地, 公平地, 相当地, 清楚地"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
moisture,"n. 湿气, 水分, 降雨
"
phosphorus,"n. 启明星, 金星, 磷, 磷光体
"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
psychologist,"n. 心理学家
"
ramp,"n. 斜坡, 坡道, 敲诈
vi. 狂跳乱撞, 乱冲, 敲诈, 蔓延
vt. 使有斜面, 敲诈"
scrape,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境
vi. 刮掉, 擦掉, 刮出刺耳声
vt. 刮, 擦, 擦伤, 挖成, 积蓄"
significance,"n. 重要性, 意义, 意味
"
trail,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势
vt. 拖, 尾随, 追踪, 落后于, 开出路
vi. 拖曳, 垂下, 落后, 飘出, 蔓生"
typical,"a. 典型的, 象征性的
"
acquire,"vt. 获得, 学到
"
characterize,"vt. 描绘...的特性, 刻划...的性格"
compose,"vt. 组成, 写作, 作曲, 使平静
vi. 创作, 排字
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
distraction,"n. 娱乐, 分心的事物, 分心
"
elite,"n. 精华, 精锐, 中坚分子"
engage,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加"
existence,"n. 存在, 生存
"
fantasy,"n. 幻想, 想象的产物
"
hare,"n. 野兔
vi. 飞跑"
improvement,"n. 进步, 改善, 利用
"
oak,"n. 橡树, 橡木
a. 橡木制的"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
promote,"vt. 促进, 晋升, 创办, 推销
"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
seminar,"n. 研究班, 专题讨论会
"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
"
distinctive,"a. 有特色的, 出众的"
financial,"a. 财政的, 金融的
"
geology,"n. 地质学, 地质情况"
pastoralism,"n. 田园情趣, 畜牧主义, 牧歌体"
recommendation,"n. 推荐, 介绍, 推荐信, 劝告
"
resemble,"vt. 相似, 类似"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
shrub,"n. 矮树, 灌木, 果汁甜酒"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
bronze,"n. 青铜, 铜像
a. 青铜色的"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
extent,"n. 范围, 程度, 区域
"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
fungus,"n. 真菌, 真菌类植物
"
geometric,"a. 几何学的, 几何学上的, 几何学图形的"
loan,"n. 贷款, 借出
v. 借, 供应货款, 借给"
mammoth,"n. 猛犸, 庞然大物
a. 猛犸似的, 巨大的"
mystery,"n. 秘密, 神秘, 奥秘"
nectar,"n. 神酒, 甜美饮料, 甘露"
