accustomed,"a. 惯常的, 习惯了的"
exhibit,"n. 显示, 显现, 展览品, 陈列品, 展览
vt. 展现, 陈列, 展览
vi. 开展览会"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
generate,"vt. 产生, 发生, 导致
"
halt,"n. 停止, 立定, 休息
vt. 使停止, 使立定
vi. 立定, 停止, 蹒跚, 踌躇, 有缺点
"
herald,"n. 使者, 传令官, 先驱
vt. 预报, 宣布, 传达, 欢呼"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
hug,"n. 紧抱, 拥抱
vt. 紧抱, 坚持, 使沾沾自喜"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
implement,"n. 工具, 器具, 手段
vt. 实现, 使生效, 执行"
impose,"vt. 征(税), 把...强加于, 以...欺骗
vi. 利用, 欺骗, 施加影响"
infect,"vt. 传染, 感染
"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
install,"vt. 安装, 安置, 使就职
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
launch,"n. 下水, 汽艇, 发射
vt. 使下水, 发射, 发动
vi. 起飞, 下水, 投入, 开始"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
lift,"n. 举起, 帮助, 昂扬, 电梯
vt. 升高, 提高, 鼓舞, 清偿, 空运, 举起, 剽窃
vi. 升起, 消散, 耸立"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
muster,"n. 召集, 集合, 检阅, 清单, 花名册, 样品
vt. 召集, 集合, 应召
vi. 集合, 集中"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
plague,"n. 瘟疫, 天罚, 麻烦, 灾祸
vt. 折磨, 使苦恼, 使得灾祸"
ponder,"v. 沉思, 考虑"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
prevail,"vi. 获胜, 流行, 盛行
"
promote,"vt. 促进, 晋升, 创办, 推销
"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
reassure,"vt. 使...安心, 向...再保证
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
reinforce,"vt. 加强, 增援, 补充
vi. 求援, 得到增援
n. 加固材料"
release,"n. 释放, 发泄, 豁免, 发行, 释放证书
vt. 释放, 解除, 放松, 豁免, 免除, 发布, 放弃, 让与
n. 发布
"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
replace,"vt. 代替, 替换, 放回, 归还
"
resemble,"vt. 相似, 类似"
resent,"vt. 愤恨, 憎恶, 怨恨"
reside,"vi. 住, 居留, 属于
"
resort,"n. 度假胜地, 手段, 凭借, 常去之地
vi. 诉诸, 常去"
resort to,"诉诸于, 采取
"
restore,"vt. 回复, 恢复, 归还, 修补, 修复
vt. 还原
vi. 还原
"
resume,"vt. 重新开始, 取回, 恢复
vi. 再开始
n. 摘要, 个人简历
"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
rush,"n. 匆促, 冲进, 急流, 灯心草
vi. 冲, 奔, 闯, 赶紧, 匆促行事, 涌现
vt. 使冲, 匆忙地做, 突袭, 飞跃, 用灯心草做
a. 紧急的"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
shed,"n. 车棚, 小屋, 脱落之物, 分水岭
vt. 使流出, 放射, 脱落, 散发, 摆脱
vi. 流出, 散布, 脱落"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
slash,"v. 猛砍, 乱砍
n. 猛砍, 乱砍, 删减
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
stall,"n. 厩, 停车处, 牧师职位, 货摊, 托辞, 拖延
vt. 关入厩, 停顿, 推托, 支吾, 使陷于泥中
vi. 被关在厩内, 陷于泥中, 停止, 支吾"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
stem,"n. 茎, 干, 柄, 船首, 血统, 堵塞物
vt. 摘掉茎, 装柄于, 阻止, 堵住, 逆行
vi. 堵住, 逆行"
stimulate,"vt. 刺激, 激励, 鼓舞
vi. 起刺激作用"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
submit,"vt. 使服从, 使受到, 委托, 提交, 认为
vi. 屈服, 服从"
sue,"vt. 控告, 起诉, 请求
vi. 提出诉讼, 提出请求"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
surrender,"vt. 交出, 放弃, 使投降, 让与
vi. 投降, 自首
n. 交出, 放弃, 投降"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
tap,"n. 轻打, 水龙头
vt. 轻打, 轻敲, 敲打出, 选择, 装上嘴子, 使流出, 开发, 分接, 向...乞讨
vi. 轻叩, 轻拍, 啪塔啪塔地走
"
testify,"v. 证明, 作证, 声明, 表明"
threaten,"vt. 恐吓, 威胁, 预示...的凶兆
vi. 威胁, 恫吓, 可能来临"
tolerate,"vt. 宽容, 容许, 有耐力"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
transcend,"vt. 超越, 胜过"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
transform,"vt. 使转换, 改变, 改造, 使...变形
vi. 改变, 转化, 变换
"
undergo,"vt. 遭受, 经历, 忍受
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
worship,"n. 崇拜, 礼拜, 尊敬
vi. 参加礼拜
vt. 崇拜, 尊敬"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
"
agenda,"pl. 议程, 日常工作事项
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
amateur,"n. 业余爱好者, 外行, 爱好者
"
anarchy,"n. 无政府状态, 政治混乱
"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
approach,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
assault,"n. 攻击, 袭击
vt. 袭击, 攻击
vi. 发动攻击"
bailout,跳伞
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
boycott,"n. 联合抵制
vt. 联合抵制"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
chaos,"n. 大混乱, 混沌
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
clash,"n. 冲突, 撞击声, 抵触
vi. 冲突, 抵触
vt. 使发出撞击声
"
clout,"n. 敲击, 破布
vt. 打补钉"
coalition,"n. 结合体, 结合, 联合
"
combat,"n. 争斗, 战斗
vi. 战斗, 争斗
vt. 与...战斗, 与...斗争"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
compassion,"n. 同情, 怜悯"
conflict,"n. 战斗, 冲突, 矛盾, 争执
vi. 争执, 战斗, 冲突, 抵触
"
consequence,"n. 结果, 重要性
"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
credibility,"n. 可信用, 确实性, 可靠
"
debut,"n. 初次登台, 开张
v. 初次登台"
demonstration,"n. 示范, 实证
"
disability,"n. 无力, 无能, 残疾
"
dispute,"n. 争论
v. 争论"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
encounter,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
equivalent,"n. 同等物, 等价物, 相等物
a. 相等的, 相当的, 同意义的
"
establishment,"n. 确立, 制定, 设施
"
euphoria,"n. 兴奋, 陶醉, 陶醉感
"
expedition,"n. 远征, 探险队, 迅速"
fantasy,"n. 幻想, 想象的产物
"
feud,"n. 不和, 封地, 争执
vi. 长期不和, 擦亮"
flair,"n. 鉴别力, 才能, 天资, 资质, 眼光"
foe,"n. 仇敌, 反对者, 敌人, 对手"
genre,"n. 类型, 流派"
glance,"n. 一瞥, 闪光, 掠过, 辉矿类
vi. 扫视, 闪光, 掠过, 提到, 略说
vt. 扫视, 反射, 使掠过"
glimpse,"n. 一瞥, 一闪
vi. 投以一瞥, 闪烁不定
vt. 瞥见"
grandeur,"n. 庄严, 伟大, 壮丽"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
greed,"n. 贪欲, 贪婪"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
incentive,"n. 动机
a. 激励的"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
infrastructure,"n. 基础结构, 基础设施
"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
insight,"n. 察看, 洞察力, 见识
"
integrity,"n. 正直, 廉正, 完整
"
legend,"n. 传说, 传奇文学, 图例
"
mandate,"n. 命令, 指令, 要求
vt. 委任统治"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
merchandise,"n. 商品, 货物
v. 交易, 买卖"
mess,"n. 食堂, 伙食, 用膳, 一份食品, 混乱, 乱七八糟, 困境
vt. 将...弄糟, 妨碍, 使紊乱, 使就餐
vi. 陷入困境, 搞乱, 用膳"
monopoly,"n. 垄断, 专卖权, 独占事业
"
nomination,"n. 提名, 任命, 提名权"
odds,"n. 可能性, 几率, 机会, 胜算, 不平等"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
peril,"n. 危险, 冒...之险, 险境, 险因
vt. 置...于险境, 冒险, 危及"
persecution,"n. 虐待, 迫害运动, 迫害, 烦扰
"
phase,"n. 时期, 局面, 方面, 位相, 相, 阶段
vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行
"
pledge,"n. 诺言, 保证, 誓言, 抵押, 信物, 保人, 祝愿
vt. 许诺, 保证, 使发誓, 抵押, 典当, 举杯祝...健康"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
priority,"n. 优先权, 优先
"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
proliferation,"n. 增殖, 激增
"
propaganda,"n. 宣传, 宣传活动
"
proponent,"n. 建议者, 支持者
"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
prosperity,"n. 繁荣, 茂盛, 成功
"
recession,"n. 后退, 凹处, 衰退, 归还
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
remains,"n. 剩余物, 废墟, 残余
"
reputation,"n. 名誉, 名声, 声望
"
reservation,"n. 保留, 预定, 保留品, 保留地
"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
rival,"n. 对手, 竞争者
a. 竞争的"
sanction,"n. 核准, 制裁, 处罚, 约束力
vt. 制定制裁规则, 认可, 核准, 同意"
sanctuary,"n. 圣所(指教堂、寺院等), 耶路撒冷的神殿, 避难所
"
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
scheme,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划
"
