able,"a. 能干的, 能够的"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
destroy,"vt. 破坏, 毁坏, 消灭"
damage,"n. 损害, 伤害
v. 损害"
disaster,"n. 灾祸, 不幸, 彻底失败"
imagine,"vt. 想像, 设想, 猜测
vi. 想像起来"
create,"vt. 创造, 建造, 引起, 任命"
invent,"vt. 发明, 创作, 虚构
"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
familiar,"a. 熟悉的, 常见的, 亲密的
n. 熟友, 常客"
exchange,"n. 交换, (电话)交换局, 交换机, 汇兑, 交易所
v. 交换, 交易, 兑换
"
indicate,"vt. 显示, 象征, 指示, 指出
"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
honest,"a. 诚实的, 坦直的, 可靠的"
attitude,"n. 态度, 看法, 姿势
"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
difficult,a. 困难的
convenient,"a. 方便的, 合宜的
"
conversation,"n. 会话, 说话, 交谈
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
important,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
"
necessary,a. 必要的；必然的；必需的
frequent,"a. 时常发生的, 频繁的, 快速的
vt. 时常来访, 常常聚集, 常与...交往"
hardly,"adv. 刚刚, 几乎不, 勉强是"
especially,"adv. 尤其, 特别, 格外"
extreme,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
main,"n. 主要部分, 干线, 体力, 力量, 主群组
a. 主要的, 重要的, 全力的
"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
ordinarily,"adv. 通常, 普通, 一般地"
hardworking,"a. 苦干的, 不辞辛劳的"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
confident,"a. 有信心的, 有把握的"
complete,"a. 完全的, 十足的, 完成的
vt. 完成, 完工, 使圆满"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
extra,"n. 额外的事物, 另外的收费
a. 额外的, 特别的
adv. 额外地, 特别地, 非常地"
extraordinary,"a. 非常的, 特别的, 非凡的
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
excellent,"a. 优良的, 杰出的, 出色的"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
concept,"n. 观念, 概念
"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
equal,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
justice,"n. 正义, 公平, 公正, 正确, 司法, 审判"
legal,"a. 法律的, 法定的, 合法的
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
amount,"n. 总数, 总额
vi. 总计, 等同"
limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
knowledge,"n. 知识, 学问, 认识, 知道"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
customer,"n. 消费者
"
language,"n. 语言, 文字, 措辞
"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
handle,"n. 柄, 把手, 把柄, 柄状物, 手感
vt. 触摸, 运用, 买卖, 处理, 操作
vi. 搬运, 易于操纵
n. 句柄
"
manage,"vi. 处理
vt. 管理, 控制, 维持, 达成, 经营, 运用"
master,"n. 主人, 硕士, 大师, 母机
a. 主人的, 主要的
vt. 征服, 控制, 精通"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
blame,"n. 过失, 责备
vt. 责备, 归咎于"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
operate,"v. 操作, 运转, 动手术, 活动"
hunger,"n. 饥饿, 渴望, 饥荒
vt. 使挨饿
vi. 挨饿, 渴望"
environment,"n. 环境, 外界, 围绕
"
climate,"n. 气候, 社会趋势, 气候区
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
beat,"n. 心跳(声), 打, 敲打声, 拍子
v. 打, 拍打, 打败
a. 疲乏的, 颓废的
beat的过去式
"
defeat,"n. 败北, 失败
vt. 击败, 使落空"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
consequence,"n. 结果, 重要性
"
consist,"vi. 组成, 存在于, 一致"
aware,"a. 知道的, 有觉悟的"
deserve,"vt. 该得到, 值得
vi. 应得报答"
differ,"vi. 不一致, 不同
"
distinct,"a. 清楚的, 显著的, 不同的"
distinguish,"v. 区别, 辨别"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
evaluate,"vt. 评估, 评价, 赋值"
evidence,"n. 根据, 证据, 迹象
"
favour,"n. 好感, 偏爱, 喜爱, 相信, 庇护, 赞同, 支持, 信赖, 善行, 恩惠, 徽章, 礼物
vt. 赞成, 帮助, 支持, 喜爱, 偏袒, 关切, 赐与, 给与, 有利于, 有助于, 像, 体恤"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
bill,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据
vt. 开帐单, (用招贴)宣布"
devote,"vt. 投入于, 献身"
note,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍
vi. 同意"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
explain,"v. 解释, 说明"
express,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
happen,"vi. 发生, 发生, 恰巧"
accident,"n. 意外事件, 机遇, 事故, 次要方面
"
act,"n. 行动, 行为, 幕, 法案
vi. 行动, 表演, 假装, 见效, 表现, 担当
vt. 扮演, 装作
"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
determine,"v. 决定, 决心"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
disadvantage,"n. 缺点, 不利, 坏处"
benefit,"n. 利益
vt. 有益于
vi. 受益"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
advise,"vt. 劝告, 给...出主意, 通知, 建议
vi. 提意见, 商量"
behave,"vi. 举止端正, 行为规矩
vt. 检点(自己的)行为, 使表现好"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
avoid,"vt. 避免, 防止, 撤消
"
assist,"n. 帮助, 协助
vt. 帮助, 促进
vi. 协助, 参加"
attention,"n. 注意, 注意力
"
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
belong,"vi. 属于, 合适"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
check,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军
vt. 检查, 阻止, 核对, 寄存, 托运
vi. 逐项相符, 开支票
"
discuss,"vt. 讨论, 论述
"
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
cost,"n. 代价, 价值, 费用
vi. 花费
vt. 使失去, 值, 使花费"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
agree,"vi. 同意, 赞成, 应允, 适合
vt. 承认, 认定, 同意"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
appear,"vi. 出现, 显得, 来到
"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
encourage,"vt. 鼓励, 支持, 激励
"
describe,"vt. 描述, 描绘, 画"
apply,"vt. 涂, 应用
vi. 申请, 适用"
employ,"n. 雇用
vt. 雇用, 使用, 使从事于"
include,"vt. 包括, 把...算入, 包住
"
injure,"vt. 伤害, 损害, 使受冤屈
"
foreign,"a. 外国的, 外交的, 外省的, 外来的, 不相关的
"
congratulation,"n. 祝贺, 恭喜"
feed,"n. 饲料, 一餐, 饲养
vt. 喂, 饲养, 放牧, 靠...为生
vi. 吃东西, 用餐, 流入
"
cover,"n. 盖子, 封面, 藉口
vt. 覆盖, 掩饰, 保护, 掩护, 包括
vi. 覆盖"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
effort,"n. 努力, 成就"
energy,"n. 精力, 精神, 活力, 能量
"
fuel,"n. 燃料, 木炭
vt. 加燃料, 供燃料
vi. 得到燃料"
famous,"a. 出名的, 极好的"
final,"n. 期末考试, 结局, 决赛
a. 最后的, 终极的, 决定性的"
generous,"a. 慷慨的, 有雅量的, 大量的, 丰富的"
nation,"n. 国家, 民族
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
local,"a. 地方性的, 当地的, 局部的, 乡土的, 本地的
n. 当地居民, 本地新闻, 局部
"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
incident,"n. 事件, 事变, 小事
a. 附带的, 易于发生的, 外来的, 入射的"
affair,"n. 事件, 事务, 恋爱事件"
audience,"n. 听众, 观众, 读者
"
exhibition,"n. 表现, 展览会, 展览品
"
disease,"n. 疾病, 弊病
"
distant,"a. 远的, 疏远的
"
future,"n. 未来, 将来
a. 将来的, 未来的"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
"
lecture,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
conference,"n. 会议
"
human,"n. 人, 人类
a. 人类的, 似人类的, 人性的, 有同情心的"
human being,"人类
"
mankind,"n. 人类, 男性"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
female,"n. 女性, 女人, 雌性动物
a. 女性的, 女子的"
author,"n. 作家, 作家的著作, 创始人
"
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
doubt,"n. 怀疑, 疑惑
v. 怀疑, 不信"
direct,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
method,"n. 方法, 办法, 条理, 秩序
"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
advertise,"vt. 做广告, 通知, 公布
vi. 做广告"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
department,"n. 部门, 系, 机关
"
government,"n. 政府, 内阁
"
administration,"n. 行政, 管理, 政府机关
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
arrange,"v. 安排, 排列, 达成协议
"
organise,"vt. 组织, 有机化, 给予生机"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
income,"n. 收入, 收益, 流入
"
disturb,"vt. 扰乱, 妨碍, 使不安
"
interrupt,"vt. 中断, 妨碍, 插嘴
vi. 打断
n. 中断
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
invite,"vt. 邀请, 请求, 引起, 招致
n. 邀请"
insist,"v. 坚持, 坚决主张, 强调"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
expert,"n. 专家, 行家
a. 老练的, 内行的, 专门的
"
crazy,"a. 发狂的, 狂热的"
crime,"n. 犯罪, 罪行, 罪恶
"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
educate,"vt. 教育, 培养, 训练"
examine,"v. 检查, 调查, 考试"
graduate,"n. 毕业生, 量杯
a. 已得学位的, 研究生的, 毕业的
vi. 毕业, 得学位, 逐渐变为
vt. 准予...毕业, 授予...学位, 分等级, 刻刻度"
college,"n. 学院, 大学, 学会"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
connect,"v. 连接, 联合, 联系"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
exercise,"n. 行使, 执行, 运动, 练习, 作业
vt. 运用, 练习, 运动
vi. 练习, 锻炼"
exist,"vi. 存在, 生存, 发生"
expect,"vt. 预期, 盼望, 期待"
expensive,"a. 贵的, 奢华的, 费用浩大的, 乱化钱的
"
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
experiment,"n. 实验, 试验, 实验仪器
vi. 实验, 尝试"
earn,"vt. 赚得, 获得, 博得
"
draw,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
blow,"n. 吹, 打击, 殴打, 花开
v. 吹, 风吹, 吹响, 开花"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
battle,"n. 战役
v. 战斗"
fight,"n. 打架, 争吵, 斗志
v. 对抗, 打架"
base,"n. 底部, 垒, 基础, 基地
vt. 以...作基础
a. 卑鄙的, 低劣的
"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
basis,"n. 基础, 主要成分
"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
explore,"v. 探险, 探测, 探究"
celebrate,"v. 庆祝, 祝贺, 举行"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
mention,"n. 提到, 言及, 陈述
vt. 提到, 提及"
optimistic,"a. 乐观的, 乐观主义的, 乐天的"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
lose,"vt. 遗失, 损失, 丢失, 使失去, 错过, 浪费, 迷失, 使迷路, 输去, 使沉溺于
vi. 受损失, 失败"
loss,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
"
forever,adv. 永远
forgive,"vt. 原谅, 宽恕, 免除
"
generation,"n. 一代, 一世, 产生
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
fit,"n. 适宜, 合身, 发作, 痉挛
a. 适宜的, 对的, 准备好的
vt. 适合, 安装, 使合身, 使适应, 使合格
vi. 适合, 符合, 合身
"
fix,"vt. 使固定, 修理, 准备, 安装, 凝视, 牢记, 确定, 整理
vi. 固定, 注视, 确定
n. 困境, 方位, 维修, 贿赂"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
courage,"n. 勇气, 胆量"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
apologize,"vi. 道歉, 辩解"
apology,"n. 道歉, 辩护
"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
delight,"n. 高兴, 愉快
vt. 使高兴, 乐于
vi. 感到高兴(或愉快、快乐)"
joy,"n. 欢喜, 乐事, 高兴
vt. 使快乐, 令人高兴
vi. 欢喜"
data,"pl. 资料, 数据
"
defence,"n. 防卫, 防卫设备
"
defend,"vt. 防护, 辩护, 防卫
"
genuine,"a. 真正的, 真实的, 诚恳的
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
function,"n. 官能, 职务, 功能, 函数
vi. 活动, 运行, 行使职责
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
hardship,"n. 艰难, 辛苦, 苦难
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
instruct,"vt. 教, 教育, 命令, 通知
"
intention,"n. 意图, 目的, 含义
"
international,"a. 国际的
n. 国别设定
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
otherwise,"adv. 否则, 不同地, 别的方式"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
error,"n. 错误, 过失, 失误, 误差
"
civil,"a. 市民的, 公民的, 有礼貌的
"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
abroad,"adv. 往国外, 到室外, 到处
a. 往国外的, 在室外的, 广泛四散的"
district,"n. 区域, 地方
"
however,"adv. 然而, 无论如何, 究竟怎样
conj. 然而, 可是"
medical,"n. 医生, 体格检查
a. 医学的, 内科的, 药的"
medicine,"n. 药, 医学, 内科
vt. 给...用药"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
immediately,"adv. 直接地, 立刻, 立即"
form,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
fortunate,"a. 幸运的, 幸福的"
forward,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
"
found,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
frighten,"vt. 使惊吓
vi. 惊恐"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
licence,"n. 执照, 许可证, 特许
vt. 许可, 特许, 认可"
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
intelligence,"n. 智力, 情报, 信息
"
appointment,"n. 约会, 委任的职位, 委派
"
background,"n. 背景, 背景资料
"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
comprehend,"vt. 理解, 包括"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
decorate,v. 装饰
glory,"n. 光荣, 荣耀, 荣誉, 壮丽, 繁荣
vi. 自豪"
height,"n. 高度, 海拔, 高地, 顶点
"
length,"n. 长度, 长, 期间, 一段
"
hang,"n. 悬挂, 诀窍, 意义
vt. 悬挂, 附着, 装饰, 垂下, 踌躇, 绞死, 使悬而未决
vi. 悬着, 垂下, 被绞死, 悬而不决"
mend,"n. 改进, 修补, 好转
vt. 修改, 改进, 加快, 修理
vi. 好转, 改善"
merchant,"n. 商人, 店主
a. 商业的, 商人的"
multiply,"v. 繁殖, 乘, 增加
"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
committee,"n. 委员会
"
outdoors,"n. 户外, 野外活动
adv. 在户外, 在野外"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
chemist,"n. 化学家, 药剂师
"
chemistry,"n. 化学, 化学过程
"
biology,"n. 生物学
"
mathematics,"n. 数学
"
geography,"n. 地理学, 地理
"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
chat,"n. 闲谈
vi. 闲谈, 聊天"
E-mail, 电子函政
e-mail, 电子函政
internet,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网"
network,"n. 网络, 广播网, 网状物
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
document,"n. 文件, 公文, 文档
vt. 证明, 为...引证
"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
equipment,"n. 装备, 设备, 才能
"
instrument,"n. 工具, 手段, 仪器
"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
library,"n. 图书馆, 藏书, 库
"
museum,n. 博物馆
newspaper,n. 报纸
magazine,"n. 杂志, 仓库, 弹盒, 胶卷盒
"
earthquake,n. 地震
flood,"n. 洪水, 大量之水, 涨潮
vt. 淹没, 使泛滥, 注满
vi. 被淹, 溢出, 涌进"
actual,"a. 真实的, 实际的, 现行的
"
blind,"n. 蒙蔽物, 窗帘
a. 盲目的, 瞎的, 不加思考的
vt. 使失明, 蒙蔽, 遮暗
adv. 盲目地"
amaze,vt. 使吃惊
annoy,"vt. 使恼怒, 骚扰"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
disappointed,a. 失望的
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
dozen,"n. 打, 十二个
a. 一打的"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
ancient,"a. 古代的, 古老的, 年老的, 旧的"
